category,probe_path,subcategory,fixation_duration,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter2_mean,jitter2_raw,probeFrames_raw,probe_onset_mean,probe_onset_raw,probe_onset_std,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/Chest-of-drawers_20.jpg,Furniture,0,Chest-of-drawers,1.0,2.0,2,75.6329956055,75.63299560546875,0.0,74.3403015137,74.34030151367188,0.0,6.0,6.0,7,74.3453674316,74.34536743164062,0.0,1.0,1.0,0.0,'2',2.50566720963,2.505667209625244,0.0,'V_nV',0.0,0.0,0.0,'3',0.210700005293,0.21070000529289246,0.0,78.1592483521,78.15924835205078,0.0,16.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/armadillo_11.jpg,Animals,0,armadillo,1.0,1.0,1,245.722793579,245.72279357910156,0.0,244.470153809,244.47015380859375,0.0,6.0,6.0,3,244.47505188,244.4750518798828,0.0,0.0,0.0,0.0,'2',0.300865352154,0.3008653521537781,0.0,'V_nV',0.0,0.0,0.0,'2',0.461221843958,0.461221843957901,0.0,246.044204712,246.04420471191406,0.0,50.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/armchair_16.jpg,Furniture,0,armchair,1.0,2.0,2,398.845672607,398.8456726074219,0.0,397.562957764,397.5629577636719,0.0,6.5,6.5,6,397.567626953,397.567626953125,0.0,1.0,1.0,0.0,'2',8.01765823364,8.017658233642578,0.0,'V_nV',0.0,0.0,0.0,'3',0.340961873531,0.34096187353134155,0.0,406.883880615,406.8838806152344,0.0,84.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/axe_3.jpg,Tools,0,axe,1.0,2.0,2,184.569824219,184.56982421875,0.0,183.307174683,183.3071746826172,0.0,7.0,7.0,4,183.312194824,183.31219482421875,0.0,1.0,1.0,0.0,'2',0.671681940556,0.6716819405555725,0.0,'V_nV',1.0,1.0,0.0,'1',0.1505458951,0.1505458950996399,0.0,185.262069702,185.26206970214844,0.0,38.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/barn-owl_8.jpg,Birds,0,barn-owl,1.0,2.0,2,442.570709229,442.5707092285156,0.0,441.308074951,441.3080749511719,0.0,7.5,7.5,4,441.312835693,441.3128356933594,0.0,0.0,0.0,0.0,'1',1.10264515877,1.1026451587677002,0.0,'nV_V',1.0,1.0,0.0,'1',0.240747734904,0.24074773490428925,0.0,443.693908691,443.69390869140625,0.0,93.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bed_3.jpg,Furniture,0,bed,1.0,2.0,2,298.888366699,298.88836669921875,0.0,297.625701904,297.6257019042969,0.0,6.0,6.0,4,297.630462646,297.6304626464844,0.0,0.0,0.0,0.0,'1',0.240740582347,0.2407405823469162,0.0,'V_nV',1.0,1.0,0.0,'1',2.07473134995,2.0747313499450684,0.0,299.149627686,299.1496276855469,0.0,62.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bedside-table_11.jpg,Furniture,0,bedside-table,1.0,2.0,2,249.480941772,249.48094177246094,0.0,248.238342285,248.23834228515625,0.0,6.0,6.0,2,248.243209839,248.2432098388672,0.0,1.0,1.0,0.0,'2',0.551423370838,0.5514233708381653,0.0,'V_nV',1.0,1.0,0.0,'1',0.220698818564,0.22069881856441498,0.0,250.05291748,250.05291748046875,0.0,51.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/boat_25.jpg,Vehicles,0,boat,1.0,1.0,1,410.220397949,410.22039794921875,0.0,408.957733154,408.9577331542969,0.0,7.0,7.0,3,408.962554932,408.9625549316406,0.0,0.0,0.0,0.0,'2',0.611564338207,0.6115643382072449,0.0,'nV_V',0.0,0.0,0.0,'2',0.290851950645,0.2908519506454468,0.0,410.852539062,410.8525390625,0.0,85.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bookcase_15.jpg,Furniture,0,bookcase,1.0,2.0,2,87.8094711304,87.8094711303711,0.0,86.556854248,86.55685424804688,0.0,6.5,6.5,3,86.5632553101,86.5632553100586,0.0,1.0,1.0,0.0,'2',1.74401807785,1.7440180778503418,0.0,'V_nV',0.0,0.0,0.0,'3',0.481259852648,0.48125985264778137,0.0,89.5740432739,89.57404327392578,0.0,18.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/bus_17.jpg,Vehicles,0,bus,1.0,2.0,2,172.202941895,172.20294189453125,0.0,170.940292358,170.94029235839844,0.0,8.0,8.0,4,170.945205688,170.94520568847656,0.0,1.0,1.0,0.0,'2',3.44772553444,3.447725534439087,0.0,'V_nV',0.0,0.0,0.0,'3',1.05251216888,1.0525121688842773,0.0,175.671218872,175.6712188720703,0.0,36.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/butterfly_14.jpg,Insects,0,butterfly,1.0,1.0,1,321.056549072,321.0565490722656,0.0,319.803924561,319.8039245605469,0.0,6.0,6.0,2,319.808746338,319.8087463378906,0.0,1.0,1.0,0.0,'1',1.383233428,1.3832334280014038,0.0,'V_nV',0.0,0.0,0.0,'2',0.571483671665,0.5714836716651917,0.0,322.460327148,322.4603271484375,0.0,67.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/car_10.jpg,Vehicles,0,car,1.0,1.0,1,368.820373535,368.82037353515625,0.0,367.487579346,367.4875793457031,0.0,6.0,6.0,10,367.492492676,367.49249267578125,0.0,1.0,1.0,0.0,'1',1.10262334347,1.1026233434677124,0.0,'nV_V',0.0,0.0,0.0,'3',2.93661046028,2.936610460281372,0.0,369.94354248,369.94354248046875,0.0,79.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/castle_17.jpg,Buildings,0,castle,1.0,1.0,1,358.087036133,358.0870361328125,0.0,356.834411621,356.83441162109375,0.0,6.5,6.5,3,356.839172363,356.83917236328125,0.0,1.0,1.0,0.0,'1',0.511340260506,0.5113402605056763,0.0,'nV_V',1.0,1.0,0.0,'1',0.260791540146,0.260791540145874,0.0,358.618927002,358.6189270019531,0.0,76.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cat_23.jpg,Animals,0,cat,1.0,1.0,1,375.915802002,375.9158020019531,0.0,374.613067627,374.6130676269531,0.0,6.0,6.0,8,374.617980957,374.61798095703125,0.0,1.0,1.0,0.0,'1',0.461239844561,0.46123984456062317,0.0,'V_nV',0.0,0.0,0.0,'3',0.390927284956,0.3909272849559784,0.0,376.397613525,376.3976135253906,0.0,80.0
