category,probe_path,subcategory,fixation_duration,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter2_mean,jitter2_raw,probeFrames_raw,probe_onset_mean,probe_onset_raw,probe_onset_std,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/Chest-of-drawers_4.jpg,Furniture,0,Chest-of-drawers,1.0,2.0,2,371.796813965,371.79681396484375,0.0,370.544189453,370.544189453125,0.0,6.5,6.5,3,370.548919678,370.5489196777344,0.0,1.0,1.0,0.0,'2',0.862097680569,0.8620976805686951,0.0,'V_nV',0.0,0.0,0.0,'3',0.711770653725,0.7117706537246704,0.0,372.679473877,372.6794738769531,0.0,71.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/armadillo_1.jpg,Animals,0,armadillo,1.0,1.0,1,336.921020508,336.9210205078125,0.0,335.688415527,335.68841552734375,0.0,7.5,7.5,1,335.693206787,335.6932067871094,0.0,0.0,0.0,0.0,'2',0.391078263521,0.39107826352119446,0.0,'V_nV',1.0,1.0,0.0,'1',0.250797778368,0.2507977783679962,0.0,337.332641602,337.3326416015625,0.0,64.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/armchair_4.jpg,Furniture,0,armchair,1.0,2.0,2,388.583312988,388.58331298828125,0.0,387.330688477,387.3306884765625,0.0,7.0,7.0,3,387.335510254,387.33551025390625,0.0,0.0,0.0,0.0,'1',1.30305933952,1.3030593395233154,0.0,'V_nV',0.0,0.0,0.0,'3',0.862087666988,0.8620876669883728,0.0,389.906921387,389.90692138671875,0.0,75.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/axe_21.jpg,Tools,0,axe,1.0,1.0,1,126.623825073,126.62382507324219,0.0,125.331108093,125.33110809326172,0.0,6.0,6.0,7,125.336669922,125.336669921875,0.0,1.0,1.0,0.0,'1',1.61373817921,1.6137381792068481,0.0,'nV_V',0.0,0.0,0.0,'3',0.34095659852,0.34095659852027893,0.0,128.258102417,128.2581024169922,0.0,25.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/barn-owl_4.jpg,Birds,0,barn-owl,1.0,2.0,2,270.336242676,270.33624267578125,0.0,269.09362793,269.0936279296875,0.0,7.5,7.5,2,269.098480225,269.0984802246094,0.0,1.0,1.0,0.0,'2',17.1976127625,17.197612762451172,0.0,'nV_V',1.0,1.0,0.0,'1',1.66384851933,1.6638485193252563,0.0,287.554412842,287.5544128417969,0.0,54.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bed_14.jpg,Furniture,0,bed,1.0,1.0,1,292.203796387,292.20379638671875,0.0,290.951141357,290.9511413574219,0.0,6.5,6.5,3,290.955963135,290.9559631347656,0.0,1.0,1.0,0.0,'1',1.72397363186,1.7239736318588257,0.0,'nV_V',0.0,0.0,0.0,'3',0.872110784054,0.8721107840538025,0.0,293.94833374,293.9483337402344,0.0,55.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bedside-table_20.jpg,Furniture,0,bedside-table,1.0,2.0,2,212.741027832,212.74102783203125,0.0,211.48840332,211.4884033203125,0.0,6.0,6.0,3,211.493225098,211.49322509765625,0.0,1.0,1.0,0.0,'2',0.731819629669,0.7318196296691895,0.0,'V_nV',0.0,0.0,0.0,'3',0.451201051474,0.45120105147361755,0.0,213.493392944,213.49339294433594,0.0,43.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/boat_17.jpg,Vehicles,0,boat,1.0,2.0,2,226.881774902,226.88177490234375,0.0,225.649185181,225.64918518066406,0.0,6.0,6.0,1,225.654144287,225.65414428710938,0.0,1.0,1.0,0.0,'2',1.90436673164,1.9043667316436768,0.0,'V_nV',1.0,1.0,0.0,'1',1.77407968044,1.77407968044281,0.0,228.80670166,228.80670166015625,0.0,46.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bookcase_16.jpg,Furniture,0,bookcase,1.0,2.0,2,489.873504639,489.8735046386719,0.0,488.620880127,488.6208801269531,0.0,6.5,6.5,3,488.625701904,488.6257019042969,0.0,1.0,1.0,0.0,'2',1.01243829727,1.0124382972717285,0.0,'V_nV',0.0,0.0,0.0,'3',0.561436235905,0.5614362359046936,0.0,490.906494141,490.906494140625,0.0,91.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/bus_24.jpg,Vehicles,0,bus,1.0,1.0,1,112.513153076,112.51315307617188,0.0,111.270545959,111.27054595947266,0.0,7.0,7.0,2,111.275375366,111.27537536621094,0.0,1.0,1.0,0.0,'1',1.05251598358,1.052515983581543,0.0,'nV_V',0.0,0.0,0.0,'3',0.300874352455,0.30087435245513916,0.0,113.586212158,113.58621215820312,0.0,22.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/butterfly_7.jpg,Insects,0,butterfly,1.0,1.0,1,301.574157715,301.57415771484375,0.0,300.331542969,300.33154296875,0.0,7.5,7.5,2,300.336425781,300.33642578125,0.0,1.0,1.0,0.0,'1',1.2128585577,1.2128585577011108,0.0,'V_nV',0.0,0.0,0.0,'2',0.51133275032,0.5113327503204346,0.0,302.807556152,302.80755615234375,0.0,57.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/car_24.jpg,Vehicles,0,car,1.0,1.0,1,376.356719971,376.3567199707031,0.0,375.124145508,375.1241455078125,0.0,7.5,7.5,1,375.128967285,375.12896728515625,0.0,0.0,0.0,0.0,'2',0.441187173128,0.44118717312812805,0.0,'nV_V',1.0,1.0,0.0,'1',0.42114174366,0.42114174365997314,0.0,376.818450928,376.8184509277344,0.0,72.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/castle_16.jpg,Buildings,0,castle,1.0,2.0,2,90.3148956299,90.31489562988281,0.0,89.0823059082,89.08230590820312,0.0,6.5,6.5,1,89.0877304077,89.08773040771484,0.0,1.0,1.0,0.0,'2',0.681709349155,0.681709349155426,0.0,'V_nV',1.0,1.0,0.0,'1',0.320918232203,0.3209182322025299,0.0,91.0171585083,91.01715850830078,0.0,17.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cat_11.jpg,Animals,0,cat,1.0,2.0,2,174.277420044,174.2774200439453,0.0,173.034820557,173.03482055664062,0.0,6.0,6.0,2,173.039642334,173.03964233398438,0.0,1.0,1.0,0.0,'2',1.97453010082,1.9745301008224487,0.0,'nV_V',1.0,1.0,0.0,'1',0.190627112985,0.1906271129846573,0.0,176.272506714,176.2725067138672,0.0,35.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/cathedral_13.jpg,Buildings,0,cathedral,1.0,2.0,2,340.568939209,340.5689392089844,0.0,339.31628418,339.3162841796875,0.0,8.0,8.0,3,339.321075439,339.3210754394531,0.0,1.0,1.0,0.0,'2',1.09260201454,1.092602014541626,0.0,'V_nV',0.0,0.0,0.0,'2',0.70174819231,0.7017481923103333,0.0,341.692108154,341.6921081542969,0.0,65.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/chair_9.jpg,Furniture,0,chair,1.0,2.0,2,469.960235596,469.9602355957031,0.0,468.71762085,468.7176208496094,0.0,6.5,6.5,2,468.723999023,468.7239990234375,0.0,1.0,1.0,0.0,'2',3.08694076538,3.0869407653808594,0.0,'V_nV',1.0,1.0,0.0,'1',1.71394956112,1.7139495611190796,0.0,473.067718506,473.0677185058594,0.0,88.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cheetah_18.jpg,Animals,0,cheetah,1.0,1.0,1,482.106628418,482.10662841796875,0.0,480.874053955,480.8740539550781,0.0,6.0,6.0,1,480.87902832,480.8790283203125,0.0,0.0,0.0,0.0,'2',2.0045800209,2.004580020904541,0.0,'V_nV',1.0,1.0,0.0,'1',2.74603581429,2.7460358142852783,0.0,484.131744385,484.1317443847656,0.0,90.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/church_13.jpg,Buildings,0,church,1.0,1.0,1,157.300506592,157.30050659179688,0.0,156.037857056,156.03785705566406,0.0,6.0,6.0,4,156.044555664,156.0445556640625,0.0,1.0,1.0,0.0,'1',0.601379394531,0.60137939453125,0.0,'nV_V',1.0,1.0,0.0,'1',0.331061959267,0.3310619592666626,0.0,157.922439575,157.9224395751953,0.0,31.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/coking-pot_19.jpg,Kitchen_Uten,0,coking-pot,1.0,1.0,1,28.3602180481,28.360218048095703,0.0,27.107591629,27.10759162902832,0.0,7.5,7.5,3,27.1124019623,27.112401962280273,0.0,0.0,0.0,0.0,'2',3.36755394936,3.367553949356079,0.0,'nV_V',0.0,0.0,0.0,'2',0.571467936039,0.571467936038971,0.0,31.7483215332,31.748321533203125,0.0,5.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/couch_5.jpg,Furniture,0,couch,1.0,2.0,2,35.2952842712,35.295284271240234,0.0,34.0526771545,34.052677154541016,0.0,6.0,6.0,2,34.0574531555,34.05745315551758,0.0,0.0,0.0,0.0,'1',0.781765878201,0.781765878200531,0.0,'V_nV',1.0,1.0,0.0,'1',0.24076166749,0.2407616674900055,0.0,36.0976142883,36.09761428833008,0.0,6.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cow_25.jpg,Animals,0,cow,1.0,2.0,2,393.734527588,393.7345275878906,0.0,392.501922607,392.5019226074219,0.0,6.5,6.5,1,392.506835938,392.5068359375,0.0,1.0,1.0,0.0,'2',7.31613540649,7.316135406494141,0.0,'nV_V',1.0,1.0,0.0,'1',2.95665073395,2.956650733947754,0.0,401.071166992,401.0711669921875,0.0,76.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/crab_5.jpg,Marine_creatures,0,crab,1.0,2.0,2,502.060028076,502.0600280761719,0.0,500.827423096,500.8274230957031,0.0,6.0,6.0,1,500.832336426,500.83233642578125,0.0,0.0,0.0,0.0,'1',0.391083151102,0.39108315110206604,0.0,'nV_V',1.0,1.0,0.0,'1',0.280682176352,0.28068217635154724,0.0,502.47164917,502.4716491699219,0.0,94.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/cup_10.jpg,Kitchen_Uten,0,cup,1.0,1.0,1,257.458251953,257.458251953125,0.0,256.205627441,256.20562744140625,0.0,6.0,6.0,3,256.211456299,256.2114562988281,0.0,1.0,1.0,0.0,'1',1.81417512894,1.8141751289367676,0.0,'nV_V',0.0,0.0,0.0,'3',1.33311593533,1.3331159353256226,0.0,259.292999268,259.2929992675781,0.0,52.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/dolphin_17.jpg,Marine_creatures,0,dolphin,1.0,2.0,2,366.344970703,366.344970703125,0.0,365.082305908,365.0823059082031,0.0,7.0,7.0,4,365.08706665,365.0870666503906,0.0,1.0,1.0,0.0,'2',1.65383028984,1.6538302898406982,0.0,'nV_V',0.0,0.0,0.0,'2',0.791941404343,0.7919414043426514,0.0,368.019348145,368.01934814453125,0.0,70.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/dragonfly_3.jpg,Insects,0,dragonfly,1.0,2.0,2,443.522735596,443.5227355957031,0.0,442.260101318,442.2601013183594,0.0,6.0,6.0,4,442.264862061,442.2648620605469,0.0,1.0,1.0,0.0,'2',0.722381830215,0.7223818302154541,0.0,'nV_V',0.0,0.0,0.0,'3',0.260874807835,0.26087480783462524,0.0,444.265686035,444.26568603515625,0.0,84.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/drum_3.jpg,Musical_Inst,0,drum,1.0,1.0,1,183.778060913,183.77806091308594,0.0,182.525436401,182.5254364013672,0.0,7.5,7.5,3,182.530319214,182.5303192138672,0.0,1.0,1.0,0.0,'1',0.942276954651,0.9422769546508789,0.0,'nV_V',0.0,0.0,0.0,'3',0.200660705566,0.20066070556640625,0.0,184.740875244,184.74087524414062,0.0,37.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/duck_3.jpg,Birds,0,duck,1.0,1.0,1,323.391601562,323.3916015625,0.0,322.158996582,322.15899658203125,0.0,6.5,6.5,1,322.165100098,322.16510009765625,0.0,0.0,0.0,0.0,'2',1.29318547249,1.2931854724884033,0.0,'V_nV',1.0,1.0,0.0,'1',0.421150803566,0.421150803565979,0.0,324.705352783,324.7053527832031,0.0,61.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/elephant_4.jpg,Animals,0,elephant,1.0,1.0,1,411.543243408,411.5432434082031,0.0,410.310638428,410.3106384277344,0.0,6.0,6.0,1,410.315429688,410.3154296875,0.0,1.0,1.0,0.0,'1',0.501311063766,0.5013110637664795,0.0,'V_nV',1.0,1.0,0.0,'1',0.250766545534,0.2507665455341339,0.0,412.065093994,412.0650939941406,0.0,78.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/factory_19.jpg,Buildings,0,factory,1.0,1.0,1,428.7706604,428.7706604003906,0.0,427.498016357,427.4980163574219,0.0,6.0,6.0,4,427.502746582,427.50274658203125,0.0,1.0,1.0,0.0,'1',0.932255685329,0.9322556853294373,0.0,'nV_V',0.0,0.0,0.0,'3',1.55359721184,1.5535972118377686,0.0,429.723480225,429.7234802246094,0.0,81.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/filling-cabinet_4.jpg,Furniture,0,filling-cabinet,1.0,2.0,2,407.003356934,407.00335693359375,0.0,405.760742188,405.7607421875,0.0,7.5,7.5,2,405.765625,405.765625,0.0,0.0,0.0,0.0,'1',1.3130851984,1.3130851984024048,0.0,'V_nV',0.0,0.0,0.0,'3',0.24075640738,0.24075640738010406,0.0,408.337005615,408.3370056152344,0.0,77.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/fondue_1.jpg,Kitchen_Uten,0,fondue,1.0,1.0,1,250.733627319,250.73362731933594,0.0,249.501052856,249.5010528564453,0.0,6.0,6.0,1,249.505844116,249.50584411621094,0.0,0.0,0.0,0.0,'2',0.581491410732,0.5814914107322693,0.0,'nV_V',1.0,1.0,0.0,'1',3.13705968857,3.1370596885681152,0.0,251.335662842,251.33566284179688,0.0,51.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/frying-pan_4.jpg,Kitchen_Uten,0,frying-pan,1.0,1.0,1,165.438201904,165.43820190429688,0.0,164.165527344,164.16552734375,0.0,6.0,6.0,5,164.170425415,164.17042541503906,0.0,1.0,1.0,0.0,'1',1.00240886211,1.0024088621139526,0.0,'nV_V',0.0,0.0,0.0,'3',0.300726294518,0.3007262945175171,0.0,166.461166382,166.46116638183594,0.0,33.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/giraffe_13.jpg,Animals,0,giraffe,1.0,1.0,1,153.702682495,153.7026824951172,0.0,152.470108032,152.47010803222656,0.0,6.5,6.5,1,152.475006104,152.47500610351562,0.0,0.0,0.0,0.0,'2',0.320929288864,0.32092928886413574,0.0,'V_nV',1.0,1.0,0.0,'1',0.260786354542,0.26078635454177856,0.0,154.044158936,154.04415893554688,0.0,30.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/goldfinch_7.jpg,Birds,0,goldfinch,1.0,2.0,2,44.2347183228,44.234718322753906,0.0,42.9921073914,42.99210739135742,0.0,6.0,6.0,2,42.9969482422,42.9969482421875,0.0,0.0,0.0,0.0,'1',1.01244318485,1.0124431848526,0.0,'nV_V',0.0,0.0,0.0,'3',0.571462750435,0.5714627504348755,0.0,45.2677116394,45.2677116394043,0.0,8.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/goose_0.jpg,Birds,0,goose,1.0,1.0,1,380.235168457,380.23516845703125,0.0,378.972503662,378.9725036621094,0.0,6.0,6.0,4,378.97744751,378.9774475097656,0.0,1.0,1.0,0.0,'1',1.2028478384,1.2028478384017944,0.0,'V_nV',0.0,0.0,0.0,'3',0.401093661785,0.40109366178512573,0.0,381.458587646,381.4585876464844,0.0,73.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/granary_12.jpg,Buildings,0,granary,1.0,2.0,2,242.4556427,242.4556427001953,0.0,241.223052979,241.22305297851562,0.0,6.0,6.0,1,241.2290802,241.2290802001953,0.0,1.0,1.0,0.0,'2',1.06253921986,1.0625392198562622,0.0,'V_nV',1.0,1.0,0.0,'1',0.260781466961,0.260781466960907,0.0,243.538742065,243.5387420654297,0.0,49.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/guitar_1.jpg,Musical_Inst,0,guitar,1.0,1.0,1,13.9589118958,13.958911895751953,0.0,12.7163181305,12.716318130493164,0.0,7.5,7.5,2,12.7215719223,12.721571922302246,0.0,1.0,1.0,0.0,'1',1.88415682316,1.8841568231582642,0.0,'nV_V',0.0,0.0,0.0,'2',0.370870918036,0.3708709180355072,0.0,15.8636074066,15.863607406616211,0.0,2.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/hammer_23.jpg,Tools,0,hammer,1.0,2.0,2,494.433441162,494.4334411621094,0.0,493.200836182,493.2008361816406,0.0,6.0,6.0,1,493.207183838,493.2071838378906,0.0,1.0,1.0,0.0,'2',0.300876438618,0.3008764386177063,0.0,'V_nV',1.0,1.0,0.0,'1',0.290887415409,0.29088741540908813,0.0,494.754852295,494.7548522949219,0.0,92.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/hen_8.jpg,Birds,0,hen,1.0,2.0,2,216.910095215,216.91009521484375,0.0,215.677505493,215.67750549316406,0.0,6.5,6.5,1,215.6824646,215.68246459960938,0.0,0.0,0.0,0.0,'1',0.972340762615,0.9723407626152039,0.0,'nV_V',1.0,1.0,0.0,'1',0.330934405327,0.33093440532684326,0.0,217.913009644,217.9130096435547,0.0,44.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/hippopotamus_21.jpg,Animals,0,hippopotamus,1.0,1.0,1,81.8865661621,81.88656616210938,0.0,80.6138916016,80.6138916015625,0.0,6.5,6.5,5,80.6186904907,80.61869049072266,0.0,1.0,1.0,0.0,'1',1.03249740601,1.0324974060058594,0.0,'V_nV',0.0,0.0,0.0,'3',0.431159347296,0.4311593472957611,0.0,82.9396209717,82.93962097167969,0.0,15.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/horse_26.jpg,Animals,0,horse,1.0,1.0,1,108.133621216,108.13362121582031,0.0,106.881004333,106.8810043334961,0.0,7.5,7.5,3,106.885871887,106.88587188720703,0.0,1.0,1.0,0.0,'1',0.761894464493,0.7618944644927979,0.0,'V_nV',0.0,0.0,0.0,'2',0.621566474438,0.6215664744377136,0.0,108.916069031,108.91606903076172,0.0,21.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/house_24.jpg,Buildings,0,house,1.0,1.0,1,314.682647705,314.6826477050781,0.0,313.420013428,313.4200134277344,0.0,6.0,6.0,4,313.425872803,313.4258728027344,0.0,1.0,1.0,0.0,'1',0.962316632271,0.962316632270813,0.0,'nV_V',0.0,0.0,0.0,'3',0.701591491699,0.7015914916992188,0.0,315.665527344,315.66552734375,0.0,59.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/hummingbird_13.jpg,Birds,0,hummingbird,1.0,2.0,2,263.591583252,263.5915832519531,0.0,262.359008789,262.3590087890625,0.0,6.0,6.0,1,262.363922119,262.3639221191406,0.0,1.0,1.0,0.0,'2',0.862105190754,0.8621051907539368,0.0,'nV_V',1.0,1.0,0.0,'1',2.88649773598,2.886497735977173,0.0,264.474243164,264.4742431640625,0.0,53.0
