category,probe_path,subcategory,fixation_duration,label,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_onset_time,response_window,correctAns,probe_onset,discrim_resptime,response.corr,response.keys,response.rt,visible_resptime,visible.keys,visible.corr,visible.rt,probeFrames,jitter2,n_square,experiment_color,frameRate,date,session,image_size,premask_dur,probeFrames,participant,expName,postmask_dur,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/shark_16.jpg,Marine_creatures,0,shark,0,0,0,75,3.71685309592,V_nV,1,3.73798513552,4.99955494376,0,2,15.6843048881,20.7146996048,1,1,0.230726733105,5,7.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/crab_25.jpg,Marine_creatures,0,crab,0,1,1,21,22.6780672083,nV_V,2,22.6829175483,23.9707733148,0,1,0.992377994582,24.9837214169,2,0,0.371032833122,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/frying-pan_13.jpg,Kitchen_Uten,0,frying-pan,0,2,2,31,27.0876518493,V_nV,2,27.0927751483,28.3703397915,1,2,0.731822425034,29.1227132117,3,0,0.290858109249,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/owl_24.jpg,Birds,0,owl,0,3,3,57,31.1464857205,nV_V,2,31.1522885738,32.3990994394,0,1,0.781932508107,33.2015995178,1,1,0.210701361997,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/seagull_12.jpg,Birds,0,seagull,0,4,4,74,35.1451699536,nV_V,2,35.1500079369,36.4178318058,1,2,0.952310428955,37.3906920799,2,0,0.371025238885,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/castle_3.jpg,Buildings,0,castle,0,5,5,12,39.4946382225,V_nV,2,39.4999996684,40.7572735196,1,2,0.531394013902,41.3092131147,2,0,0.200669791317,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/pot_2.jpg,Kitchen_Uten,0,pot,0,6,6,66,43.2427667165,V_nV,2,43.247618072,44.4953931118,1,2,0.511347439606,45.0273095802,3,0,0.280825395603,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cat_22.jpg,Animals,0,cat,0,7,7,13,47.041019222,V_nV,1,47.0469735016,48.2736054608,1,1,0.300879578106,48.5950561429,1,1,0.290850064019,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/pelican_24.jpg,Birds,0,pelican,0,8,8,60,50.618802483,V_nV,1,50.6236708229,51.8614194046,0,2,0.220725489547,52.1026901712,1,1,0.260802148143,5,7.5,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/filling-cabinet_24.jpg,Furniture,0,filling-cabinet,0,9,9,29,54.0963946185,nV_V,1,54.1017745524,55.3489861416,1,1,0.531382190529,55.9009154402,3,0,0.150616504485,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/hen_13.jpg,Birds,0,hen,0,10,10,38,57.784374861,V_nV,1,57.789239859,59.016970603,0,2,0.1305205971,59.1680459057,1,1,0.180625476874,5,7.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/manatee_17.jpg,Marine_creatures,0,manatee,0,11,11,52,61.0815536215,V_nV,1,61.0863831653,62.3341689343,1,1,0.44118592958,62.7959263287,2,0,0.230717466678,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/lioness_18.jpg,Animals,0,lioness,0,12,12,48,64.759536861,nV_V,2,64.7644773726,66.0021526623,1,2,0.160573760513,66.1832726549,1,1,0.260796997929,5,6.5,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/saxophone_1.jpg,Musical_Inst,0,saxophone,0,13,13,72,68.1769716961,V_nV,2,68.1820616683,69.4295992567,1,2,0.120486342115,69.570624613,1,1,3.90871766396,5,6.5,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/pomfret_8.jpg,Marine_creatures,0,pomfret,0,14,14,65,75.2122684361,V_nV,1,75.2184471411,76.4749101729,1,1,1.01244502654,77.5079171343,2,0,0.170592989074,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/guitar_3.jpg,Musical_Inst,0,guitar,0,15,15,36,79.411389915,V_nV,2,79.4161524521,80.664017186,0,1,1.22273026314,81.9073201169,1,1,0.300888927886,5,6.0,32,bw,99.7806805336,2019_may_27_1708,017,256,20,5,ana,Experiment_EEG_version,20,
