category,probe_path,subcategory,fixation_duration,label,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_onset_time,response_window,correctAns,probe_onset,discrim_resptime,response.corr,response.keys,response.rt,visible_resptime,visible.keys,visible.corr,visible.rt,probeFrames,jitter2,n_square,experiment_color,frameRate,date,session,image_size,premask_dur,probeFrames,participant,expName,postmask_dur,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/owl_18.jpg,Birds,0,owl,0,0,0,57,3.71594417305,nV_V,2,3.73889207747,4.99862665625,1,2,0.361023073841,5.39049281861,1,1,0.140517900873,5,6.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cow_21.jpg,Animals,0,cow,0,1,1,20,7.26365278155,nV_V,2,7.26847796811,8.54634359945,0,1,0.451217748399,9.01811695215,3,0,0.340959030611,5,6.5,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/chair_13.jpg,Furniture,0,chair,0,2,2,15,11.0919709131,nV_V,1,11.0970285248,12.35461739,0,2,0.230723398505,12.6058891337,1,1,0.200659103692,5,6.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/lioness_12.jpg,Animals,0,lioness,0,3,3,48,14.5394661187,V_nV,1,14.5444461977,15.8121336816,1,1,0.20065975032,16.0333476824,1,1,1.05252147914,5,7.5,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/table_22.jpg,Furniture,0,table,0,4,4,81,18.8187900277,V_nV,2,18.8236537926,20.111479334,1,2,0.411122469115,20.5431509037,1,1,0.140525450057,5,6.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/filling-cabinet_10.jpg,Furniture,0,filling-cabinet,0,5,5,29,22.41658375,nV_V,1,22.4213651927,23.7293379719,1,1,0.721787016257,24.4716805546,3,0,0.21068543772,5,6.5,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/ship_0.jpg,Vehicles,0,ship,0,6,6,76,26.4152702797,V_nV,2,26.420174826,27.7079946607,1,2,0.491299572866,28.219862157,3,0,0.170595947828,5,6.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/tiger_8.jpg,Animals,0,tiger,0,7,7,84,30.1233323701,V_nV,1,30.1289510752,31.385981678,1,1,0.481267536117,31.8877963484,2,0,0.220690542192,5,7.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cat_18.jpg,Animals,0,cat,0,8,8,13,33.8414159146,V_nV,1,33.8462483906,35.0940448737,1,1,0.48127347586,35.5958515328,2,0,0.180667882669,5,6.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/tapir_5.jpg,Animals,0,tapir,0,9,9,82,37.5093888236,nV_V,2,37.5141792964,38.751997208,1,2,0.0102515448816,38.7827897145,1,1,0.120480534097,5,6.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bookcase_5.jpg,Furniture,0,bookcase,0,10,10,8,40.6361893324,nV_V,1,40.6411397542,41.8888108857,1,1,0.280835015641,42.190185186,1,1,0.240767281211,5,6.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/kiwi_26.jpg,Birds,0,kiwi,0,11,11,44,44.1638583973,nV_V,2,44.1686872118,45.4265027354,1,2,0.992386362515,46.4394568864,2,0,0.210684242251,5,6.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/guitar_0.jpg,Musical_Inst,0,guitar,0,12,12,36,48.3830247809,V_nV,2,48.3878509975,49.6356521947,1,2,0.641617232119,50.2978203656,3,0,0.230738300888,5,6.5,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/butterfly_11.jpg,Insects,0,butterfly,0,13,13,10,52.2614569237,V_nV,1,52.26635991,53.4940405157,0,2,0.310926960548,53.825524603,1,1,0.20068627625,5,6.5,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bedside-table_18.jpg,Furniture,0,bedside-table,0,14,14,6,55.7590570472,nV_V,1,55.7639752284,57.0016643188,0,2,0.340960985515,57.3631670023,1,1,0.160591955704,5,6.0,32,bw,99.7810809878,2019_may_13_1647,008,256,20,5,leyre,Experiment_EEG_version,20,
