category,probe_path,subcategory,fixation_duration,label,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_onset_time,response_window,correctAns,probe_onset,discrim_resptime,response.corr,response.keys,response.rt,visible_resptime,visible.keys,visible.corr,visible.rt,probeFrames,jitter2,n_square,experiment_color,frameRate,date,session,image_size,premask_dur,probeFrames,participant,expName,postmask_dur,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/dolphin_5.jpg,Marine_creatures,0,dolphin,0,0,0,23,3.7202903775,V_nV,1,3.7407148222,5.00297615421,1,1,0.330962850247,5.36484385491,2,0,0.0102463460062,5,7.0,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/rooster_4.jpg,Birds,0,rooster,0,1,1,70,7.10766397044,nV_V,2,7.11252948758,8.37030024081,0,1,0.150559866335,8.54141400475,1,1,4.26952037262,5,7.0,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/ladybird_22.jpg,Insects,0,ladybird,0,2,2,45,14.5438337703,nV_V,2,14.5486932911,15.8365214299,0,1,0.591355406912,16.4484235498,3,0,0.0202631759457,5,6.0,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/couch_4.jpg,Furniture,0,couch,0,3,3,19,18.2017606951,nV_V,1,18.2065202999,19.4744273934,1,1,0.390914465534,19.8858795459,3,0,0.0804522428662,5,8.0,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/train_15.jpg,Vehicles,0,train,0,4,4,87,21.6993606833,nV_V,1,21.704180148,22.9519815559,1,1,0.0503325534519,23.0228597512,2,0,0.150570700876,5,6.0,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/tiger_12.jpg,Animals,0,tiger,0,5,5,84,24.9063255852,nV_V,2,24.9111307724,26.1489377329,1,2,0.411133713555,26.5806108289,1,1,0.170583211118,5,6.0,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/turtle_17.jpg,Animals,0,turtle,0,6,6,90,28.4841048161,V_nV,1,28.488962119,29.7367280156,0,2,0.0102440561168,29.7675379051,1,1,0.200675828848,5,6.0,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/palace_19.jpg,Buildings,0,palace,0,7,7,58,31.7010967701,V_nV,2,31.7069924455,32.9637403002,0,1,0.351006766083,33.3353058058,2,0,0.0703725412022,5,7.5,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/table_6.jpg,Furniture,0,table,0,8,8,81,35.1385671457,nV_V,1,35.1433404607,36.3911889994,1,1,0.44119159109,36.8529469653,3,0,0.130504232598,5,6.5,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/scorpion_3.jpg,Insects,0,scorpion,0,9,9,73,38.7163665039,nV_V,2,38.7212485394,39.948924829,0,1,0.300890205661,40.270371312,2,0,0.0904258214869,5,7.0,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/coking-pot_5.jpg,Kitchen_Uten,0,coking-pot,0,10,10,18,42.0936827937,nV_V,1,42.0984941381,43.3262758476,1,1,0.381058945088,43.7278731263,1,1,0.260822309647,5,6.5,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/owl_10.jpg,Birds,0,owl,0,11,11,57,45.7215713027,V_nV,1,45.7263784634,46.9641782511,1,1,0.54124628962,47.525972649,2,0,0.10044035106,5,6.0,32,bw,99.782473388,2019_may_23_1649,015,256,20,5,lierni,Experiment_EEG_version,20,
