category,probe_path,subcategory,fixation_duration,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter2_mean,jitter2_raw,probeFrames_raw,probe_onset_mean,probe_onset_raw,probe_onset_std,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/Chest-of-drawers_14.jpg,Furniture,0,Chest-of-drawers,1.0,2.0,2,63.1236572266,63.1236572265625,0.0,61.8710327148,61.87103271484375,0.0,6.0,6.0,3,61.875869751,61.87586975097656,0.0,1.0,1.0,0.0,'2',0.631614744663,0.6316147446632385,0.0,'V_nV',0.0,0.0,0.0,'3',0.0302819050848,0.030281905084848404,0.0,63.7758331299,63.77583312988281,0.0,15.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/armadillo_4.jpg,Animals,0,armadillo,1.0,2.0,2,122.272224426,122.27222442626953,0.0,121.039649963,121.0396499633789,0.0,7.0,7.0,1,121.045425415,121.04542541503906,0.0,0.0,0.0,0.0,'1',1.17276513577,1.1727651357650757,0.0,'nV_V',0.0,0.0,0.0,'2',0.0603543482721,0.06035434827208519,0.0,123.465560913,123.46556091308594,0.0,30.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/armchair_11.jpg,Furniture,0,armchair,1.0,2.0,2,349.676574707,349.67657470703125,0.0,348.423919678,348.4239196777344,0.0,6.0,6.0,2,348.428649902,348.42864990234375,0.0,1.0,1.0,0.0,'2',2.26515126228,2.265151262283325,0.0,'V_nV',0.0,0.0,0.0,'3',0.0503281392157,0.05032813921570778,0.0,351.962310791,351.9623107910156,0.0,87.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/axe_5.jpg,Tools,0,axe,1.0,2.0,2,383.269592285,383.26959228515625,0.0,382.026977539,382.0269775390625,0.0,7.5,7.5,1,382.031768799,382.0317687988281,0.0,1.0,1.0,0.0,'2',0.71179074049,0.7117907404899597,0.0,'V_nV',1.0,1.0,0.0,'1',0.060346506536,0.06034650653600693,0.0,384.001922607,384.0019226074219,0.0,95.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/barn-owl_15.jpg,Birds,0,barn-owl,1.0,2.0,2,341.438659668,341.43865966796875,0.0,340.206054688,340.2060546875,0.0,6.5,6.5,1,340.212188721,340.2121887207031,0.0,1.0,1.0,0.0,'2',0.862107634544,0.8621076345443726,0.0,'nV_V',1.0,1.0,0.0,'1',0.0604039654136,0.060403965413570404,0.0,342.32131958,342.3213195800781,0.0,85.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bed_19.jpg,Furniture,0,bed,1.0,2.0,2,149.862197876,149.86219787597656,0.0,148.629623413,148.62962341308594,0.0,6.0,6.0,1,148.636581421,148.63658142089844,0.0,0.0,0.0,0.0,'1',0.701749205589,0.7017492055892944,0.0,'V_nV',1.0,1.0,0.0,'1',0.140524595976,0.14052459597587585,0.0,150.584518433,150.5845184326172,0.0,37.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bedside-table_9.jpg,Furniture,0,bedside-table,1.0,2.0,2,24.2992782593,24.299278259277344,0.0,23.0666885376,23.066688537597656,0.0,6.5,6.5,1,23.0721683502,23.072168350219727,0.0,1.0,1.0,0.0,'2',0.631613612175,0.6316136121749878,0.0,'V_nV',1.0,1.0,0.0,'1',0.0603495910764,0.060349591076374054,0.0,24.9514312744,24.951431274414062,0.0,5.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/boat_12.jpg,Vehicles,0,boat,1.0,2.0,2,217.23866272,217.23866271972656,0.0,215.986038208,215.9860382080078,0.0,6.0,6.0,3,215.990829468,215.99082946777344,0.0,1.0,1.0,0.0,'2',0.942113220692,0.9421132206916809,0.0,'V_nV',0.0,0.0,0.0,'2',0.41112652421,0.4111265242099762,0.0,218.201339722,218.2013397216797,0.0,54.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bookcase_17.jpg,Furniture,0,bookcase,1.0,1.0,1,269.933227539,269.9332275390625,0.0,268.670562744,268.6705627441406,0.0,7.5,7.5,4,268.675445557,268.6754455566406,0.0,1.0,1.0,0.0,'1',1.52355468273,1.5235546827316284,0.0,'nV_V',0.0,0.0,0.0,'2',0.0703743323684,0.07037433236837387,0.0,271.477325439,271.4773254394531,0.0,67.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/bus_26.jpg,Vehicles,0,bus,1.0,2.0,2,113.693580627,113.6935806274414,0.0,112.430938721,112.43093872070312,0.0,6.0,6.0,4,112.436843872,112.43684387207031,0.0,1.0,1.0,0.0,'2',1.51351463795,1.5135146379470825,0.0,'V_nV',0.0,0.0,0.0,'3',0.401092320681,0.4010923206806183,0.0,115.227638245,115.2276382446289,0.0,28.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/butterfly_4.jpg,Insects,0,butterfly,1.0,1.0,1,200.562408447,200.56240844726562,0.0,199.329833984,199.329833984375,0.0,6.5,6.5,1,199.334655762,199.33465576171875,0.0,1.0,1.0,0.0,'1',0.691730558872,0.6917305588722229,0.0,'V_nV',1.0,1.0,0.0,'1',0.170584052801,0.1705840528011322,0.0,201.274703979,201.2747039794922,0.0,50.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/car_5.jpg,Vehicles,0,car,1.0,1.0,1,126.491394043,126.49139404296875,0.0,125.25881958,125.25881958007812,0.0,6.0,6.0,1,125.264587402,125.26458740234375,0.0,1.0,1.0,0.0,'1',0.731831610203,0.7318316102027893,0.0,'nV_V',0.0,0.0,0.0,'2',0.0603656210005,0.060365621000528336,0.0,127.243789673,127.24378967285156,0.0,31.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/castle_21.jpg,Buildings,0,castle,1.0,1.0,1,43.4007873535,43.400787353515625,0.0,42.1682052612,42.16820526123047,0.0,6.0,6.0,1,42.1742401123,42.17424011230469,0.0,1.0,1.0,0.0,'1',0.701749145985,0.7017491459846497,0.0,'nV_V',0.0,0.0,0.0,'2',0.0703787505627,0.07037875056266785,0.0,44.1231117249,44.123111724853516,0.0,10.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cat_3.jpg,Animals,0,cat,1.0,2.0,2,181.992050171,181.99205017089844,0.0,180.71937561,180.71937561035156,0.0,6.5,6.5,5,180.725311279,180.72531127929688,0.0,0.0,0.0,0.0,'1',0.892171978951,0.8921719789505005,0.0,'nV_V',0.0,0.0,0.0,'2',0.0703910887241,0.07039108872413635,0.0,182.904769897,182.90476989746094,0.0,45.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/cathedral_20.jpg,Buildings,0,cathedral,1.0,1.0,1,35.8243217468,35.82432174682617,0.0,34.5817184448,34.58171844482422,0.0,6.0,6.0,2,34.586605072,34.586605072021484,0.0,1.0,1.0,0.0,'1',0.812011182308,0.812011182308197,0.0,'nV_V',0.0,0.0,0.0,'2',0.0603474974632,0.06034749746322632,0.0,36.6568908691,36.656890869140625,0.0,8.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/chair_5.jpg,Furniture,0,chair,1.0,2.0,2,247.524505615,247.52450561523438,0.0,246.271865845,246.27186584472656,0.0,6.0,6.0,3,246.27684021,246.27684020996094,0.0,1.0,1.0,0.0,'2',0.631619215012,0.6316192150115967,0.0,'V_nV',0.0,0.0,0.0,'3',0.0503418147564,0.05034181475639343,0.0,248.176696777,248.17669677734375,0.0,61.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cheetah_5.jpg,Animals,0,cheetah,1.0,2.0,2,189.628646851,189.62864685058594,0.0,188.396072388,188.3960723876953,0.0,6.0,6.0,1,188.401077271,188.4010772705078,0.0,1.0,1.0,0.0,'2',0.58149176836,0.5814917683601379,0.0,'nV_V',1.0,1.0,0.0,'1',0.0904203280807,0.09042032808065414,0.0,190.230697632,190.23069763183594,0.0,47.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/church_9.jpg,Buildings,0,church,1.0,1.0,1,251.20249939,251.20249938964844,0.0,249.959915161,249.9599151611328,0.0,6.0,6.0,1,249.964691162,249.96469116210938,0.0,1.0,1.0,0.0,'1',0.641618967056,0.6416189670562744,0.0,'nV_V',1.0,1.0,0.0,'1',0.170574784279,0.17057478427886963,0.0,251.864685059,251.86468505859375,0.0,62.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/coking-pot_5.jpg,Kitchen_Uten,0,coking-pot,1.0,2.0,2,227.009902954,227.00990295410156,0.0,225.767303467,225.76730346679688,0.0,8.0,8.0,1,225.772033691,225.77203369140625,0.0,1.0,1.0,0.0,'2',0.842055737972,0.8420557379722595,0.0,'V_nV',0.0,0.0,0.0,'3',0.120480835438,0.12048083543777466,0.0,227.872512817,227.8725128173828,0.0,56.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/couch_4.jpg,Furniture,0,couch,1.0,2.0,2,27.9872932434,27.987293243408203,0.0,26.7446842194,26.74468421936035,0.0,6.0,6.0,2,26.7496242523,26.749624252319336,0.0,1.0,1.0,0.0,'2',0.681705474854,0.6817054748535156,0.0,'V_nV',0.0,0.0,0.0,'3',0.0403060242534,0.04030602425336838,0.0,28.6895332336,28.689533233642578,0.0,6.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cow_4.jpg,Animals,0,cow,1.0,2.0,2,358.615997314,358.6159973144531,0.0,357.35333252,357.35333251953125,0.0,6.5,6.5,4,357.358032227,357.3580322265625,0.0,0.0,0.0,0.0,'1',0.591511070728,0.591511070728302,0.0,'nV_V',0.0,0.0,0.0,'3',0.100495442748,0.10049544274806976,0.0,359.228057861,359.2280578613281,0.0,89.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/crab_3.jpg,Marine_creatures,0,crab,1.0,1.0,1,230.958480835,230.95848083496094,0.0,229.725906372,229.7259063720703,0.0,6.0,6.0,1,229.731887817,229.7318878173828,0.0,0.0,0.0,0.0,'2',0.721633732319,0.7216337323188782,0.0,'V_nV',1.0,1.0,0.0,'1',0.130508601665,0.13050860166549683,0.0,231.700668335,231.70066833496094,0.0,57.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/cup_0.jpg,Kitchen_Uten,0,cup,1.0,1.0,1,258.879180908,258.8791809082031,0.0,257.596496582,257.59649658203125,0.0,6.5,6.5,6,257.60256958,257.6025695800781,0.0,1.0,1.0,0.0,'1',0.671680927277,0.6716809272766113,0.0,'nV_V',0.0,0.0,0.0,'3',0.0904162377119,0.09041623771190643,0.0,259.57144165,259.5714416503906,0.0,64.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/dolphin_5.jpg,Marine_creatures,0,dolphin,1.0,1.0,1,50.8770523071,50.877052307128906,0.0,49.6444587708,49.64445877075195,0.0,6.0,6.0,1,49.649307251,49.64930725097656,0.0,0.0,0.0,0.0,'2',0.681707680225,0.6817076802253723,0.0,'V_nV',1.0,1.0,0.0,'1',0.0503849759698,0.05038497596979141,0.0,51.5793113708,51.57931137084961,0.0,12.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/dragonfly_22.jpg,Insects,0,dragonfly,1.0,2.0,2,196.894439697,196.89443969726562,0.0,195.631790161,195.6317901611328,0.0,6.0,6.0,4,195.636734009,195.63673400878906,0.0,1.0,1.0,0.0,'2',0.591508328915,0.5915083289146423,0.0,'nV_V',0.0,0.0,0.0,'3',0.0904097482562,0.09040974825620651,0.0,197.506515503,197.5065155029297,0.0,49.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/drum_24.jpg,Musical_Inst,0,drum,1.0,2.0,2,130.269622803,130.26962280273438,0.0,129.037033081,129.0370330810547,0.0,6.0,6.0,1,129.041885376,129.04188537597656,0.0,0.0,0.0,0.0,'1',0.982362091541,0.9823620915412903,0.0,'V_nV',0.0,0.0,0.0,'2',0.0603471249342,0.06034712493419647,0.0,131.272537231,131.2725372314453,0.0,32.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/duck_4.jpg,Birds,0,duck,1.0,2.0,2,326.215576172,326.215576171875,0.0,324.972961426,324.97296142578125,0.0,7.5,7.5,2,324.977783203,324.977783203125,0.0,1.0,1.0,0.0,'2',0.570911169052,0.570911169052124,0.0,'nV_V',1.0,1.0,0.0,'1',0.0804249048233,0.08042490482330322,0.0,326.80758667,326.8075866699219,0.0,81.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/elephant_5.jpg,Animals,0,elephant,1.0,1.0,1,54.6251907349,54.62519073486328,0.0,53.3625411987,53.36254119873047,0.0,6.5,6.5,4,53.3674201965,53.3674201965332,0.0,1.0,1.0,0.0,'1',0.872120916843,0.8721209168434143,0.0,'V_nV',0.0,0.0,0.0,'3',0.0503824055195,0.050382405519485474,0.0,55.5178527832,55.517852783203125,0.0,13.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/factory_14.jpg,Buildings,0,factory,1.0,2.0,2,97.3781204224,97.37812042236328,0.0,96.1455535889,96.14555358886719,0.0,6.5,6.5,1,96.1512374878,96.15123748779297,0.0,1.0,1.0,0.0,'2',1.67386424541,1.6738642454147339,0.0,'V_nV',0.0,0.0,0.0,'3',0.0102706309408,0.010270630940794945,0.0,99.0726089478,99.0726089477539,0.0,24.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/filling-cabinet_25.jpg,Furniture,0,filling-cabinet,1.0,2.0,2,81.874420166,81.87442016601562,0.0,80.6418380737,80.64183807373047,0.0,6.5,6.5,1,80.6474075317,80.64740753173828,0.0,1.0,1.0,0.0,'2',0.801983594894,0.8019835948944092,0.0,'V_nV',0.0,0.0,0.0,'2',0.150637820363,0.15063782036304474,0.0,82.6969451904,82.69694519042969,0.0,20.0
