category,probe_path,subcategory,fixation_duration,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter2_mean,jitter2_raw,probeFrames_raw,probe_onset_mean,probe_onset_raw,probe_onset_std,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/Chest-of-drawers_17.jpg,Furniture,0,Chest-of-drawers,1.0,2.0,2,251.815811157,251.81581115722656,0.0,250.462982178,250.46298217773438,0.0,6.5,6.5,12,250.480926514,250.48092651367188,0.0,1.0,1.0,0.0,'2',3.16711878777,3.167118787765503,0.0,'V_nV',0.0,0.0,0.0,'2',0.852102279663,0.8521022796630859,0.0,255.00352478,255.00352478027344,0.0,47.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/armadillo_17.jpg,Animals,0,armadillo,1.0,1.0,1,404.909179688,404.9091796875,0.0,403.586425781,403.58642578125,0.0,6.0,6.0,7,403.611755371,403.61175537109375,0.0,1.0,1.0,0.0,'1',0.751859426498,0.7518594264984131,0.0,'V_nV',1.0,1.0,0.0,'1',0.641616940498,0.641616940498352,0.0,405.681640625,405.681640625,0.0,75.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/armchair_14.jpg,Furniture,0,armchair,1.0,1.0,1,284.667358398,284.6673583984375,0.0,283.294464111,283.2944641113281,0.0,6.5,6.5,14,283.309783936,283.3097839355469,0.0,0.0,0.0,0.0,'2',2.98672676086,2.986726760864258,0.0,'nV_V',1.0,1.0,0.0,'1',2.054697752,2.0546977519989014,0.0,287.6746521,287.6746520996094,0.0,52.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/axe_25.jpg,Tools,0,axe,1.0,1.0,1,367.016693115,367.0166931152344,0.0,365.693939209,365.6939392089844,0.0,6.0,6.0,9,365.715789795,365.7157897949219,0.0,1.0,1.0,0.0,'1',0.832038164139,0.832038164138794,0.0,'nV_V',0.0,0.0,0.0,'3',0.862093925476,0.8620939254760742,0.0,367.869262695,367.8692626953125,0.0,67.0
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/barn-owl_7.jpg,Birds,0,barn-owl,1.0,1.0,1,469.429718018,469.4297180175781,0.0,468.05682373,468.05682373046875,0.0,6.5,6.5,14,468.070953369,468.0709533691406,0.0,1.0,1.0,0.0,'1',0.932265400887,0.9322654008865356,0.0,'V_nV',1.0,1.0,0.0,'1',0.731838166714,0.7318381667137146,0.0,470.382507324,470.38250732421875,0.0,88.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bed_2.jpg,Furniture,0,bed,1.0,2.0,2,137.536972046,137.53697204589844,0.0,136.174087524,136.17408752441406,0.0,7.0,7.0,13,136.192474365,136.19247436523438,0.0,1.0,1.0,0.0,'2',0.571465849876,0.5714658498764038,0.0,'V_nV',1.0,1.0,0.0,'1',0.451194852591,0.4511948525905609,0.0,138.129013062,138.12901306152344,0.0,24.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bedside-table_0.jpg,Furniture,0,bedside-table,1.0,2.0,2,242.916442871,242.91644287109375,0.0,241.593643188,241.59364318847656,0.0,6.0,6.0,9,241.613220215,241.61322021484375,0.0,1.0,1.0,0.0,'2',0.671688616276,0.6716886162757874,0.0,'V_nV',1.0,1.0,0.0,'1',0.892206013203,0.8922060132026672,0.0,243.608688354,243.6086883544922,0.0,45.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/boat_20.jpg,Vehicles,0,boat,1.0,1.0,1,178.586349487,178.5863494873047,0.0,177.203430176,177.20343017578125,0.0,7.5,7.5,14,177.233276367,177.2332763671875,0.0,1.0,1.0,0.0,'1',1.77408576012,1.7740857601165771,0.0,'nV_V',0.0,0.0,0.0,'2',0.541414916515,0.5414149165153503,0.0,180.380996704,180.38099670410156,0.0,32.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bookcase_26.jpg,Furniture,0,bookcase,1.0,2.0,2,219.735946655,219.73594665527344,0.0,218.463272095,218.46327209472656,0.0,6.0,6.0,4,218.486846924,218.48684692382812,0.0,1.0,1.0,0.0,'2',1.24295163155,1.2429516315460205,0.0,'V_nV',1.0,1.0,0.0,'1',0.501331448555,0.5013314485549927,0.0,220.999481201,220.99948120117188,0.0,40.0
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/bus_14.jpg,Vehicles,0,bus,1.0,2.0,2,443.443115234,443.443115234375,0.0,442.050170898,442.0501708984375,0.0,7.5,7.5,15,442.074035645,442.07403564453125,0.0,1.0,1.0,0.0,'2',1.05254364014,1.0525436401367188,0.0,'V_nV',0.0,0.0,0.0,'3',0.35100492835,0.3510049283504486,0.0,444.516235352,444.5162353515625,0.0,83.0
