fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-fusiform,0.6839539007092198,0.3050998082703451,0.6451612903225806,0.6427096067632287,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,32,30,17,16
2,01,lh-fusiform,0.7367021276595745,0.4525709219858156,0.723404255319149,0.6176072114742315,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,35,34,13,13
3,01,lh-fusiform,0.7344858156028369,0.3262411347517731,0.6595744680851063,0.6038457885805625,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,32,31,16,16
4,01,lh-fusiform,0.7610815602836879,0.389357022763609,0.6881720430107526,0.5886811609680478,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,34,32,15,14
5,01,lh-fusiform,0.7615248226950355,0.2845086080608929,0.6222222222222222,0.5800899190851407,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,33,28,19,15
6,01,lh-fusiform,0.7176418439716312,0.3262411347517731,0.6595744680851063,0.6138748683699731,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,32,31,16,16
7,01,lh-fusiform,0.6515957446808511,0.24202127659574468,0.6170212765957447,0.6819955443080378,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,18,18
8,01,lh-fusiform,0.7473404255319148,0.431485630010241,0.7096774193548387,0.6023135963626046,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,35,33,14,13
9,01,lh-fusiform,0.6959219858156028,0.26297120102371313,0.6236559139784946,0.623182097560238,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
10,01,lh-fusiform,0.7189716312056738,0.2208425937770812,0.6021505376344086,0.6170687253219055,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
11,01,lh-fusiform,0.7987588652482269,0.4525709219858156,0.723404255319149,0.5895654818155636,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,35,34,13,13
12,01,lh-fusiform,0.7371453900709221,0.3683510638297872,0.6808510638297872,0.6069714852928934,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,33,32,15,15
13,01,lh-fusiform,0.7273936170212766,0.3050998082703451,0.6451612903225806,0.6226559206070992,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,32,30,17,16
14,01,lh-fusiform,0.7451241134751773,0.431485630010241,0.7096774193548387,0.6082890631414603,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,35,33,14,13
15,01,lh-fusiform,0.7947695035460993,0.536790780141844,0.7659574468085105,0.57774846299029,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,37,36,11,11
16,01,lh-fusiform,0.7163120567375886,0.2841312056737589,0.6382978723404256,0.6099492107978532,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,31,30,17,17
17,01,lh-fusiform,0.7216312056737589,0.3262319802909258,0.6521739130434782,0.6151473415187775,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,33,30,17,15
18,01,lh-fusiform,0.7424645390070922,0.389357022763609,0.6881720430107526,0.6083610837906491,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,34,32,15,14
19,01,lh-fusiform,0.711436170212766,0.2841312056737589,0.6382978723404256,0.6068590844711498,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,31,30,17,17
20,01,lh-fusiform,0.7548758865248227,0.3683510638297872,0.6808510638297872,0.5978996492277417,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,33,32,15,15
21,01,lh-fusiform,0.7912234042553191,0.4527300950976113,0.7173913043478262,0.5778855004937479,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,36,33,14,12
22,01,lh-fusiform,0.6985815602836879,0.2841312056737589,0.6382978723404256,0.6392303053031894,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,31,30,17,17
23,01,lh-fusiform,0.7451241134751774,0.4104609929078014,0.7021276595744681,0.6054317660517519,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,34,33,14,14
24,01,lh-fusiform,0.7429078014184397,0.2841312056737589,0.6382978723404256,0.6004240134655177,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,31,30,17,17
25,01,lh-fusiform,0.7282801418439716,0.3262319802909258,0.6521739130434782,0.6029146051621084,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,33,30,17,15
26,01,lh-fusiform,0.7451241134751773,0.36839801855982096,0.6739130434782609,0.5911018693081606,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,34,31,16,14
27,01,lh-fusiform,0.7779255319148938,0.36839801855982096,0.6739130434782609,0.5685338139950269,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,34,31,16,14
28,01,lh-fusiform,0.8293439716312057,0.4946808510638298,0.7446808510638298,0.5548884264040322,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,36,35,12,12
29,01,lh-fusiform,0.7238475177304965,0.3472284155169771,0.6666666666666667,0.6164244240729293,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,33,31,16,15
30,01,lh-fusiform,0.761081560283688,0.4525709219858156,0.723404255319149,0.589466828327911,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,35,34,13,13
31,01,lh-fusiform,0.7575354609929078,0.4104609929078014,0.7021276595744681,0.5991827020154005,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,34,33,14,14
32,01,lh-fusiform,0.6427304964539007,0.11569148936170212,0.5531914893617021,0.6785029930416463,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,21,21
33,01,lh-fusiform,0.7504432624113475,0.4104609929078014,0.7021276595744681,0.604283024953398,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,34,33,14,14
34,01,lh-fusiform,0.7185283687943262,0.389357022763609,0.6881720430107526,0.6380862543879374,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,34,32,15,14
35,01,lh-fusiform,0.6870567375886525,0.24202127659574468,0.6170212765957447,0.6466853625512465,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,18,18
36,01,lh-fusiform,0.7743794326241135,0.431485630010241,0.7096774193548387,0.5803213730348056,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,35,33,14,13
37,01,lh-fusiform,0.7101063829787234,0.26297120102371313,0.6236559139784946,0.617617552863021,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
38,01,lh-fusiform,0.7473404255319149,0.389357022763609,0.6881720430107526,0.6093858742212284,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,34,32,15,14
39,01,lh-fusiform,0.7805851063829787,0.431485630010241,0.7096774193548387,0.5898433971872037,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,35,33,14,13
40,01,lh-fusiform,0.7322695035460993,0.2208425937770812,0.6021505376344086,0.6031946101499909,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
41,01,lh-fusiform,0.7903368794326241,0.41140211869838034,0.6888888888888888,0.578568815129921,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,36,31,16,12
42,01,lh-fusiform,0.8200354609929078,0.5157428445035049,0.7526881720430109,0.5612916115472987,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,37,35,12,11
43,01,lh-fusiform,0.7974290780141845,0.431485630010241,0.7096774193548387,0.5652004096101599,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,35,33,14,13
