fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.542490118577075,0.022727272727272728,0.5111111111111111,0.6923980552639559,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
2,01,lh-pericalcarine,0.5163043478260869,0.022727272727272728,0.5111111111111111,0.6976026614214259,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
3,01,lh-pericalcarine,0.48270750988142297,0.11166007905138339,0.5555555555555556,0.6968490816941312,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
4,01,lh-pericalcarine,0.450592885375494,-0.06534666277174166,0.4545454545454545,0.6950392121427318,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,20,26,22
5,01,lh-pericalcarine,0.4757905138339921,-0.021739130434782608,0.4888888888888889,0.6961825322630051,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
6,01,lh-pericalcarine,0.48221343873517786,-0.08800991295665804,0.449438202247191,0.6963550887676307,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
7,01,lh-pericalcarine,0.650197628458498,0.2222771122371935,0.6153846153846154,0.6885543875218142,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
8,01,lh-pericalcarine,0.3670948616600791,-0.1551383399209486,0.4222222222222222,0.7176491529992434,PCA + Linear-SVM,conscious,conscious,False,Image,False,19,19,27,25
9,01,lh-pericalcarine,0.5830039525691699,0.08891084489487741,0.5494505494505495,0.688542345506135,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
10,01,lh-pericalcarine,0.6057312252964426,0.20059288537549408,0.6,0.6877481699510384,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
11,01,lh-pericalcarine,0.47826086956521735,-0.06534666277174166,0.4545454545454545,0.7002309156856852,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,20,26,22
12,01,lh-pericalcarine,0.4046442687747036,-0.19960474308300397,0.4,0.7009844223681806,PCA + Linear-SVM,conscious,conscious,False,Image,False,18,18,28,26
13,01,lh-pericalcarine,0.5074110671936759,0.04548826961804798,0.5168539325842696,0.6933719033343493,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,23,23,20
14,01,lh-pericalcarine,0.5884387351778656,0.06719367588932806,0.5333333333333332,0.6897928351146931,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
15,01,lh-pericalcarine,0.39377470355731226,-0.22117683355312884,0.36781609195402304,0.6989680303900369,PCA + Linear-SVM,conscious,conscious,False,Image,False,19,16,30,25
16,01,lh-pericalcarine,0.5454545454545454,0.11166007905138339,0.5555555555555556,0.6923263544980889,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
17,01,lh-pericalcarine,0.5108695652173914,-0.021739130434782608,0.4888888888888889,0.6962095872731606,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
18,01,lh-pericalcarine,0.4649209486166008,-0.06620553359683795,0.4666666666666666,0.7033212652397546,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
19,01,lh-pericalcarine,0.5790513833992095,0.2222771122371935,0.6153846153846154,0.6908951891293715,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
20,01,lh-pericalcarine,0.48913043478260876,-0.06620553359683795,0.4666666666666666,0.6934448014211564,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
21,01,lh-pericalcarine,0.408596837944664,-0.13250930714822673,0.4269662921348315,0.7100957659087398,PCA + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
22,01,lh-pericalcarine,0.4881422924901186,-0.06620553359683795,0.4666666666666666,0.6981584897758437,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
23,01,lh-pericalcarine,0.4565217391304348,-0.06620553359683795,0.4666666666666666,0.6953969757493289,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
