fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-rostralmiddlefrontal,0.5558300395256917,0.11166007905138339,0.5555555555555556,0.690730760779046,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
2,01,lh-rostralmiddlefrontal,0.5237154150197629,0.11166007905138339,0.5555555555555556,0.6921636463433654,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
3,01,lh-rostralmiddlefrontal,0.550889328063241,0.0,0.5054945054945055,0.6899877989668272,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
4,01,lh-rostralmiddlefrontal,0.41501976284584985,-0.11067193675889328,0.4444444444444445,0.6997315658415341,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
5,01,lh-rostralmiddlefrontal,0.491106719367589,-0.02079211997282689,0.47727272727272724,0.6972853585670253,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,21,25,21
6,01,lh-rostralmiddlefrontal,0.424901185770751,-0.13250930714822673,0.4269662921348315,0.700254454026113,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
7,01,lh-rostralmiddlefrontal,0.5227272727272727,0.08891084489487741,0.5494505494505495,0.6918357949545758,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
8,01,lh-rostralmiddlefrontal,0.4876482213438735,-0.08891084489487741,0.46153846153846156,0.6979553948116448,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,24
9,01,lh-rostralmiddlefrontal,0.43725296442687744,-0.06620553359683795,0.4666666666666666,0.6955482081569507,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
10,01,lh-rostralmiddlefrontal,0.4377470355731225,0.022727272727272728,0.5111111111111111,0.6955076479342013,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
11,01,lh-rostralmiddlefrontal,0.6393280632411067,0.178986452192754,0.5842696629213482,0.6900239933930767,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,27,26,20,17
12,01,lh-rostralmiddlefrontal,0.4782608695652174,0.0,0.5054945054945055,0.6953748951173787,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
13,01,lh-rostralmiddlefrontal,0.47875494071146246,-0.06620553359683795,0.4666666666666666,0.6931559642990611,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
14,01,lh-rostralmiddlefrontal,0.47134387351778656,-0.06620553359683795,0.4666666666666666,0.6942955998186997,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
15,01,lh-rostralmiddlefrontal,0.4026679841897233,-0.1551383399209486,0.4222222222222222,0.7239097939294705,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,19,19,27,25
16,01,lh-rostralmiddlefrontal,0.483695652173913,-0.04264844772549121,0.45977011494252873,0.6989212473294448,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,20,26,21
17,01,lh-rostralmiddlefrontal,0.46837944664031617,-0.04351051876508937,0.47191011235955055,0.7040933565425066,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
18,01,lh-rostralmiddlefrontal,0.4397233201581028,0.0009888754264793039,0.49438202247191015,0.7183077122365675,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,22,24,21
19,01,lh-rostralmiddlefrontal,0.5790513833992095,0.08998766380961665,0.5393258426966292,0.6880589458716067,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,24,22,19
20,01,lh-rostralmiddlefrontal,0.5306324110671936,0.022727272727272728,0.5111111111111111,0.6908292945681164,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
21,01,lh-rostralmiddlefrontal,0.4570158102766798,-0.11067193675889328,0.4444444444444445,0.6963936160824455,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
22,01,lh-rostralmiddlefrontal,0.38735177865612647,-0.19960474308300397,0.4,0.697278911679263,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,18,18,28,26
23,01,lh-rostralmiddlefrontal,0.5133399209486166,0.0009888754264793039,0.49438202247191015,0.6924588420439597,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,22,24,21
24,01,lh-rostralmiddlefrontal,0.33250988142292487,-0.2885375494071146,0.3555555555555555,0.698580779668288,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,16,16,30,28
25,01,lh-rostralmiddlefrontal,0.5494071146245059,0.022727272727272728,0.5111111111111111,0.6922416951077709,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
26,01,lh-rostralmiddlefrontal,0.450592885375494,-0.06534666277174166,0.4545454545454545,0.6945864551952312,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,20,26,22
27,01,lh-rostralmiddlefrontal,0.4150197628458498,-0.06620553359683795,0.4666666666666666,0.703115910916832,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
28,01,lh-rostralmiddlefrontal,0.5607707509881423,0.08891084489487741,0.5494505494505495,0.6911533612235096,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
29,01,lh-rostralmiddlefrontal,0.5489130434782609,0.1333662673423161,0.5714285714285713,0.6915674498723476,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
30,01,lh-rostralmiddlefrontal,0.508399209486166,0.04548826961804798,0.5168539325842696,0.7031374877588662,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,23,23,20
31,01,lh-rostralmiddlefrontal,0.4698616600790514,-0.04351051876508937,0.47191011235955055,0.7030216642159819,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
32,01,lh-rostralmiddlefrontal,0.5899209486166008,0.20059288537549408,0.6,0.6904059974629684,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
33,01,lh-rostralmiddlefrontal,0.4308300395256917,-0.08891084489487741,0.46153846153846156,0.7114921703633809,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,24
34,01,lh-rostralmiddlefrontal,0.48221343873517786,0.021739130434782608,0.5217391304347826,0.7004513206540338,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,24,22,22
35,01,lh-rostralmiddlefrontal,0.5662055335968379,0.022727272727272728,0.5111111111111111,0.6921731832307935,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
36,01,lh-rostralmiddlefrontal,0.35770750988142297,-0.1333662673423161,0.4395604395604396,0.7009705900638589,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,19,20,26,25
37,01,lh-rostralmiddlefrontal,0.49110671936758893,-0.044455422447438706,0.4835164835164835,0.7037197419871517,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,22,24,23
38,01,lh-rostralmiddlefrontal,0.48814229249011865,-0.06620553359683795,0.4666666666666666,0.6928874668377203,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
39,01,lh-rostralmiddlefrontal,0.5825098814229249,0.06831696562500264,0.5227272727272727,0.6874794965945719,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,23,23,19
40,01,lh-rostralmiddlefrontal,0.5009881422924901,0.08891084489487741,0.5494505494505495,0.6982999155490396,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
41,01,lh-rostralmiddlefrontal,0.4239130434782609,-0.11067193675889328,0.4444444444444445,0.69754367019201,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
42,01,lh-rostralmiddlefrontal,0.4594861660079051,-0.17782168978975482,0.4175824175824176,0.6978970456144552,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,18,19,27,26
43,01,lh-rostralmiddlefrontal,0.4827075098814229,-0.08891084489487741,0.46153846153846156,0.6948228275673849,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,24
44,01,lh-rostralmiddlefrontal,0.5454545454545454,0.11166007905138339,0.5555555555555556,0.6901630309988486,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
45,01,lh-rostralmiddlefrontal,0.5019762845849802,0.021739130434782608,0.5217391304347826,0.6984486926538491,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,24,22,22
46,01,lh-rostralmiddlefrontal,0.4886363636363637,-0.06620553359683795,0.4666666666666666,0.6937807889000158,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
47,01,lh-rostralmiddlefrontal,0.4105731225296443,-0.22150809553136405,0.38202247191011235,0.7075031935340235,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,18,17,29,26
48,01,lh-rostralmiddlefrontal,0.41650197628458496,-0.20059288537549408,0.41304347826086957,0.7079622047283584,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,17,19,27,27
49,01,lh-rostralmiddlefrontal,0.4071146245059289,-0.11067193675889328,0.4444444444444445,0.7218875964472343,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
50,01,lh-rostralmiddlefrontal,0.4253952569169961,-0.1551383399209486,0.4222222222222222,0.7001878922936478,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,19,19,27,25
51,01,lh-rostralmiddlefrontal,0.4723320158102767,-0.021739130434782608,0.4888888888888889,0.6964368300660136,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
52,01,lh-rostralmiddlefrontal,0.49357707509881427,0.0009888754264793039,0.49438202247191015,0.6928502054590681,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,22,24,21
53,01,lh-rostralmiddlefrontal,0.5469367588932806,0.08891084489487741,0.5494505494505495,0.688713586473704,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
54,01,lh-rostralmiddlefrontal,0.4318181818181818,-0.11067193675889328,0.4444444444444445,0.7184803678687394,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
55,01,lh-rostralmiddlefrontal,0.5321146245059288,0.1333662673423161,0.5714285714285713,0.6933996606177385,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
56,01,lh-rostralmiddlefrontal,0.4767786561264822,0.0,0.5054945054945055,0.6939638017800509,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
57,01,lh-rostralmiddlefrontal,0.4530632411067194,0.022727272727272728,0.5111111111111111,0.6964165375918778,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
58,01,lh-rostralmiddlefrontal,0.4471343873517787,-0.021739130434782608,0.4888888888888889,0.6958150740797865,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
59,01,lh-rostralmiddlefrontal,0.49160079051383404,0.08891084489487741,0.5494505494505495,0.7098429046910768,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
60,01,lh-rostralmiddlefrontal,0.5400197628458498,0.11166007905138339,0.5555555555555556,0.6918153762325262,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
61,01,lh-rostralmiddlefrontal,0.5686758893280632,0.13448705800118532,0.5617977528089888,0.6879612158665461,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,25,21,18
62,01,lh-rostralmiddlefrontal,0.5439723320158103,0.06719367588932806,0.5333333333333332,0.6925370422827969,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
63,01,lh-rostralmiddlefrontal,0.5138339920948617,0.044455422447438706,0.5274725274725275,0.6916038077226492,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
64,01,lh-rostralmiddlefrontal,0.4174901185770752,-0.08891084489487741,0.46153846153846156,0.7137192770516222,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,24
65,01,lh-rostralmiddlefrontal,0.4575098814229249,-0.11067193675889328,0.4444444444444445,0.7054966553897751,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
66,01,lh-rostralmiddlefrontal,0.5390316205533596,0.022727272727272728,0.5111111111111111,0.6913428080445096,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
67,01,lh-rostralmiddlefrontal,0.48369565217391297,0.0009888754264793039,0.49438202247191015,0.6944774113557014,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,22,24,21
68,01,lh-rostralmiddlefrontal,0.516304347826087,-0.044455422447438706,0.4835164835164835,0.6919265839942543,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,22,24,23
69,01,lh-rostralmiddlefrontal,0.341403162055336,-0.2440711462450593,0.37777777777777777,0.7027892214323259,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,17,17,29,27
70,01,lh-rostralmiddlefrontal,0.5138339920948617,0.022727272727272728,0.5111111111111111,0.7007237100627901,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
71,01,lh-rostralmiddlefrontal,0.5523715415019763,0.11166007905138339,0.5555555555555556,0.6899462348348473,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
72,01,lh-rostralmiddlefrontal,0.5464426877470356,0.08891084489487741,0.5494505494505495,0.6917590677257994,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
73,01,lh-rostralmiddlefrontal,0.5306324110671937,-0.08800991295665804,0.449438202247191,0.691808050839968,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
74,01,lh-rostralmiddlefrontal,0.4392292490118578,-0.2440711462450593,0.37777777777777777,0.69408872970957,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,17,17,29,27
75,01,lh-rostralmiddlefrontal,0.43379446640316205,-0.08800991295665804,0.449438202247191,0.6991712975279751,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
76,01,lh-rostralmiddlefrontal,0.4886363636363636,0.0,0.5054945054945055,0.7012122066914769,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
77,01,lh-rostralmiddlefrontal,0.5217391304347826,0.1333662673423161,0.5714285714285713,0.6930385281957385,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
78,01,lh-rostralmiddlefrontal,0.5345849802371542,-0.021739130434782608,0.4888888888888889,0.6907253009913101,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
79,01,lh-rostralmiddlefrontal,0.5345849802371541,0.0,0.5054945054945055,0.6913063993231954,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
80,01,lh-rostralmiddlefrontal,0.44367588932806323,-0.26600748972293276,0.35955056179775285,0.6985893590139622,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,17,16,30,27
81,01,lh-rostralmiddlefrontal,0.48616600790513836,0.08998766380961665,0.5393258426966292,0.6931298368843871,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,24,22,19
82,01,lh-rostralmiddlefrontal,0.4100790513833992,-0.13250930714822673,0.4269662921348315,0.7037068585690792,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
83,01,lh-rostralmiddlefrontal,0.5904150197628458,0.22150809553136405,0.6236559139784946,0.690929099565992,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,29,17,18
84,01,lh-rostralmiddlefrontal,0.5113636363636364,-0.06620553359683795,0.4666666666666666,0.6916818972621152,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
85,01,lh-rostralmiddlefrontal,0.5350790513833991,0.04548826961804798,0.5168539325842696,0.6925954188155082,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,23,23,20
86,01,lh-rostralmiddlefrontal,0.5484189723320158,0.022727272727272728,0.5111111111111111,0.6898960077280425,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
87,01,lh-rostralmiddlefrontal,0.5133399209486166,0.0,0.5054945054945055,0.6940788457084635,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
88,01,lh-rostralmiddlefrontal,0.5311264822134387,-0.021739130434782608,0.4888888888888889,0.6892399051787903,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
89,01,lh-rostralmiddlefrontal,0.5044466403162056,-0.04351051876508937,0.47191011235955055,0.6946307948481394,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
90,01,lh-rostralmiddlefrontal,0.5098814229249012,-0.06620553359683795,0.4666666666666666,0.7139205066305517,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
91,01,lh-rostralmiddlefrontal,0.4678853754940711,-0.021739130434782608,0.4888888888888889,0.6955828009505477,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
92,01,lh-rostralmiddlefrontal,0.45553359683794464,-0.08800991295665804,0.449438202247191,0.6969254130055628,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
93,01,lh-rostralmiddlefrontal,0.5286561264822134,0.04548826961804798,0.5168539325842696,0.6932889482503402,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,23,23,20
94,01,lh-rostralmiddlefrontal,0.46492094861660077,0.0,0.5054945054945055,0.7012671130114712,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
95,01,lh-rostralmiddlefrontal,0.5108695652173914,0.06719367588932806,0.5333333333333332,0.6972811373629083,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
96,01,lh-rostralmiddlefrontal,0.44565217391304346,-0.08891084489487741,0.46153846153846156,0.7031627803375388,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,24
97,01,lh-rostralmiddlefrontal,0.5721343873517786,0.06534666277174166,0.5531914893617021,0.6910693633021868,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,26,20,22
98,01,lh-rostralmiddlefrontal,0.47035573122529645,-0.04351051876508937,0.47191011235955055,0.6987106643189192,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
99,01,lh-rostralmiddlefrontal,0.43824110671936756,-0.13250930714822673,0.4269662921348315,0.7133952815908476,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
100,01,lh-rostralmiddlefrontal,0.48616600790513836,-0.11067193675889328,0.4444444444444445,0.6935269368407673,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
