fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-rostralmiddlefrontal,0.4375,-0.3273268353539886,0.0,0.634271370869391,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,0,2,3
2,01,lh-rostralmiddlefrontal,0.59375,0.25,0.625,0.6934129994766162,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,3,3
3,01,lh-rostralmiddlefrontal,0.5769230769230769,0.1589409883014377,0.608695652173913,0.7250186276753992,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,7,6,3
4,01,lh-rostralmiddlefrontal,0.41666666666666663,0.07042952122737638,0.5,0.7129354720905632,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,5,3
5,01,lh-rostralmiddlefrontal,0.6875,0.10206207261596577,0.3333333333333333,0.6280279700636429,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,1,3
6,01,lh-rostralmiddlefrontal,0.6250000000000001,0.21957751641341997,0.5454545454545454,0.6716912785388035,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,2,3
7,01,lh-rostralmiddlefrontal,0.6875,0.3779644730092272,0.6666666666666666,0.6947287122127167,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,5,3,2
8,01,lh-rostralmiddlefrontal,0.55,0.025,0.4000000000000001,0.6705379798099996,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
9,01,lh-rostralmiddlefrontal,0.734375,0.5,0.75,0.690779555509162,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,6,2,2
10,01,lh-rostralmiddlefrontal,0.5416666666666666,0.18055555555555555,0.5882352941176471,0.7060165206397189,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,4,3
11,01,lh-rostralmiddlefrontal,0.39285714285714285,-0.07142857142857142,0.42857142857142855,0.6954629424983965,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
12,01,lh-rostralmiddlefrontal,0.3125,-0.28867513459481287,0.30769230769230765,0.695246257747564,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,5
13,01,lh-rostralmiddlefrontal,0.5340909090909091,0.1685499656158105,0.6,0.7223770344186434,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,5,3
14,01,lh-rostralmiddlefrontal,0.5750000000000001,0.15811388300841897,0.4444444444444445,0.6692463695213895,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,3,2
15,01,lh-rostralmiddlefrontal,0.5972222222222222,0.07042952122737638,0.5,0.7047592072444533,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,5,3
16,01,lh-rostralmiddlefrontal,0.3958333333333333,-0.16666666666666666,0.3333333333333333,0.687104496740316,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,4,4
17,01,lh-rostralmiddlefrontal,0.625,0.125,0.5,0.6795749517578634,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,3,3
18,01,lh-rostralmiddlefrontal,0.4083333333333333,0.02439750182371333,0.5,0.7486014049100033,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,9,3
19,01,lh-rostralmiddlefrontal,0.42500000000000004,-0.1,0.4444444444444445,0.7166704508134807,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,6,4
20,01,lh-rostralmiddlefrontal,0.25,-0.3535533905932738,0.2,0.6726760156194637,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,5
21,01,lh-rostralmiddlefrontal,0.375,-0.18446619684315546,0.22222222222222224,0.6784893096686079,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,4,3
22,01,lh-rostralmiddlefrontal,0.5416666666666666,0.125,0.5,0.6839770234598002,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,3,3
23,01,lh-rostralmiddlefrontal,0.421875,-0.1259881576697424,0.39999999999999997,0.7064367669644844,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
24,01,lh-rostralmiddlefrontal,0.475,0.08807048459279793,0.56,0.7449381048037038,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,7,8,3
25,01,lh-rostralmiddlefrontal,0.3125,-0.4583333333333333,0.16666666666666666,0.6943880264994705,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,5,5
26,01,lh-rostralmiddlefrontal,0.5874999999999999,0.22360679774997896,0.631578947368421,0.7104512612416423,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,4,3
27,01,lh-rostralmiddlefrontal,0.421875,-0.1259881576697424,0.39999999999999997,0.7044318564988952,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
28,01,lh-rostralmiddlefrontal,0.625,0.125,0.5,0.6799917606467696,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,3,3
29,01,lh-rostralmiddlefrontal,0.5,-0.25,0.0,0.6326024391871442,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,0,2,2
30,01,lh-rostralmiddlefrontal,0.578125,0.1259881576697424,0.5333333333333333,0.6976749825911731,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,4,3
31,01,lh-rostralmiddlefrontal,0.675,0.35,0.6,0.6668551927876495,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,2,2
32,01,lh-rostralmiddlefrontal,0.6363636363636364,0.1685499656158105,0.6,0.7129980523146985,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,5,3
33,01,lh-rostralmiddlefrontal,0.421875,-0.1259881576697424,0.39999999999999997,0.7030128935834123,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
34,01,lh-rostralmiddlefrontal,0.47500000000000003,-0.09759000729485333,0.3636363636363636,0.6760188656931607,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,4
35,01,lh-rostralmiddlefrontal,0.39999999999999997,-0.09759000729485333,0.3636363636363636,0.6763368427649878,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,4
36,01,lh-rostralmiddlefrontal,0.6375000000000001,0.2548235957188128,0.588235294117647,0.7062432561809833,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,5,5,2
37,01,lh-rostralmiddlefrontal,0.5833333333333334,0.25819888974716115,0.5454545454545454,0.6836258559563672,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,3,2
38,01,lh-rostralmiddlefrontal,0.46875,0.0,0.42857142857142855,0.7007694742267863,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,5,3
39,01,lh-rostralmiddlefrontal,0.625,0.25,0.5,0.659127303630338,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,2,2
40,01,lh-rostralmiddlefrontal,0.5,0.07042952122737638,0.5,0.7071231814202882,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,5,3
41,01,lh-rostralmiddlefrontal,0.609375,0.2581988897471611,0.5714285714285715,0.6972211202845573,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,4,4,2
42,01,lh-rostralmiddlefrontal,0.46875,-0.23904572186687872,0.22222222222222224,0.6616076571778876,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,3,4
43,01,lh-rostralmiddlefrontal,0.8,0.5006939628599933,0.6666666666666665,0.6677499229034095,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,7,3,2,1
44,01,lh-rostralmiddlefrontal,0.5178571428571428,0.18898223650461363,0.5,0.695152126324311,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,4,2
45,01,lh-rostralmiddlefrontal,0.7142857142857143,0.472455591261534,0.6666666666666666,0.6808747971886456,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,7,4,3,1
