fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-superiorfrontal,0.5142857142857142,-0.02857142857142857,0.4000000000000001,0.6898128609672991,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
2,01,lh-superiorfrontal,0.42857142857142855,-0.23809523809523808,0.3333333333333333,0.6945084830350426,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,4
3,01,lh-superiorfrontal,0.21428571428571427,-0.5714285714285714,0.0,0.7191948008784012,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,4,4
4,01,lh-superiorfrontal,0.4285714285714286,-0.2857142857142857,0.0,0.7008714622804277,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,2,2
5,01,lh-superiorfrontal,0.5306122448979592,0.14285714285714285,0.5714285714285714,0.6930118830291324,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,3,3
6,01,lh-superiorfrontal,0.4285714285714286,-0.3563483225498992,0.2222222222222222,0.6889389493898187,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,5
7,01,lh-superiorfrontal,0.4285714285714286,-0.02857142857142857,0.4000000000000001,0.7022688137811094,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
8,01,lh-superiorfrontal,0.4761904761904762,-0.0890870806374748,0.28571428571428575,0.6948000759095592,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
9,01,lh-superiorfrontal,0.3333333333333333,-0.2182178902359924,0.25,0.7090727666282561,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,4
10,01,lh-superiorfrontal,0.5142857142857143,-0.02857142857142857,0.4000000000000001,0.6924110371916732,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
11,01,lh-superiorfrontal,0.07142857142857142,-0.6904761904761905,0.15384615384615383,0.7018766189119596,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,5,6
12,01,lh-superiorfrontal,0.4761904761904762,0.07142857142857142,0.5,0.697276067188658,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,3
13,01,lh-superiorfrontal,0.4285714285714286,-0.09759000729485333,0.3636363636363636,0.6949659905719735,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,3
14,01,lh-superiorfrontal,0.7142857142857143,-0.2182178902359924,0.0,0.7064309951403096,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,1,2
15,01,lh-superiorfrontal,0.375,-0.32732683535398854,0.28571428571428575,0.7037502510046362,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,6,4
16,01,lh-superiorfrontal,0.34285714285714286,-0.1690308509457033,0.3636363636363636,0.7127338993561528,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,4
17,01,lh-superiorfrontal,0.5714285714285714,0.0,0.4615384615384615,0.6906062364999865,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,4,3
18,01,lh-superiorfrontal,0.5238095238095238,0.047619047619047616,0.3333333333333333,0.6958166756573547,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
19,01,lh-superiorfrontal,0.5357142857142857,-0.03857583749052298,0.28571428571428575,0.6953720726478405,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,3,2
20,01,lh-superiorfrontal,0.5714285714285714,-0.0890870806374748,0.28571428571428575,0.6949937640450976,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
21,01,lh-superiorfrontal,0.35714285714285715,-0.2857142857142857,0.0,0.7102823405968098,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,2,2
22,01,lh-superiorfrontal,0.5306122448979592,-0.14285714285714285,0.42857142857142855,0.6877402840894895,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,4,4
23,01,lh-superiorfrontal,0.6285714285714286,0.3142857142857143,0.6,0.6896175607745482,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,2,2
24,01,lh-superiorfrontal,0.5357142857142857,0.21428571428571427,0.5,0.6910360123384638,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,2
25,01,lh-superiorfrontal,0.4761904761904762,-0.0890870806374748,0.28571428571428575,0.6996867406813352,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
26,01,lh-superiorfrontal,0.28571428571428575,-0.47809144373375745,0.0,0.6994725236094208,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,2,4
27,01,lh-superiorfrontal,0.22448979591836735,-0.42857142857142855,0.2857142857142857,0.6964382512321846,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,5,5
28,01,lh-superiorfrontal,0.3142857142857143,-0.37142857142857144,0.20000000000000004,0.7187535812473694,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,4
29,01,lh-superiorfrontal,0.5714285714285714,-0.29277002188455997,0.0,0.7009290321648762,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,3
30,01,lh-superiorfrontal,0.3673469387755102,-0.28867513459481287,0.30769230769230765,0.7047845492269579,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,5,4
31,01,lh-superiorfrontal,0.32142857142857145,-0.3105295017040594,0.22222222222222224,0.7011299348469607,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,4
32,01,lh-superiorfrontal,0.4857142857142857,-0.1690308509457033,0.3636363636363636,0.689857780092871,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,4
33,01,lh-superiorfrontal,0.28571428571428575,-0.42857142857142855,0.2857142857142857,0.7171263118018373,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,5,5
34,01,lh-superiorfrontal,0.33333333333333337,-0.38095238095238093,0.30769230769230765,0.7054185377505291,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,5
35,01,lh-superiorfrontal,0.5,0.07142857142857142,0.5333333333333333,0.6937516153191405,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,4,3
36,01,lh-superiorfrontal,0.3877551020408163,-0.28867513459481287,0.30769230769230765,0.7010723742294734,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,5,4
37,01,lh-superiorfrontal,0.5714285714285714,0.21957751641341997,0.5454545454545454,0.6889232388624325,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,2
38,01,lh-superiorfrontal,0.326530612244898,-0.28867513459481287,0.30769230769230765,0.7093642326679357,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,5,4
39,01,lh-superiorfrontal,0.5952380952380952,0.38095238095238093,0.6666666666666666,0.691502315392371,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,2,2
40,01,lh-superiorfrontal,0.5,-0.2857142857142857,0.0,0.7013286888109749,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,2,2
41,01,lh-superiorfrontal,0.30612244897959184,-0.28867513459481287,0.30769230769230765,0.7115205818496596,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,5,4
42,01,lh-superiorfrontal,0.5714285714285714,0.21957751641341997,0.5454545454545454,0.6910227421048647,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,2
43,01,lh-superiorfrontal,0.2,-0.3825184261187248,0.25,0.7080054453665335,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,8,4
44,01,lh-superiorfrontal,0.1428571428571429,-0.4879500364742666,0.0,0.7058374509351277,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,5
45,01,lh-superiorfrontal,0.6190476190476191,0.047619047619047616,0.3333333333333333,0.6895642180497801,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
46,01,lh-superiorfrontal,0.6571428571428571,0.11952286093343936,0.4444444444444445,0.6865349638515293,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
47,01,lh-superiorfrontal,0.1904761904761905,-0.6546536707079772,0.0,0.7188461650300619,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,3,5
48,01,lh-superiorfrontal,0.1,-0.3,0.28571428571428575,0.7088382170575186,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,4,1
49,01,lh-superiorfrontal,0.75,0.4472135954999579,0.6666666666666666,0.6819343932673478,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,0
50,01,lh-superiorfrontal,0.375,0.0,0.5714285714285715,0.7100278149560171,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,2,1
51,01,lh-superiorfrontal,0.25,-0.5773502691896258,0.0,0.7004357191917077,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,1
52,01,lh-superiorfrontal,0.7857142857142857,0.47809144373375745,0.7272727272727273,0.6959536079761601,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,3,0
53,01,lh-superiorfrontal,0.6666666666666666,0.4082482904638631,0.5,0.6820957738920156,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,0
54,01,lh-superiorfrontal,0.9,0.5477225575051661,0.7499999999999999,0.6916105057975808,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,2,0
55,01,lh-superiorfrontal,0.6666666666666666,0.4082482904638631,0.5,0.6775786727989568,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,0
56,01,lh-superiorfrontal,0.8333333333333333,0.6666666666666666,0.8,0.6762691853982382,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
57,01,lh-superiorfrontal,0.7,0.4,0.5714285714285715,0.6898570552811211,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,0
58,01,lh-superiorfrontal,0.75,0.4472135954999579,0.6666666666666666,0.7028493507780817,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,0
59,01,lh-superiorfrontal,0.5833333333333333,0.4472135954999579,0.6666666666666666,0.7010767485125593,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,0
60,01,lh-superiorfrontal,0.3333333333333333,-0.14907119849998599,0.4444444444444444,0.6987394230814292,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,4,1
61,01,lh-superiorfrontal,0.5,0.0,0.0,0.6786342454383635,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,0
62,01,lh-superiorfrontal,0.6875,0.4082482904638631,0.6666666666666666,0.7081301635134774,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,4,0
63,01,lh-superiorfrontal,0.7,0.5477225575051661,0.7499999999999999,0.7023882176725698,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,2,0
64,01,lh-superiorfrontal,0.5714285714285714,0.2857142857142857,0.4444444444444445,0.7066405721964767,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,5,0
65,01,lh-superiorfrontal,0.8333333333333333,0.6666666666666666,0.8,0.6775921785483865,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
66,01,lh-superiorfrontal,0.75,0.5,0.6666666666666666,0.6768987711364373,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,2,0
67,01,lh-superiorfrontal,0.5,0.0,0.0,0.6787848124751236,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,3,0
68,01,lh-superiorfrontal,0.5,0.0,0.0,0.692913919853451,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,2,0
69,01,lh-superiorfrontal,0.7142857142857143,0.3779644730092272,0.6,0.6947964528798578,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,0
70,01,lh-superiorfrontal,1.0,0.7302967433402214,0.888888888888889,0.6846572756784054,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,1,0
71,01,lh-superiorfrontal,0.5,0.31622776601683794,0.4,0.6937132920359333,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,0
72,01,lh-superiorfrontal,0.8333333333333333,0.6666666666666666,0.8,0.6887479865160966,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
73,01,lh-superiorfrontal,0.75,0.5773502691896258,0.6666666666666666,0.6899899426464544,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,0
74,01,lh-superiorfrontal,0.9285714285714286,0.5976143046671968,0.8333333333333333,0.6954018643049449,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,2,0
75,01,lh-superiorfrontal,0.6,0.2581988897471611,0.33333333333333337,0.7039243943031263,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,0
76,01,lh-superiorfrontal,1.0,0.0,0.0,0.6622130696520673,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,0
77,01,lh-superiorfrontal,0.5,0.0,0.0,0.7188495427332928,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,7,0
78,01,lh-superiorfrontal,0.75,0.5,0.6666666666666666,0.6921325864634187,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,2,0
79,01,lh-superiorfrontal,0.7,0.5477225575051661,0.7499999999999999,0.6821308570117557,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,2,0
80,01,lh-superiorfrontal,0.9285714285714286,0.5976143046671968,0.8333333333333333,0.7052796831127974,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,2,0
81,01,lh-superiorfrontal,0.41666666666666663,0.0,0.6,0.7149604317734601,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,3,1
82,01,lh-superiorfrontal,0.6875,0.3273268353539886,0.5454545454545454,0.6957709664929457,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,5,0
83,01,lh-superiorfrontal,0.5714285714285714,0.1889822365046136,0.25,0.7231318640039063,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,6,0
84,01,lh-superiorfrontal,0.6666666666666666,0.4472135954999579,0.6666666666666666,0.6897836887860208,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,0
85,01,lh-superiorfrontal,0.2857142857142857,-0.1889822365046136,0.4,0.7033309738269288,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,5,1
86,01,lh-superiorfrontal,0.5,0.0,0.0,0.700422492635586,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,6,0
87,01,lh-superiorfrontal,0.75,0.5773502691896258,0.6666666666666666,0.6802328675272823,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,0
88,01,lh-superiorfrontal,0.5,0.1889822365046136,0.7692307692307692,0.7461940524991652,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,5,2,1
89,01,lh-superiorfrontal,0.41666666666666663,0.0,0.6,0.7067070661001403,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,3,1
90,01,lh-superiorfrontal,0.5,0.31622776601683794,0.5714285714285715,0.7214287189423904,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,6,0
91,01,lh-superiorfrontal,0.0,-0.5,0.0,0.7184411149132969,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,1
92,01,lh-superiorfrontal,0.6666666666666666,0.4082482904638631,0.5,0.6931864579944018,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,0
93,01,lh-superiorfrontal,0.7,0.4,0.5714285714285715,0.6835756329073988,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,0
94,01,lh-superiorfrontal,0.3333333333333333,-0.16666666666666666,0.4,0.719633166508153,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,1
95,01,lh-superiorfrontal,0.0,0.0,0.0,0.7121318051829437,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,5,0
96,01,lh-superiorfrontal,0.3333333333333333,0.2581988897471611,0.5,0.7040020801024831,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,4,0
97,01,lh-superiorfrontal,0.0,0.0,0.0,0.7336600618678427,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,4,0
98,01,lh-superiorfrontal,0.0,0.0,0.0,0.7390230403010252,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,0
99,01,lh-superiorfrontal,0.7142857142857143,0.3779644730092272,0.7272727272727273,0.6931595779206032,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,4,3,0
100,01,lh-superiorfrontal,0.3333333333333333,0.3333333333333333,0.5,0.6993264467246281,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,0
101,01,lh-superiorfrontal,0.6,0.31622776601683794,0.5714285714285715,0.7015105281319082,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,3,0
