fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-superiorfrontal,0.4571428571428572,-0.23904572186687872,0.22222222222222224,0.701108258750729,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,4,3
2,01,lh-superiorfrontal,0.33333333333333337,-0.09759000729485333,0.3636363636363636,0.7122151599058264,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,3
3,01,lh-superiorfrontal,0.35714285714285715,-0.17857142857142858,0.25,0.7070454138582462,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,3
4,01,lh-superiorfrontal,0.5,-0.2857142857142857,0.0,0.6840441215065387,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,2,2
5,01,lh-superiorfrontal,0.489795918367347,0.14285714285714285,0.5714285714285714,0.6927290517355681,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,3,3
6,01,lh-superiorfrontal,0.38095238095238093,-0.0890870806374748,0.28571428571428575,0.7171064254313378,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
7,01,lh-superiorfrontal,0.5142857142857142,-0.02857142857142857,0.4000000000000001,0.6845641238584275,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
8,01,lh-superiorfrontal,0.42857142857142855,-0.2182178902359924,0.25,0.699189425915517,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,4
9,01,lh-superiorfrontal,0.5238095238095238,-0.0890870806374748,0.28571428571428575,0.6882303661530969,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
10,01,lh-superiorfrontal,0.5428571428571429,-0.02857142857142857,0.4000000000000001,0.693083947795059,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
11,01,lh-superiorfrontal,0.4523809523809524,-0.09759000729485333,0.3636363636363636,0.7006554318198912,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,3
12,01,lh-superiorfrontal,0.5,0.07142857142857142,0.5,0.699717232712598,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,3
13,01,lh-superiorfrontal,0.5714285714285714,0.07142857142857142,0.5,0.6812636479755333,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,3
14,01,lh-superiorfrontal,0.4285714285714286,-0.29277002188455997,0.0,0.7001858610715759,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,3
15,01,lh-superiorfrontal,0.375,-0.32732683535398854,0.28571428571428575,0.6971955842608458,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,6,4
16,01,lh-superiorfrontal,0.6285714285714286,0.11952286093343936,0.4444444444444445,0.6841104351332223,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
17,01,lh-superiorfrontal,0.4693877551020408,-0.14907119849998599,0.3333333333333333,0.6938328388996575,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,5,3
18,01,lh-superiorfrontal,0.5714285714285714,0.2182178902359924,0.4,0.6936745152917961,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,2,1
19,01,lh-superiorfrontal,0.5,0.06900655593423542,0.4444444444444445,0.6868601786383884,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,2,3
20,01,lh-superiorfrontal,0.3333333333333333,-0.0890870806374748,0.28571428571428575,0.7162106447996803,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
