fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-parahippocampal,0.5681818181818181,0.1846372364689991,0.5882352941176471,0.5894186193048464,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,6,1
2,01,rh-parahippocampal,0.8125,0.5773502691896258,0.6666666666666666,0.6583981358954745,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,2,2,0
3,01,rh-parahippocampal,0.25,-0.4082482904638631,0.0,0.8652971503122456,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,2
4,01,rh-parahippocampal,0.6785714285714286,0.3105295017040594,0.6666666666666666,0.6148061304997987,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,3,1
5,01,rh-parahippocampal,0.6944444444444444,0.2828894749305018,0.6666666666666667,0.5828098971398847,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,5,4,1
6,01,rh-parahippocampal,0.575,0.1414213562373095,0.5333333333333333,0.6128006806903273,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,6,1
7,01,rh-parahippocampal,0.6,0.15811388300841897,0.5,0.6860993464450733,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,1
8,01,rh-parahippocampal,0.525,-0.09128709291752768,0.5,0.6187067236592309,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,6,2
9,01,rh-parahippocampal,0.3571428571428571,-0.21428571428571427,0.36363636363636365,0.7297729229506044,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,5,2
10,01,rh-parahippocampal,0.625,0.0,0.5,0.6682160710991398,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,2
11,01,rh-parahippocampal,0.6,0.15811388300841897,0.5,0.6804121466208649,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,1
12,01,rh-parahippocampal,0.625,0.0,0.5454545454545454,0.6352782454891969,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,3,2
13,01,rh-parahippocampal,0.25,-0.4082482904638631,0.0,0.8485039279345401,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,2
14,01,rh-parahippocampal,0.6666666666666667,0.2886751345948129,0.7000000000000001,0.5916679976116643,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,7,5,1
15,01,rh-parahippocampal,0.25,-0.5,0.0,0.8250366193345008,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,2
16,01,rh-parahippocampal,0.53125,-0.11952286093343936,0.4615384615384615,0.6421197932555535,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,5,2
17,01,rh-parahippocampal,0.41666666666666663,-0.16666666666666666,0.4,0.7461513179983428,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,4,2
18,01,rh-parahippocampal,1.0,0.0,0.0,0.7918846712133341,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,0
19,01,rh-parahippocampal,0.7,0.1,0.6,0.6219629698393033,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,2,2
20,01,rh-parahippocampal,0.375,-0.07273929674533079,0.5263157894736842,0.699909994770221,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,5,7,2
21,01,rh-parahippocampal,0.5,-0.14907119849998599,0.4444444444444444,0.6061262245812451,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,8,2
22,01,rh-parahippocampal,0.7083333333333334,0.408248290463863,0.7272727272727272,0.6344160972151687,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,4,2,1
23,01,rh-parahippocampal,0.5833333333333333,0.25,0.6,0.7166971859535851,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,3,3,1
24,01,rh-parahippocampal,0.30000000000000004,-0.4403855060505443,0.15384615384615383,0.6509670030187091,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,1,9,2
