fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,rh-inferiorparietal,0.4795657726692209,-0.03329915976725336,0.37142857142857144,0.9287680254778841,None + Linear-SVM,unconscious,conscious,False,Image,True,28,13,14,30
2,sub-01,rh-inferiorparietal,0.46656217345872525,-0.06028719899930702,0.3846153846153846,0.9162433044701218,None + Linear-SVM,unconscious,conscious,False,Image,True,28,15,18,30
3,sub-01,rh-inferiorparietal,0.4673321234119782,-0.025743952740026423,0.4235294117647058,0.8853271162919699,None + Linear-SVM,unconscious,conscious,False,Image,True,29,18,20,29
4,sub-01,rh-inferiorparietal,0.46551724137931033,-0.09517349256304865,0.38554216867469876,0.8931910472816077,None + Linear-SVM,unconscious,conscious,False,Image,True,25,16,18,33
5,sub-01,rh-inferiorparietal,0.4955300127713921,0.04938146237455509,0.411764705882353,0.9215541450990996,None + Linear-SVM,unconscious,conscious,False,Image,True,31,14,13,27
6,sub-01,rh-inferiorparietal,0.45919540229885053,-0.030638167667268595,0.37142857142857144,0.9214567614787671,None + Linear-SVM,unconscious,conscious,False,Image,True,31,13,17,27
7,sub-01,rh-inferiorparietal,0.5052246603970743,0.0020105448123855863,0.4155844155844156,0.8952771271774149,None + Linear-SVM,unconscious,conscious,False,Image,True,30,16,17,28
8,sub-01,rh-inferiorparietal,0.5264367816091954,0.13051847458304897,0.463768115942029,0.8958525224187818,None + Linear-SVM,unconscious,conscious,False,Image,True,35,16,14,23
9,sub-01,rh-inferiorparietal,0.47648902821316613,-0.01456940642483253,0.41025641025641024,0.8927487945574177,None + Linear-SVM,unconscious,conscious,False,Image,True,29,16,17,29
10,sub-01,rh-inferiorparietal,0.4716024340770791,-0.090075469822209,0.375,0.8938811809547732,None + Linear-SVM,unconscious,conscious,False,Image,True,27,15,19,31
11,sub-01,rh-inferiorparietal,0.4725215517241379,-0.02992497205628052,0.39473684210526316,0.9082567444170455,None + Linear-SVM,unconscious,conscious,False,Image,True,29,15,17,29
12,sub-01,rh-inferiorparietal,0.4944382647385984,-0.03179975775036818,0.39473684210526316,0.9063851521380356,None + Linear-SVM,unconscious,conscious,False,Image,True,28,15,16,30
13,sub-01,rh-inferiorparietal,0.4875478927203065,0.016766318775371096,0.4390243902439025,0.8927876580945521,None + Linear-SVM,unconscious,conscious,False,Image,True,30,18,18,28
14,sub-01,rh-inferiorparietal,0.4925287356321839,0.0,0.40540540540540543,0.8923646346507731,None + Linear-SVM,unconscious,conscious,False,Image,True,29,15,15,29
15,sub-01,rh-inferiorparietal,0.5020283975659229,0.061696695541430334,0.4556962025316456,0.900501200616688,None + Linear-SVM,unconscious,conscious,False,Image,True,31,18,16,27
16,sub-01,rh-inferiorparietal,0.42936596218020023,-0.11199897225358411,0.3589743589743589,0.9244954162094486,None + Linear-SVM,unconscious,conscious,False,Image,True,25,14,17,33
17,sub-01,rh-inferiorparietal,0.4977753058954394,0.034022998282472176,0.4166666666666667,0.8971256209804817,None + Linear-SVM,unconscious,conscious,False,Image,True,32,15,16,26
18,sub-01,rh-inferiorparietal,0.47974137931034483,-0.01695158759052026,0.4444444444444445,0.8775932637665448,None + Linear-SVM,unconscious,conscious,False,Image,True,28,20,20,30
19,sub-01,rh-inferiorparietal,0.4985221674876847,0.04727813104255336,0.45,0.9002693984870883,None + Linear-SVM,unconscious,conscious,False,Image,True,31,18,17,27
20,sub-01,rh-inferiorparietal,0.4976218787158145,-0.03256448045129181,0.37142857142857144,0.911526013874886,None + Linear-SVM,unconscious,conscious,False,Image,True,30,13,16,28
21,sub-01,rh-inferiorparietal,0.464367816091954,-0.09589266029707683,0.3513513513513514,0.9512178082683043,None + Linear-SVM,unconscious,conscious,False,Image,True,27,13,17,31
22,sub-01,rh-inferiorparietal,0.46885428253615125,-0.09544749123409282,0.3636363636363636,0.9080882487576675,None + Linear-SVM,unconscious,conscious,False,Image,True,26,14,17,32
23,sub-01,rh-inferiorparietal,0.4320794148380355,-0.13923022825770184,0.35,0.9239628442354072,None + Linear-SVM,unconscious,conscious,False,Image,True,25,14,19,33
24,sub-01,rh-inferiorparietal,0.43548387096774194,-0.12613903907646046,0.34210526315789475,0.914823286960595,None + Linear-SVM,unconscious,conscious,False,Image,True,26,13,18,32
25,sub-01,rh-inferiorparietal,0.438423645320197,-0.030549500255172553,0.41463414634146345,0.8991705091644695,None + Linear-SVM,unconscious,conscious,False,Image,True,28,17,18,30
26,sub-01,rh-inferiorparietal,0.5156739811912225,0.04775043929415767,0.44155844155844154,0.8973553546045131,None + Linear-SVM,unconscious,conscious,False,Image,True,31,17,16,27
27,sub-01,rh-inferiorparietal,0.4977753058954394,-0.03179975775036818,0.39473684210526316,0.9110258740133803,None + Linear-SVM,unconscious,conscious,False,Image,True,28,15,16,30
28,sub-01,rh-inferiorparietal,0.46040868454661554,-0.06551798824008746,0.36111111111111105,0.9322531147269615,None + Linear-SVM,unconscious,conscious,False,Image,True,26,13,14,32
29,sub-01,rh-inferiorparietal,0.4890282131661442,0.031148386149641962,0.4358974358974359,0.8936661909691735,None + Linear-SVM,unconscious,conscious,False,Image,True,30,17,16,28
30,sub-01,rh-inferiorparietal,0.49252873563218386,0.04915039676044261,0.4225352112676056,0.9115296786963145,None + Linear-SVM,unconscious,conscious,False,Image,True,32,15,15,26
31,sub-01,rh-inferiorparietal,0.514367816091954,0.0065320792944849665,0.425,0.878509268068762,None + Linear-SVM,unconscious,conscious,False,Image,True,31,17,19,27
32,sub-01,rh-inferiorparietal,0.45977011494252873,-0.10600499157378152,0.3589743589743589,0.9157889791672319,None + Linear-SVM,unconscious,conscious,False,Image,True,27,14,19,31
33,sub-01,rh-inferiorparietal,0.47586206896551725,-0.09589266029707683,0.3513513513513514,0.9046211032058783,None + Linear-SVM,unconscious,conscious,False,Image,True,27,13,17,31
34,sub-01,rh-inferiorparietal,0.48678160919540236,-0.015271434934898813,0.3888888888888889,0.9021980114649325,None + Linear-SVM,unconscious,conscious,False,Image,True,30,14,16,28
35,sub-01,rh-inferiorparietal,0.4699666295884315,-0.07896939841341433,0.3684210526315789,0.906821421980087,None + Linear-SVM,unconscious,conscious,False,Image,True,27,14,17,31
36,sub-01,rh-inferiorparietal,0.45193312434691746,-0.06028719899930702,0.3846153846153846,0.9180702684673513,None + Linear-SVM,unconscious,conscious,False,Image,True,28,15,18,30
37,sub-01,rh-inferiorparietal,0.46076099881093935,-0.06502560887623551,0.36111111111111105,0.9233959466208311,None + Linear-SVM,unconscious,conscious,False,Image,True,28,13,16,30
38,sub-01,rh-inferiorparietal,0.4771805273833672,-0.10674507641295089,0.37037037037037035,0.9036539414352952,None + Linear-SVM,unconscious,conscious,False,Image,True,26,15,19,32
39,sub-01,rh-inferiorparietal,0.47335423197492166,-0.07686617872411645,0.379746835443038,0.9016981309053624,None + Linear-SVM,unconscious,conscious,False,Image,True,27,15,18,31
40,sub-01,rh-inferiorparietal,0.4708680142687277,0.0,0.39436619718309857,0.9259492899357491,None + Linear-SVM,unconscious,conscious,False,Image,True,30,14,15,28
41,sub-01,rh-inferiorparietal,0.4752873563218391,-0.08072044179875086,0.3684210526315789,0.9180791007172197,None + Linear-SVM,unconscious,conscious,False,Image,True,26,14,16,32
42,sub-01,rh-inferiorparietal,0.5064655172413792,-0.013424595393161069,0.4000000000000001,0.9006375338332313,None + Linear-SVM,unconscious,conscious,False,Image,True,30,15,17,28
43,sub-01,rh-inferiorparietal,0.46605603448275856,-0.07951491117487709,0.379746835443038,0.9035098046624928,None + Linear-SVM,unconscious,conscious,False,Image,True,26,15,17,32
44,sub-01,rh-inferiorparietal,0.4693486590038314,-0.09424857267756881,0.39534883720930236,0.8860777186355001,None + Linear-SVM,unconscious,conscious,False,Image,True,25,17,19,33
45,sub-01,rh-inferiorparietal,0.5083426028921023,0.04825400945723582,0.4324324324324324,0.9018371127297106,None + Linear-SVM,unconscious,conscious,False,Image,True,31,16,15,27
46,sub-01,rh-inferiorparietal,0.5270114942528735,-0.032724503431926025,0.39473684210526316,0.8987752157421256,None + Linear-SVM,unconscious,conscious,False,Image,True,27,15,15,31
47,sub-01,rh-inferiorparietal,0.4940262843488649,-0.04671195622504583,0.3561643835616438,0.9349282405526151,None + Linear-SVM,unconscious,conscious,False,Image,True,29,13,14,33
48,sub-01,rh-inferiorparietal,0.4760508308895406,-0.014429102930899784,0.39999999999999997,0.9181575471796039,None + Linear-SVM,unconscious,conscious,False,Image,True,31,16,17,31
49,sub-01,rh-inferiorparietal,0.47071307300509335,-0.009896948449483195,0.4186046511627907,0.8896019010719668,None + Linear-SVM,unconscious,conscious,False,Image,True,32,18,20,30
50,sub-01,rh-inferiorparietal,0.4819734345351044,0.018213637050870018,0.41025641025641024,0.8943795791026158,None + Linear-SVM,unconscious,conscious,False,Image,True,34,16,18,28
51,sub-01,rh-inferiorparietal,0.5059737156511349,0.137631135380772,0.4375,0.9246905312396563,None + Linear-SVM,unconscious,conscious,False,Image,True,39,14,13,23
52,sub-01,rh-inferiorparietal,0.47526881720430103,-0.07669025095194311,0.35897435897435903,0.9128464628980805,None + Linear-SVM,unconscious,conscious,False,Image,True,28,14,16,34
53,sub-01,rh-inferiorparietal,0.512218963831867,0.02978911572830923,0.42500000000000004,0.8990863497401134,None + Linear-SVM,unconscious,conscious,False,Image,True,32,17,16,30
54,sub-01,rh-inferiorparietal,0.5365591397849463,0.10726789086034187,0.4444444444444444,0.8953709012776142,None + Linear-SVM,unconscious,conscious,False,Image,True,36,16,14,26
55,sub-01,rh-inferiorparietal,0.48729227761485827,0.02978911572830923,0.42500000000000004,0.8946348091120686,None + Linear-SVM,unconscious,conscious,False,Image,True,32,17,16,30
56,sub-01,rh-inferiorparietal,0.4791271347248577,-0.08712136837380642,0.3658536585365854,0.9004959786099916,None + Linear-SVM,unconscious,conscious,False,Image,True,29,15,19,33
57,sub-01,rh-inferiorparietal,0.4727822580645161,-0.04490132550669372,0.379746835443038,0.9099022822205876,None + Linear-SVM,unconscious,conscious,False,Image,True,30,15,17,32
58,sub-01,rh-inferiorparietal,0.5036420395421436,0.0,0.39473684210526316,0.9085236404197518,None + Linear-SVM,unconscious,conscious,False,Image,True,32,15,16,30
59,sub-01,rh-inferiorparietal,0.5085125448028674,0.08915373405255171,0.4634146341463415,0.8936815351197089,None + Linear-SVM,unconscious,conscious,False,Image,True,35,19,17,27
