fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,rh-parahippocampal,0.5293742017879949,0.08173601666894684,0.42424242424242425,0.7611485485998618,None + Linear-SVM,unconscious,conscious,False,Image,True,33,14,13,25
2,sub-01,rh-parahippocampal,0.51619644723093,0.04775043929415767,0.44155844155844154,0.7513982093465814,None + Linear-SVM,unconscious,conscious,False,Image,True,31,17,16,27
3,sub-01,rh-parahippocampal,0.5467332123411979,0.15318796165894727,0.5121951219512196,0.741019038711905,None + Linear-SVM,unconscious,conscious,False,Image,True,35,21,17,23
4,sub-01,rh-parahippocampal,0.5552738336713996,0.07344844707313135,0.4691358024691358,0.7490438260303341,None + Linear-SVM,unconscious,conscious,False,Image,True,30,19,15,28
5,sub-01,rh-parahippocampal,0.5351213282247765,0.06551798824008746,0.417910447761194,0.7618863548298477,None + Linear-SVM,unconscious,conscious,False,Image,True,32,14,13,26
6,sub-01,rh-parahippocampal,0.5137931034482759,0.032724503431926025,0.41666666666666663,0.7561114064113077,None + Linear-SVM,unconscious,conscious,False,Image,True,31,15,15,27
7,sub-01,rh-parahippocampal,0.5235109717868338,0.09349033377592976,0.4675324675324675,0.7517812068965434,None + Linear-SVM,unconscious,conscious,False,Image,True,32,18,15,26
8,sub-01,rh-parahippocampal,0.503448275862069,0.11589340438420075,0.4477611940298507,0.7562503398793825,None + Linear-SVM,unconscious,conscious,False,Image,True,36,15,15,22
9,sub-01,rh-parahippocampal,0.5402298850574713,0.09349033377592976,0.4675324675324675,0.7485425577576554,None + Linear-SVM,unconscious,conscious,False,Image,True,32,18,15,26
10,sub-01,rh-parahippocampal,0.5283975659229209,0.061696695541430334,0.4556962025316456,0.7483814954036556,None + Linear-SVM,unconscious,conscious,False,Image,True,31,18,16,27
11,sub-01,rh-parahippocampal,0.5140086206896551,0.03304515789085802,0.42666666666666664,0.7551610948630818,None + Linear-SVM,unconscious,conscious,False,Image,True,31,16,16,27
12,sub-01,rh-parahippocampal,0.5294771968854283,0.03179975775036818,0.4266666666666667,0.7522600856622695,None + Linear-SVM,unconscious,conscious,False,Image,True,30,16,15,28
13,sub-01,rh-parahippocampal,0.5459770114942528,0.15515062188806475,0.5063291139240507,0.7453872393408887,None + Linear-SVM,unconscious,conscious,False,Image,True,35,20,16,23
14,sub-01,rh-parahippocampal,0.5735632183908046,0.13051847458304897,0.463768115942029,0.7474130354688452,None + Linear-SVM,unconscious,conscious,False,Image,True,35,16,14,23
15,sub-01,rh-parahippocampal,0.4842799188640974,0.0,0.425,0.7537610089721933,None + Linear-SVM,unconscious,conscious,False,Image,True,29,17,17,29
16,sub-01,rh-parahippocampal,0.4838709677419355,0.034022998282472176,0.4166666666666667,0.75646026278331,None + Linear-SVM,unconscious,conscious,False,Image,True,32,15,16,26
