fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-fusiform,0.8458498023715415,0.5563241106719368,0.7777777777777778,0.49089918625459195,None + Linear-SVM,conscious,conscious,False,Image,False,35,35,11,9
2,01,lh-fusiform,0.8438735177865613,0.5108695652173914,0.7608695652173914,0.4979147205027332,None + Linear-SVM,conscious,conscious,False,Image,False,33,35,11,11
3,01,lh-fusiform,0.799901185770751,0.44598281734216605,0.7191011235955057,0.5461508735573628,None + Linear-SVM,conscious,conscious,False,Image,False,33,32,14,11
4,01,lh-fusiform,0.83399209486166,0.599802371541502,0.8043478260869565,0.5233316606236657,None + Linear-SVM,conscious,conscious,False,Image,False,35,37,9,9
5,01,lh-fusiform,0.8349802371541503,0.5108695652173914,0.7608695652173914,0.5047884831702839,None + Linear-SVM,conscious,conscious,False,Image,False,33,35,11,11
6,01,lh-fusiform,0.9224308300395256,0.733201581027668,0.8695652173913043,0.44295437081881994,None + Linear-SVM,conscious,conscious,False,Image,False,38,40,6,6
7,01,lh-fusiform,0.8745059288537549,0.6223759142641418,0.8131868131868132,0.4643979954025912,None + Linear-SVM,conscious,conscious,False,Image,False,36,37,9,8
8,01,lh-fusiform,0.875494071146245,0.5779204918167031,0.7912087912087912,0.48008586853137425,None + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,9
9,01,lh-fusiform,0.7658102766798419,0.31248463476746,0.651685393258427,0.5778137041965571,None + Linear-SVM,conscious,conscious,False,Image,False,30,29,17,14
10,01,lh-fusiform,0.8557312252964426,0.5563241106719368,0.7777777777777778,0.5134771739755685,None + Linear-SVM,conscious,conscious,False,Image,False,35,35,11,9
11,01,lh-fusiform,0.7924901185770752,0.3774703557312253,0.6956521739130435,0.5486280350589304,None + Linear-SVM,conscious,conscious,False,Image,False,30,32,14,14
12,01,lh-fusiform,0.8562252964426877,0.4247533080163207,0.7045454545454546,0.5106816364295957,None + Linear-SVM,conscious,conscious,False,Image,False,33,31,15,11
13,01,lh-fusiform,0.7885375494071146,0.4000988020269483,0.7032967032967032,0.5416457373998831,None + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
14,01,lh-fusiform,0.8102766798418972,0.42292490118577075,0.711111111111111,0.5475753681557899,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
15,01,lh-fusiform,0.8008893280632411,0.42292490118577075,0.711111111111111,0.5467591526027397,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
16,01,lh-fusiform,0.8102766798418972,0.42292490118577075,0.711111111111111,0.5368711747089076,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
17,01,lh-fusiform,0.8502964426877471,0.5118577075098815,0.7555555555555555,0.4931622368019867,None + Linear-SVM,conscious,conscious,False,Image,False,34,34,12,10
18,01,lh-fusiform,0.7964426877470355,0.42292490118577075,0.711111111111111,0.5452477241442238,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
19,01,lh-fusiform,0.8463438735177866,0.466403162055336,0.7391304347826085,0.4947271530588068,None + Linear-SVM,conscious,conscious,False,Image,False,32,34,12,12
20,01,lh-fusiform,0.7633399209486166,0.3339920948616601,0.6666666666666666,0.5735375355438929,None + Linear-SVM,conscious,conscious,False,Image,False,30,30,16,14
21,01,lh-fusiform,0.7959486166007905,0.44598281734216605,0.7191011235955057,0.5528595640379763,None + Linear-SVM,conscious,conscious,False,Image,False,33,32,14,11
22,01,lh-fusiform,0.8414031620553359,0.5775032490639135,0.795698924731183,0.5144448165357786,None + Linear-SVM,conscious,conscious,False,Image,False,34,37,9,10
23,01,lh-fusiform,0.8720355731225297,0.6239803941084408,0.8089887640449438,0.4764653491153069,None + Linear-SVM,conscious,conscious,False,Image,False,37,36,10,7
24,01,lh-fusiform,0.7747035573122529,0.42292490118577075,0.711111111111111,0.5681398911063401,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
25,01,lh-fusiform,0.8913043478260869,0.6007905138339921,0.8,0.4604512285332384,None + Linear-SVM,conscious,conscious,False,Image,False,36,36,10,8
26,01,lh-fusiform,0.8349802371541502,0.5563241106719368,0.7777777777777778,0.504404195214162,None + Linear-SVM,conscious,conscious,False,Image,False,35,35,11,9
27,01,lh-fusiform,0.8058300395256917,0.4000988020269483,0.7032967032967032,0.534523976862459,None + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
28,01,lh-fusiform,0.8122529644268774,0.48900964692182575,0.7472527472527473,0.5349910944339614,None + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,11
29,01,lh-fusiform,0.8799407114624506,0.7112867591590193,0.8571428571428571,0.49310968571817365,None + Linear-SVM,conscious,conscious,False,Image,False,38,39,7,6
30,01,lh-fusiform,0.8038537549407114,0.48900964692182575,0.7472527472527473,0.5311741193466942,None + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,11
31,01,lh-fusiform,0.8577075098814229,0.44400506648920746,0.7311827956989247,0.4731099957718635,None + Linear-SVM,conscious,conscious,False,Image,False,31,34,12,13
32,01,lh-fusiform,0.7969367588932806,0.4673913043478261,0.7333333333333332,0.5407143237724041,None + Linear-SVM,conscious,conscious,False,Image,False,33,33,13,11
33,01,lh-fusiform,0.7934782608695652,0.3784584980237154,0.688888888888889,0.5595365590371639,None + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
34,01,lh-fusiform,0.8656126482213439,0.48900964692182575,0.7472527472527473,0.4864389435892579,None + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,11
35,01,lh-fusiform,0.8433794466403163,0.5779204918167031,0.7912087912087912,0.51304747332804,None + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,9
36,01,lh-fusiform,0.7984189723320158,0.4673913043478261,0.7333333333333332,0.5533643771818942,None + Linear-SVM,conscious,conscious,False,Image,False,33,33,13,11
37,01,lh-fusiform,0.8008893280632411,0.444554224474387,0.7252747252747253,0.5429651961652068,None + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,12
38,01,lh-fusiform,0.8670948616600791,0.5118577075098815,0.7555555555555555,0.48134935456920236,None + Linear-SVM,conscious,conscious,False,Image,False,34,34,12,10
39,01,lh-fusiform,0.7806324110671936,0.42292490118577075,0.711111111111111,0.5715132795218811,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
40,01,lh-fusiform,0.8646245059288538,0.5334650693692644,0.7692307692307693,0.4644815274785394,None + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
41,01,lh-fusiform,0.8414031620553359,0.42292490118577075,0.711111111111111,0.4852083101653948,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
42,01,lh-fusiform,0.8028656126482213,0.3784584980237154,0.688888888888889,0.5455300973312188,None + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
43,01,lh-fusiform,0.8359683794466403,0.5779204918167031,0.7912087912087912,0.5308113243441425,None + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,9
44,01,lh-fusiform,0.7737154150197629,0.4000988020269483,0.7032967032967032,0.5619327137768796,None + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
45,01,lh-fusiform,0.7939723320158103,0.5330038548723448,0.7741935483870968,0.5474378672604411,None + Linear-SVM,conscious,conscious,False,Image,False,33,36,10,11
46,01,lh-fusiform,0.8685770750988142,0.5779204918167031,0.7912087912087912,0.4750369479994598,None + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,9
47,01,lh-fusiform,0.8310276679841897,0.4904822115337347,0.7415730337078652,0.5177089198687402,None + Linear-SVM,conscious,conscious,False,Image,False,34,33,13,10
48,01,lh-fusiform,0.808794466403162,0.5349816057253034,0.7640449438202247,0.5473350364988635,None + Linear-SVM,conscious,conscious,False,Image,False,35,34,12,9
49,01,lh-fusiform,0.8048418972332017,0.444554224474387,0.7252747252747253,0.5435706093479945,None + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,12
50,01,lh-fusiform,0.858201581027668,0.5108695652173914,0.7608695652173914,0.5015245856679595,None + Linear-SVM,conscious,conscious,False,Image,False,33,35,11,11
51,01,lh-fusiform,0.8611660079051383,0.4663375479619745,0.7446808510638298,0.4958750317972791,None + Linear-SVM,conscious,conscious,False,Image,False,31,35,11,13
52,01,lh-fusiform,0.8063241106719368,0.5334650693692644,0.7692307692307693,0.5370915806933999,None + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
53,01,lh-fusiform,0.7771739130434782,0.444554224474387,0.7252747252747253,0.5515798768851973,None + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,12
54,01,lh-fusiform,0.8700592885375494,0.6442687747035574,0.8260869565217391,0.48881789497939576,None + Linear-SVM,conscious,conscious,False,Image,False,36,38,8,8
55,01,lh-fusiform,0.8157114624505929,0.5334650693692644,0.7692307692307693,0.5294771207269875,None + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
56,01,lh-fusiform,0.8409090909090909,0.44598281734216605,0.7191011235955057,0.4884516180749178,None + Linear-SVM,conscious,conscious,False,Image,False,33,32,14,11
57,01,lh-fusiform,0.8804347826086956,0.6223759142641418,0.8131868131868132,0.48465860780444964,None + Linear-SVM,conscious,conscious,False,Image,False,36,37,9,8
58,01,lh-fusiform,0.8068181818181819,0.44598281734216605,0.7191011235955057,0.5445047321626423,None + Linear-SVM,conscious,conscious,False,Image,False,33,32,14,11
59,01,lh-fusiform,0.8236166007905139,0.444554224474387,0.7252747252747253,0.5167296929811022,None + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,12
60,01,lh-fusiform,0.8058300395256917,0.5349816057253034,0.7640449438202247,0.5484129021207778,None + Linear-SVM,conscious,conscious,False,Image,False,35,34,12,9
61,01,lh-fusiform,0.8562252964426877,0.5108695652173914,0.7608695652173914,0.4835411929759654,None + Linear-SVM,conscious,conscious,False,Image,False,33,35,11,11
62,01,lh-fusiform,0.8181818181818182,0.48900964692182575,0.7472527472527473,0.5368390300679963,None + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,11
63,01,lh-fusiform,0.8962450592885376,0.599802371541502,0.8043478260869565,0.4529684392664554,None + Linear-SVM,conscious,conscious,False,Image,False,35,37,9,9
64,01,lh-fusiform,0.798913043478261,0.4014834231505974,0.6966292134831461,0.547914135621534,None + Linear-SVM,conscious,conscious,False,Image,False,32,31,15,12
