fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-inferiorparietal,0.3932291666666667,-0.14586499149789456,0.42105263157894735,0.7088831632190713,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
2,01,lh-inferiorparietal,0.5416666666666667,0.10418927964135326,0.5473684210526316,0.6911868336446885,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
3,01,lh-inferiorparietal,0.3758680555555556,-0.18754070335443587,0.39999999999999997,0.7058117201709345,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
4,01,lh-inferiorparietal,0.4049479166666667,-0.10418927964135326,0.4421052631578947,0.6956973776741648,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
5,01,lh-inferiorparietal,0.4865451388888889,-0.04170288281141495,0.4680851063829787,0.6973522795342207,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
6,01,lh-inferiorparietal,0.6310763888888888,0.16666666666666666,0.5833333333333334,0.6894385715433344,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,28,20,20
7,01,lh-inferiorparietal,0.5234375,0.10418927964135326,0.5473684210526316,0.6935287502809887,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
8,01,lh-inferiorparietal,0.4952256944444444,0.041666666666666664,0.5208333333333334,0.6938181541927664,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
9,01,lh-inferiorparietal,0.5130208333333333,-0.02083785592827065,0.4948453608247423,0.6927711273124544,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,24,24,25
10,01,lh-inferiorparietal,0.4092881944444445,-0.18754070335443587,0.39999999999999997,0.6976574521028768,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
11,01,lh-inferiorparietal,0.45572916666666663,-0.06251356778481196,0.46315789473684216,0.697684622666252,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
12,01,lh-inferiorparietal,0.4596354166666667,-0.06262242910851494,0.45161290322580644,0.6965088325605607,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,21,27,24
13,01,lh-inferiorparietal,0.49348958333333337,0.02083785592827065,0.5052631578947369,0.6939139827115864,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
14,01,lh-inferiorparietal,0.5034722222222222,0.02083785592827065,0.5052631578947369,0.692808357048006,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
