fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-rostralmiddlefrontal,0.5103754940711462,0.0009888754264793039,0.49438202247191015,0.6933925635746155,None + Linear-SVM,conscious,conscious,False,Image,False,23,22,24,21
2,01,lh-rostralmiddlefrontal,0.5370553359683794,0.08891084489487741,0.5494505494505495,0.6915564743337664,None + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
3,01,lh-rostralmiddlefrontal,0.4357707509881423,-0.19881069312188604,0.37209302325581395,0.695700199145603,None + Linear-SVM,conscious,conscious,False,Image,False,20,16,30,24
4,01,lh-rostralmiddlefrontal,0.49061264822134387,-0.021739130434782608,0.4888888888888889,0.6937674208842387,None + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
5,01,lh-rostralmiddlefrontal,0.4846837944664032,-0.021739130434782608,0.4888888888888889,0.693102596365088,None + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
6,01,lh-rostralmiddlefrontal,0.5790513833992095,0.11166007905138339,0.5555555555555556,0.68837221372506,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
7,01,lh-rostralmiddlefrontal,0.47332015810276684,-0.11067193675889328,0.4444444444444445,0.6964032808990417,None + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
8,01,lh-rostralmiddlefrontal,0.5054347826086957,-0.06620553359683795,0.4666666666666666,0.6974652516636948,None + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
9,01,lh-rostralmiddlefrontal,0.4980237154150198,-0.021739130434782608,0.4888888888888889,0.7002357094133327,None + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
10,01,lh-rostralmiddlefrontal,0.491106719367589,0.0,0.5054945054945055,0.6937710174470736,None + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
11,01,lh-rostralmiddlefrontal,0.4056324110671936,-0.2222771122371935,0.3956043956043956,0.7210666806878718,None + Linear-SVM,conscious,conscious,False,Image,False,17,18,28,27
12,01,lh-rostralmiddlefrontal,0.48616600790513836,-0.13448705800118532,0.45161290322580644,0.6934510185542947,None + Linear-SVM,conscious,conscious,False,Image,False,18,21,25,26
13,01,lh-rostralmiddlefrontal,0.5163043478260869,-0.02079211997282689,0.47727272727272724,0.6924936043540734,None + Linear-SVM,conscious,conscious,False,Image,False,23,21,25,21
14,01,lh-rostralmiddlefrontal,0.5395256916996047,0.022727272727272728,0.5111111111111111,0.6919536769204513,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
15,01,lh-rostralmiddlefrontal,0.5345849802371542,0.11166007905138339,0.5555555555555556,0.6929879757713172,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
16,01,lh-rostralmiddlefrontal,0.616600790513834,0.15612648221343872,0.5777777777777778,0.6845037831204495,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
17,01,lh-rostralmiddlefrontal,0.4352766798418972,0.046615745188327604,0.5057471264367817,0.6957955797418859,None + Linear-SVM,conscious,conscious,False,Image,False,25,22,24,19
18,01,lh-rostralmiddlefrontal,0.5681818181818182,0.021739130434782608,0.5217391304347826,0.6909933553468283,None + Linear-SVM,conscious,conscious,False,Image,False,22,24,22,22
19,01,lh-rostralmiddlefrontal,0.47529644268774696,-0.13250930714822673,0.4269662921348315,0.6935752413135089,None + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
20,01,lh-rostralmiddlefrontal,0.5390316205533597,0.17700870133979538,0.6021505376344086,0.6980688079069851,None + Linear-SVM,conscious,conscious,False,Image,False,25,28,18,19
21,01,lh-rostralmiddlefrontal,0.49357707509881427,-0.11067193675889328,0.4444444444444445,0.6930311496134254,None + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
