fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-superiorparietal,0.5863715277777778,0.14586499149789456,0.577319587628866,0.6920216252331661,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,28,20,21
2,01,lh-superiorparietal,0.4613715277777778,-0.04170288281141495,0.4680851063829787,0.6982485829588012,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
3,01,lh-superiorparietal,0.3819444444444445,-0.20851441405707477,0.3829787234042554,0.7115618506622754,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,20,18,30,28
4,01,lh-superiorparietal,0.46701388888888884,0.04170288281141495,0.5106382978723404,0.6964494526519754,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
5,01,lh-superiorparietal,0.4769965277777778,0.04170288281141495,0.5106382978723404,0.7001730843059049,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
6,01,lh-superiorparietal,0.57421875,0.0834057656228299,0.5319148936170214,0.6862632469943573,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
7,01,lh-superiorparietal,0.5121527777777777,0.06251356778481196,0.5263157894736842,0.6930921028407567,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
8,01,lh-superiorparietal,0.5143229166666666,-0.02083785592827065,0.4842105263157895,0.6929538709177415,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
9,01,lh-superiorparietal,0.5794270833333333,0.125,0.5625,0.6906210254161561,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
10,01,lh-superiorparietal,0.5763888888888888,0.06251356778481196,0.5263157894736842,0.6873495982213927,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
11,01,lh-superiorparietal,0.4522569444444444,0.02083785592827065,0.5052631578947369,0.6953487623226168,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
12,01,lh-superiorparietal,0.48307291666666663,-0.020874143036171647,0.4731182795698925,0.6943596299882269,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,22,26,23
13,01,lh-superiorparietal,0.6436631944444445,0.16666666666666666,0.5833333333333334,0.6798151060635306,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,28,20,20
14,01,lh-superiorparietal,0.4444444444444444,0.0,0.48936170212765956,0.698179746247496,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
15,01,lh-superiorparietal,0.5277777777777778,0.02083785592827065,0.5052631578947369,0.6930719450573571,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
16,01,lh-superiorparietal,0.5651041666666666,0.10418927964135326,0.5473684210526316,0.6894489853094097,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
17,01,lh-superiorparietal,0.45963541666666663,-0.04170288281141495,0.4680851063829787,0.6959098363790978,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
18,01,lh-superiorparietal,0.49262152777777773,-0.02083785592827065,0.4842105263157895,0.6975151373314906,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
19,01,lh-superiorparietal,0.4539930555555556,-0.0834057656228299,0.44680851063829785,0.6957256749438092,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
20,01,lh-superiorparietal,0.5295138888888888,0.02083785592827065,0.5052631578947369,0.6914505684776261,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
21,01,lh-superiorparietal,0.5802951388888888,0.18754070335443587,0.5894736842105263,0.6845506869802289,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
22,01,lh-superiorparietal,0.49392361111111105,-0.02083785592827065,0.4842105263157895,0.6930512700469222,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
23,01,lh-superiorparietal,0.41362847222222227,-0.14586499149789456,0.42105263157894735,0.6966216234604837,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
24,01,lh-superiorparietal,0.5646701388888888,0.06251356778481196,0.5263157894736842,0.6907554217728874,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
25,01,lh-superiorparietal,0.700954861111111,0.2708921270675185,0.631578947368421,0.6840582215753702,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,31,30,18,17
26,01,lh-superiorparietal,0.5217013888888888,0.02083785592827065,0.5052631578947369,0.6928693019905067,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
27,01,lh-superiorparietal,0.4210069444444444,-0.02083785592827065,0.4842105263157895,0.6967439251137423,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
28,01,lh-superiorparietal,0.59375,0.1254363015010636,0.5434782608695652,0.6857403038563659,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,29,25,23,19
