fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-parahippocampal,0.6190711462450593,0.28811937676631544,0.6595744680851064,0.6752021674161269,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,31,15,17
2,01,rh-parahippocampal,0.5889328063241107,0.20059288537549408,0.6,0.6901489512205762,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
3,01,rh-parahippocampal,0.4762845849802372,0.044455422447438706,0.5274725274725275,0.6994535248352787,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
4,01,rh-parahippocampal,0.5597826086956522,0.11166007905138339,0.5555555555555556,0.6922392360800724,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
5,01,rh-parahippocampal,0.5484189723320159,0.06719367588932806,0.5333333333333332,0.6956217388809861,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
6,01,rh-parahippocampal,0.4155138339920949,-0.06719367588932806,0.4782608695652174,0.7040460759104082,PCA + Linear-SVM,conscious,conscious,False,Image,False,20,22,24,24
7,01,rh-parahippocampal,0.6842885375494071,0.28952569169960474,0.6444444444444444,0.6691402367585081,PCA + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
8,01,rh-parahippocampal,0.5148221343873518,-0.06719367588932806,0.4782608695652174,0.6964882868882192,PCA + Linear-SVM,conscious,conscious,False,Image,False,20,22,24,24
9,01,rh-parahippocampal,0.48073122529644263,-0.06620553359683795,0.4666666666666666,0.7097404368083365,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
10,01,rh-parahippocampal,0.5187747035573123,0.08891084489487741,0.5494505494505495,0.695548570507544,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
11,01,rh-parahippocampal,0.549901185770751,0.044455422447438706,0.5274725274725275,0.690822934846053,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
12,01,rh-parahippocampal,0.5380434782608695,0.022727272727272728,0.5111111111111111,0.695685704004796,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
13,01,rh-parahippocampal,0.5355731225296443,0.11166007905138339,0.5555555555555556,0.6932900209337107,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
14,01,rh-parahippocampal,0.5642292490118577,0.11166007905138339,0.5555555555555556,0.6895903390358791,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
15,01,rh-parahippocampal,0.5484189723320158,0.11166007905138339,0.5555555555555556,0.6872968823272725,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
16,01,rh-parahippocampal,0.5088932806324111,-0.08800991295665804,0.449438202247191,0.6894349867835676,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
17,01,rh-parahippocampal,0.5019762845849802,-0.02079211997282689,0.47727272727272724,0.6991673997243364,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,21,25,21
18,01,rh-parahippocampal,0.5938735177865612,0.2450592885375494,0.6222222222222223,0.6816335315913656,PCA + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
19,01,rh-parahippocampal,0.7262845849802372,0.4000988020269483,0.7032967032967032,0.6578799501544014,PCA + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
20,01,rh-parahippocampal,0.5400197628458498,0.08998766380961665,0.5393258426966292,0.6915752053153752,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,24,22,19
21,01,rh-parahippocampal,0.5573122529644268,0.13448705800118532,0.5617977528089888,0.6900749218463317,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,25,21,18
22,01,rh-parahippocampal,0.6017786561264823,0.15612648221343872,0.5777777777777778,0.683945330793394,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
23,01,rh-parahippocampal,0.5563241106719368,0.08891084489487741,0.5494505494505495,0.6897944257819781,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
24,01,rh-parahippocampal,0.5424901185770751,0.021739130434782608,0.5217391304347826,0.6876528600304643,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,24,22,22
25,01,rh-parahippocampal,0.6788537549407114,0.2440711462450593,0.6304347826086957,0.6695975453702687,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,29,17,17
26,01,rh-parahippocampal,0.6368577075098815,0.2222771122371935,0.6153846153846154,0.6721602901361295,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
27,01,rh-parahippocampal,0.4738142292490119,0.0,0.5054945054945055,0.6943613026932994,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
28,01,rh-parahippocampal,0.5948616600790513,0.2222771122371935,0.6153846153846154,0.6850522185233847,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
29,01,rh-parahippocampal,0.48517786561264825,-0.06534666277174166,0.4545454545454545,0.7011099521992716,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,20,26,22
30,01,rh-parahippocampal,0.5281620553359684,0.022727272727272728,0.5111111111111111,0.698967254581634,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
31,01,rh-parahippocampal,0.6116600790513834,0.2450592885375494,0.6222222222222223,0.6803073748706406,PCA + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
32,01,rh-parahippocampal,0.5429841897233202,0.022727272727272728,0.5111111111111111,0.7003115236295036,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
33,01,rh-parahippocampal,0.5938735177865612,0.11166007905138339,0.5555555555555556,0.6808041559927257,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
34,01,rh-parahippocampal,0.533102766798419,0.022727272727272728,0.5111111111111111,0.6936493627809055,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
35,01,rh-parahippocampal,0.5597826086956521,0.15742605122283215,0.5681818181818181,0.6874081810299886,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,25,21,17
36,01,rh-parahippocampal,0.4767786561264822,0.022727272727272728,0.5111111111111111,0.7296499954421661,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
37,01,rh-parahippocampal,0.5069169960474309,0.08891084489487741,0.5494505494505495,0.6949672400019659,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
38,01,rh-parahippocampal,0.6442687747035573,0.2667325346846322,0.6373626373626373,0.6710244546287177,PCA + Linear-SVM,conscious,conscious,False,Image,False,28,29,17,16
39,01,rh-parahippocampal,0.5247035573122529,-0.021739130434782608,0.4888888888888889,0.6952162581842173,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
40,01,rh-parahippocampal,0.5894268774703557,0.06719367588932806,0.5333333333333332,0.6829250535546866,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
41,01,rh-parahippocampal,0.5523715415019763,0.06719367588932806,0.5333333333333332,0.691414641832991,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
42,01,rh-parahippocampal,0.6126482213438735,0.15612648221343872,0.5777777777777778,0.6824228001283734,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
43,01,rh-parahippocampal,0.5123517786561265,0.022727272727272728,0.5111111111111111,0.6929976452800092,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
44,01,rh-parahippocampal,0.525691699604743,0.0,0.5054945054945055,0.6897807769862879,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
45,01,rh-parahippocampal,0.6126482213438735,0.2450592885375494,0.6222222222222223,0.6786332236958582,PCA + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
46,01,rh-parahippocampal,0.5953557312252964,0.15612648221343872,0.5777777777777778,0.6864770641035493,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
47,01,rh-parahippocampal,0.5726284584980238,0.11166007905138339,0.5555555555555556,0.6883078502855561,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
48,01,rh-parahippocampal,0.5380434782608696,0.1333662673423161,0.5714285714285713,0.7117888211840627,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
49,01,rh-parahippocampal,0.6057312252964427,0.15612648221343872,0.5777777777777778,0.6804850044309859,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
50,01,rh-parahippocampal,0.5335968379446641,0.08891084489487741,0.5494505494505495,0.6948173151793791,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
51,01,rh-parahippocampal,0.5014822134387351,-0.11067193675889328,0.4444444444444445,0.6972436723606665,PCA + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
52,01,rh-parahippocampal,0.6427865612648223,0.2450592885375494,0.6222222222222223,0.679651801887833,PCA + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
53,01,rh-parahippocampal,0.599802371541502,0.22150809553136405,0.6236559139784946,0.6813795180416032,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,29,17,18
54,01,rh-parahippocampal,0.6556324110671937,0.15612648221343872,0.5777777777777778,0.6803507091261387,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
55,01,rh-parahippocampal,0.5983201581027668,0.17782168978975482,0.5934065934065934,0.6764891678867566,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,18
56,01,rh-parahippocampal,0.6472332015810277,0.20059288537549408,0.6,0.6755628923619571,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
57,01,rh-parahippocampal,0.6294466403162055,0.08998766380961665,0.5393258426966292,0.6886527214926464,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,24,22,19
58,01,rh-parahippocampal,0.6225296442687747,0.2222771122371935,0.6153846153846154,0.6790808715614207,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
59,01,rh-parahippocampal,0.6047430830039526,0.15612648221343872,0.5777777777777778,0.6887279348754147,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
60,01,rh-parahippocampal,0.5553359683794467,0.022727272727272728,0.5111111111111111,0.6908477380239986,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
61,01,rh-parahippocampal,0.6101778656126482,0.11067193675889328,0.5652173913043478,0.6779644754284833,PCA + Linear-SVM,conscious,conscious,False,Image,False,24,26,20,20
62,01,rh-parahippocampal,0.4733201581027669,-0.04351051876508937,0.47191011235955055,0.7015679508171198,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
63,01,rh-parahippocampal,0.6319169960474308,0.15612648221343872,0.5777777777777778,0.6812003237926674,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
64,01,rh-parahippocampal,0.4150197628458498,-0.22150809553136405,0.38202247191011235,0.6960593478052527,PCA + Linear-SVM,conscious,conscious,False,Image,False,18,17,29,26
65,01,rh-parahippocampal,0.5296442687747035,0.044455422447438706,0.5274725274725275,0.6986290945034784,PCA + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
66,01,rh-parahippocampal,0.5978260869565217,0.1333662673423161,0.5714285714285713,0.687679161116252,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
67,01,rh-parahippocampal,0.5405138339920948,0.11166007905138339,0.5555555555555556,0.6931164103087044,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
68,01,rh-parahippocampal,0.5182806324110671,-0.06620553359683795,0.4666666666666666,0.692019397198909,PCA + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
69,01,rh-parahippocampal,0.6027667984189724,0.15742605122283215,0.5681818181818181,0.6719289461806964,PCA + Linear-SVM,conscious,conscious,False,Image,False,27,25,21,17
70,01,rh-parahippocampal,0.6793478260869564,0.2450592885375494,0.6222222222222223,0.6619611372739489,PCA + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
71,01,rh-parahippocampal,0.6531620553359684,0.11166007905138339,0.5555555555555556,0.672017061884811,PCA + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
72,01,rh-parahippocampal,0.5113636363636365,-0.021739130434782608,0.4888888888888889,0.6926691036243589,PCA + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
73,01,rh-parahippocampal,0.616106719367589,0.17782168978975482,0.5934065934065934,0.679054662196286,PCA + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,18
