fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-pericalcarine,0.5039525691699605,-0.021739130434782608,0.4888888888888889,0.7010873798152129,None + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
2,01,rh-pericalcarine,0.32065217391304346,-0.28811937676631544,0.34090909090909094,0.7121193773440269,None + Linear-SVM,conscious,conscious,False,Image,False,17,15,31,27
3,01,rh-pericalcarine,0.5390316205533596,0.0009888754264793039,0.49438202247191015,0.6903664203577065,None + Linear-SVM,conscious,conscious,False,Image,False,23,22,24,21
4,01,rh-pericalcarine,0.48468379446640314,-0.044455422447438706,0.4835164835164835,0.7030821450137898,None + Linear-SVM,conscious,conscious,False,Image,False,21,22,24,23
5,01,rh-pericalcarine,0.49308300395256915,0.022727272727272728,0.5111111111111111,0.6982529362908181,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
6,01,rh-pericalcarine,0.5706521739130435,0.044455422447438706,0.5274725274725275,0.6858241721995922,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
7,01,rh-pericalcarine,0.5395256916996047,0.06719367588932806,0.5333333333333332,0.6962993598851326,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
8,01,rh-pericalcarine,0.3908102766798419,-0.11067193675889328,0.4444444444444445,0.7118165139244138,None + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
9,01,rh-pericalcarine,0.6803359683794467,0.2450592885375494,0.6222222222222223,0.6691792254980353,None + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
10,01,rh-pericalcarine,0.5573122529644269,0.044455422447438706,0.5274725274725275,0.6892518909836407,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
11,01,rh-pericalcarine,0.49308300395256915,-0.021739130434782608,0.4888888888888889,0.693476394004773,None + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
12,01,rh-pericalcarine,0.6427865612648221,0.2450592885375494,0.6222222222222223,0.6869707633444272,None + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
13,01,rh-pericalcarine,0.4318181818181818,-0.08891084489487741,0.46153846153846156,0.6985844731873064,None + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,24
14,01,rh-pericalcarine,0.5410079051383399,0.11166007905138339,0.5555555555555556,0.6910327057674547,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
15,01,rh-pericalcarine,0.35721343873517786,-0.19960474308300397,0.4,0.6960805734490597,None + Linear-SVM,conscious,conscious,False,Image,False,18,18,28,26
16,01,rh-pericalcarine,0.4906126482213439,-0.06620553359683795,0.4666666666666666,0.6977945018363456,None + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
17,01,rh-pericalcarine,0.5360671936758893,0.08800991295665804,0.5591397849462365,0.7021752708564022,None + Linear-SVM,conscious,conscious,False,Image,False,23,26,20,21
18,01,rh-pericalcarine,0.45256916996047436,0.023762422826087874,0.5,0.7290102533628714,None + Linear-SVM,conscious,conscious,False,Image,False,24,22,24,20
19,01,rh-pericalcarine,0.516798418972332,0.06719367588932806,0.5333333333333332,0.6948648193534755,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
20,01,rh-pericalcarine,0.5676877470355731,0.1551383399209486,0.5869565217391305,0.6900647179760668,None + Linear-SVM,conscious,conscious,False,Image,False,25,27,19,19
21,01,rh-pericalcarine,0.5899209486166008,0.06719367588932806,0.5333333333333332,0.6797863629977594,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
22,01,rh-pericalcarine,0.5217391304347826,-0.04351051876508937,0.47191011235955055,0.6936338349224479,None + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
23,01,rh-pericalcarine,0.47233201581027673,-0.06620553359683795,0.4666666666666666,0.6972080537318592,None + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
24,01,rh-pericalcarine,0.46393280632411066,-0.1333662673423161,0.4395604395604396,0.7099407918003589,None + Linear-SVM,conscious,conscious,False,Image,False,19,20,26,25
25,01,rh-pericalcarine,0.7485177865612649,0.4014834231505974,0.6966292134831461,0.6725285378016848,None + Linear-SVM,conscious,conscious,False,Image,False,32,31,15,12
26,01,rh-pericalcarine,0.6472332015810277,0.2222771122371935,0.6153846153846154,0.6689651136894051,None + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
27,01,rh-pericalcarine,0.5701581027667983,0.08998766380961665,0.5393258426966292,0.6871311592370546,None + Linear-SVM,conscious,conscious,False,Image,False,25,24,22,19
28,01,rh-pericalcarine,0.4940711462450593,0.044455422447438706,0.5274725274725275,0.7021125003013697,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
29,01,rh-pericalcarine,0.5405138339920948,0.04351051876508937,0.5376344086021505,0.691781370925981,None + Linear-SVM,conscious,conscious,False,Image,False,22,25,21,22
30,01,rh-pericalcarine,0.4140316205533597,-0.13250930714822673,0.4269662921348315,0.7095227780675984,None + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
31,01,rh-pericalcarine,0.43873517786561267,-0.1551383399209486,0.4222222222222222,0.6949641744861161,None + Linear-SVM,conscious,conscious,False,Image,False,19,19,27,25
32,01,rh-pericalcarine,0.4570158102766798,-0.06620553359683795,0.4666666666666666,0.705544934882005,None + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
33,01,rh-pericalcarine,0.5706521739130436,0.178986452192754,0.5842696629213482,0.692303686735358,None + Linear-SVM,conscious,conscious,False,Image,False,27,26,20,17
34,01,rh-pericalcarine,0.5444664031620553,0.044455422447438706,0.5274725274725275,0.6936600388313152,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
35,01,rh-pericalcarine,0.4683794466403162,-0.10990120557065641,0.4318181818181818,0.699186422181781,None + Linear-SVM,conscious,conscious,False,Image,False,21,19,27,23
36,01,rh-pericalcarine,0.5301383399209486,0.022727272727272728,0.5111111111111111,0.6920004441546966,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
37,01,rh-pericalcarine,0.5400197628458498,0.022727272727272728,0.5111111111111111,0.6908516907245266,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
38,01,rh-pericalcarine,0.5839920948616601,0.06719367588932806,0.5333333333333332,0.6823423232916173,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
39,01,rh-pericalcarine,0.5153162055335969,0.044455422447438706,0.5274725274725275,0.6994652647352597,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
40,01,rh-pericalcarine,0.5439723320158103,0.0,0.5054945054945055,0.6886534787032965,None + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
41,01,rh-pericalcarine,0.6072134387351777,0.11166007905138339,0.5555555555555556,0.6870534888594905,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
42,01,rh-pericalcarine,0.5133399209486166,0.06620553359683795,0.5434782608695652,0.6981286170347821,None + Linear-SVM,conscious,conscious,False,Image,False,23,25,21,21
43,01,rh-pericalcarine,0.5266798418972332,0.022727272727272728,0.5111111111111111,0.6900508270114016,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
44,01,rh-pericalcarine,0.6230237154150198,0.1333662673423161,0.5714285714285713,0.6844039640730217,None + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
45,01,rh-pericalcarine,0.48171936758893275,-0.08891084489487741,0.46153846153846156,0.6941406796546411,None + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,24
46,01,rh-pericalcarine,0.6195652173913043,0.17700870133979538,0.6021505376344086,0.6863756332252298,None + Linear-SVM,conscious,conscious,False,Image,False,25,28,18,19
47,01,rh-pericalcarine,0.5795454545454546,0.06719367588932806,0.5333333333333332,0.6883710268231831,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
48,01,rh-pericalcarine,0.5400197628458498,0.022727272727272728,0.5111111111111111,0.6929875982639401,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
49,01,rh-pericalcarine,0.565711462450593,0.08891084489487741,0.5494505494505495,0.6884079677570327,None + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
50,01,rh-pericalcarine,0.6432806324110671,0.20059288537549408,0.6,0.6806789778015582,None + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
51,01,rh-pericalcarine,0.37648221343873517,-0.2885375494071146,0.3555555555555555,0.7009279482928684,None + Linear-SVM,conscious,conscious,False,Image,False,16,16,30,28
52,01,rh-pericalcarine,0.4866600790513834,-0.11067193675889328,0.4444444444444445,0.6929429647591739,None + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
53,01,rh-pericalcarine,0.5543478260869565,0.0,0.5054945054945055,0.688088404454707,None + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
54,01,rh-pericalcarine,0.5410079051383399,0.06719367588932806,0.5333333333333332,0.6906639269888697,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
55,01,rh-pericalcarine,0.5686758893280632,0.1128715084239174,0.5454545454545454,0.6850115412799379,None + Linear-SVM,conscious,conscious,False,Image,False,26,24,22,18
56,01,rh-pericalcarine,0.5820158102766799,0.15612648221343872,0.5777777777777778,0.689527688744803,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
57,01,rh-pericalcarine,0.5355731225296443,-0.021739130434782608,0.4888888888888889,0.6939342139941174,None + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
58,01,rh-pericalcarine,0.5627470355731226,0.06719367588932806,0.5333333333333332,0.6831574311490078,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
59,01,rh-pericalcarine,0.5844861660079052,0.11166007905138339,0.5555555555555556,0.686940056243154,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
60,01,rh-pericalcarine,0.5019762845849802,0.022727272727272728,0.5111111111111111,0.6979781834931973,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
61,01,rh-pericalcarine,0.5434782608695652,0.06719367588932806,0.5333333333333332,0.6915101600691012,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
62,01,rh-pericalcarine,0.424901185770751,-0.1551383399209486,0.4222222222222222,0.7337884176167409,None + Linear-SVM,conscious,conscious,False,Image,False,19,19,27,25
63,01,rh-pericalcarine,0.6274703557312253,0.1333662673423161,0.5714285714285713,0.6850110528573081,None + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
64,01,rh-pericalcarine,0.5281620553359684,0.06719367588932806,0.5333333333333332,0.6905093523543914,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
65,01,rh-pericalcarine,0.6101778656126482,0.19960474308300397,0.6086956521739131,0.6872715301128595,None + Linear-SVM,conscious,conscious,False,Image,False,26,28,18,18
66,01,rh-pericalcarine,0.49160079051383404,-0.044455422447438706,0.4835164835164835,0.6987241491209721,None + Linear-SVM,conscious,conscious,False,Image,False,21,22,24,23
67,01,rh-pericalcarine,0.5296442687747036,0.044455422447438706,0.5274725274725275,0.6939996863215836,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
68,01,rh-pericalcarine,0.4713438735177865,0.044455422447438706,0.5274725274725275,0.7019486001063373,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
69,01,rh-pericalcarine,0.5854743083003953,0.06719367588932806,0.5333333333333332,0.6839726237647115,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
70,01,rh-pericalcarine,0.5222332015810277,0.04548826961804798,0.5168539325842696,0.6925816655929873,None + Linear-SVM,conscious,conscious,False,Image,False,24,23,23,20
71,01,rh-pericalcarine,0.5163043478260869,0.022727272727272728,0.5111111111111111,0.6926250821273114,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
72,01,rh-pericalcarine,0.4644268774703557,-0.04351051876508937,0.47191011235955055,0.7052597993549398,None + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
73,01,rh-pericalcarine,0.54199604743083,0.044455422447438706,0.5274725274725275,0.691327605843519,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
74,01,rh-pericalcarine,0.44614624505928857,-0.13250930714822673,0.4269662921348315,0.6978901927819554,None + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
75,01,rh-pericalcarine,0.4565217391304348,0.06719367588932806,0.5333333333333332,0.7202042798553742,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
76,01,rh-pericalcarine,0.42391304347826086,-0.17782168978975482,0.4175824175824176,0.6950492701463288,None + Linear-SVM,conscious,conscious,False,Image,False,18,19,27,26
77,01,rh-pericalcarine,0.5760869565217391,0.178986452192754,0.5842696629213482,0.6888257380434928,None + Linear-SVM,conscious,conscious,False,Image,False,27,26,20,17
78,01,rh-pericalcarine,0.5548418972332017,0.08891084489487741,0.5494505494505495,0.6914630239671525,None + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
79,01,rh-pericalcarine,0.5029644268774703,0.044455422447438706,0.5274725274725275,0.693226105096215,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
80,01,rh-pericalcarine,0.5212450592885375,0.044455422447438706,0.5274725274725275,0.69168136107959,None + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
81,01,rh-pericalcarine,0.4861660079051383,-0.06620553359683795,0.4666666666666666,0.6989807989850879,None + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
82,01,rh-pericalcarine,0.5899209486166007,0.11166007905138339,0.5555555555555556,0.6878582950073949,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
83,01,rh-pericalcarine,0.45454545454545453,0.022727272727272728,0.5111111111111111,0.6958243130976034,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
84,01,rh-pericalcarine,0.48320158102766797,0.022727272727272728,0.5111111111111111,0.699553840101898,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
