fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-superiorfrontal,0.47092013888888895,-0.041666666666666664,0.4791666666666667,0.6948411055738376,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
2,01,rh-superiorfrontal,0.4114583333333333,-0.14586499149789456,0.42105263157894735,0.694591758192546,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
3,01,rh-superiorfrontal,0.5303819444444444,0.04170288281141495,0.5106382978723404,0.6919069530159719,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
4,01,rh-superiorfrontal,0.4774305555555555,-0.08333333333333333,0.4583333333333333,0.6953996201516564,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
5,01,rh-superiorfrontal,0.5208333333333334,0.041666666666666664,0.5208333333333334,0.6934290086696667,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
6,01,rh-superiorfrontal,0.4696180555555555,-0.10418927964135326,0.4421052631578947,0.6990873123860887,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
7,01,rh-superiorfrontal,0.4756944444444444,-0.10418927964135326,0.4421052631578947,0.7020155475561523,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
8,01,rh-superiorfrontal,0.4405381944444444,-0.1668115312456598,0.4042553191489362,0.6992754356880182,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,19,29,27
9,01,rh-superiorfrontal,0.4787326388888889,0.08333333333333333,0.5416666666666666,0.7028815168592292,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
10,01,rh-superiorfrontal,0.4114583333333333,-0.22921641521097716,0.37894736842105264,0.7018691908150165,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,19,18,30,29
11,01,rh-superiorfrontal,0.5989583333333334,0.18754070335443587,0.5894736842105263,0.6898712058825366,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
12,01,rh-superiorfrontal,0.3567708333333333,-0.1668115312456598,0.4285714285714286,0.6980820220268447,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,19,21,27,29
13,01,rh-superiorfrontal,0.44748263888888895,-0.16724840200141816,0.3913043478260869,0.7017804134332181,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,18,30,26
14,01,rh-superiorfrontal,0.46701388888888884,-0.12510864843424485,0.425531914893617,0.6959274973276299,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
15,01,rh-superiorfrontal,0.4704861111111112,0.04170288281141495,0.5106382978723404,0.6954609543223352,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
16,01,rh-superiorfrontal,0.4891493055555555,-0.10418927964135326,0.4421052631578947,0.6933196106049943,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
17,01,rh-superiorfrontal,0.5516493055555556,0.0834057656228299,0.5319148936170214,0.6907013797388034,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
18,01,rh-superiorfrontal,0.48611111111111105,-0.125,0.4375,0.6941830273650341,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
19,01,rh-superiorfrontal,0.4032118055555556,-0.1668115312456598,0.4042553191489362,0.6997286717904391,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,19,29,27
20,01,rh-superiorfrontal,0.49392361111111116,0.0834057656228299,0.5319148936170214,0.6957634513487306,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
21,01,rh-superiorfrontal,0.484375,0.0,0.48936170212765956,0.714091342250592,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
22,01,rh-superiorfrontal,0.5529513888888888,0.08333333333333333,0.5416666666666666,0.6905121692835007,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
23,01,rh-superiorfrontal,0.5594618055555555,0.041666666666666664,0.5208333333333334,0.6852776029620777,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
24,01,rh-superiorfrontal,0.4691840277777778,0.0,0.5,0.7064294450028493,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
25,01,rh-superiorfrontal,0.47786458333333337,-0.04170288281141495,0.4680851063829787,0.6976052522334856,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
26,01,rh-superiorfrontal,0.552951388888889,0.14586499149789456,0.577319587628866,0.6890476409956987,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,28,20,21
27,01,rh-superiorfrontal,0.4574652777777778,0.0,0.5,0.7002765934521978,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
28,01,rh-superiorfrontal,0.47656250000000006,-0.041666666666666664,0.4791666666666667,0.6939356587488107,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
29,01,rh-superiorfrontal,0.4466145833333333,-0.0834057656228299,0.44680851063829785,0.7169416246713758,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
