fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.4259751773049645,-0.09485815602836879,0.44680851063829785,0.7274395012486384,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
2,01,lh-pericalcarine,0.4703014184397163,0.07358156028368794,0.5319148936170213,0.7782101477155258,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,22,22
3,01,lh-pericalcarine,0.4649822695035461,-0.031471631205673756,0.4842105263157895,0.7092272303717082,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,23,24,25
4,01,lh-pericalcarine,0.43528368794326244,-0.011576250093244467,0.4666666666666666,0.7222416419927663,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,21,26,22
5,01,lh-pericalcarine,0.50177304964539,-0.03192904970271054,0.47311827956989244,0.7100081794739664,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,25,24
6,01,lh-pericalcarine,0.5212765957446808,0.010638297872340425,0.5052631578947369,0.6979735933068124,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,23,24
7,01,lh-pericalcarine,0.4658687943262411,-0.052328164790553376,0.47916666666666663,0.7001248034647555,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,23,24,26
8,01,lh-pericalcarine,0.49069148936170215,0.052328164790553376,0.5161290322580645,0.7015056574120742,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
9,01,lh-pericalcarine,0.41046099290780147,-0.13696808510638298,0.42553191489361697,0.749678532408827,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,27,27
10,01,lh-pericalcarine,0.5323581560283688,0.13658537928381728,0.5591397849462365,0.6977878465178996,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
11,01,lh-pericalcarine,0.5084219858156028,-0.09485815602836879,0.44680851063829785,0.6940847569109343,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
12,01,lh-pericalcarine,0.5695921985815603,0.2631120466222734,0.6153846153846154,0.6899647717311599,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,32,28,19,16
13,01,lh-pericalcarine,0.4791666666666667,-0.03192904970271054,0.47311827956989244,0.7041079473553479,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,25,24
14,01,lh-pericalcarine,0.5571808510638298,0.052328164790553376,0.5161290322580645,0.6871876979577929,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
15,01,lh-pericalcarine,0.524822695035461,0.010199557543921422,0.4946236559139785,0.7061849140764507,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
