fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-pericalcarine,0.5177304964539007,0.052328164790553376,0.5161290322580645,0.7153041964446815,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
2,01,rh-pericalcarine,0.49379432624113484,-0.011096325860235571,0.47826086956521735,0.6939179058895044,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,22,25,23
3,01,rh-pericalcarine,0.576241134751773,0.11540178894644994,0.5434782608695652,0.6850219723825993,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,22,20
4,01,rh-pericalcarine,0.4463652482269503,-0.09485815602836879,0.44680851063829785,0.6955032035847039,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
5,01,rh-pericalcarine,0.6085992907801419,0.15780141843971632,0.574468085106383,0.6861739584325512,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,20,20
6,01,rh-pericalcarine,0.5602836879432624,0.11540178894644994,0.5434782608695652,0.6906355534125792,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,22,20
7,01,rh-pericalcarine,0.6152482269503546,0.09485815602836879,0.5473684210526316,0.6814866466834887,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,21,22
8,01,rh-pericalcarine,0.4986702127659574,-0.07358156028368794,0.46315789473684216,0.6958269615003632,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,22,22,25,26
9,01,rh-pericalcarine,0.48891843971631205,0.010199557543921422,0.4946236559139785,0.6959740723486305,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
10,01,rh-pericalcarine,0.5545212765957447,0.11540178894644994,0.5434782608695652,0.6936072346233718,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,22,20
11,01,rh-pericalcarine,0.5691489361702128,0.052328164790553376,0.5161290322580645,0.6834179841964934,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
12,01,rh-pericalcarine,0.5802304964539008,0.09445677203718533,0.5376344086021505,0.6855866683411316,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
