fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-pericalcarine,0.5345744680851063,0.11540178894644994,0.5434782608695652,0.69541356857852,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,22,20
2,01,rh-pericalcarine,0.48803191489361697,-0.010638297872340425,0.48936170212765956,0.6947252009009881,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
3,01,rh-pericalcarine,0.6210106382978724,0.26297120102371313,0.6236559139784946,0.6844562484108005,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
4,01,rh-pericalcarine,0.572695035460993,0.010199557543921422,0.4946236559139785,0.6896154644671354,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
5,01,rh-pericalcarine,0.6334219858156029,0.3050998082703451,0.6451612903225806,0.6807397306918088,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,32,30,17,16
6,01,rh-pericalcarine,0.5647163120567376,0.052328164790553376,0.5161290322580645,0.6898992546458689,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
7,01,rh-pericalcarine,0.5944148936170213,0.09445677203718533,0.5376344086021505,0.6837810129515819,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
8,01,rh-pericalcarine,0.5460992907801419,0.07358156028368794,0.5319148936170213,0.6907731274800986,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,22,22
9,01,rh-pericalcarine,0.5775709219858156,0.13658537928381728,0.5591397849462365,0.6895692447164862,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
10,01,rh-pericalcarine,0.56072695035461,0.09485815602836879,0.5473684210526316,0.6883674915929616,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,21,22
11,01,rh-pericalcarine,0.5837765957446809,0.052328164790553376,0.5161290322580645,0.677471003854266,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
12,01,rh-pericalcarine,0.6254432624113475,0.13658537928381728,0.5591397849462365,0.6811508060463862,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
13,01,rh-pericalcarine,0.5997340425531915,0.1999113475177305,0.5957446808510638,0.6848103680377308,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,19,19
14,01,rh-pericalcarine,0.6019503546099291,0.13658537928381728,0.5591397849462365,0.6790572313885583,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
15,01,rh-pericalcarine,0.5234929078014184,-0.010638297872340425,0.48936170212765956,0.6953390028816185,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
16,01,rh-pericalcarine,0.3528368794326241,-0.2208425937770812,0.39583333333333326,0.7023313356656399,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,18,19,28,30
17,01,rh-pericalcarine,0.45789007092198586,-0.13696808510638298,0.42553191489361697,0.6978987932012205,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,27,27
18,01,rh-pericalcarine,0.3648049645390071,-0.17907801418439717,0.40425531914893614,0.6979245006010576,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,20,19,28,28
19,01,rh-pericalcarine,0.6786347517730495,0.3683510638297872,0.6808510638297872,0.6811842433083216,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,33,32,15,15
20,01,rh-pericalcarine,0.6085992907801419,0.26297120102371313,0.6236559139784946,0.6834479556408865,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
21,01,rh-pericalcarine,0.6019503546099291,0.2208425937770812,0.6021505376344086,0.689105667224174,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
22,01,rh-pericalcarine,0.6041666666666666,0.09445677203718533,0.5376344086021505,0.6821782414509768,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
