fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-ventrolateralPFC,0.5963438735177865,0.15612648221343872,0.5777777777777778,0.6829030962360109,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
2,01,rh-ventrolateralPFC,0.7183794466403162,0.3111879571320709,0.6593406593406593,0.6300174962812127,Mutual + Linear-SVM,conscious,conscious,False,Image,False,29,30,16,15
3,01,rh-ventrolateralPFC,0.6269762845849801,0.2450592885375494,0.6222222222222223,0.6614922339481925,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
4,01,rh-ventrolateralPFC,0.6343873517786561,0.20059288537549408,0.6,0.6699680369649188,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
5,01,rh-ventrolateralPFC,0.6966403162055336,0.3784584980237154,0.688888888888889,0.6376451062662927,Mutual + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
6,01,rh-ventrolateralPFC,0.625,0.15612648221343872,0.5777777777777778,0.6678214762820975,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
7,01,rh-ventrolateralPFC,0.6037549407114624,0.15612648221343872,0.5777777777777778,0.6768607138790778,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
8,01,rh-ventrolateralPFC,0.7183794466403162,0.26798524057589135,0.6292134831460675,0.6305831867849584,Mutual + Linear-SVM,conscious,conscious,False,Image,False,29,28,18,15
9,01,rh-ventrolateralPFC,0.6610671936758893,0.20059288537549408,0.6,0.6580717640501389,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
10,01,rh-ventrolateralPFC,0.7504940711462451,0.3339920948616601,0.6666666666666666,0.6379132962225171,Mutual + Linear-SVM,conscious,conscious,False,Image,False,30,30,16,14
11,01,rh-ventrolateralPFC,0.6823122529644269,0.20059288537549408,0.6,0.6368350940838211,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
