fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-inferiorparietal,0.6807725694444444,0.3469771179676268,0.5142857142857142,1.6632775959885573,Mutual + KNN,unconscious,unconscious,False,Image,False,44,18,30,4
2,01,lh-inferiorparietal,0.45138888888888884,-0.12202383114084503,0.25352112676056343,2.2094393256468297,Mutual + KNN,unconscious,unconscious,False,Image,False,34,9,39,14
3,01,lh-inferiorparietal,0.5071614583333334,0.0,0.35135135135135137,1.8179119853384578,Mutual + KNN,unconscious,unconscious,False,Image,False,35,13,35,13
4,01,lh-inferiorparietal,0.5203993055555556,0.0,0.3142857142857143,1.4576355440458022,Mutual + KNN,unconscious,unconscious,False,Image,False,37,11,37,11
5,01,lh-inferiorparietal,0.5069444444444444,-0.027287389727190907,0.24615384615384617,0.7824802483617996,Mutual + KNN,unconscious,unconscious,False,Image,False,39,8,40,9
6,01,lh-inferiorparietal,0.44748263888888884,-0.19245008972987526,0.2222222222222222,3.927964272199702,Mutual + KNN,unconscious,unconscious,False,Image,False,32,8,40,16
7,01,lh-inferiorparietal,0.593967013888889,0.05590169943749474,0.28125,1.0419969673098994,Mutual + KNN,unconscious,unconscious,False,Image,False,41,9,39,7
8,01,lh-inferiorparietal,0.5861545138888888,0.2361125344403821,0.3548387096774194,1.3807672304719663,Mutual + KNN,unconscious,unconscious,False,Image,False,45,11,37,3
9,01,lh-inferiorparietal,0.6217447916666666,0.19101172809033634,0.36923076923076925,1.3668695392221657,Mutual + KNN,unconscious,unconscious,False,Image,False,43,12,36,5
10,01,lh-inferiorparietal,0.451171875,-0.15389675281277312,0.20588235294117646,1.1681519425506421,Mutual + KNN,unconscious,unconscious,False,Image,False,35,7,41,13
11,01,lh-inferiorparietal,0.4800347222222222,0.04419417382415922,0.425,2.5344981260640846,Mutual + KNN,unconscious,unconscious,False,Image,False,33,17,31,15
12,01,lh-inferiorparietal,0.4694010416666667,-0.07843304784240032,0.23880597014925375,2.5121449159221325,Mutual + KNN,unconscious,unconscious,False,Image,False,37,8,40,11
13,01,lh-inferiorparietal,0.5269097222222222,0.15389675281277312,0.3823529411764705,1.7829164041956276,Mutual + KNN,unconscious,unconscious,False,Image,False,41,13,35,7
14,01,lh-inferiorparietal,0.5017361111111112,-0.02316826822856386,0.3466666666666667,1.472205511557453,Mutual + KNN,unconscious,unconscious,False,Image,False,34,13,35,14
15,01,lh-inferiorparietal,0.5672743055555555,0.18333969940564226,0.4736842105263159,1.774469214443374,Mutual + KNN,unconscious,unconscious,False,Image,False,38,18,30,10
16,01,lh-inferiorparietal,0.49739583333333337,0.0,0.29411764705882354,1.4827906022053428,Mutual + KNN,unconscious,unconscious,False,Image,False,38,10,38,10
17,01,lh-inferiorparietal,0.5078125,0.059028133610095526,0.25806451612903225,1.784439138676649,Mutual + KNN,unconscious,unconscious,False,Image,False,42,8,40,6
18,01,lh-inferiorparietal,0.4659288194444445,0.027287389727190907,0.27692307692307694,1.1591653039943326,Mutual + KNN,unconscious,unconscious,False,Image,False,40,9,39,8
19,01,lh-inferiorparietal,0.5883246527777778,0.08186216918157273,0.3076923076923077,1.4025540549066413,Mutual + KNN,unconscious,unconscious,False,Image,False,41,10,38,7
20,01,lh-inferiorparietal,0.6041666666666669,0.24558650754471817,0.39999999999999997,1.3675618999716193,Mutual + KNN,unconscious,unconscious,False,Image,False,44,13,35,4
21,01,lh-inferiorparietal,0.5266927083333334,0.19827263883864388,0.42857142857142855,1.4439966552959715,Mutual + KNN,unconscious,unconscious,False,Image,False,41,15,33,7
22,01,lh-inferiorparietal,0.6046006944444444,0.08186216918157273,0.3076923076923077,2.4161149206981682,Mutual + KNN,unconscious,unconscious,False,Image,False,41,10,38,7
