fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-inferiortemporal,0.4530141843971631,0.0,0.0,18.905671171193692,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
2,01,lh-inferiortemporal,0.5161790780141844,0.0,0.0,16.72424951685943,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
3,01,lh-inferiortemporal,0.5372340425531915,0.0,0.0,15.997108965414679,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
4,01,lh-inferiortemporal,0.5474290780141845,0.0,0.0,15.633526064469722,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
5,01,lh-inferiortemporal,0.6101507092198581,0.0,0.0,13.45208757650535,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
6,01,lh-inferiortemporal,0.5687056737588653,0.0,0.0,14.906393929840021,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
7,01,lh-inferiortemporal,0.5170656028368795,0.0,0.0,16.72428318411965,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
8,01,lh-inferiortemporal,0.5571808510638298,0.0,0.0,15.26992632989465,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
9,01,lh-inferiortemporal,0.5146276595744681,0.0,0.0,16.72419059915405,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
10,01,lh-inferiortemporal,0.462322695035461,0.0,0.0,18.542054602988514,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
11,01,lh-inferiortemporal,0.47406914893617014,0.0,0.0,18.178530619748937,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
12,01,lh-inferiortemporal,0.5363475177304964,0.0,0.0,15.99707529815446,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
13,01,lh-inferiortemporal,0.47362588652482274,0.0,0.0,18.178513786118828,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
14,01,lh-inferiortemporal,0.5363475177304964,0.0,0.0,15.997075298154462,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
15,01,lh-inferiortemporal,0.6114804964539007,0.0,0.0,13.452138077395679,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
16,01,lh-inferiortemporal,0.5152925531914894,0.0,0.0,16.724215849599215,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
17,01,lh-inferiortemporal,0.536790780141844,0.0,0.0,15.997092131784571,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
18,01,lh-inferiortemporal,0.43151595744680854,0.0,0.0,19.632794889008338,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
19,01,lh-inferiortemporal,0.5789007092198581,0.0,0.0,14.542811028895061,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
20,01,lh-inferiortemporal,0.5356826241134751,0.0,0.0,15.997050047709296,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
21,01,lh-inferiortemporal,0.5777925531914894,0.0,0.0,14.54276894481979,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
22,01,lh-inferiortemporal,0.5150709219858155,0.0,0.0,16.72420743278416,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
23,01,lh-inferiortemporal,0.44215425531914887,0.0,0.0,19.26922882169349,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
24,01,lh-inferiortemporal,0.4844858156028369,0.0,0.0,17.81495613561903,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
25,01,lh-inferiortemporal,0.5800088652482269,0.0,0.0,14.542853112970338,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
26,01,lh-inferiortemporal,0.6205673758865249,0.0,0.0,13.088513092375447,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
27,01,lh-inferiortemporal,0.6427304964539007,0.0,0.0,12.361414625005969,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
28,01,lh-inferiortemporal,0.5259308510638298,0.0,0.0,16.360649782284366,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
29,01,lh-inferiortemporal,0.5791223404255319,0.0,0.0,14.542819445710117,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
30,01,lh-inferiortemporal,0.5150709219858155,0.0,0.0,16.72420743278416,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
31,01,lh-inferiortemporal,0.6438386524822695,0.0,0.0,12.361456709081244,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
32,01,lh-inferiortemporal,0.5465425531914894,0.0,0.0,15.633492397209501,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
33,01,lh-inferiortemporal,0.47296099290780147,0.0,0.0,18.178488535673665,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
34,01,lh-inferiortemporal,0.5571808510638298,0.0,0.0,15.269926329894652,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
35,01,lh-inferiortemporal,0.42065602836879434,0.0,0.0,19.99635253950813,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
36,01,lh-inferiortemporal,0.5571808510638298,0.0,0.0,15.269926329894655,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
37,01,lh-inferiortemporal,0.5902039007092198,0.0,0.0,14.17927021202538,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
38,01,lh-inferiortemporal,0.5055407801418439,0.0,0.0,17.087815584174283,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
39,01,lh-inferiortemporal,0.5580673758865249,0.0,0.0,15.269959997154869,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
40,01,lh-inferiortemporal,0.5374556737588652,0.0,0.0,15.997117382229733,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
41,01,lh-inferiortemporal,0.5899822695035462,0.0,0.0,14.179261795210323,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
42,01,lh-inferiortemporal,0.475177304964539,0.0,0.0,18.178572703824212,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
