fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-lateraloccipital,0.6077127659574467,0.1575678272153451,0.5652173913043478,0.6807570773116539,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,26,21,19
2,01,lh-lateraloccipital,0.6223404255319149,0.11618626419597444,0.5625,0.67069503952951,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,27,20,22
3,01,lh-lateraloccipital,0.6139184397163121,0.19973386548424027,0.5869565217391305,0.6820553763555633,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,27,20,18
4,01,lh-lateraloccipital,0.6218971631205674,0.17871398653044923,0.5806451612903226,0.6732535068279787,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,20,19
5,01,lh-lateraloccipital,0.6653368794326241,0.2840659420220306,0.6304347826086957,0.6554684930702583,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,32,29,18,16
6,01,lh-lateraloccipital,0.5864361702127661,0.13658537928381728,0.5591397849462365,0.6941965976815372,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
7,01,lh-lateraloccipital,0.6134751773049646,0.13658537928381728,0.5591397849462365,0.672828893598523,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
8,01,lh-lateraloccipital,0.688386524822695,0.2840659420220306,0.6304347826086957,0.6593189273083042,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,32,29,18,16
9,01,lh-lateraloccipital,0.6808510638297873,0.24257208593587032,0.625,0.648130892159018,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,30,17,19
10,01,lh-lateraloccipital,0.5558510638297872,0.13658537928381728,0.5591397849462365,0.7209260940846014,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
11,01,lh-lateraloccipital,0.5828900709219859,0.11569148936170212,0.5531914893617021,0.7029482613378305,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,21,21
12,01,lh-lateraloccipital,0.6715425531914894,0.3472284155169771,0.6666666666666667,0.649134245103206,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,33,31,16,15
13,01,lh-lateraloccipital,0.6533687943262412,0.26297120102371313,0.6236559139784946,0.6599057960682203,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
14,01,lh-lateraloccipital,0.6320921985815603,0.3050998082703451,0.6451612903225806,0.6731495981726902,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,32,30,17,16
15,01,lh-lateraloccipital,0.6830673758865249,0.2841312056737589,0.6382978723404256,0.6514895335400404,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,30,17,17
16,01,lh-lateraloccipital,0.6817375886524822,0.26297120102371313,0.6236559139784946,0.6439619569762961,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
17,01,lh-lateraloccipital,0.6148049645390071,0.2208896742757937,0.5934065934065934,0.6726488399018719,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,27,20,17
18,01,lh-lateraloccipital,0.6906028368794327,0.26297120102371313,0.6236559139784946,0.6459316746057563,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
19,01,lh-lateraloccipital,0.5651595744680852,0.07323575067755476,0.5217391304347825,0.700390524707586,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,23,21
20,01,lh-lateraloccipital,0.6143617021276596,0.09445677203718533,0.5376344086021505,0.6732994005002959,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
21,01,lh-lateraloccipital,0.6276595744680851,0.13658537928381728,0.5591397849462365,0.6661285191518048,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
22,01,lh-lateraloccipital,0.5709219858156028,0.17871398653044923,0.5806451612903226,0.7093288805252881,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,20,19
23,01,lh-lateraloccipital,0.6254432624113475,0.2208425937770812,0.6021505376344086,0.6710917082613929,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
24,01,lh-lateraloccipital,0.6431737588652482,0.17871398653044923,0.5806451612903226,0.6618358952059759,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,20,19
25,01,lh-lateraloccipital,0.5886524822695036,0.11618626419597444,0.5625,0.6846776704613268,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,27,20,22
26,01,lh-lateraloccipital,0.6919326241134752,0.3262411347517731,0.6595744680851063,0.6461620474124525,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,32,31,16,16
27,01,lh-lateraloccipital,0.6728723404255319,0.2208425937770812,0.6021505376344086,0.6572377818052899,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
28,01,lh-lateraloccipital,0.7601950354609929,0.389357022763609,0.6881720430107526,0.6279095666027091,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,34,32,15,14
29,01,lh-lateraloccipital,0.6706560283687943,0.2208425937770812,0.6021505376344086,0.655469835094246,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
30,01,lh-lateraloccipital,0.6112588652482269,0.26297120102371313,0.6236559139784946,0.6754531782406583,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
31,01,lh-lateraloccipital,0.6839539007092198,0.24202127659574468,0.6170212765957447,0.6464741779547645,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,18,18
32,01,lh-lateraloccipital,0.6174645390070922,0.17871398653044923,0.5806451612903226,0.677277988420849,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,20,19
33,01,lh-lateraloccipital,0.6227836879432624,0.1999113475177305,0.5957446808510638,0.6758129517469296,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,19,19
34,01,lh-lateraloccipital,0.5961879432624113,0.031471631205673756,0.5106382978723404,0.6829964580406669,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
35,01,lh-lateraloccipital,0.6050531914893618,0.2208425937770812,0.6021505376344086,0.6826725806364817,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
36,01,lh-lateraloccipital,0.601063829787234,0.2632978723404255,0.631578947368421,0.6882678322492733,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,30,17,18
37,01,lh-lateraloccipital,0.7344858156028369,0.3472284155169771,0.6666666666666667,0.6362682475413666,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,33,31,16,15
38,01,lh-lateraloccipital,0.7007978723404256,0.3689579076757662,0.6875000000000001,0.6450429896292609,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,32,33,14,16
39,01,lh-lateraloccipital,0.6374113475177305,0.24202127659574468,0.6170212765957447,0.6624506334286263,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,18,18
40,01,lh-lateraloccipital,0.6227836879432624,0.2208425937770812,0.6021505376344086,0.6718112885870844,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
41,01,lh-lateraloccipital,0.6214539007092199,0.1575678272153451,0.5652173913043478,0.6735552946176268,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,26,21,19
42,01,lh-lateraloccipital,0.6001773049645389,0.11569148936170212,0.5531914893617021,0.6826595042135531,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,21,21
43,01,lh-lateraloccipital,0.586436170212766,0.22118794326241134,0.6105263157894737,0.6883329510900679,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,18,19
44,01,lh-lateraloccipital,0.6852836879432624,0.3262411347517731,0.6595744680851063,0.6420766563471721,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,32,31,16,16
45,01,lh-lateraloccipital,0.6897163120567376,0.24189990375313544,0.608695652173913,0.6480170144394946,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,28,19,17
46,01,lh-lateraloccipital,0.6054964539007093,0.1999113475177305,0.5957446808510638,0.6884502707031881,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,19,19
47,01,lh-lateraloccipital,0.7149822695035462,0.3262319802909258,0.6521739130434782,0.6414905089427643,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,33,30,17,15
