fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.5396719858156028,0.15550680298218,0.40579710144927533,3.508228822824053,Mutual + KNN,glimpse,glimpse,False,Image,False,40,14,33,8
2,01,lh-pericalcarine,0.43927304964539005,-0.110063199194235,0.29729729729729726,1.8909089052597492,Mutual + KNN,glimpse,glimpse,False,Image,False,32,11,36,16
3,01,lh-pericalcarine,0.4818262411347518,-0.04863481726553348,0.24615384615384614,1.5043246256486085,Mutual + KNN,glimpse,glimpse,False,Image,False,38,8,39,10
4,01,lh-pericalcarine,0.6043882978723404,0.14223084735915253,0.34375,3.1190375992617363,Mutual + KNN,glimpse,glimpse,False,Image,False,42,11,36,6
5,01,lh-pericalcarine,0.5208333333333333,0.057078706392176194,0.3283582089552239,2.4989107052500006,Mutual + KNN,glimpse,glimpse,False,Image,False,39,11,36,9
6,01,lh-pericalcarine,0.5970744680851064,0.13245142221020847,0.38235294117647056,1.0557932353209392,Mutual + KNN,glimpse,glimpse,False,Image,False,40,13,34,8
7,01,lh-pericalcarine,0.5538563829787234,0.13684968717330934,0.3636363636363636,1.4222854843272974,Mutual + KNN,glimpse,glimpse,False,Image,False,41,12,35,7
8,01,lh-pericalcarine,0.5305851063829787,0.058814197623435836,0.3076923076923077,2.1327342317108213,Mutual + KNN,glimpse,glimpse,False,Image,False,40,10,37,8
9,01,lh-pericalcarine,0.5729166666666666,0.21200662374236873,0.417910447761194,2.804077770957273,Mutual + KNN,glimpse,glimpse,False,Image,False,42,14,33,6
10,01,lh-pericalcarine,0.4804964539007093,-0.01976089766845852,0.29411764705882354,3.582755697645823,Mutual + KNN,glimpse,glimpse,False,Image,False,37,10,37,11
11,01,lh-pericalcarine,0.39937943262411346,-0.17197321754712552,0.20588235294117646,4.708502079804367,Mutual + KNN,glimpse,glimpse,False,Image,False,34,7,40,14
12,01,lh-pericalcarine,0.5416666666666667,0.20541608096632563,0.43478260869565216,2.825852699552449,Mutual + KNN,glimpse,glimpse,False,Image,False,41,15,32,7
13,01,lh-pericalcarine,0.523936170212766,0.19151829076408838,0.48,3.5528419061586467,Mutual + KNN,glimpse,glimpse,False,Image,False,38,18,29,10
14,01,lh-pericalcarine,0.5977393617021276,0.13684968717330934,0.3636363636363636,2.786293742466597,Mutual + KNN,glimpse,glimpse,False,Image,False,41,12,35,7
15,01,lh-pericalcarine,0.4543439716312057,0.0047374746856677415,0.25396825396825395,2.2152149573258173,Mutual + KNN,glimpse,glimpse,False,Image,False,40,8,39,8
16,01,lh-pericalcarine,0.5172872340425532,0.07967480458222675,0.37142857142857144,2.519551325340456,Mutual + KNN,glimpse,glimpse,False,Image,False,38,13,34,10
17,01,lh-pericalcarine,0.4554521276595745,-0.1560838321545028,0.18461538461538457,2.926531531935349,Mutual + KNN,glimpse,glimpse,False,Image,False,36,6,41,12
18,01,lh-pericalcarine,0.5405585106382979,0.0348213504340377,0.23333333333333334,3.1904785307383863,Mutual + KNN,glimpse,glimpse,False,Image,False,42,7,40,6
19,01,lh-pericalcarine,0.5855496453900709,0.0050896901789511785,0.27692307692307694,2.104228440120272,Mutual + KNN,glimpse,glimpse,False,Image,False,39,9,38,9
20,01,lh-pericalcarine,0.48404255319148937,0.031580697039994464,0.30303030303030304,2.5418783056944587,Mutual + KNN,glimpse,glimpse,False,Image,False,39,10,37,9
21,01,lh-pericalcarine,0.5082003546099291,0.03052476279448947,0.3428571428571428,2.5267252648982614,Mutual + KNN,glimpse,glimpse,False,Image,False,37,12,35,11
22,01,lh-pericalcarine,0.500886524822695,-0.02254879287401199,0.25,2.523549435558149,Mutual + KNN,glimpse,glimpse,False,Image,False,39,8,39,9
23,01,lh-pericalcarine,0.4612145390070922,0.0050896901789511785,0.27692307692307694,4.6211076148259504,Mutual + KNN,glimpse,glimpse,False,Image,False,39,9,38,9
24,01,lh-pericalcarine,0.47717198581560283,0.030976542291097142,0.3235294117647059,2.552063643963753,Mutual + KNN,glimpse,glimpse,False,Image,False,38,11,36,10
25,01,lh-pericalcarine,0.492686170212766,0.05368376770728199,0.3835616438356164,4.278729264818483,Mutual + KNN,glimpse,glimpse,False,Image,False,36,14,33,12
26,01,lh-pericalcarine,0.47362588652482274,-0.10235932471001814,0.21538461538461537,3.245158068062077,Mutual + KNN,glimpse,glimpse,False,Image,False,37,7,40,11
27,01,lh-pericalcarine,0.5022163120567376,-0.04075989770367707,0.3287671232876712,2.5147312198120684,Mutual + KNN,glimpse,glimpse,False,Image,False,34,12,35,14
28,01,lh-pericalcarine,0.493572695035461,0.02997256763771578,0.37837837837837834,2.5567289423804307,Mutual + KNN,glimpse,glimpse,False,Image,False,35,14,33,13
29,01,lh-pericalcarine,0.48160460992907805,-0.04863481726553348,0.24615384615384614,2.530322382628796,Mutual + KNN,glimpse,glimpse,False,Image,False,38,8,39,10
30,01,lh-pericalcarine,0.48271276595744683,-0.02254879287401199,0.25,2.1849291716366874,Mutual + KNN,glimpse,glimpse,False,Image,False,39,8,39,9
31,01,lh-pericalcarine,0.5915336879432626,0.12127185659842099,0.4473684210526315,1.4162087237408387,Mutual + KNN,glimpse,glimpse,False,Image,False,36,17,30,12
32,01,lh-pericalcarine,0.46874999999999994,-0.0907853264224108,0.28169014084507044,3.597711847255037,Mutual + KNN,glimpse,glimpse,False,Image,False,34,10,37,14
33,01,lh-pericalcarine,0.557845744680851,0.0047374746856677415,0.25396825396825395,2.828315508778263,Mutual + KNN,glimpse,glimpse,False,Image,False,40,8,39,8
34,01,lh-pericalcarine,0.49933510638297873,0.0050896901789511785,0.27692307692307694,1.4902841051851217,Mutual + KNN,glimpse,glimpse,False,Image,False,39,9,38,9
35,01,lh-pericalcarine,0.4326241134751773,-0.19385814290683928,0.20289855072463767,3.9676585715353165,Mutual + KNN,glimpse,glimpse,False,Image,False,33,7,40,15
36,01,lh-pericalcarine,0.4461436170212766,0.005778969029743176,0.31884057971014496,3.6255467028065627,Mutual + KNN,glimpse,glimpse,False,Image,False,37,11,36,11
37,01,lh-pericalcarine,0.48714539007092195,0.1172524984702766,0.31746031746031744,2.1756968776133783,Mutual + KNN,glimpse,glimpse,False,Image,False,42,10,37,6
38,01,lh-pericalcarine,0.457668439716312,-0.0815895310098998,0.3544303797468354,2.903930860189439,Mutual + KNN,glimpse,glimpse,False,Image,False,30,14,33,18
39,01,lh-pericalcarine,0.43683510638297873,-0.03937304962408923,0.34666666666666673,2.5942005467155766,Mutual + KNN,glimpse,glimpse,False,Image,False,33,13,34,15
40,01,lh-pericalcarine,0.5044326241134751,0.030976542291097142,0.3235294117647059,2.529065727570725,Mutual + KNN,glimpse,glimpse,False,Image,False,38,11,36,10
41,01,lh-pericalcarine,0.5463209219858156,0.03237775387037619,0.28125,2.145808622138253,Mutual + KNN,glimpse,glimpse,False,Image,False,40,9,38,8
42,01,lh-pericalcarine,0.4574468085106383,0.03342739388493417,0.25806451612903225,2.5672166847599494,Mutual + KNN,glimpse,glimpse,False,Image,False,41,8,39,7
43,01,lh-pericalcarine,0.5693705673758865,-0.015125495013558083,0.38461538461538464,2.4776809038673444,Mutual + KNN,glimpse,glimpse,False,Image,False,32,15,32,16
44,01,lh-pericalcarine,0.5684840425531915,0.05568824701388879,0.34782608695652173,1.77001915799187,Mutual + KNN,glimpse,glimpse,False,Image,False,38,12,35,10
45,01,lh-pericalcarine,0.4800531914893617,-0.07049833762801419,0.2647058823529412,2.539407079653589,Mutual + KNN,glimpse,glimpse,False,Image,False,36,9,38,12
46,01,lh-pericalcarine,0.495345744680851,0.005778969029743176,0.31884057971014496,2.181573284739701,Mutual + KNN,glimpse,glimpse,False,Image,False,37,11,36,11
47,01,lh-pericalcarine,0.5050975177304964,0.03052476279448947,0.3428571428571428,2.1839305810422736,Mutual + KNN,glimpse,glimpse,False,Image,False,37,12,35,11
48,01,lh-pericalcarine,0.42265070921985815,-0.03704352269989703,0.379746835443038,2.9858174499703356,Mutual + KNN,glimpse,glimpse,False,Image,False,31,15,32,17
49,01,lh-pericalcarine,0.5910904255319148,0.2271249299454386,0.4571428571428571,2.441882288438792,Mutual + KNN,glimpse,glimpse,False,Image,False,41,16,31,7
50,01,lh-pericalcarine,0.5356826241134752,0.006120359084656908,0.3380281690140845,1.7959960125380285,Mutual + KNN,glimpse,glimpse,False,Image,False,36,12,35,12
51,01,lh-pericalcarine,0.5252659574468085,0.1055975249980344,0.37681159420289856,2.1639608969908433,Mutual + KNN,glimpse,glimpse,False,Image,False,39,13,34,9
52,01,lh-pericalcarine,0.5104166666666666,0.1172524984702766,0.31746031746031744,1.4683952468516506,Mutual + KNN,glimpse,glimpse,False,Image,False,42,10,37,6
53,01,lh-pericalcarine,0.5897606382978724,-0.02254879287401199,0.25,2.110697776378834,Mutual + KNN,glimpse,glimpse,False,Image,False,39,8,39,9
54,01,lh-pericalcarine,0.5667109929078015,-0.02254879287401199,0.25,1.0781117988598874,Mutual + KNN,glimpse,glimpse,False,Image,False,39,8,39,9
55,01,lh-pericalcarine,0.5261524822695035,0.03342739388493417,0.25806451612903225,3.192029173091627,Mutual + KNN,glimpse,glimpse,False,Image,False,41,8,39,7
56,01,lh-pericalcarine,0.5157358156028369,0.0348213504340377,0.23333333333333334,1.1176298785723262,Mutual + KNN,glimpse,glimpse,False,Image,False,42,7,40,6
57,01,lh-pericalcarine,0.4015957446808511,-0.19875109831407883,0.2631578947368421,3.6698814257742343,Mutual + KNN,glimpse,glimpse,False,Image,False,29,10,37,19
58,01,lh-pericalcarine,0.5731382978723404,0.005778969029743176,0.31884057971014496,2.11689342124549,Mutual + KNN,glimpse,glimpse,False,Image,False,37,11,36,11
59,01,lh-pericalcarine,0.4709663120567376,-0.13923816917594464,0.25352112676056343,3.234334254312116,Mutual + KNN,glimpse,glimpse,False,Image,False,33,9,38,15
60,01,lh-pericalcarine,0.4968971631205674,0.07800871538350833,0.3888888888888889,2.186459518086665,Mutual + KNN,glimpse,glimpse,False,Image,False,37,14,33,11
61,01,lh-pericalcarine,0.5013297872340425,-0.04075989770367707,0.3287671232876712,3.561909769553331,Mutual + KNN,glimpse,glimpse,False,Image,False,34,12,35,14
62,01,lh-pericalcarine,0.5378989361702128,-0.02254879287401199,0.25,2.1506455612967494,Mutual + KNN,glimpse,glimpse,False,Image,False,39,8,39,9
63,01,lh-pericalcarine,0.5234929078014184,0.005436067275445352,0.2985074626865672,3.5517244312840357,Mutual + KNN,glimpse,glimpse,False,Image,False,38,10,37,10
64,01,lh-pericalcarine,0.5558510638297872,0.030196922083938708,0.36111111111111105,1.4471941581873122,Mutual + KNN,glimpse,glimpse,False,Image,False,36,13,34,12
65,01,lh-pericalcarine,0.5693705673758865,0.14223084735915253,0.34375,1.410724606719734,Mutual + KNN,glimpse,glimpse,False,Image,False,42,11,36,6
66,01,lh-pericalcarine,0.4946808510638298,0.0050896901789511785,0.27692307692307694,2.872232405628667,Mutual + KNN,glimpse,glimpse,False,Image,False,39,9,38,9
67,01,lh-pericalcarine,0.43860815602836883,-0.16105025111433977,0.24999999999999994,4.313967411673153,Mutual + KNN,glimpse,glimpse,False,Image,False,32,9,38,16
