fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.4530141843971631,-0.09485815602836879,0.44680851063829785,0.7095767582890614,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,22,21,26,26
2,01,lh-pericalcarine,0.40159574468085113,-0.05274822695035461,0.46808510638297873,0.7227156987311687,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
3,01,lh-pericalcarine,0.47384751773049644,-0.09485815602836879,0.44680851063829785,0.707029171452368,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,22,21,26,26
4,01,lh-pericalcarine,0.4512411347517731,-0.03192904970271054,0.47311827956989244,0.7054281473991167,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,24,22,25,24
5,01,lh-pericalcarine,0.4809397163120568,-0.03192904970271054,0.47311827956989244,0.7011537828914497,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,24,22,25,24
6,01,lh-pericalcarine,0.5288120567375887,0.052328164790553376,0.5161290322580645,0.6913734793554605,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,26,24,23,22
7,01,lh-pericalcarine,0.6387411347517731,0.26297120102371313,0.6236559139784946,0.6870279480512775,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,31,29,18,17
8,01,lh-pericalcarine,0.47960992907801425,-0.07358156028368794,0.46315789473684216,0.7030664872824297,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,22,22,25,26
9,01,lh-pericalcarine,0.3967198581560284,-0.17907801418439717,0.40425531914893614,0.7250083963882762,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,20,19,28,28
10,01,lh-pericalcarine,0.5212765957446809,-0.010638297872340425,0.48936170212765956,0.6926241687340938,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,24,23,24,24
11,01,lh-pericalcarine,0.4862588652482269,-0.05274822695035461,0.46808510638297873,0.6990523691863563,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
12,01,lh-pericalcarine,0.5026595744680851,0.010199557543921422,0.4946236559139785,0.6964864490774877,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,25,23,24,23
13,01,lh-pericalcarine,0.45035460992907805,-0.09485815602836879,0.44680851063829785,0.7049981216279108,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,22,21,26,26
14,01,lh-pericalcarine,0.549645390070922,0.052328164790553376,0.5161290322580645,0.6906269841218728,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,26,24,23,22
15,01,lh-pericalcarine,0.48492907801418433,-0.011096325860235571,0.47826086956521735,0.6971501728366017,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,25,22,25,23
16,01,lh-pericalcarine,0.512854609929078,-0.05274822695035461,0.46808510638297873,0.6939221794428251,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
17,01,lh-pericalcarine,0.475177304964539,-0.07405765694934249,0.45161290322580644,0.7004889227976923,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,21,26,25
18,01,lh-pericalcarine,0.42774822695035464,-0.05274822695035461,0.46808510638297873,0.7362342908950057,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
19,01,lh-pericalcarine,0.4698581560283688,0.010199557543921422,0.4946236559139785,0.6982469342239438,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,25,23,24,23
20,01,lh-pericalcarine,0.4654255319148936,-0.07405765694934249,0.45161290322580644,0.7034277759941248,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,21,26,25
21,01,lh-pericalcarine,0.450354609929078,-0.05274822695035461,0.46808510638297873,0.7067004579889187,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
22,01,lh-pericalcarine,0.40469858156028365,-0.05274822695035461,0.46808510638297873,0.7072593058130361,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
23,01,lh-pericalcarine,0.4273049645390071,-0.13696808510638298,0.42553191489361697,0.7011496510962815,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,21,20,27,27
24,01,lh-pericalcarine,0.4804964539007092,-0.05274822695035461,0.46808510638297873,0.695192556066566,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
25,01,lh-pericalcarine,0.5093085106382979,0.052328164790553376,0.5161290322580645,0.6949999795863027,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,26,24,23,22
26,01,lh-pericalcarine,0.47650709219858156,-0.11569148936170212,0.4421052631578947,0.7019921640416427,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,21,21,26,27
27,01,lh-pericalcarine,0.47562056737588654,-0.05274822695035461,0.46808510638297873,0.6970311905152646,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
28,01,lh-pericalcarine,0.41533687943262415,-0.13696808510638298,0.42553191489361697,0.7004896596032391,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,21,20,27,27
29,01,lh-pericalcarine,0.49556737588652483,0.010199557543921422,0.4946236559139785,0.6996935488791335,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,25,23,24,23
30,01,lh-pericalcarine,0.45434397163120566,-0.05274822695035461,0.46808510638297873,0.7009965062615092,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
31,01,lh-pericalcarine,0.5177304964539008,0.010199557543921422,0.4946236559139785,0.6919095869662999,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,25,23,24,23
32,01,lh-pericalcarine,0.43617021276595747,-0.07405765694934249,0.45161290322580644,0.7121276800626422,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,21,26,25
33,01,lh-pericalcarine,0.5124113475177305,-0.010638297872340425,0.48936170212765956,0.6930266904977992,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,24,23,24,24
34,01,lh-pericalcarine,0.5057624113475178,-0.03192904970271054,0.47311827956989244,0.6944970943987036,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,24,22,25,24
35,01,lh-pericalcarine,0.45833333333333337,-0.010638297872340425,0.48936170212765956,0.7079780208387152,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,24,23,24,24
36,01,lh-pericalcarine,0.4007092198581561,-0.20044347868923837,0.3870967741935484,0.7206147625566842,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,20,18,29,28
37,01,lh-pericalcarine,0.5208333333333334,-0.05274822695035461,0.46808510638297873,0.6918114599634075,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
38,01,lh-pericalcarine,0.4645390070921986,-0.05274822695035461,0.46808510638297873,0.7087403974870458,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,23,22,25,25
39,01,lh-pericalcarine,0.509308510638298,0.07358156028368794,0.5319148936170213,0.6979190775589296,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,26,25,22,22
40,01,lh-pericalcarine,0.4574468085106384,-0.1375944406669211,0.41304347826086957,0.7038386861683581,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,22,19,28,26
41,01,lh-pericalcarine,0.4574468085106383,-0.09485815602836879,0.44680851063829785,0.7003656969692631,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,22,21,26,26
42,01,lh-pericalcarine,0.46542553191489366,0.031471631205673756,0.5106382978723404,0.6991740122187475,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,25,24,23,23
43,01,lh-pericalcarine,0.4853723404255319,-0.03192904970271054,0.47311827956989244,0.6957376863730967,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,24,22,25,24
44,01,lh-pericalcarine,0.44902482269503546,0.09445677203718533,0.5376344086021505,0.7047849309195605,RandomForest + Ensemble-SVMs,glimpse,glimpse,False,Image,False,27,25,22,21
