fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.44921874999999994,-0.03573708449459316,0.14035087719298245,1.4993085333076006,Mutual + KNN,unconscious,unconscious,False,Image,False,43,4,44,5
2,01,lh-pericalcarine,0.4535590277777778,-0.10259783520851541,0.23529411764705882,2.181247127665144,Mutual + KNN,unconscious,unconscious,False,Image,False,36,8,40,12
3,01,lh-pericalcarine,0.4913194444444445,0.0,0.2727272727272727,1.1165041261234794,Mutual + KNN,unconscious,unconscious,False,Image,False,39,9,39,9
4,01,lh-pericalcarine,0.49001736111111116,-0.04956815970966097,0.28571428571428575,0.7760616427428015,Mutual + KNN,unconscious,unconscious,False,Image,False,36,10,38,12
5,01,lh-pericalcarine,0.45095486111111105,-0.07843304784240032,0.23880597014925375,2.529582170438504,Mutual + KNN,unconscious,unconscious,False,Image,False,37,8,40,11
6,01,lh-pericalcarine,0.4461805555555556,-0.09913631941932194,0.2571428571428571,2.5606212883450756,Mutual + KNN,unconscious,unconscious,False,Image,False,35,9,39,13
7,01,lh-pericalcarine,0.564453125,0.16351748504193217,0.2711864406779661,1.7535010083925606,Mutual + KNN,unconscious,unconscious,False,Image,False,45,8,40,3
8,01,lh-pericalcarine,0.4401041666666668,-0.028688765527462346,0.22222222222222224,3.57985961829881,Mutual + KNN,unconscious,unconscious,False,Image,False,40,7,41,8
9,01,lh-pericalcarine,0.44748263888888884,0.0,0.3333333333333333,2.2094510809945356,Mutual + KNN,unconscious,unconscious,False,Image,False,36,12,36,12
10,01,lh-pericalcarine,0.4991319444444444,0.0,0.2727272727272727,1.452176713408357,Mutual + KNN,unconscious,unconscious,False,Image,False,39,9,39,9
11,01,lh-pericalcarine,0.4522569444444444,-0.05337605126836238,0.24242424242424243,2.5400378598364086,Mutual + KNN,unconscious,unconscious,False,Image,False,38,8,40,10
12,01,lh-pericalcarine,0.4494357638888889,-0.12202383114084503,0.25352112676056343,1.500406038679036,Mutual + KNN,unconscious,unconscious,False,Image,False,34,9,39,14
13,01,lh-pericalcarine,0.5425347222222222,0.2008213586922364,0.3492063492063492,1.0671890508290705,Mutual + KNN,unconscious,unconscious,False,Image,False,44,11,37,4
14,01,lh-pericalcarine,0.44878472222222227,0.028688765527462346,0.25396825396825395,1.4901807381535999,Mutual + KNN,unconscious,unconscious,False,Image,False,41,8,40,7
15,01,lh-pericalcarine,0.46983506944444453,-0.12598815766974242,0.13333333333333333,1.4817384513334357,Mutual + KNN,unconscious,unconscious,False,Image,False,40,4,44,8
16,01,lh-pericalcarine,0.45117187499999994,-0.024404766228169006,0.3098591549295775,3.196844906729824,Mutual + KNN,unconscious,unconscious,False,Image,False,36,11,37,12
17,01,lh-pericalcarine,0.4893663194444444,-0.03270349700838643,0.1694915254237288,1.4677147850414582,Mutual + KNN,unconscious,unconscious,False,Image,False,42,5,43,6
18,01,lh-pericalcarine,0.5729166666666667,0.17083336359718304,0.4225352112676057,1.7604538772912945,Mutual + KNN,unconscious,unconscious,False,Image,False,40,15,33,8
19,01,lh-pericalcarine,0.56640625,0.03573708449459316,0.1754385964912281,0.7116219695771714,Mutual + KNN,unconscious,unconscious,False,Image,False,44,5,43,4
20,01,lh-pericalcarine,0.5188802083333333,0.0,0.25,2.8230339905176294,Mutual + KNN,unconscious,unconscious,False,Image,False,40,8,40,8
21,01,lh-pericalcarine,0.3663194444444444,-0.13643694863595454,0.18461538461538463,2.261090568281801,Mutual + KNN,unconscious,unconscious,False,Image,False,37,6,42,11
22,01,lh-pericalcarine,0.4424913194444445,-0.04956815970966097,0.28571428571428575,2.5536968330738437,Mutual + KNN,unconscious,unconscious,False,Image,False,36,10,38,12
23,01,lh-pericalcarine,0.490234375,-0.11867816581938533,0.273972602739726,2.832296089853705,Mutual + KNN,unconscious,unconscious,False,Image,False,33,10,38,15
24,01,lh-pericalcarine,0.3973524305555556,-0.17638342073763938,0.2028985507246377,1.9071672936210107,Mutual + KNN,unconscious,unconscious,False,Image,False,34,7,41,14
25,01,lh-pericalcarine,0.4205729166666667,-0.20459830184114203,0.06896551724137931,2.2188712778003294,Mutual + KNN,unconscious,unconscious,False,Image,False,40,2,46,8
26,01,lh-pericalcarine,0.48090277777777773,-0.10675210253672476,0.21212121212121213,1.477635928567396,Mutual + KNN,unconscious,unconscious,False,Image,False,37,7,41,11
27,01,lh-pericalcarine,0.44769965277777773,-0.1770844008302866,0.12903225806451613,1.5069422902003131,Mutual + KNN,unconscious,unconscious,False,Image,False,38,4,44,10
28,01,lh-pericalcarine,0.546657986111111,-0.07843304784240032,0.23880597014925375,1.7761061686188662,Mutual + KNN,unconscious,unconscious,False,Image,False,37,8,40,11
29,01,lh-pericalcarine,0.46723090277777773,-0.059028133610095526,0.19354838709677416,1.4901689828058933,Mutual + KNN,unconscious,unconscious,False,Image,False,40,6,42,8
30,01,lh-pericalcarine,0.4136284722222222,-0.027287389727190907,0.24615384615384617,1.531603254055326,Mutual + KNN,unconscious,unconscious,False,Image,False,39,8,40,9
