fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.5286458333333334,0.04170288281141495,0.5106382978723404,0.6920448655536386,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
2,01,lh-pericalcarine,0.580295138888889,0.14586499149789456,0.5684210526315789,0.6879907446403718,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
3,01,lh-pericalcarine,0.4973958333333333,-0.10473644811127698,0.4175824175824176,0.6943318868634575,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,19,29,24
4,01,lh-pericalcarine,0.4453125,-0.18754070335443587,0.4123711340206186,0.6939429824377233,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,19,20,28,29
5,01,lh-pericalcarine,0.5143229166666667,0.04170288281141495,0.5106382978723404,0.6937035792937291,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
6,01,lh-pericalcarine,0.5651041666666667,0.12510864843424485,0.5531914893617021,0.6872477905708453,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
7,01,lh-pericalcarine,0.47526041666666663,0.0,0.48936170212765956,0.6953877295253482,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
8,01,lh-pericalcarine,0.42708333333333337,-0.12510864843424485,0.425531914893617,0.6950667696504697,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
9,01,lh-pericalcarine,0.47786458333333337,-0.020874143036171647,0.4731182795698925,0.6960111707111403,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,22,26,23
10,01,lh-pericalcarine,0.5247395833333333,0.04170288281141495,0.5106382978723404,0.6925551477204833,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
11,01,lh-pericalcarine,0.4483506944444444,-0.125,0.4375,0.7026207500351841,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
12,01,lh-pericalcarine,0.6015625,0.20851441405707477,0.5957446808510638,0.689811107119001,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,30,28,20,18
13,01,lh-pericalcarine,0.49218749999999994,0.0,0.5,0.6943754699388083,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
14,01,lh-pericalcarine,0.5364583333333333,0.0834057656228299,0.5319148936170214,0.6919240455332024,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
15,01,lh-pericalcarine,0.48090277777777773,-0.06251356778481196,0.46315789473684216,0.6940229728487209,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
16,01,lh-pericalcarine,0.3958333333333333,-0.14586499149789456,0.42105263157894735,0.7079685143727783,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
17,01,lh-pericalcarine,0.5308159722222223,0.10418927964135326,0.5473684210526316,0.6926474116973521,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
18,01,lh-pericalcarine,0.4262152777777778,-0.08333333333333333,0.4583333333333333,0.6974046156210818,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
19,01,lh-pericalcarine,0.4852430555555555,-0.08333333333333333,0.4583333333333333,0.6933876146537866,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
20,01,lh-pericalcarine,0.5716145833333333,0.06251356778481196,0.5263157894736842,0.6916715714221766,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
21,01,lh-pericalcarine,0.4891493055555555,-0.02083785592827065,0.4842105263157895,0.6929643895344949,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
22,01,lh-pericalcarine,0.5555555555555555,0.14586499149789456,0.577319587628866,0.6899107262658407,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,28,20,21
23,01,lh-pericalcarine,0.45312499999999994,-0.08333333333333333,0.4583333333333333,0.6956832358301422,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
24,01,lh-pericalcarine,0.5286458333333333,0.041666666666666664,0.5208333333333334,0.693326116946826,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
25,01,lh-pericalcarine,0.48220486111111116,0.02083785592827065,0.5052631578947369,0.6990320483691458,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
26,01,lh-pericalcarine,0.5104166666666667,0.0,0.48936170212765956,0.6955280584358706,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
27,01,lh-pericalcarine,0.5021701388888888,-0.020874143036171647,0.4731182795698925,0.6932598649571257,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,22,26,23
28,01,lh-pericalcarine,0.5516493055555556,0.0834057656228299,0.5319148936170214,0.6923936635218538,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
29,01,lh-pericalcarine,0.529079861111111,0.02083785592827065,0.5052631578947369,0.6929294803453695,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
30,01,lh-pericalcarine,0.5078125,0.06251356778481196,0.5263157894736842,0.6937617421388985,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
31,01,lh-pericalcarine,0.5668402777777777,0.16666666666666666,0.5833333333333334,0.6874188750927681,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,28,20,20
32,01,lh-pericalcarine,0.4448784722222222,-0.10418927964135326,0.4421052631578947,0.6964241222797405,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
33,01,lh-pericalcarine,0.4756944444444444,-0.02083785592827065,0.4842105263157895,0.694599095885503,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
34,01,lh-pericalcarine,0.4848090277777778,-0.041666666666666664,0.4791666666666667,0.6944753826721594,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
35,01,lh-pericalcarine,0.49609374999999994,0.02083785592827065,0.5052631578947369,0.6933999414834476,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
36,01,lh-pericalcarine,0.4283854166666667,-0.10418927964135326,0.4421052631578947,0.6948323254531306,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
37,01,lh-pericalcarine,0.578125,0.14586499149789456,0.5684210526315789,0.6901140036782193,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
38,01,lh-pericalcarine,0.4262152777777778,-0.10418927964135326,0.4421052631578947,0.7026219065994791,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
39,01,lh-pericalcarine,0.5820312500000001,0.20833333333333334,0.6041666666666666,0.6911288449182867,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,29,29,19,19
40,01,lh-pericalcarine,0.501736111111111,-0.02083785592827065,0.4842105263157895,0.6950166881811816,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
41,01,lh-pericalcarine,0.5477430555555556,0.06251356778481196,0.5263157894736842,0.6925973440299197,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
42,01,lh-pericalcarine,0.46614583333333326,-0.10418927964135326,0.4421052631578947,0.6957682134633904,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
43,01,lh-pericalcarine,0.5542534722222223,0.041666666666666664,0.5208333333333334,0.6905400169518159,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
44,01,lh-pericalcarine,0.5672743055555555,0.04170288281141495,0.5106382978723404,0.6902630552362451,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
45,01,lh-pericalcarine,0.4700520833333333,-0.04170288281141495,0.4680851063829787,0.7002452409370304,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
46,01,lh-pericalcarine,0.4956597222222222,0.18786728732554484,0.5806451612903225,0.6937946635387341,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,30,27,21,18
47,01,lh-pericalcarine,0.4509548611111111,-0.10418927964135326,0.4421052631578947,0.6956245834430312,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
48,01,lh-pericalcarine,0.5824652777777777,0.06251356778481196,0.5263157894736842,0.6893554747634457,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
49,01,lh-pericalcarine,0.5360243055555556,0.0,0.5,0.6888454491891102,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
50,01,lh-pericalcarine,0.5108506944444444,-0.02083785592827065,0.4842105263157895,0.6926872097326214,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
51,01,lh-pericalcarine,0.4939236111111111,0.02083785592827065,0.5052631578947369,0.6944297178849027,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
52,01,lh-pericalcarine,0.4991319444444445,0.041666666666666664,0.5208333333333334,0.6943035561085781,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
53,01,lh-pericalcarine,0.5859375,0.125,0.5625,0.6912255867565228,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
54,01,lh-pericalcarine,0.5347222222222222,0.0,0.5,0.691968369320907,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
55,01,lh-pericalcarine,0.5160590277777778,0.10418927964135326,0.5473684210526316,0.6931081468511066,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
56,01,lh-pericalcarine,0.41623263888888884,-0.04170288281141495,0.4680851063829787,0.6969934378395238,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
57,01,lh-pericalcarine,0.55859375,0.10418927964135326,0.5473684210526316,0.6919336735352846,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
58,01,lh-pericalcarine,0.5342881944444444,0.06251356778481196,0.5263157894736842,0.690862815451203,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
59,01,lh-pericalcarine,0.5768229166666666,0.10418927964135326,0.5473684210526316,0.6909831386278098,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
60,01,lh-pericalcarine,0.5082465277777778,0.06251356778481196,0.5263157894736842,0.6930501708257237,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
61,01,lh-pericalcarine,0.4683159722222222,0.06251356778481196,0.5263157894736842,0.6968738413724878,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
62,01,lh-pericalcarine,0.48307291666666674,-0.06251356778481196,0.46315789473684216,0.7015723676098146,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
63,01,lh-pericalcarine,0.4092881944444444,-0.10418927964135326,0.4421052631578947,0.6960958955455213,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
64,01,lh-pericalcarine,0.4978298611111111,-0.020874143036171647,0.4731182795698925,0.6935637206494278,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,25,22,26,23
65,01,lh-pericalcarine,0.47395833333333326,-0.02083785592827065,0.4842105263157895,0.6955847561536,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
