fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.4722222222222222,0.02083785592827065,0.5052631578947369,0.6943715584647349,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
2,01,lh-pericalcarine,0.5868055555555555,0.14586499149789456,0.5684210526315789,0.688737413152806,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,28,27,21,20
3,01,lh-pericalcarine,0.49045138888888884,-0.10418927964135326,0.45360824742268036,0.6934187441019763,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,22,26,27
4,01,lh-pericalcarine,0.5638020833333334,0.08333333333333333,0.5416666666666666,0.6917103583257731,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,26,22,22
5,01,lh-pericalcarine,0.4796006944444444,-0.02083785592827065,0.4842105263157895,0.6941911598512642,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
6,01,lh-pericalcarine,0.4574652777777778,-0.14611900125320154,0.40860215053763443,0.6958645949327296,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,19,29,26
7,01,lh-pericalcarine,0.40364583333333337,-0.18754070335443587,0.39999999999999997,0.6947296639360446,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,20,19,29,28
8,01,lh-pericalcarine,0.4453125,-0.14611900125320154,0.40860215053763443,0.6955988350967944,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,19,29,26
9,01,lh-pericalcarine,0.5004340277777778,0.02083785592827065,0.5052631578947369,0.6945395976434519,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
10,01,lh-pericalcarine,0.5308159722222222,-0.06262242910851494,0.48484848484848486,0.6923419868780408,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,24,24,27
11,01,lh-pericalcarine,0.4552951388888889,-0.10418927964135326,0.4421052631578947,0.6934601928919522,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
12,01,lh-pericalcarine,0.5898437500000001,0.18754070335443587,0.5894736842105263,0.6909971789437664,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,28,20,19
13,01,lh-pericalcarine,0.5030381944444444,0.02083785592827065,0.5052631578947369,0.6936196887813576,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
14,01,lh-pericalcarine,0.5056423611111112,0.06251356778481196,0.5263157894736842,0.6956253804416247,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
15,01,lh-pericalcarine,0.5520833333333334,0.04170288281141495,0.5106382978723404,0.689312887895016,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,24,24,22
16,01,lh-pericalcarine,0.3689236111111111,-0.14586499149789456,0.42105263157894735,0.7066588114148971,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,20,28,27
17,01,lh-pericalcarine,0.41015625,-0.1668115312456598,0.4042553191489362,0.6970159223381417,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,19,29,27
18,01,lh-pericalcarine,0.3849826388888889,-0.18754070335443587,0.39999999999999997,0.69563776508445,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,20,19,29,28
19,01,lh-pericalcarine,0.4652777777777778,-0.16666666666666666,0.4166666666666667,0.6949461664056029,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,20,20,28,28
20,01,lh-pericalcarine,0.5520833333333333,0.10418927964135326,0.5473684210526316,0.6924285221156142,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
21,01,lh-pericalcarine,0.4092881944444444,-0.06262242910851494,0.45161290322580644,0.6951231469182778,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,21,27,24
22,01,lh-pericalcarine,0.5538194444444444,0.125,0.5625,0.6917896415507686,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,27,21,21
23,01,lh-pericalcarine,0.4683159722222221,0.0,0.48936170212765956,0.6949792150633831,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,23,25,23
24,01,lh-pericalcarine,0.4835069444444445,0.02083785592827065,0.5154639175257733,0.6956416698318447,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,25,23,24
25,01,lh-pericalcarine,0.3953993055555555,-0.14586499149789456,0.42105263157894735,0.7010113969832581,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,20,28,27
26,01,lh-pericalcarine,0.4210069444444444,-0.18786728732554484,0.38709677419354843,0.6957145424861585,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,18,30,27
27,01,lh-pericalcarine,0.45095486111111105,-0.06262242910851494,0.45161290322580644,0.6940526927045759,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,21,27,24
28,01,lh-pericalcarine,0.49088541666666663,0.02083785592827065,0.5052631578947369,0.693991703409759,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
29,01,lh-pericalcarine,0.5017361111111112,-0.06251356778481196,0.4742268041237114,0.6930919424542387,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,23,25,26
30,01,lh-pericalcarine,0.556423611111111,0.06251356778481196,0.5360824742268041,0.692127531538648,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,26,22,23
31,01,lh-pericalcarine,0.40625,-0.10418927964135326,0.4421052631578947,0.6974202693176311,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
32,01,lh-pericalcarine,0.53125,0.08333333333333333,0.5416666666666666,0.6927203280561495,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,26,22,22
33,01,lh-pericalcarine,0.5013020833333334,0.06251356778481196,0.5263157894736842,0.693402319912748,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
34,01,lh-pericalcarine,0.5286458333333333,0.10418927964135326,0.5473684210526316,0.6937213847055812,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
35,01,lh-pericalcarine,0.4631076388888889,-0.04170288281141495,0.4680851063829787,0.6947495648753398,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,22,26,24
36,01,lh-pericalcarine,0.4162326388888889,-0.125,0.4375,0.6959152992638834,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,21,27,27
37,01,lh-pericalcarine,0.4865451388888889,0.041666666666666664,0.5208333333333334,0.693786932401101,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
38,01,lh-pericalcarine,0.4084201388888889,-0.22921641521097716,0.37894736842105264,0.7018622256232238,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,19,18,30,29
39,01,lh-pericalcarine,0.5902777777777778,0.08333333333333333,0.5416666666666666,0.6908404969916276,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,26,22,22
40,01,lh-pericalcarine,0.4600694444444445,-0.06251356778481196,0.46315789473684216,0.6974232589620644,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
41,01,lh-pericalcarine,0.46310763888888884,-0.06251356778481196,0.46315789473684216,0.6944758330689496,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
42,01,lh-pericalcarine,0.4817708333333333,-0.04170288281141495,0.4680851063829787,0.6935831482010419,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,22,26,24
43,01,lh-pericalcarine,0.4921875,0.041666666666666664,0.5208333333333334,0.6934822126076648,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
44,01,lh-pericalcarine,0.6432291666666667,0.20833333333333334,0.6041666666666666,0.6888673179170288,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,29,19,19
45,01,lh-pericalcarine,0.5104166666666667,0.02083785592827065,0.5052631578947369,0.6923368924237826,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
46,01,lh-pericalcarine,0.5308159722222222,0.10418927964135326,0.5567010309278351,0.6931021879418089,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,27,21,22
47,01,lh-pericalcarine,0.4192708333333333,-0.22921641521097716,0.3917525773195876,0.6950362341400048,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,18,19,29,30
48,01,lh-pericalcarine,0.6002604166666666,0.18754070335443587,0.5894736842105263,0.6912534495273363,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,28,20,19
49,01,lh-pericalcarine,0.4956597222222222,-0.10418927964135326,0.4421052631578947,0.6935082026981646,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
50,01,lh-pericalcarine,0.5486111111111112,0.10418927964135326,0.5473684210526316,0.6917988470674604,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
51,01,lh-pericalcarine,0.48307291666666663,0.020874143036171647,0.4946236559139785,0.6938360355594427,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,23,25,22
52,01,lh-pericalcarine,0.5542534722222222,0.08333333333333333,0.5416666666666666,0.6918564873904255,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,26,22,22
53,01,lh-pericalcarine,0.4561631944444445,-0.14586499149789456,0.42105263157894735,0.6954787550035956,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,20,28,27
54,01,lh-pericalcarine,0.36979166666666663,-0.18754070335443587,0.39999999999999997,0.7069019128861225,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,20,19,29,28
55,01,lh-pericalcarine,0.5529513888888888,0.02083785592827065,0.5052631578947369,0.6914674452768241,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
56,01,lh-pericalcarine,0.5694444444444444,0.12510864843424485,0.5531914893617021,0.6914750256868244,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,28,26,22,20
57,01,lh-pericalcarine,0.4661458333333333,-0.06251356778481196,0.46315789473684216,0.6940461054447639,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
58,01,lh-pericalcarine,0.48307291666666663,0.041666666666666664,0.5208333333333334,0.6944455441079483,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
59,01,lh-pericalcarine,0.5959201388888888,0.06251356778481196,0.5263157894736842,0.6877533317552675,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
60,01,lh-pericalcarine,0.48263888888888884,-0.12510864843424485,0.425531914893617,0.6936907500224695,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,20,28,26
61,01,lh-pericalcarine,0.4140625,-0.18754070335443587,0.39999999999999997,0.6995785993174817,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,20,19,29,28
62,01,lh-pericalcarine,0.3980034722222222,-0.04170288281141495,0.4680851063829787,0.6969730314450603,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,22,26,24
63,01,lh-pericalcarine,0.47786458333333326,-0.02083785592827065,0.4842105263157895,0.6959907960896405,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
64,01,lh-pericalcarine,0.43836805555555547,-0.14586499149789456,0.42105263157894735,0.6958751894548932,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,20,28,27
65,01,lh-pericalcarine,0.5334201388888888,0.06251356778481196,0.5263157894736842,0.6920725393597557,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
66,01,lh-pericalcarine,0.5729166666666666,0.14586499149789456,0.5684210526315789,0.6915785228018042,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,28,27,21,20
67,01,lh-pericalcarine,0.4934895833333333,0.041666666666666664,0.5208333333333334,0.6933144138474887,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
68,01,lh-pericalcarine,0.5047743055555556,0.04170288281141495,0.5106382978723404,0.6928976465293998,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,24,24,22
69,01,lh-pericalcarine,0.55078125,0.041666666666666664,0.5208333333333334,0.6914567927399448,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
70,01,lh-pericalcarine,0.5112847222222223,0.06251356778481196,0.5263157894736842,0.6927969718728512,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
71,01,lh-pericalcarine,0.4361979166666667,-0.02083785592827065,0.4842105263157895,0.6969934025734251,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
72,01,lh-pericalcarine,0.517795138888889,-0.02083785592827065,0.4842105263157895,0.6929380057137741,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
73,01,lh-pericalcarine,0.5286458333333334,0.06251356778481196,0.5263157894736842,0.6927345053723286,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
74,01,lh-pericalcarine,0.57421875,0.10418927964135326,0.5473684210526316,0.6903962018481979,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
75,01,lh-pericalcarine,0.4969618055555555,-0.06251356778481196,0.46315789473684216,0.6939131524034003,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
76,01,lh-pericalcarine,0.5403645833333334,0.02083785592827065,0.5052631578947369,0.6914511362185701,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
77,01,lh-pericalcarine,0.4144965277777778,-0.14586499149789456,0.42105263157894735,0.6954486831067079,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,20,28,27
78,01,lh-pericalcarine,0.4856770833333333,-0.06251356778481196,0.46315789473684216,0.6933197651728064,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
79,01,lh-pericalcarine,0.4822048611111111,0.04170288281141495,0.5106382978723404,0.6946043854630113,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,24,24,22
80,01,lh-pericalcarine,0.4735243055555556,-0.06251356778481196,0.46315789473684216,0.6950769867812069,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
81,01,lh-pericalcarine,0.44140625,0.06251356778481196,0.5263157894736842,0.6947221776986892,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
82,01,lh-pericalcarine,0.4635416666666667,-0.06251356778481196,0.46315789473684216,0.693649910519571,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
83,01,lh-pericalcarine,0.4956597222222222,0.041666666666666664,0.5208333333333334,0.6934192951962715,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
84,01,lh-pericalcarine,0.49045138888888884,-0.04170288281141495,0.4680851063829787,0.6937268679152687,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,22,26,24
85,01,lh-pericalcarine,0.4431423611111111,-0.0834057656228299,0.44680851063829785,0.6981949803857259,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,21,27,25
86,01,lh-pericalcarine,0.46875,-0.125,0.4375,0.6950222671356784,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,21,27,27
87,01,lh-pericalcarine,0.5234375,-0.0834057656228299,0.44680851063829785,0.6922425092447497,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,21,27,25
88,01,lh-pericalcarine,0.5924479166666666,0.22921641521097716,0.6105263157894737,0.691411635451856,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,30,29,19,18
89,01,lh-pericalcarine,0.45312499999999994,-0.125,0.4375,0.6938209930229325,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,21,27,27
90,01,lh-pericalcarine,0.4644097222222222,-0.12510864843424485,0.425531914893617,0.6935465997075699,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,20,28,26
91,01,lh-pericalcarine,0.4817708333333333,-0.04170288281141495,0.4680851063829787,0.6937039118450143,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,22,26,24
92,01,lh-pericalcarine,0.6475694444444445,0.3333333333333333,0.6666666666666666,0.6907637658360438,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,32,32,16,16
93,01,lh-pericalcarine,0.4144965277777778,-0.22921641521097716,0.37894736842105264,0.6962635128587444,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,19,18,30,29
