fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-pericalcarine,0.44791666666666663,0.0,0.0,19.06847437157459,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
2,01,lh-pericalcarine,0.45833333333333337,0.0,0.0,18.708687121654375,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
3,01,lh-pericalcarine,0.53125,0.0,0.0,16.190226347052235,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
4,01,lh-pericalcarine,0.42708333333333337,0.0,0.0,19.788107175394313,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
5,01,lh-pericalcarine,0.43750000000000006,0.0,0.0,19.4283032671943,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
6,01,lh-pericalcarine,0.5,0.0,0.0,17.26957976767299,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
7,01,lh-pericalcarine,0.5,0.0,0.0,17.269596425952788,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
8,01,lh-pericalcarine,0.47916666666666674,0.0,0.0,17.989129280093735,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
9,01,lh-pericalcarine,0.4375,0.0,0.0,19.428311596334193,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
10,01,lh-pericalcarine,0.5104166666666667,0.0,0.0,16.909834163452263,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
11,01,lh-pericalcarine,0.45833333333333337,0.0,0.0,18.70870377993417,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
12,01,lh-pericalcarine,0.44791666666666663,0.0,0.0,19.068516017274078,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
13,01,lh-pericalcarine,0.5729166666666666,0.0,0.0,14.75107734737137,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
14,01,lh-pericalcarine,0.5104166666666666,0.0,0.0,16.90978418861288,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
15,01,lh-pericalcarine,0.42708333333333337,0.0,0.0,19.788023883995333,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
16,01,lh-pericalcarine,0.5208333333333334,0.0,0.0,16.550013596972455,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
17,01,lh-pericalcarine,0.43750000000000006,0.0,0.0,19.428303267194295,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
18,01,lh-pericalcarine,0.4479166666666667,0.0,0.0,19.068499358994284,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
19,01,lh-pericalcarine,0.47916666666666663,0.0,0.0,17.98914593837353,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
20,01,lh-pericalcarine,0.5104166666666667,0.0,0.0,16.909859150871956,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
21,01,lh-pericalcarine,0.43750000000000006,0.0,0.0,19.428303267194295,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
22,01,lh-pericalcarine,0.4895833333333334,0.0,0.0,17.629383675873004,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
23,01,lh-pericalcarine,0.5208333333333334,0.0,0.0,16.550013596972452,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
24,01,lh-pericalcarine,0.4895833333333334,0.0,0.0,17.629383675873004,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
25,01,lh-pericalcarine,0.5937499999999999,0.0,0.0,14.031544493230422,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
26,01,lh-pericalcarine,0.5,0.0,0.0,17.269604755092683,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
27,01,lh-pericalcarine,0.53125,0.0,0.0,16.19026799275173,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
28,01,lh-pericalcarine,0.46875,0.0,0.0,18.34892485915385,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
29,01,lh-pericalcarine,0.5729166666666667,0.0,0.0,14.751118993070856,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
30,01,lh-pericalcarine,0.4270833333333333,0.0,0.0,19.788082187974613,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
31,01,lh-pericalcarine,0.46875,0.0,0.0,18.348949846573543,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
32,01,lh-pericalcarine,0.5625,0.0,0.0,15.110839609871894,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
33,01,lh-pericalcarine,0.42708333333333337,0.0,0.0,19.788040542275127,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
34,01,lh-pericalcarine,0.5104166666666666,0.0,0.0,16.909817505172466,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
35,01,lh-pericalcarine,0.43750000000000006,0.0,0.0,19.428278279774602,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
36,01,lh-pericalcarine,0.5208333333333333,0.0,0.0,16.55003025525225,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
37,01,lh-pericalcarine,0.5416666666666667,0.0,0.0,15.83047241369161,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
38,01,lh-pericalcarine,0.53125,0.0,0.0,16.190226347052235,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
39,01,lh-pericalcarine,0.4270833333333333,0.0,0.0,19.788073858834718,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
40,01,lh-pericalcarine,0.4375,0.0,0.0,19.428319925474096,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
41,01,lh-pericalcarine,0.5833333333333333,0.0,0.0,14.391323414010742,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
42,01,lh-pericalcarine,0.45833333333333337,0.0,0.0,18.70873709649376,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
43,01,lh-pericalcarine,0.5416666666666667,0.0,0.0,15.830447426271917,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
44,01,lh-pericalcarine,0.5208333333333333,0.0,0.0,16.55003025525225,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
45,01,lh-pericalcarine,0.5,0.0,0.0,17.269613084232585,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
46,01,lh-pericalcarine,0.43750000000000006,0.0,0.0,19.428278279774602,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
47,01,lh-pericalcarine,0.47916666666666663,0.0,0.0,17.989137609233634,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
48,01,lh-pericalcarine,0.44791666666666663,0.0,0.0,19.06854100469377,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
49,01,lh-pericalcarine,0.4375,0.0,0.0,19.42831992547409,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
50,01,lh-pericalcarine,0.46875,0.0,0.0,18.34892485915385,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
51,01,lh-pericalcarine,0.47916666666666663,0.0,0.0,17.989120950953833,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
52,01,lh-pericalcarine,0.5729166666666667,0.0,0.0,14.751085676511266,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
53,01,lh-pericalcarine,0.5,0.0,0.0,17.26958809681289,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
54,01,lh-pericalcarine,0.47916666666666663,0.0,0.0,17.98914593837353,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
55,01,lh-pericalcarine,0.53125,0.0,0.0,16.190226347052235,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
56,01,lh-pericalcarine,0.5104166666666667,0.0,0.0,16.90980917603257,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
57,01,lh-pericalcarine,0.46874999999999994,0.0,0.0,18.348933188293746,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
58,01,lh-pericalcarine,0.4895833333333334,0.0,0.0,17.629408663292697,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
59,01,lh-pericalcarine,0.53125,0.0,0.0,16.19029298017142,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
60,01,lh-pericalcarine,0.46875,0.0,0.0,18.348958175713438,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
61,01,lh-pericalcarine,0.40625,0.0,0.0,20.50766501695495,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
62,01,lh-pericalcarine,0.47916666666666663,0.0,0.0,17.989162596653326,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
63,01,lh-pericalcarine,0.48958333333333337,0.0,0.0,17.62937534673311,RandomForest + Tree,unconscious,unconscious,False,Image,False,48,0,48,0
