fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-rostralmiddlefrontal,0.55859375,0.10418927964135326,0.5473684210526316,0.6901930284579206,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
2,01,lh-rostralmiddlefrontal,0.4869791666666667,-0.02083785592827065,0.4842105263157895,0.7044929433276153,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
3,01,lh-rostralmiddlefrontal,0.5655381944444445,0.06251356778481196,0.5263157894736842,0.6866718097874832,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
4,01,lh-rostralmiddlefrontal,0.4917534722222222,-0.02083785592827065,0.4842105263157895,0.6933406545641572,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
5,01,lh-rostralmiddlefrontal,0.5824652777777778,0.14586499149789456,0.5684210526315789,0.6836274801932595,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
6,01,lh-rostralmiddlefrontal,0.4474826388888889,-0.06251356778481196,0.46315789473684216,0.6973387484507424,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
7,01,lh-rostralmiddlefrontal,0.5256076388888888,-0.02083785592827065,0.4842105263157895,0.6906006907274559,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
8,01,lh-rostralmiddlefrontal,0.529079861111111,0.06251356778481196,0.5263157894736842,0.6970238331543968,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
9,01,lh-rostralmiddlefrontal,0.564236111111111,0.14586499149789456,0.5684210526315789,0.691333063951831,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
10,01,lh-rostralmiddlefrontal,0.5881076388888888,0.14586499149789456,0.5684210526315789,0.6876938080470749,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
11,01,lh-rostralmiddlefrontal,0.55859375,0.06251356778481196,0.5263157894736842,0.6851553699876186,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
12,01,lh-rostralmiddlefrontal,0.6041666666666666,0.06251356778481196,0.5263157894736842,0.6832669890023686,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
13,01,lh-rostralmiddlefrontal,0.5217013888888888,0.06251356778481196,0.5263157894736842,0.6941033667378148,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
14,01,lh-rostralmiddlefrontal,0.6323784722222222,0.2708921270675185,0.6391752577319587,0.6765788045346213,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,30,31,17,18
15,01,lh-rostralmiddlefrontal,0.5959201388888887,0.1668115312456598,0.5744680851063831,0.6852179516832809,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
16,01,lh-rostralmiddlefrontal,0.5164930555555555,-0.06251356778481196,0.46315789473684216,0.7019067463787724,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
17,01,lh-rostralmiddlefrontal,0.5881076388888888,0.22921641521097716,0.6105263157894737,0.6857273893989998,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,30,29,19,18
