fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-superiorparietal,0.5421099290780143,0.11540178894644994,0.5434782608695652,0.6898957326961167,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,22,20
2,01,lh-superiorparietal,0.586436170212766,0.15780141843971632,0.574468085106383,0.6894544961627687,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,20,20
3,01,lh-superiorparietal,0.5917553191489362,0.09485815602836879,0.5473684210526316,0.6802121245251018,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,21,22
4,01,lh-superiorparietal,0.535904255319149,0.031471631205673756,0.5106382978723404,0.7223739919790043,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
5,01,lh-superiorparietal,0.6502659574468085,0.13658537928381728,0.5591397849462365,0.660958968729588,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
6,01,lh-superiorparietal,0.6498226950354611,0.13658537928381728,0.5591397849462365,0.6628390659877751,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
7,01,lh-superiorparietal,0.5709219858156028,0.031471631205673756,0.5106382978723404,0.6847035514833956,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
8,01,lh-superiorparietal,0.6059397163120568,0.15780141843971632,0.574468085106383,0.6794743927819165,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,20,20
9,01,lh-superiorparietal,0.6192375886524822,0.11540178894644994,0.5434782608695652,0.6789999243369363,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,22,20
10,01,lh-superiorparietal,0.4844858156028369,-0.07405765694934249,0.45161290322580644,0.7314600652230895,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,26,25
11,01,lh-superiorparietal,0.5930851063829787,0.17871398653044923,0.5806451612903226,0.6805954932438902,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,20,19
12,01,lh-superiorparietal,0.6954787234042552,0.3472284155169771,0.6666666666666667,0.6553233507661067,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,33,31,16,15
13,01,lh-superiorparietal,0.6174645390070922,0.15780141843971632,0.574468085106383,0.6716866109348014,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,20,20
14,01,lh-superiorparietal,0.612145390070922,0.13658537928381728,0.5591397849462365,0.6715592617313284,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
15,01,lh-superiorparietal,0.6427304964539007,0.09422255723635466,0.5274725274725275,0.6769990978554414,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,24,23,20
16,01,lh-superiorparietal,0.6214539007092199,0.2208896742757937,0.5934065934065934,0.6693441288715275,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,27,20,17
17,01,lh-superiorparietal,0.6165780141843972,0.26297120102371313,0.6236559139784946,0.6751975180290352,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,31,29,18,17
18,01,lh-superiorparietal,0.5500886524822695,0.052328164790553376,0.5161290322580645,0.6827900088759475,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
19,01,lh-superiorparietal,0.5283687943262412,0.031471631205673756,0.5106382978723404,0.7128326692383541,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
20,01,lh-superiorparietal,0.5664893617021277,0.09445677203718533,0.5376344086021505,0.6886407572486761,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
21,01,lh-superiorparietal,0.6351950354609929,0.13658537928381728,0.5591397849462365,0.6604625961979447,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
22,01,lh-superiorparietal,0.6041666666666666,0.13658537928381728,0.5591397849462365,0.67764280475111,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
23,01,lh-superiorparietal,0.5336879432624113,0.09445677203718533,0.5376344086021505,0.7132380399496242,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
24,01,lh-superiorparietal,0.589982269503546,0.07323575067755476,0.5217391304347825,0.677421406287156,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,23,21
25,01,lh-superiorparietal,0.5913120567375886,0.13658537928381728,0.5591397849462365,0.6853123734360348,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
26,01,lh-superiorparietal,0.5651595744680851,0.13658537928381728,0.5591397849462365,0.6868503678098098,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
27,01,lh-superiorparietal,0.6148049645390071,0.15780141843971632,0.574468085106383,0.676553831971267,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,20,20
