fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-superiorparietal,0.3815104166666667,-0.14586499149789456,0.42105263157894735,0.6995799672633649,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,20,28,27
2,01,lh-superiorparietal,0.41796875,-0.08333333333333333,0.4583333333333333,0.6977238985220473,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,22,26,26
3,01,lh-superiorparietal,0.5342881944444445,0.10418927964135326,0.5473684210526316,0.6922111018737539,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
4,01,lh-superiorparietal,0.4066840277777778,-0.12510864843424485,0.425531914893617,0.6973949797474118,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,20,28,26
5,01,lh-superiorparietal,0.564236111111111,0.18754070335443587,0.5894736842105263,0.6931687507676112,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,28,20,19
6,01,lh-superiorparietal,0.39843749999999994,-0.08362420100070908,0.43478260869565216,0.70739474805629,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,20,28,24
7,01,lh-superiorparietal,0.5143229166666666,-0.041666666666666664,0.4791666666666667,0.6922926173085973,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,23,25,25
8,01,lh-superiorparietal,0.4756944444444444,0.06251356778481196,0.5360824742268041,0.6941137289822864,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,26,22,23
9,01,lh-superiorparietal,0.6831597222222222,0.18754070335443587,0.5894736842105263,0.6888395706063578,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,28,20,19
10,01,lh-superiorparietal,0.4956597222222222,-0.02083785592827065,0.4842105263157895,0.693288489386747,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
11,01,lh-superiorparietal,0.44184027777777773,-0.12510864843424485,0.425531914893617,0.694158335210154,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,20,28,26
12,01,lh-superiorparietal,0.5386284722222222,0.02083785592827065,0.5052631578947369,0.6907817042895396,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
13,01,lh-superiorparietal,0.5303819444444444,0.1668115312456598,0.5744680851063831,0.6926452146215238,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,27,21,19
14,01,lh-superiorparietal,0.4479166666666667,-0.08333333333333333,0.4583333333333333,0.6940189031798883,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,22,26,26
15,01,lh-superiorparietal,0.4969618055555556,-0.041666666666666664,0.4791666666666667,0.6938654236156214,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,23,25,25
16,01,lh-superiorparietal,0.4674479166666667,0.0,0.48936170212765956,0.6957356048310736,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,23,25,23
17,01,lh-superiorparietal,0.51953125,0.02083785592827065,0.5052631578947369,0.6947119050171663,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
