fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-inferiorparietal,0.4609375,-0.14611900125320154,0.40860215053763443,0.693669594101577,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,19,29,26
2,01,rh-inferiorparietal,0.5260416666666666,0.06251356778481196,0.5263157894736842,0.6933587709452004,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
3,01,rh-inferiorparietal,0.5091145833333334,0.02083785592827065,0.5052631578947369,0.6931280525096266,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
4,01,rh-inferiorparietal,0.4817708333333333,-0.10418927964135326,0.4421052631578947,0.693101891181886,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
5,01,rh-inferiorparietal,0.5338541666666666,-0.020874143036171647,0.4731182795698925,0.6924757478998957,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,22,26,23
6,01,rh-inferiorparietal,0.540798611111111,0.10418927964135326,0.5473684210526316,0.6925703115570078,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
7,01,rh-inferiorparietal,0.56640625,0.20833333333333334,0.6041666666666666,0.692845686080681,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,29,19,19
8,01,rh-inferiorparietal,0.6215277777777777,0.14586499149789456,0.577319587628866,0.6917764031135326,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,28,20,21
9,01,rh-inferiorparietal,0.4696180555555556,0.041666666666666664,0.5208333333333334,0.6933637447295514,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
10,01,rh-inferiorparietal,0.35156249999999994,-0.22921641521097716,0.37894736842105264,0.6946662133558283,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,19,18,30,29
11,01,rh-inferiorparietal,0.5342881944444444,0.06251356778481196,0.5263157894736842,0.6926164838836305,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
12,01,rh-inferiorparietal,0.5590277777777778,0.12510864843424485,0.5531914893617021,0.6926366287335673,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,28,26,22,20
13,01,rh-inferiorparietal,0.47526041666666663,-0.06251356778481196,0.46315789473684216,0.693440126617599,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
14,01,rh-inferiorparietal,0.5412326388888888,0.06251356778481196,0.5263157894736842,0.692717820355829,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
15,01,rh-inferiorparietal,0.53125,-0.04170288281141495,0.4680851063829787,0.6921117306000522,PCA + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,22,26,24
