fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-inferiorparietal,0.44401041666666663,-0.125,0.4375,0.7154273694451968,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,21,27,27
2,01,rh-inferiorparietal,0.5186631944444444,0.06251356778481196,0.5263157894736842,0.6958162839088246,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
3,01,rh-inferiorparietal,0.5698784722222222,0.041666666666666664,0.5208333333333334,0.6823336225639215,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
4,01,rh-inferiorparietal,0.5360243055555556,0.041666666666666664,0.5208333333333334,0.6891037357926996,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
5,01,rh-inferiorparietal,0.5486111111111112,0.14586499149789456,0.5684210526315789,0.6903531418651264,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,28,27,21,20
6,01,rh-inferiorparietal,0.5368923611111112,0.06251356778481196,0.5263157894736842,0.6925302115391428,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
7,01,rh-inferiorparietal,0.4856770833333333,-0.02083785592827065,0.4842105263157895,0.6996948726672366,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
8,01,rh-inferiorparietal,0.5269097222222222,-0.041666666666666664,0.4791666666666667,0.6910413038321194,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,23,25,25
9,01,rh-inferiorparietal,0.5065104166666666,0.02083785592827065,0.5052631578947369,0.6978731866574629,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
10,01,rh-inferiorparietal,0.5915798611111112,0.10418927964135326,0.5473684210526316,0.6840500777907222,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
11,01,rh-inferiorparietal,0.5203993055555556,0.02083785592827065,0.5052631578947369,0.6995833984298234,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
12,01,rh-inferiorparietal,0.5616319444444444,0.02083785592827065,0.5052631578947369,0.6892027350796317,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
13,01,rh-inferiorparietal,0.5421006944444444,0.12510864843424485,0.5531914893617021,0.6932335237908256,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,28,26,22,20
14,01,rh-inferiorparietal,0.6015625,0.125,0.5625,0.6810507266190043,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,27,21,21
15,01,rh-inferiorparietal,0.5173611111111112,-0.02083785592827065,0.4842105263157895,0.6948390914402923,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
16,01,rh-inferiorparietal,0.5186631944444444,0.02083785592827065,0.5052631578947369,0.6973951422199751,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
17,01,rh-inferiorparietal,0.4917534722222222,-0.02083785592827065,0.4842105263157895,0.7059786599556901,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
18,01,rh-inferiorparietal,0.5078125,-0.06251356778481196,0.46315789473684216,0.6944468518021689,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
19,01,rh-inferiorparietal,0.5742187499999999,0.08333333333333333,0.5416666666666666,0.6888457880160765,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,26,22,22
20,01,rh-inferiorparietal,0.5386284722222222,0.0,0.48936170212765956,0.6905727013223131,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,23,25,23
21,01,rh-inferiorparietal,0.5711805555555556,0.12510864843424485,0.5531914893617021,0.6872170365810651,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,28,26,22,20
22,01,rh-inferiorparietal,0.3823784722222222,-0.2916666666666667,0.3541666666666667,0.7139685032547304,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,17,17,31,31
23,01,rh-inferiorparietal,0.595920138888889,0.2708921270675185,0.6391752577319587,0.6831131671860845,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,30,31,17,18
24,01,rh-inferiorparietal,0.53125,0.08333333333333333,0.5416666666666666,0.6934972605157211,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,26,22,22
25,01,rh-inferiorparietal,0.5902777777777778,0.18754070335443587,0.5894736842105263,0.6823006118696749,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,28,20,19
26,01,rh-inferiorparietal,0.5377604166666667,0.0,0.48936170212765956,0.6903222740792053,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,23,25,23
27,01,rh-inferiorparietal,0.5564236111111112,0.1668115312456598,0.5744680851063831,0.6917071659879713,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,27,21,19
28,01,rh-inferiorparietal,0.5655381944444444,0.08333333333333333,0.5416666666666666,0.6852134594278336,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,26,22,22
29,01,rh-inferiorparietal,0.5750868055555555,0.14611900125320154,0.5591397849462364,0.6869282813359744,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,26,22,19
30,01,rh-inferiorparietal,0.5399305555555555,-0.041666666666666664,0.4791666666666667,0.6887776422752335,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,23,25,25
31,01,rh-inferiorparietal,0.5208333333333333,-0.06251356778481196,0.46315789473684216,0.6920554862102457,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
32,01,rh-inferiorparietal,0.5655381944444444,0.04170288281141495,0.5106382978723404,0.6834397102378342,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,24,24,22
33,01,rh-inferiorparietal,0.4678819444444444,-0.10418927964135326,0.4421052631578947,0.6981887438628341,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
34,01,rh-inferiorparietal,0.49782986111111105,0.02083785592827065,0.5052631578947369,0.7026691748653512,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
35,01,rh-inferiorparietal,0.49826388888888884,-0.02083785592827065,0.4842105263157895,0.6995076317179176,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
36,01,rh-inferiorparietal,0.5303819444444444,0.06262242910851494,0.5161290322580646,0.6912058049551764,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,24,24,21
37,01,rh-inferiorparietal,0.47309027777777773,-0.10418927964135326,0.4421052631578947,0.7082927184450062,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
38,01,rh-inferiorparietal,0.5442708333333333,0.04170288281141495,0.5106382978723404,0.6872097388388664,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,24,24,22
39,01,rh-inferiorparietal,0.4279513888888889,-0.10418927964135326,0.4421052631578947,0.7170753250376588,RandomForest + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
