fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-inferiortemporal,0.6986166007905138,0.2440711462450593,0.6304347826086957,0.643992941263457,None + Linear-SVM,conscious,conscious,False,Image,False,27,29,17,17
2,01,rh-inferiortemporal,0.6299407114624506,0.2222771122371935,0.6153846153846154,0.6678774585824211,None + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
3,01,rh-inferiortemporal,0.7376482213438735,0.2450592885375494,0.6222222222222223,0.6230356771936308,None + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
4,01,rh-inferiortemporal,0.6101778656126482,0.15612648221343872,0.5777777777777778,0.669350478014203,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
5,01,rh-inferiortemporal,0.7470355731225297,0.3111879571320709,0.6593406593406593,0.6196241078709334,None + Linear-SVM,conscious,conscious,False,Image,False,29,30,16,15
6,01,rh-inferiortemporal,0.6615612648221344,0.15612648221343872,0.5777777777777778,0.6548813425171597,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
7,01,rh-inferiortemporal,0.6492094861660078,0.28952569169960474,0.6444444444444444,0.6625556286052432,None + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
8,01,rh-inferiortemporal,0.5538537549407114,-0.021739130434782608,0.4888888888888889,0.692348026305927,None + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
9,01,rh-inferiortemporal,0.6566205533596838,0.2440711462450593,0.6304347826086957,0.6435726764709154,None + Linear-SVM,conscious,conscious,False,Image,False,27,29,17,17
10,01,rh-inferiortemporal,0.5958498023715415,0.06719367588932806,0.5333333333333332,0.6754191773746282,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
11,01,rh-inferiortemporal,0.6818181818181819,0.2667325346846322,0.6373626373626373,0.6425624983706304,None + Linear-SVM,conscious,conscious,False,Image,False,28,29,17,16
12,01,rh-inferiortemporal,0.6877470355731224,0.29108967961957644,0.6363636363636365,0.6593051219752697,None + Linear-SVM,conscious,conscious,False,Image,False,30,28,18,14
13,01,rh-inferiortemporal,0.6709486166007905,0.2450592885375494,0.6222222222222223,0.6464839370587361,None + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
14,01,rh-inferiortemporal,0.5854743083003953,0.1333662673423161,0.5714285714285713,0.682168360549824,None + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
15,01,rh-inferiortemporal,0.6269762845849802,0.15612648221343872,0.5777777777777778,0.6651263419770383,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
16,01,rh-inferiortemporal,0.6892292490118577,0.28952569169960474,0.6444444444444444,0.6428893384432663,None + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
17,01,rh-inferiortemporal,0.6373517786561265,0.11166007905138339,0.5555555555555556,0.660975755746442,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
18,01,rh-inferiortemporal,0.6358695652173914,0.15612648221343872,0.5777777777777778,0.6588521588540012,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
19,01,rh-inferiortemporal,0.6556324110671937,0.17782168978975482,0.5934065934065934,0.6533546555989276,None + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,18
20,01,rh-inferiortemporal,0.6724308300395256,0.2450592885375494,0.6222222222222223,0.6451860301656993,None + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
21,01,rh-inferiortemporal,0.6427865612648221,0.20059288537549408,0.6,0.6669962054202107,None + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
22,01,rh-inferiortemporal,0.5696640316205533,0.022727272727272728,0.5111111111111111,0.6882731145554818,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
23,01,rh-inferiortemporal,0.6699604743083004,0.4000988020269483,0.7032967032967032,0.6573881832249033,None + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
24,01,rh-inferiortemporal,0.7440711462450592,0.42292490118577075,0.711111111111111,0.6252600649887973,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
25,01,rh-inferiortemporal,0.6511857707509882,0.2222771122371935,0.6153846153846154,0.6500875605874163,None + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
26,01,rh-inferiortemporal,0.6052371541501977,0.11166007905138339,0.5555555555555556,0.6936868464213708,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
27,01,rh-inferiortemporal,0.7119565217391304,0.28952569169960474,0.6444444444444444,0.6366545851442273,None + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
28,01,rh-inferiortemporal,0.7010869565217391,0.3339920948616601,0.6666666666666666,0.6361034117014278,None + Linear-SVM,conscious,conscious,False,Image,False,30,30,16,14
29,01,rh-inferiortemporal,0.6383399209486166,0.2222771122371935,0.6153846153846154,0.6601454249374963,None + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
30,01,rh-inferiortemporal,0.6961462450592886,0.22348584638432267,0.6067415730337078,0.6411216555912028,None + Linear-SVM,conscious,conscious,False,Image,False,28,27,19,16
31,01,rh-inferiortemporal,0.6724308300395256,0.17782168978975482,0.5934065934065934,0.6489523225563795,None + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,18
32,01,rh-inferiortemporal,0.651185770750988,0.20059288537549408,0.6,0.6582629956672269,None + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
33,01,rh-inferiortemporal,0.6961462450592885,0.2450592885375494,0.6222222222222223,0.6345735551352505,None + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
34,01,rh-inferiortemporal,0.7119565217391305,0.3339920948616601,0.6666666666666666,0.6278995927161343,None + Linear-SVM,conscious,conscious,False,Image,False,30,30,16,14
35,01,rh-inferiortemporal,0.6531620553359684,0.15612648221343872,0.5777777777777778,0.6596962744472548,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
36,01,rh-inferiortemporal,0.7218379446640316,0.42292490118577075,0.711111111111111,0.6192081311380006,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
37,01,rh-inferiortemporal,0.541501976284585,0.11067193675889328,0.5652173913043478,0.7052269825402704,None + Linear-SVM,conscious,conscious,False,Image,False,24,26,20,20
38,01,rh-inferiortemporal,0.6907114624505929,0.28952569169960474,0.6444444444444444,0.635787300370842,None + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
39,01,rh-inferiortemporal,0.709486166007905,0.28952569169960474,0.6444444444444444,0.6312241477891785,None + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
40,01,rh-inferiortemporal,0.6235177865612649,0.08891084489487741,0.5494505494505495,0.6670348941491583,None + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
41,01,rh-inferiortemporal,0.658102766798419,0.26798524057589135,0.6292134831460675,0.6501324069281803,None + Linear-SVM,conscious,conscious,False,Image,False,29,28,18,15
42,01,rh-inferiortemporal,0.6126482213438734,0.1333662673423161,0.5714285714285713,0.6631669824278679,None + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
43,01,rh-inferiortemporal,0.675395256916996,0.20198059402174692,0.5909090909090909,0.6570470797295969,None + Linear-SVM,conscious,conscious,False,Image,False,28,26,20,16
44,01,rh-inferiortemporal,0.6689723320158103,0.2222771122371935,0.6153846153846154,0.6553079782137092,None + Linear-SVM,conscious,conscious,False,Image,False,27,28,18,17
45,01,rh-inferiortemporal,0.6022727272727273,0.06719367588932806,0.5333333333333332,0.675223980270974,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
46,01,rh-inferiortemporal,0.7411067193675889,0.2450592885375494,0.6222222222222223,0.6244945669558727,None + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
47,01,rh-inferiortemporal,0.6694664031620553,0.20059288537549408,0.6,0.6502087430533335,None + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
48,01,rh-inferiortemporal,0.6437747035573123,0.17782168978975482,0.5934065934065934,0.6643130059459005,None + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,18
49,01,rh-inferiortemporal,0.7089920948616601,0.26798524057589135,0.6292134831460675,0.6398658044586881,None + Linear-SVM,conscious,conscious,False,Image,False,29,28,18,15
50,01,rh-inferiortemporal,0.6640316205533596,0.15612648221343872,0.5777777777777778,0.6587388904877315,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
51,01,rh-inferiortemporal,0.7089920948616601,0.35564337957950964,0.6813186813186812,0.6367485598090604,None + Linear-SVM,conscious,conscious,False,Image,False,30,31,15,14
52,01,rh-inferiortemporal,0.7164031620553358,0.3339920948616601,0.6666666666666666,0.6313113400592135,None + Linear-SVM,conscious,conscious,False,Image,False,30,30,16,14
53,01,rh-inferiortemporal,0.6630434782608696,0.20059288537549408,0.6,0.651678847613492,None + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
54,01,rh-inferiortemporal,0.6689723320158102,0.2450592885375494,0.6222222222222223,0.6458382803619661,None + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
