fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-lateraloccipital,0.4796006944444445,-0.05590169943749474,0.21875000000000003,1.8104412288475527,RandomForest + KNN,unconscious,unconscious,False,Image,False,39,7,41,9
2,01,rh-lateraloccipital,0.521701388888889,0.020947289622255394,0.4835164835164835,1.4491312444463136,RandomForest + KNN,unconscious,unconscious,False,Image,False,27,22,26,21
3,01,rh-lateraloccipital,0.44813368055555547,-0.08186216918157273,0.2153846153846154,1.8420720024733264,RandomForest + KNN,unconscious,unconscious,False,Image,False,38,7,41,10
4,01,rh-lateraloccipital,0.572265625,0.0,0.1724137931034483,1.0624108255933729,RandomForest + KNN,unconscious,unconscious,False,Image,False,43,5,43,5
5,01,rh-lateraloccipital,0.48242187500000006,-0.2008213586922364,0.12698412698412698,1.1471550402800956,RandomForest + KNN,unconscious,unconscious,False,Image,False,37,4,44,11
6,01,rh-lateraloccipital,0.45160590277777785,-0.02227729596770565,0.379746835443038,2.531209318749817,RandomForest + KNN,unconscious,unconscious,False,Image,False,32,15,33,16
7,01,rh-lateraloccipital,0.5108506944444444,0.02083785592827065,0.5052631578947369,2.1467728603222933,RandomForest + KNN,unconscious,unconscious,False,Image,False,25,24,24,23
8,01,rh-lateraloccipital,0.462890625,-0.07843304784240032,0.23880597014925375,1.497943896296297,RandomForest + KNN,unconscious,unconscious,False,Image,False,37,8,40,11
9,01,rh-lateraloccipital,0.4756944444444445,-0.13643694863595454,0.18461538461538463,0.8255178746349014,RandomForest + KNN,unconscious,unconscious,False,Image,False,37,6,42,11
10,01,rh-lateraloccipital,0.5286458333333334,0.16012815380508713,0.36363636363636365,2.131668346938676,RandomForest + KNN,unconscious,unconscious,False,Image,False,42,12,36,6
11,01,rh-lateraloccipital,0.4737413194444444,-0.048112522432468816,0.3055555555555555,1.839739261340572,RandomForest + KNN,unconscious,unconscious,False,Image,False,35,11,37,13
12,01,rh-lateraloccipital,0.47330729166666663,0.07843304784240032,0.3283582089552239,2.509573456777012,RandomForest + KNN,unconscious,unconscious,False,Image,False,40,11,37,8
13,01,rh-lateraloccipital,0.3860677083333333,-0.027287389727190907,0.24615384615384617,2.233987546531653,RandomForest + KNN,unconscious,unconscious,False,Image,False,39,8,40,9
14,01,rh-lateraloccipital,0.5394965277777777,0.059028133610095526,0.25806451612903225,1.7802072146606245,RandomForest + KNN,unconscious,unconscious,False,Image,False,42,8,40,6
15,01,rh-lateraloccipital,0.5323350694444444,0.0,0.25,1.1021812057640925,RandomForest + KNN,unconscious,unconscious,False,Image,False,40,8,40,8
16,01,rh-lateraloccipital,0.40863715277777773,-0.11867816581938533,0.273972602739726,1.1966112721721955,RandomForest + KNN,unconscious,unconscious,False,Image,False,33,10,38,15
17,01,rh-lateraloccipital,0.5134548611111112,0.03270349700838643,0.20338983050847456,1.4456203773994762,RandomForest + KNN,unconscious,unconscious,False,Image,False,43,6,42,5
18,01,rh-lateraloccipital,0.5974392361111112,0.17638342073763938,0.4057971014492754,1.3821284412754613,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,14,34,7
19,01,rh-lateraloccipital,0.5026041666666666,-0.030443128277399152,0.19672131147540983,2.824608931913797,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,6,42,7
20,01,rh-lateraloccipital,0.48784722222222227,-0.17868542247296582,0.07017543859649122,1.822549053976464,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,2,46,7
21,01,rh-lateraloccipital,0.4338107638888889,-0.07321429868450702,0.28169014084507044,1.846433327739336,RandomForest + KNN,unconscious,unconscious,False,Image,False,35,10,38,13
22,01,rh-lateraloccipital,0.43489583333333337,-0.1363988678940947,0.10344827586206896,1.1657015555156092,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,3,45,7
23,01,rh-lateraloccipital,0.5106336805555556,0.0,0.25,1.7919064689597457,RandomForest + KNN,unconscious,unconscious,False,Image,False,40,8,40,8
24,01,rh-lateraloccipital,0.5015190972222222,0.08606629658238704,0.2857142857142857,2.1546737488548735,RandomForest + KNN,unconscious,unconscious,False,Image,False,42,9,39,6
25,01,rh-lateraloccipital,0.5466579861111112,0.04688072309384954,0.11320754716981132,2.11163954878958,RandomForest + KNN,unconscious,unconscious,False,Image,False,46,3,45,2
26,01,rh-lateraloccipital,0.502170138888889,0.0,0.22580645161290322,1.458854121527325,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,7,41,7
27,01,rh-lateraloccipital,0.4759114583333333,0.0,0.2727272727272727,1.467418957181857,RandomForest + KNN,unconscious,unconscious,False,Image,False,39,9,39,9
28,01,rh-lateraloccipital,0.4173177083333333,0.05590169943749474,0.28125,1.5084279993217038,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,9,39,7
29,01,rh-lateraloccipital,0.5818142361111112,0.09132938483219746,0.26229508196721313,1.0588595069790958,RandomForest + KNN,unconscious,unconscious,False,Image,False,43,8,40,5
30,01,rh-lateraloccipital,0.4639756944444444,-0.026144349280800106,0.2686567164179105,2.185887622510959,RandomForest + KNN,unconscious,unconscious,False,Image,False,38,9,39,10
31,01,rh-lateraloccipital,0.4598524305555556,-0.02268629628464662,0.3636363636363637,2.2076862022933397,RandomForest + KNN,unconscious,unconscious,False,Image,False,33,14,34,15
32,01,rh-lateraloccipital,0.5186631944444444,0.08606629658238704,0.2857142857142857,0.7534814699361897,RandomForest + KNN,unconscious,unconscious,False,Image,False,42,9,39,6
33,01,rh-lateraloccipital,0.5101996527777778,0.06819943394704735,0.20689655172413793,1.0907490831048392,RandomForest + KNN,unconscious,unconscious,False,Image,False,44,6,42,4
34,01,rh-lateraloccipital,0.5907118055555556,-0.023735633163877067,0.3287671232876712,2.090743351549285,RandomForest + KNN,unconscious,unconscious,False,Image,False,35,12,36,13
35,01,rh-lateraloccipital,0.5201822916666666,0.11180339887498948,0.3125,1.1013795282522578,RandomForest + KNN,unconscious,unconscious,False,Image,False,42,10,38,6
36,01,rh-lateraloccipital,0.4487847222222222,-0.11180339887498948,0.1875,1.1507146880342705,RandomForest + KNN,unconscious,unconscious,False,Image,False,38,6,42,10
37,01,rh-lateraloccipital,0.3719618055555556,-0.13750477455423168,0.2894736842105263,3.6164230058299593,RandomForest + KNN,unconscious,unconscious,False,Image,False,31,11,37,17
38,01,rh-lateraloccipital,0.46875,-0.10675210253672476,0.21212121212121213,1.50382452983552,RandomForest + KNN,unconscious,unconscious,False,Image,False,37,7,41,11
39,01,rh-lateraloccipital,0.412109375,-0.2581988897471611,0.09523809523809523,1.8620807161348178,RandomForest + KNN,unconscious,unconscious,False,Image,False,36,3,45,12
40,01,rh-lateraloccipital,0.4503038194444445,-0.13072174640400053,0.20895522388059704,1.1705940004457773,RandomForest + KNN,unconscious,unconscious,False,Image,False,36,7,41,12
41,01,rh-lateraloccipital,0.47960069444444453,-0.10259783520851541,0.23529411764705882,1.1471633694199934,RandomForest + KNN,unconscious,unconscious,False,Image,False,36,8,40,12
42,01,rh-lateraloccipital,0.3435329861111111,-0.28758784208880117,0.11940298507462688,1.946282055809676,RandomForest + KNN,unconscious,unconscious,False,Image,False,33,4,44,15
43,01,rh-lateraloccipital,0.43967013888888884,-0.048112522432468816,0.3055555555555555,1.85867888325813,RandomForest + KNN,unconscious,unconscious,False,Image,False,35,11,37,13
44,01,rh-lateraloccipital,0.4811197916666667,0.0,0.3142857142857143,2.5062642823829093,RandomForest + KNN,unconscious,unconscious,False,Image,False,37,11,37,11
45,01,rh-lateraloccipital,0.40625000000000006,-0.1889822365046136,0.1,1.522848481095765,RandomForest + KNN,unconscious,unconscious,False,Image,False,39,3,45,9
46,01,rh-lateraloccipital,0.46072048611111116,-0.06299407883487121,0.16666666666666669,2.1839801104877905,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,5,43,7
47,01,rh-lateraloccipital,0.453125,-0.08606629658238706,0.07407407407407407,2.520859519906485,RandomForest + KNN,unconscious,unconscious,False,Image,False,44,2,46,4
48,01,rh-lateraloccipital,0.40646701388888884,-0.08606629658238704,0.19047619047619047,1.5317292290975024,RandomForest + KNN,unconscious,unconscious,False,Image,False,39,6,42,9
49,01,rh-lateraloccipital,0.5761718750000001,0.20519567041703082,0.4117647058823529,1.7387930278987962,RandomForest + KNN,unconscious,unconscious,False,Image,False,42,14,34,6
50,01,rh-lateraloccipital,0.4613715277777778,0.0,0.29411764705882354,1.4907319423053622,RandomForest + KNN,unconscious,unconscious,False,Image,False,38,10,38,10
51,01,rh-lateraloccipital,0.4615885416666667,0.0,0.3142857142857143,1.8321138335877574,RandomForest + KNN,unconscious,unconscious,False,Image,False,37,11,37,11
52,01,rh-lateraloccipital,0.4791666666666667,-0.05337605126836238,0.24242424242424243,2.5157972221588927,RandomForest + KNN,unconscious,unconscious,False,Image,False,38,8,40,10
53,01,rh-lateraloccipital,0.5713975694444445,0.0,0.22580645161290322,0.7188540080557103,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,7,41,7
54,01,rh-lateraloccipital,0.4730902777777778,-0.06299407883487121,0.16666666666666669,3.202821624959441,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,5,43,7
55,01,rh-lateraloccipital,0.46918402777777773,0.16012815380508713,0.36363636363636365,1.8345475623429948,RandomForest + KNN,unconscious,unconscious,False,Image,False,42,12,36,6
56,01,rh-lateraloccipital,0.4351128472222222,-0.030443128277399152,0.19672131147540983,1.8360702968240161,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,6,42,7
57,01,rh-lateraloccipital,0.519314236111111,-0.023735633163877067,0.3287671232876712,1.8078780988423306,RandomForest + KNN,unconscious,unconscious,False,Image,False,35,12,36,13
58,01,rh-lateraloccipital,0.4457465277777777,-0.06299407883487121,0.16666666666666669,1.1569585379037546,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,5,43,7
59,01,rh-lateraloccipital,0.43728298611111116,-0.030443128277399152,0.19672131147540983,1.8506201798480628,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,6,42,7
60,01,rh-lateraloccipital,0.4861111111111111,0.12598815766974242,0.26666666666666666,1.4452069036375963,RandomForest + KNN,unconscious,unconscious,False,Image,False,44,8,40,4
61,01,rh-lateraloccipital,0.46744791666666674,0.030443128277399152,0.22950819672131148,0.8035982227424333,RandomForest + KNN,unconscious,unconscious,False,Image,False,42,7,41,6
62,01,rh-lateraloccipital,0.5305989583333333,0.05337605126836238,0.30303030303030304,1.109697316754526,RandomForest + KNN,unconscious,unconscious,False,Image,False,40,10,38,8
63,01,rh-lateraloccipital,0.5045572916666666,-0.11180339887498948,0.1875,2.484231887520252,RandomForest + KNN,unconscious,unconscious,False,Image,False,38,6,42,10
64,01,rh-lateraloccipital,0.523654513888889,0.0,0.1724137931034483,0.7692665887215547,RandomForest + KNN,unconscious,unconscious,False,Image,False,43,5,43,5
65,01,rh-lateraloccipital,0.523220486111111,-0.03270349700838643,0.1694915254237288,1.7845484554390303,RandomForest + KNN,unconscious,unconscious,False,Image,False,42,5,43,6
66,01,rh-lateraloccipital,0.4787326388888889,-0.06299407883487121,0.16666666666666669,1.4691804096752448,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,5,43,7
67,01,rh-lateraloccipital,0.529296875,0.07843304784240032,0.3283582089552239,2.8224710310181607,RandomForest + KNN,unconscious,unconscious,False,Image,False,40,11,37,8
68,01,rh-lateraloccipital,0.5481770833333334,0.028688765527462346,0.25396825396825395,1.0863960869787277,RandomForest + KNN,unconscious,unconscious,False,Image,False,41,8,40,7
69,01,rh-lateraloccipital,0.4490017361111111,-0.05337605126836238,0.24242424242424243,0.823359889251661,RandomForest + KNN,unconscious,unconscious,False,Image,False,38,8,40,10
70,01,rh-lateraloccipital,0.4474826388888889,0.03270349700838643,0.20338983050847456,1.5085490714317908,RandomForest + KNN,unconscious,unconscious,False,Image,False,43,6,42,5
71,01,rh-lateraloccipital,0.5180121527777778,0.051298917604257706,0.32352941176470584,1.804014294088657,RandomForest + KNN,unconscious,unconscious,False,Image,False,39,11,37,9
72,01,rh-lateraloccipital,0.5151909722222222,0.09132938483219746,0.26229508196721313,1.1007072519904078,RandomForest + KNN,unconscious,unconscious,False,Image,False,43,8,40,5
73,01,rh-lateraloccipital,0.44509548611111116,0.02519763153394848,0.31884057971014496,1.8514419418475017,RandomForest + KNN,unconscious,unconscious,False,Image,False,38,11,37,10
74,01,rh-lateraloccipital,0.5062934027777778,0.0,0.2727272727272727,1.8021067820654888,RandomForest + KNN,unconscious,unconscious,False,Image,False,39,9,39,9
75,01,rh-lateraloccipital,0.4440104166666667,-0.12598815766974242,0.2318840579710145,2.1852153462491093,RandomForest + KNN,unconscious,unconscious,False,Image,False,35,8,40,13
