fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-lingual,0.5263741134751773,0.0,0.0,16.360666615914475,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
2,01,rh-lingual,0.6006205673758865,0.0,0.0,13.815695727895477,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
3,01,rh-lingual,0.5689273049645389,0.0,0.0,14.906402346655078,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
4,01,rh-lingual,0.5048758865248227,0.0,0.0,17.087790333729117,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
5,01,rh-lingual,0.4747340425531915,0.0,0.0,18.178555870194103,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
6,01,rh-lingual,0.536790780141844,0.0,0.0,15.997092131784571,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
7,01,rh-lingual,0.4632092198581561,0.0,0.0,18.542088270248737,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
8,01,rh-lingual,0.4838209219858155,0.0,0.0,17.81493088517387,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
9,01,rh-lingual,0.5472074468085106,0.0,0.0,15.633517647654667,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
10,01,rh-lingual,0.5995124113475178,0.0,0.0,13.815653643820202,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
11,01,rh-lingual,0.5359042553191489,0.0,0.0,15.99705846452435,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
12,01,rh-lingual,0.41954787234042556,0.0,0.0,19.99631045543286,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
13,01,rh-lingual,0.5589539007092199,0.0,0.0,15.26999366441509,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
14,01,rh-lingual,0.5150709219858155,0.0,0.0,16.72420743278416,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
15,01,rh-lingual,0.462322695035461,0.0,0.0,18.542054602988514,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
16,01,rh-lingual,0.5576241134751773,0.0,0.0,15.269943163524761,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
17,01,rh-lingual,0.5168439716312057,0.0,0.0,16.724274767304593,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
18,01,rh-lingual,0.5261524822695035,0.0,0.0,16.36065819909942,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
19,01,rh-lingual,0.4632092198581561,0.0,0.0,18.542088270248737,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
20,01,rh-lingual,0.5582890070921985,0.0,0.0,15.269968413969927,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
21,01,rh-lingual,0.5159574468085106,0.0,0.0,16.724241100044377,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
22,01,rh-lingual,0.5372340425531915,0.0,0.0,15.997108965414679,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
23,01,rh-lingual,0.5578457446808511,0.0,0.0,15.269951580339816,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
24,01,rh-lingual,0.48315602836879423,0.0,0.0,17.814905634728706,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
25,01,rh-lingual,0.5053191489361701,0.0,0.0,17.087807167359227,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
26,01,rh-lingual,0.44304078014184395,0.0,0.0,19.269262488953704,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
27,01,rh-lingual,0.4410460992907802,0.0,0.0,19.26918673761821,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
28,01,rh-lingual,0.5673758865248227,0.0,0.0,14.906343428949693,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
29,01,rh-lingual,0.5571808510638298,0.0,0.0,15.269926329894652,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
30,01,rh-lingual,0.5155141843971631,0.0,0.0,16.724224266414268,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
31,01,rh-lingual,0.5053191489361701,0.0,0.0,17.087807167359227,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
32,01,rh-lingual,0.5689273049645389,0.0,0.0,14.906402346655078,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
33,01,rh-lingual,0.5361258865248227,0.0,0.0,15.997066881339405,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
34,01,rh-lingual,0.494459219858156,0.0,0.0,17.45136481785902,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
35,01,rh-lingual,0.3681294326241135,0.0,0.0,21.814208126527543,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
36,01,rh-lingual,0.5157358156028368,0.0,0.0,16.72423268322932,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
37,01,rh-lingual,0.5157358156028368,0.0,0.0,16.72423268322932,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
38,01,rh-lingual,0.5265957446808511,0.0,0.0,16.360675032729528,None + Tree,glimpse,glimpse,False,Image,False,48,0,47,0
