fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-lingual,0.5703125,0.20851441405707477,0.5957446808510638,0.6907369734968046,None + Linear-SVM,unconscious,unconscious,False,Image,False,30,28,20,18
2,01,rh-lingual,0.5121527777777778,-0.041666666666666664,0.4791666666666667,0.692587699301955,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
3,01,rh-lingual,0.4422743055555556,-0.2090605025017727,0.3695652173913044,0.6984187616794237,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,17,31,27
4,01,rh-lingual,0.4856770833333333,-0.08333333333333333,0.4583333333333333,0.6934255361321512,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
5,01,rh-lingual,0.4665798611111111,0.0,0.5,0.695827864818519,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
6,01,rh-lingual,0.5290798611111112,0.0,0.5,0.6913755003662114,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
7,01,rh-lingual,0.5746527777777777,0.125,0.5625,0.686764588703094,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
8,01,rh-lingual,0.5624999999999999,0.14586499149789456,0.5684210526315789,0.6918105686678286,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
9,01,rh-lingual,0.4592013888888889,-0.02083785592827065,0.4842105263157895,0.6950872472165849,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
10,01,rh-lingual,0.43576388888888884,-0.04170288281141495,0.4680851063829787,0.6948461479831379,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
11,01,rh-lingual,0.5091145833333333,0.0,0.48936170212765956,0.6929091914916373,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
12,01,rh-lingual,0.5151909722222223,0.10418927964135326,0.5567010309278351,0.6928924478878171,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,27,21,22
13,01,rh-lingual,0.4409722222222222,-0.0834057656228299,0.44680851063829785,0.6962497760820376,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
14,01,rh-lingual,0.5985243055555556,0.20833333333333334,0.6041666666666666,0.6873167566287798,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,29,19,19
15,01,rh-lingual,0.4322916666666666,-0.10418927964135326,0.4421052631578947,0.7012023181288471,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
16,01,rh-lingual,0.4748263888888889,-0.02083785592827065,0.4842105263157895,0.6958913581623261,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
17,01,rh-lingual,0.4930555555555556,-0.06251356778481196,0.46315789473684216,0.6934290002953797,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
18,01,rh-lingual,0.44921875,-0.18754070335443587,0.39999999999999997,0.697589445880675,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
19,01,rh-lingual,0.45355902777777773,0.02083785592827065,0.5052631578947369,0.6964526282288123,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
20,01,rh-lingual,0.544704861111111,0.02083785592827065,0.5052631578947369,0.6921324421242391,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
21,01,rh-lingual,0.4283854166666667,-0.10418927964135326,0.4421052631578947,0.6949687458146302,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
22,01,rh-lingual,0.603298611111111,0.10418927964135326,0.5567010309278351,0.6881923141333429,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,27,21,22
23,01,rh-lingual,0.39670138888888884,-0.18786728732554484,0.38709677419354843,0.7016549065466,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,18,30,27
24,01,rh-lingual,0.5707465277777778,0.125,0.5625,0.6899392572635774,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
25,01,rh-lingual,0.5134548611111112,0.02083785592827065,0.5052631578947369,0.6932496465193748,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
