fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-parahippocampal,0.4631076388888889,-0.06251356778481196,0.4742268041237114,0.696196429374646,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,23,25,26
2,01,rh-parahippocampal,0.4171006944444445,-0.10418927964135326,0.4421052631578947,0.700276601732042,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
3,01,rh-parahippocampal,0.39583333333333337,-0.22921641521097716,0.37894736842105264,0.6976637409978785,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,19,18,30,29
4,01,rh-parahippocampal,0.5316840277777777,-0.020874143036171647,0.4731182795698925,0.6925656102147189,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,22,26,23
5,01,rh-parahippocampal,0.4110243055555556,-0.2090605025017727,0.3695652173913044,0.6963849975108616,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,17,31,27
6,01,rh-parahippocampal,0.5325520833333334,0.18852560660029855,0.5714285714285714,0.6927461590787803,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,31,26,22,17
7,01,rh-parahippocampal,0.4283854166666667,-0.10418927964135326,0.4421052631578947,0.694755251916035,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
8,01,rh-parahippocampal,0.5269097222222223,0.125,0.5625,0.6927346669042308,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,27,21,21
9,01,rh-parahippocampal,0.44010416666666663,-0.14586499149789456,0.42105263157894735,0.6970663971902417,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,20,28,27
10,01,rh-parahippocampal,0.3975694444444444,-0.18754070335443587,0.39999999999999997,0.6948459644813472,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,20,19,29,28
11,01,rh-parahippocampal,0.3980034722222222,-0.1668115312456598,0.4042553191489362,0.6949564940384073,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,19,29,27
12,01,rh-parahippocampal,0.5108506944444444,0.125,0.5625,0.6932723338829166,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,27,21,21
13,01,rh-parahippocampal,0.4900173611111111,-0.04170288281141495,0.4680851063829787,0.6974921248907145,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,22,26,24
14,01,rh-parahippocampal,0.61328125,0.25,0.625,0.6898113067312827,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,30,30,18,18
15,01,rh-parahippocampal,0.4761284722222222,-0.02083785592827065,0.4842105263157895,0.6953603305007694,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
16,01,rh-parahippocampal,0.5711805555555555,0.10418927964135326,0.5473684210526316,0.6911179779593738,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
17,01,rh-parahippocampal,0.5034722222222222,0.0834057656228299,0.5319148936170214,0.6942463182251138,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,25,23,21
