fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-precuneus,0.658102766798419,0.20059288537549408,0.6,0.6691490711756489,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
2,01,rh-precuneus,0.5765810276679841,0.06719367588932806,0.5333333333333332,0.6853025825548951,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
3,01,rh-precuneus,0.6111660079051383,0.08998766380961665,0.5393258426966292,0.6711830177920906,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,24,22,19
4,01,rh-precuneus,0.48962450592885376,0.08891084489487741,0.5494505494505495,0.6944614594823003,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
5,01,rh-precuneus,0.5182806324110671,0.022727272727272728,0.5111111111111111,0.6972853168754398,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
6,01,rh-precuneus,0.5395256916996047,0.044455422447438706,0.5274725274725275,0.69145537103136,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
7,01,rh-precuneus,0.49110671936758893,-0.021739130434782608,0.4888888888888889,0.702457739558306,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
8,01,rh-precuneus,0.5029644268774704,-0.04351051876508937,0.47191011235955055,0.7045054882046677,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
9,01,rh-precuneus,0.5439723320158103,0.06719367588932806,0.5333333333333332,0.7160427372133733,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,24,22,20
10,01,rh-precuneus,0.615612648221344,0.2450592885375494,0.6222222222222223,0.6835247531140242,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
11,01,rh-precuneus,0.5558300395256917,0.08891084489487741,0.5494505494505495,0.688319952050919,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
12,01,rh-precuneus,0.5138339920948616,0.04548826961804798,0.5168539325842696,0.6997230122980946,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,23,23,20
13,01,rh-precuneus,0.549407114624506,-0.021739130434782608,0.4888888888888889,0.6899131209629633,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
14,01,rh-precuneus,0.5385375494071145,0.08891084489487741,0.5494505494505495,0.7029960097302873,Mutual + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
15,01,rh-precuneus,0.5360671936758894,0.022727272727272728,0.5111111111111111,0.7022370685051628,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
16,01,rh-precuneus,0.4871541501976285,-0.08800991295665804,0.449438202247191,0.6989903657337215,Mutual + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
17,01,rh-precuneus,0.4545454545454546,-0.13250930714822673,0.4269662921348315,0.7027290662492854,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
18,01,rh-precuneus,0.4718379446640316,-0.13448705800118532,0.45161290322580644,0.6970020899173504,Mutual + Linear-SVM,conscious,conscious,False,Image,False,18,21,25,26
19,01,rh-precuneus,0.5197628458498023,0.0,0.5054945054945055,0.69899598000521,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
20,01,rh-precuneus,0.517786561264822,0.1358799381021464,0.5517241379310345,0.7006258649305628,Mutual + Linear-SVM,conscious,conscious,False,Image,False,27,24,22,17
21,01,rh-precuneus,0.5207509881422925,0.0009888754264793039,0.49438202247191015,0.6917188384827848,Mutual + Linear-SVM,conscious,conscious,False,Image,False,23,22,24,21
22,01,rh-precuneus,0.6462450592885375,0.2450592885375494,0.6222222222222223,0.6777342045634384,Mutual + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
23,01,rh-precuneus,0.600790513833992,0.1333662673423161,0.5714285714285713,0.684097853408559,Mutual + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
24,01,rh-precuneus,0.43033596837944665,-0.13250930714822673,0.4269662921348315,0.6972500133757085,Mutual + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
25,01,rh-precuneus,0.4891304347826087,-0.021739130434782608,0.4888888888888889,0.7103108706058525,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
26,01,rh-precuneus,0.48863636363636365,-0.04351051876508937,0.47191011235955055,0.7098338367448414,Mutual + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
27,01,rh-precuneus,0.566699604743083,0.15612648221343872,0.5777777777777778,0.6872806022564704,Mutual + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
