fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-precuneus,0.5711805555555556,0.125,0.5625,0.6902965404887967,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,27,21,21
2,01,rh-precuneus,0.4869791666666667,0.0,0.48936170212765956,0.6935273346969121,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,23,25,23
3,01,rh-precuneus,0.5377604166666666,-0.06262242910851494,0.45161290322580644,0.6897334172069209,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,21,27,24
4,01,rh-precuneus,0.48828125,0.06262242910851494,0.5161290322580646,0.6970889549237409,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,24,24,21
5,01,rh-precuneus,0.49348958333333337,0.06251356778481196,0.5263157894736842,0.6937991044545222,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
6,01,rh-precuneus,0.4735243055555556,-0.02083785592827065,0.4948453608247423,0.6942606783290616,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,24,24,25
7,01,rh-precuneus,0.42795138888888884,-0.14586499149789456,0.42105263157894735,0.6945560319850311,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,20,28,27
8,01,rh-precuneus,0.53515625,0.06251356778481196,0.5263157894736842,0.6922074213437309,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
9,01,rh-precuneus,0.4631076388888889,0.0,0.5,0.6944343519120569,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,24,24,24
10,01,rh-precuneus,0.48046875,-0.10418927964135326,0.45360824742268036,0.6933433260752011,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,22,26,27
11,01,rh-precuneus,0.6028645833333334,0.18754070335443587,0.5894736842105263,0.6848367871804942,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,28,20,19
12,01,rh-precuneus,0.3736979166666667,-0.10437071518085823,0.4301075268817204,0.6964576250481844,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,20,28,25
13,01,rh-precuneus,0.5069444444444444,0.02083785592827065,0.5052631578947369,0.693056953083201,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
14,01,rh-precuneus,0.5112847222222222,-0.02083785592827065,0.4842105263157895,0.6929794737812576,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
15,01,rh-precuneus,0.5581597222222221,0.08333333333333333,0.5416666666666666,0.6917541390573977,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,26,22,22
16,01,rh-precuneus,0.5282118055555556,0.06251356778481196,0.5263157894736842,0.6918882020528306,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
17,01,rh-precuneus,0.5217013888888888,0.06251356778481196,0.5263157894736842,0.6944666815270525,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
18,01,rh-precuneus,0.5716145833333334,0.18754070335443587,0.5894736842105263,0.6889283494501308,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,29,28,20,19
19,01,rh-precuneus,0.5286458333333333,0.14586499149789456,0.5684210526315789,0.6930437737206369,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,28,27,21,20
20,01,rh-precuneus,0.5820312499999999,0.125,0.5625,0.6919314706053363,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,27,21,21
21,01,rh-precuneus,0.5568576388888888,0.041666666666666664,0.5208333333333334,0.6908520767850096,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
22,01,rh-precuneus,0.4592013888888889,0.0,0.4782608695652174,0.7012870685932584,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,22,26,22
23,01,rh-precuneus,0.4891493055555556,0.06251356778481196,0.5263157894736842,0.6932851538497723,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,25,23,22
24,01,rh-precuneus,0.575954861111111,0.10418927964135326,0.5473684210526316,0.6917014060286869,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
25,01,rh-precuneus,0.3823784722222222,-0.18754070335443587,0.39999999999999997,0.6950397582442979,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,20,19,29,28
26,01,rh-precuneus,0.5234375,0.08333333333333333,0.5416666666666666,0.6928904611030839,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,26,22,22
27,01,rh-precuneus,0.4956597222222222,-0.02083785592827065,0.4842105263157895,0.6934069865920103,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
28,01,rh-precuneus,0.4826388888888889,-0.041666666666666664,0.4791666666666667,0.6950978493024844,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,23,25,25
29,01,rh-precuneus,0.5151909722222222,-0.04170288281141495,0.4680851063829787,0.6923468595655143,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,22,26,24
30,01,rh-precuneus,0.5073784722222222,0.02083785592827065,0.5052631578947369,0.6945292290965525,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
31,01,rh-precuneus,0.4722222222222222,-0.10418927964135326,0.4421052631578947,0.6944912455952444,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
32,01,rh-precuneus,0.5885416666666665,0.10418927964135326,0.5473684210526316,0.6915561749795955,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,27,26,22,21
33,01,rh-precuneus,0.515625,-0.041666666666666664,0.4791666666666667,0.6941429102596244,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,23,25,25
34,01,rh-precuneus,0.5308159722222222,-0.06251356778481196,0.46315789473684216,0.6908196680848269,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
35,01,rh-precuneus,0.4626736111111111,-0.08333333333333333,0.4583333333333333,0.694552572290965,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,22,26,26
36,01,rh-precuneus,0.46614583333333326,0.0,0.48936170212765956,0.6946171454217224,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,23,25,23
37,01,rh-precuneus,0.4887152777777778,0.10418927964135326,0.5567010309278351,0.6978493742375553,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,26,27,21,22
38,01,rh-precuneus,0.484375,-0.02083785592827065,0.4842105263157895,0.6933058855814247,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,24,23,25,24
39,01,rh-precuneus,0.4639756944444445,-0.06251356778481196,0.46315789473684216,0.6948440213092351,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,23,22,26,25
40,01,rh-precuneus,0.47482638888888884,-0.10418927964135326,0.4421052631578947,0.693859422393615,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
41,01,rh-precuneus,0.5290798611111112,0.041666666666666664,0.5208333333333334,0.6921381293249264,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,25,23,23
42,01,rh-precuneus,0.5598958333333334,0.14586499149789456,0.5684210526315789,0.6917810004729925,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,28,27,21,20
43,01,rh-precuneus,0.5047743055555556,0.0,0.48936170212765956,0.6946664514444373,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,23,25,23
44,01,rh-precuneus,0.4353298611111111,-0.125,0.4375,0.6943042881036702,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,21,21,27,27
45,01,rh-precuneus,0.5004340277777778,0.02083785592827065,0.5052631578947369,0.6930950169100673,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,25,24,24,23
46,01,rh-precuneus,0.49479166666666663,-0.10418927964135326,0.4421052631578947,0.6926182236420586,None + Ensemble-SVMs,unconscious,unconscious,False,Image,False,22,21,27,26
