fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-precuneus,0.574435763888889,0.10675210253672476,0.33333333333333337,1.0606410439600877,None + KNN,unconscious,unconscious,False,Image,False,41,11,37,7
2,01,rh-precuneus,0.3760850694444445,-0.14586499149789456,0.42105263157894735,2.5949816185856873,None + KNN,unconscious,unconscious,False,Image,False,21,20,28,27
3,01,rh-precuneus,0.47764756944444453,0.1487044791289829,0.4,1.1516457667960902,None + KNN,unconscious,unconscious,False,Image,False,40,14,34,8
4,01,rh-precuneus,0.4796006944444444,-0.024404766228169006,0.3098591549295775,2.537365413068806,None + KNN,unconscious,unconscious,False,Image,False,36,11,37,12
5,01,rh-precuneus,0.4613715277777778,0.05337605126836238,0.30303030303030304,0.7988317528544417,None + KNN,unconscious,unconscious,False,Image,False,40,10,38,8
6,01,rh-precuneus,0.4774305555555556,0.08606629658238704,0.2857142857142857,1.8242011897074708,None + KNN,unconscious,unconscious,False,Image,False,42,9,39,6
7,01,rh-precuneus,0.44900173611111105,-0.024404766228169006,0.3098591549295775,1.1880346811699571,None + KNN,unconscious,unconscious,False,Image,False,36,11,37,12
8,01,rh-precuneus,0.4893663194444444,0.02519763153394848,0.31884057971014496,1.1447213115248585,None + KNN,unconscious,unconscious,False,Image,False,38,11,37,10
9,01,rh-precuneus,0.458984375,0.0,0.1111111111111111,2.5284846650670683,None + KNN,unconscious,unconscious,False,Image,False,45,3,45,3
10,01,rh-precuneus,0.5251736111111112,0.023735633163877067,0.35616438356164387,2.474816593646548,None + KNN,unconscious,unconscious,False,Image,False,36,13,35,12
11,01,rh-precuneus,0.6180555555555556,0.11584134114281931,0.4266666666666667,1.0305413339552336,None + KNN,unconscious,unconscious,False,Image,False,37,16,32,11
12,01,rh-precuneus,0.4913194444444444,-0.02316826822856386,0.3466666666666667,2.1634417538864215,None + KNN,unconscious,unconscious,False,Image,False,34,13,35,14
13,01,rh-precuneus,0.474609375,-0.07321429868450702,0.28169014084507044,1.4784376060792308,None + KNN,unconscious,unconscious,False,Image,False,35,10,38,13
14,01,rh-precuneus,0.5221354166666666,0.09622504486493763,0.38888888888888895,1.7890391819550244,None + KNN,unconscious,unconscious,False,Image,False,38,14,34,10
15,01,rh-precuneus,0.43424479166666674,-0.07843304784240032,0.23880597014925375,1.8721883707579758,None + KNN,unconscious,unconscious,False,Image,False,37,8,40,11
16,01,rh-precuneus,0.462890625,-0.06492654830247074,0.38554216867469876,2.5482664160639006,None + KNN,unconscious,unconscious,False,Image,False,29,16,32,19
