fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-rostralmiddlefrontal,0.572048611111111,0.12510864843424485,0.5531914893617021,0.6885642181877629,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
2,01,rh-rostralmiddlefrontal,0.4461805555555556,-0.08333333333333333,0.4583333333333333,0.695018156356689,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
3,01,rh-rostralmiddlefrontal,0.5559895833333333,0.125,0.5625,0.6882249408552367,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
4,01,rh-rostralmiddlefrontal,0.5729166666666666,0.14586499149789456,0.577319587628866,0.6889593936716739,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,28,20,21
5,01,rh-rostralmiddlefrontal,0.4613715277777778,-0.08333333333333333,0.4583333333333333,0.6970536918000488,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
6,01,rh-rostralmiddlefrontal,0.5217013888888888,0.06251356778481196,0.5263157894736842,0.6942020243319854,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
7,01,rh-rostralmiddlefrontal,0.5308159722222222,0.10418927964135326,0.5473684210526316,0.6918454055649189,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
8,01,rh-rostralmiddlefrontal,0.3953993055555555,-0.14586499149789456,0.43298969072164945,0.7215093434037145,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,20,21,27,28
9,01,rh-rostralmiddlefrontal,0.5551215277777778,0.10418927964135326,0.5473684210526316,0.6877264439661209,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
10,01,rh-rostralmiddlefrontal,0.36197916666666663,-0.2919201796799047,0.3404255319148936,0.6983715176398491,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,18,16,32,30
11,01,rh-rostralmiddlefrontal,0.4930555555555556,-0.06251356778481196,0.46315789473684216,0.6935326953833171,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
12,01,rh-rostralmiddlefrontal,0.49218750000000006,0.02083785592827065,0.5052631578947369,0.6985568205578033,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
13,01,rh-rostralmiddlefrontal,0.43619791666666663,-0.125,0.4375,0.7003356253708519,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
14,01,rh-rostralmiddlefrontal,0.6050347222222223,0.22921641521097716,0.6105263157894737,0.6835542459681999,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,30,29,19,18
15,01,rh-rostralmiddlefrontal,0.6150173611111112,0.14586499149789456,0.5684210526315789,0.6841144551214186,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
16,01,rh-rostralmiddlefrontal,0.5490451388888888,-0.020947289622255394,0.4615384615384615,0.6897957794139163,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,21,27,22
17,01,rh-rostralmiddlefrontal,0.5520833333333334,0.125,0.5625,0.6894961807507043,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
18,01,rh-rostralmiddlefrontal,0.5572916666666667,0.10418927964135326,0.5473684210526316,0.6891890053837807,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
19,01,rh-rostralmiddlefrontal,0.5177951388888888,-0.10418927964135326,0.45360824742268036,0.6916618148056468,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,21,22,26,27
20,01,rh-rostralmiddlefrontal,0.48697916666666663,0.02083785592827065,0.5052631578947369,0.7059468431630423,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
21,01,rh-rostralmiddlefrontal,0.5334201388888888,0.10418927964135326,0.5473684210526316,0.6925777597171571,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
22,01,rh-rostralmiddlefrontal,0.4644097222222223,-0.06251356778481196,0.46315789473684216,0.6980526867057083,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
23,01,rh-rostralmiddlefrontal,0.5629340277777777,0.18754070335443587,0.5894736842105263,0.6913446930413573,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
24,01,rh-rostralmiddlefrontal,0.537326388888889,0.06251356778481196,0.5263157894736842,0.6933729048744618,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
25,01,rh-rostralmiddlefrontal,0.5091145833333334,0.08333333333333333,0.5416666666666666,0.6963422444719254,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
26,01,rh-rostralmiddlefrontal,0.6106770833333334,0.2502172968684897,0.6170212765957447,0.6899385107004642,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,31,29,19,17
