fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-superiorfrontal,0.49061264822134387,-0.08891084489487741,0.46153846153846156,0.6927046074028437,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,21,25,24
2,01,rh-superiorfrontal,0.3992094861660079,-0.06620553359683795,0.4666666666666666,0.6983477507939266,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
3,01,rh-superiorfrontal,0.3685770750988142,-0.2667325346846322,0.37362637362637363,0.7212230640954657,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,16,17,29,28
4,01,rh-superiorfrontal,0.6017786561264822,0.11166007905138339,0.5555555555555556,0.6879227251675571,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
5,01,rh-superiorfrontal,0.39673913043478254,-0.2885375494071146,0.3555555555555555,0.7009409454990833,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,16,16,30,28
6,01,rh-superiorfrontal,0.5548418972332017,0.022727272727272728,0.5111111111111111,0.6889522016010782,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
7,01,rh-superiorfrontal,0.5148221343873518,0.044455422447438706,0.5274725274725275,0.693309733591154,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
8,01,rh-superiorfrontal,0.49950592885375494,-0.04351051876508937,0.47191011235955055,0.6939698089619815,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
9,01,rh-superiorfrontal,0.4525691699604743,0.0,0.5054945054945055,0.7030550637323649,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
10,01,rh-superiorfrontal,0.5548418972332015,0.08891084489487741,0.5494505494505495,0.6909765962488894,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
11,01,rh-superiorfrontal,0.44762845849802374,-0.06620553359683795,0.4666666666666666,0.7007676066892954,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
12,01,rh-superiorfrontal,0.58399209486166,0.08891084489487741,0.5494505494505495,0.6913272994312925,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
13,01,rh-superiorfrontal,0.5064229249011858,-0.021739130434782608,0.4888888888888889,0.6917372283364073,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
14,01,rh-superiorfrontal,0.36709486166007904,-0.22150809553136405,0.38202247191011235,0.7097989892921654,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,18,17,29,26
15,01,rh-superiorfrontal,0.5108695652173914,0.022727272727272728,0.5111111111111111,0.6962226332616094,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
16,01,rh-superiorfrontal,0.34436758893280633,-0.2667325346846322,0.37362637362637363,0.7086474490071225,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,16,17,29,28
17,01,rh-superiorfrontal,0.4352766798418972,-0.021739130434782608,0.4888888888888889,0.7023977174725785,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
18,01,rh-superiorfrontal,0.5251976284584979,0.044455422447438706,0.5274725274725275,0.6917156484215355,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,24,22,21
19,01,rh-superiorfrontal,0.5296442687747035,0.1551383399209486,0.5869565217391305,0.692948610314699,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,27,19,19
20,01,rh-superiorfrontal,0.4076086956521739,-0.08800991295665804,0.449438202247191,0.713221796949898,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
21,01,rh-superiorfrontal,0.4150197628458498,-0.06620553359683795,0.4666666666666666,0.7024187655487417,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,21,25,23
22,01,rh-superiorfrontal,0.549901185770751,0.023762422826087874,0.5,0.6913215462816003,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,24,22,24,20
23,01,rh-superiorfrontal,0.5879446640316206,0.17782168978975482,0.5934065934065934,0.688195874477129,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,18
24,01,rh-superiorfrontal,0.5578063241106719,0.06620553359683795,0.5434782608695652,0.688968508800015,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,23,25,21,21
25,01,rh-superiorfrontal,0.5617588932806324,0.15612648221343872,0.5777777777777778,0.6906925736219193,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
26,01,rh-superiorfrontal,0.5899209486166008,0.15612648221343872,0.5777777777777778,0.6869506651986087,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
27,01,rh-superiorfrontal,0.441699604743083,-0.11067193675889328,0.4444444444444445,0.6990496044736714,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
28,01,rh-superiorfrontal,0.483695652173913,-0.021739130434782608,0.4888888888888889,0.6969423145924039,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
29,01,rh-superiorfrontal,0.6447628458498024,0.3111879571320709,0.6593406593406593,0.6824782704568084,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,30,16,15
30,01,rh-superiorfrontal,0.3913043478260869,-0.19960474308300397,0.4,0.6990521248942222,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,18,18,28,26
31,01,rh-superiorfrontal,0.4555335968379447,0.0,0.5054945054945055,0.6947345823314182,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
32,01,rh-superiorfrontal,0.5212450592885376,-0.06534666277174166,0.4545454545454545,0.6920429827243885,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,20,26,22
33,01,rh-superiorfrontal,0.5805335968379446,0.13448705800118532,0.5617977528089888,0.6905207371138895,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,25,21,18
34,01,rh-superiorfrontal,0.4115612648221344,-0.19960474308300397,0.4,0.6978674353209132,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,18,18,28,26
35,01,rh-superiorfrontal,0.41946640316205536,-0.17700870133979538,0.4044943820224719,0.698130027432606,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,19,18,28,25
36,01,rh-superiorfrontal,0.38586956521739135,-0.08800991295665804,0.449438202247191,0.6976602401591003,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
37,01,rh-superiorfrontal,0.5760869565217391,0.11166007905138339,0.5555555555555556,0.6882141965983425,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
38,01,rh-superiorfrontal,0.3769762845849802,-0.11067193675889328,0.4444444444444445,0.6990494548146122,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
39,01,rh-superiorfrontal,0.5731225296442687,0.11166007905138339,0.5555555555555556,0.6904678505276369,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
40,01,rh-superiorfrontal,0.3893280632411067,-0.1551383399209486,0.4222222222222222,0.6952409388199213,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,19,19,27,25
41,01,rh-superiorfrontal,0.5098814229249012,0.11166007905138339,0.5555555555555556,0.6934933873140811,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
42,01,rh-superiorfrontal,0.575098814229249,0.11166007905138339,0.5555555555555556,0.6894906054905089,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
43,01,rh-superiorfrontal,0.3843873517786562,-0.22150809553136405,0.38202247191011235,0.721044602094784,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,18,17,29,26
44,01,rh-superiorfrontal,0.4807312252964427,0.0,0.5054945054945055,0.6946475710187434,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,23,23,22
45,01,rh-superiorfrontal,0.5968379446640316,0.20059288537549408,0.6,0.6884727382704547,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
46,01,rh-superiorfrontal,0.6245059288537549,0.22348584638432267,0.6067415730337078,0.6821790532759844,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,28,27,19,16
47,01,rh-superiorfrontal,0.38537549407114624,-0.19901029116848593,0.38636363636363635,0.6976623687523109,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,19,17,29,25
48,01,rh-superiorfrontal,0.5340909090909091,0.1333662673423161,0.5714285714285713,0.693694497168619,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,26,20,19
49,01,rh-superiorfrontal,0.5014822134387351,-0.08800991295665804,0.449438202247191,0.6930869881628597,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
50,01,rh-superiorfrontal,0.4535573122529644,-0.11067193675889328,0.4444444444444445,0.6950558434498942,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
51,01,rh-superiorfrontal,0.616600790513834,0.15612648221343872,0.5777777777777778,0.6845596732145978,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
52,01,rh-superiorfrontal,0.49999999999999994,-0.021739130434782608,0.4888888888888889,0.6928151338049278,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
53,01,rh-superiorfrontal,0.44021739130434784,-0.08800991295665804,0.449438202247191,0.6955709881407396,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
