,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,0.1,0.09915624504778128,0.46890873201335337,1,conscious,lh-lingual,226,173345.9375,896100
1,0.1,0.1276019597056793,0.6671349228100908,2,conscious,lh-lingual,363,171879.203125,896100
2,0.1,0.18668568181741865,0.8751062066831934,3,conscious,lh-lingual,429,171313.078125,896100
3,0.1,0.11493552728893405,0.5349931174778184,4,conscious,lh-lingual,435,171204.015625,896100
4,0.1,0.10613191731953693,0.4602316304137176,5,conscious,lh-lingual,355,172147.671875,896100
5,0.1,0.0821841821486108,0.4424012440252406,6,conscious,lh-lingual,300,172645.46875,896100
6,0.1,0.1421310692554452,0.545050791997667,7,conscious,lh-lingual,465,172138.8125,896100
7,0.1,0.08878588636882295,0.39029381864104906,8,conscious,lh-lingual,355,172667.375,896100
8,0.1,0.11549740526404832,0.6152580453494549,9,conscious,lh-lingual,359,172534.578125,896100
9,0.1,0.13404364474546288,0.5553879243400585,10,conscious,lh-lingual,348,172017.546875,896100
10,0.1,0.14232657638218618,0.6571504555120288,11,conscious,lh-lingual,274,172311.265625,896100
11,0.1,0.10164096983842477,0.44551517913901173,12,conscious,lh-lingual,378,171550.0,896100
12,0.1,0.17959255280574227,0.7341356048574357,13,conscious,lh-lingual,412,171471.921875,896100
13,0.1,0.07068811886454487,0.45071712388293705,14,conscious,lh-lingual,387,172554.796875,896100
14,0.1,0.16566149130772684,0.7555858463904521,15,conscious,lh-lingual,439,171444.734375,896100
15,0.1,0.11159314506683789,0.5001383177720635,16,conscious,lh-lingual,361,171796.59375,896100
16,0.1,0.13698609933919284,0.6366686260055482,17,conscious,lh-lingual,287,173332.125,896100
17,0.1,0.17004125725482025,0.7053415426972734,18,conscious,lh-lingual,352,171343.4375,896100
18,0.1,0.11977185121327717,0.5376664139638805,19,conscious,lh-lingual,410,171919.828125,896100
19,0.1,0.09363149317735439,0.42315605776265663,20,conscious,lh-lingual,239,174442.484375,896100
20,0.1,0.07315037041147128,0.35977041893644923,21,conscious,lh-lingual,315,172745.0625,896100
21,0.1,0.13930204987130262,0.7125839967444471,22,conscious,lh-lingual,329,172332.390625,896100
22,0.1,0.11085473473326786,0.5913272450199389,23,conscious,lh-lingual,370,171801.0625,896100
23,0.1,0.08966429336367002,0.41165268571837943,24,conscious,lh-lingual,336,172594.9375,896100
24,0.1,0.11973225584951178,0.5784575181781467,25,conscious,lh-lingual,333,172067.9375,896100
25,0.1,0.14136149774441975,0.7221371734871715,26,conscious,lh-lingual,412,171866.15625,896100
26,0.1,0.12621342568591712,0.54883054569283,27,conscious,lh-lingual,295,173655.53125,896100
27,0.1,0.06445680956910153,0.276096216009753,28,conscious,lh-lingual,383,172058.8125,896100
28,0.1,0.16376089881173825,0.6930427317620625,29,conscious,lh-lingual,440,172017.59375,896100
29,0.1,0.09857963047149379,0.3868083349117466,30,conscious,lh-lingual,238,172066.421875,896100
30,0.1,0.16425894230865665,0.7750745734029709,31,conscious,lh-lingual,408,171463.421875,896100
31,0.1,0.14307050504332752,0.6296180014249599,32,conscious,lh-lingual,452,172230.828125,896100
32,0.1,0.09666433964950907,0.4104567962119705,33,conscious,lh-lingual,296,172264.703125,896100
33,0.1,0.07467362893328926,0.3942059822785263,34,conscious,lh-lingual,301,173954.578125,896100
34,0.1,0.13205666598918553,0.6308419126773854,35,conscious,lh-lingual,399,171693.5625,896100
35,0.1,0.13572165802538802,0.6076513281556954,36,conscious,lh-lingual,420,171484.484375,896100
