,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.06149613559875414,0.3593504767896559,1,conscious,lh-rostralmiddlefrontal,319,13488.3828125,881400
1,1.0,0.09598091991401365,0.5974071213142629,2,conscious,lh-rostralmiddlefrontal,434,13274.22265625,881400
2,1.0,0.13794157066533555,0.7455514784240103,3,conscious,lh-rostralmiddlefrontal,369,13261.255859375,881400
3,1.0,0.09121558560293117,0.4375392794555405,4,conscious,lh-rostralmiddlefrontal,523,13253.4501953125,881400
4,1.0,0.08050621897317352,0.5042898629127834,5,conscious,lh-rostralmiddlefrontal,498,13364.2080078125,881400
5,1.0,0.07136118420939747,0.4561546259193102,6,conscious,lh-rostralmiddlefrontal,515,13358.93359375,881400
6,1.0,0.10126206443529179,0.5111953745834137,7,conscious,lh-rostralmiddlefrontal,479,13244.4609375,881400
7,1.0,0.06776684712285616,0.4096310919894163,8,conscious,lh-rostralmiddlefrontal,433,13327.1357421875,881400
8,1.0,0.09101033004960046,0.5098441093773951,9,conscious,lh-rostralmiddlefrontal,490,13307.6337890625,881400
9,1.0,0.09830998360919055,0.5617213369295957,10,conscious,lh-rostralmiddlefrontal,478,13287.890625,881400
10,1.0,0.10081466778230187,0.688947734726929,11,conscious,lh-rostralmiddlefrontal,432,13247.837890625,881400
11,1.0,0.08537035405459618,0.3989704867694831,12,conscious,lh-rostralmiddlefrontal,462,13289.470703125,881400
12,1.0,0.13489168829610687,0.7896468613779091,13,conscious,lh-rostralmiddlefrontal,401,13267.1552734375,881400
13,1.0,0.05932035807996588,0.3634397322305546,14,conscious,lh-rostralmiddlefrontal,378,13469.8681640625,881400
14,1.0,0.13653717517174513,0.7724899013099741,15,conscious,lh-rostralmiddlefrontal,410,13271.794921875,881400
15,1.0,0.06873196331969467,0.38273784312900105,16,conscious,lh-rostralmiddlefrontal,494,13263.666015625,881400
16,1.0,0.08134636386519879,0.46650564533327,17,conscious,lh-rostralmiddlefrontal,326,13385.046875,881400
17,1.0,0.13022627683180132,0.692376060298757,18,conscious,lh-rostralmiddlefrontal,465,13257.0185546875,881400
18,1.0,0.08542076042383619,0.469599321002223,19,conscious,lh-rostralmiddlefrontal,412,13298.205078125,881400
19,1.0,0.06866549888116154,0.3657197096903846,20,conscious,lh-rostralmiddlefrontal,424,13408.876953125,881400
20,1.0,0.050544931793356625,0.25797129485512615,21,conscious,lh-rostralmiddlefrontal,456,13386.912109375,881400
21,1.0,0.09267373243779967,0.4919681448223032,22,conscious,lh-rostralmiddlefrontal,450,13282.447265625,881400
22,1.0,0.07905803643799855,0.503883618990543,23,conscious,lh-rostralmiddlefrontal,374,13299.2314453125,881400
23,1.0,0.06436521676689426,0.34310253811453184,24,conscious,lh-rostralmiddlefrontal,382,13368.7197265625,881400
24,1.0,0.08400681189806643,0.36068577189289786,25,conscious,lh-rostralmiddlefrontal,457,13302.3505859375,881400
25,1.0,0.11223678366211824,0.5625247830487343,26,conscious,lh-rostralmiddlefrontal,499,13291.5986328125,881400
26,1.0,0.08041402225857547,0.5052260362351954,27,conscious,lh-rostralmiddlefrontal,488,13345.5048828125,881400
27,1.0,0.04629189624657787,0.20521755178184575,28,conscious,lh-rostralmiddlefrontal,379,13389.0703125,881400
28,1.0,0.10355128731641189,0.5660016762791089,29,conscious,lh-rostralmiddlefrontal,468,13258.8662109375,881400
29,1.0,0.07636874337949094,0.5232433216292358,30,conscious,lh-rostralmiddlefrontal,372,13359.8642578125,881400
30,1.0,0.09770798338870688,0.610457562057616,31,conscious,lh-rostralmiddlefrontal,426,13262.05859375,881400
31,1.0,0.11220361613209577,0.6008581896417524,32,conscious,lh-rostralmiddlefrontal,347,13301.2421875,881400
32,1.0,0.06048139005315745,0.2946015112594491,33,conscious,lh-rostralmiddlefrontal,503,13294.6845703125,881400
33,1.0,0.05350586149612411,0.2934431771627467,34,conscious,lh-rostralmiddlefrontal,426,13401.1103515625,881400
34,1.0,0.11131532648379985,0.5582226060454905,35,conscious,lh-rostralmiddlefrontal,480,13296.0146484375,881400
35,1.0,0.10453334489411248,0.5331650875690483,36,conscious,lh-rostralmiddlefrontal,420,13312.4677734375,881400
36,1.0,0.08995934724044453,0.5103579077729142,37,conscious,lh-rostralmiddlefrontal,417,13300.6533203125,881400
37,1.0,0.11926237036648316,0.7698589400663813,38,conscious,lh-rostralmiddlefrontal,408,13277.3759765625,881400
38,1.0,0.05953660789986008,0.27997304170964554,39,conscious,lh-rostralmiddlefrontal,352,13369.8779296875,881400
39,1.0,0.08665549201421317,0.49990558703440025,40,conscious,lh-rostralmiddlefrontal,458,13300.626953125,881400
40,1.0,0.08150067184512473,0.35915543370116865,41,conscious,lh-rostralmiddlefrontal,379,13296.134765625,881400
41,1.0,0.14662348205734388,0.811694670242432,42,conscious,lh-rostralmiddlefrontal,537,13246.2724609375,881400
42,1.0,0.06133675084568837,0.44914148967901735,43,conscious,lh-rostralmiddlefrontal,489,13449.740234375,881400
43,0.1,0.1499635733777301,0.6302793374029538,44,conscious,lh-rostralmiddlefrontal,229,46992.21484375,881400
44,0.1,0.11266687080935908,0.5470706837754332,45,conscious,lh-rostralmiddlefrontal,127,47080.00390625,881400
45,1.0,0.06461380649877209,0.3242120919540429,46,conscious,lh-rostralmiddlefrontal,419,13372.0888671875,881400
46,1.0,0.06223334031559015,0.29333909578497797,47,conscious,lh-rostralmiddlefrontal,467,13433.34765625,881400
47,1.0,0.08616699803839574,0.44303501072859397,48,conscious,lh-rostralmiddlefrontal,640,13225.173828125,881400
48,1.0,0.11029897832694625,0.8630356597792586,49,conscious,lh-rostralmiddlefrontal,567,13212.4189453125,881400
49,1.0,0.0758926388086777,0.49747308957212366,50,conscious,lh-rostralmiddlefrontal,599,13201.4287109375,881400
50,1.0,0.06850747117453976,0.34608780838359476,51,conscious,lh-rostralmiddlefrontal,559,13312.5009765625,881400
51,1.0,0.07445867641600648,0.40227904978083995,52,conscious,lh-rostralmiddlefrontal,743,13305.5283203125,881400
52,1.0,0.09479077097462446,0.49082713383539434,53,conscious,lh-rostralmiddlefrontal,616,13190.529296875,881400
53,1.0,0.06767374255713365,0.420864390694617,54,conscious,lh-rostralmiddlefrontal,608,13281.3525390625,881400
54,1.0,0.07276931351402657,0.2848651606753737,55,conscious,lh-rostralmiddlefrontal,637,13260.015625,881400
55,1.0,0.09500388751163022,0.5089775155974912,56,conscious,lh-rostralmiddlefrontal,582,13240.13671875,881400
56,1.0,0.08271961217285055,0.4513934819846749,57,conscious,lh-rostralmiddlefrontal,677,13198.2470703125,881400
57,1.0,0.07315137786310316,0.43914435661235474,58,conscious,lh-rostralmiddlefrontal,615,13237.9130859375,881400
58,1.0,0.10335947796368486,0.5738068225494755,59,conscious,lh-rostralmiddlefrontal,573,13217.6083984375,881400
59,1.0,0.0541644718913236,0.23155584214323166,60,conscious,lh-rostralmiddlefrontal,471,13419.6865234375,881400
60,1.0,0.10122044201775943,0.6124768851538974,61,conscious,lh-rostralmiddlefrontal,601,13216.595703125,881400
61,1.0,0.06586175654016745,0.3833402622045977,62,conscious,lh-rostralmiddlefrontal,666,13214.84765625,881400
62,1.0,0.08097422637238624,0.4516483327277171,63,conscious,lh-rostralmiddlefrontal,460,13336.1416015625,881400
63,1.0,0.1165030630916476,0.6021433107984646,64,conscious,lh-rostralmiddlefrontal,733,13206.6611328125,881400
64,1.0,0.08939321528328022,0.5097297119140037,65,conscious,lh-rostralmiddlefrontal,625,13250.08203125,881400
65,1.0,0.06566868897827423,0.3413538392882577,66,conscious,lh-rostralmiddlefrontal,616,13356.98046875,881400
66,1.0,0.05615523023921639,0.2764905616754223,67,conscious,lh-rostralmiddlefrontal,624,13336.509765625,881400
67,1.0,0.07436931859351725,0.5030212486420912,68,conscious,lh-rostralmiddlefrontal,526,13232.8994140625,881400
68,1.0,0.07566740421148796,0.4355420701189856,69,conscious,lh-rostralmiddlefrontal,490,13250.90234375,881400
69,1.0,0.05726432628811601,0.2826952297715941,70,conscious,lh-rostralmiddlefrontal,495,13319.23828125,881400
70,1.0,0.07036343821974474,0.4011699470810187,71,conscious,lh-rostralmiddlefrontal,605,13249.6748046875,881400
71,1.0,0.09234298674919672,0.45837038723454904,72,conscious,lh-rostralmiddlefrontal,606,13237.5146484375,881400
72,1.0,0.07463486041364155,0.3674678514415717,73,conscious,lh-rostralmiddlefrontal,655,13293.49609375,881400
73,1.0,0.0560148958550527,0.38758529177342604,74,conscious,lh-rostralmiddlefrontal,565,13335.4794921875,881400
74,1.0,0.08927606585088438,0.5665368132393958,75,conscious,lh-rostralmiddlefrontal,649,13206.4638671875,881400
75,0.1,0.1147642168050533,0.4503301740216177,76,conscious,lh-rostralmiddlefrontal,168,47143.3203125,881400
76,1.0,0.1099832709721216,0.7744745228761712,77,conscious,lh-rostralmiddlefrontal,647,13213.4892578125,881400
