,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.07012126325556582,0.4076301098769056,1,conscious,lh-superiorfrontal,110,12662.61328125,287400
1,0.1,0.13703517416290553,0.5340571877568129,2,conscious,lh-superiorfrontal,254,50908.92578125,287400
2,0.1,0.19875932541783187,0.9214527106384796,3,conscious,lh-superiorfrontal,127,50903.5234375,287400
3,0.1,0.11004837197585145,0.4760920495468832,4,conscious,lh-superiorfrontal,135,51060.39453125,287400
4,0.1,0.12161996123975681,0.4048713168126168,5,conscious,lh-superiorfrontal,111,51451.46875,287400
5,0.1,0.08505384095672767,0.3272881120723188,6,conscious,lh-superiorfrontal,207,51039.36328125,287400
6,0.1,0.168197480346247,0.5800551312251345,7,conscious,lh-superiorfrontal,155,51157.515625,287400
7,0.1,0.12822275774052702,0.47924665171713554,8,conscious,lh-superiorfrontal,84,51460.953125,287400
8,1.0,0.06475596620615053,0.31119534714577524,9,conscious,lh-superiorfrontal,192,12297.2880859375,287400
9,0.1,0.1555864253570018,0.6430027227051374,10,conscious,lh-superiorfrontal,167,50974.2265625,287400
10,1.0,0.06269581384884954,0.3718358794550084,11,conscious,lh-superiorfrontal,126,12355.41015625,287400
11,1.0,0.09154009459892205,0.3259700123956796,12,conscious,lh-superiorfrontal,140,12388.18359375,287400
12,0.1,0.1669566526919986,0.7460545728227213,13,conscious,lh-superiorfrontal,132,50911.01953125,287400
13,0.1,0.08314444075169142,0.28710038816655814,14,conscious,lh-superiorfrontal,88,51280.7265625,287400
14,0.1,0.16393114749482224,0.7126149774142392,15,conscious,lh-superiorfrontal,196,50846.5390625,287400
15,0.1,0.12942762281750908,0.517202213484814,16,conscious,lh-superiorfrontal,186,50959.05859375,287400
16,0.1,0.1340690407235861,0.5471250451212422,17,conscious,lh-superiorfrontal,198,50935.26171875,287400
17,0.1,0.1536419877127689,0.6147388538211209,18,conscious,lh-superiorfrontal,129,50896.50390625,287400
18,0.1,0.13248442663114987,0.5509013802099265,19,conscious,lh-superiorfrontal,169,51002.00390625,287400
19,0.1,0.0770362792789673,0.35635385988603663,20,conscious,lh-superiorfrontal,149,50706.90234375,287400
20,0.1,0.08064608608593535,0.40972154290075125,21,conscious,lh-superiorfrontal,149,51429.26171875,287400
21,0.1,0.1350849484279604,0.3852641779108624,22,conscious,lh-superiorfrontal,65,51947.77734375,287400
22,0.1,0.11099220247051,0.38456428931652276,23,conscious,lh-superiorfrontal,93,51020.92578125,287400
23,0.1,0.09738619967530562,0.36675930802202683,24,conscious,lh-superiorfrontal,136,51104.58203125,287400
24,0.1,0.0931115380970435,0.35107798154843195,25,conscious,lh-superiorfrontal,120,51010.56640625,287400
25,1.0,0.07053778593910771,0.2607666898817572,26,conscious,lh-superiorfrontal,155,12294.234375,287400
26,1.0,0.074459358908144,0.3724962703182907,27,conscious,lh-superiorfrontal,201,12374.06640625,287400
27,1.0,0.042170585866611966,0.1836032590271781,28,conscious,lh-superiorfrontal,133,12534.2333984375,287400
28,1.0,0.0702229402633707,0.3854934364671948,29,conscious,lh-superiorfrontal,161,12304.283203125,287400
29,0.1,0.1253335835690773,0.5669078098836711,30,conscious,lh-superiorfrontal,83,51360.35546875,287400
30,0.1,0.15000616897047492,0.6536507984149145,31,conscious,lh-superiorfrontal,159,50860.83203125,287400
31,0.1,0.11359651319886299,0.3760650704803743,32,conscious,lh-superiorfrontal,122,50943.64453125,287400
32,0.1,0.13216264333652786,0.5004477038082351,33,conscious,lh-superiorfrontal,161,51069.38671875,287400
33,0.1,0.09444810994337406,0.5110325403221835,34,conscious,lh-superiorfrontal,174,51041.04296875,287400
34,1.0,0.08999069599103171,0.40725054053026477,35,conscious,lh-superiorfrontal,162,12326.50390625,287400
35,1.0,0.0695182440060221,0.44510777416554104,36,conscious,lh-superiorfrontal,153,12282.205078125,287400
36,1.0,0.09184064910148249,0.38215741798101144,37,conscious,lh-superiorfrontal,109,12454.6083984375,287400
37,0.1,0.16743982930629106,0.5143426371554538,38,conscious,lh-superiorfrontal,94,51097.18359375,287400
38,0.1,0.08783967465835733,0.3494233951199599,39,conscious,lh-superiorfrontal,169,50669.4375,287400
39,1.0,0.06296143959846226,0.3463950805187118,40,conscious,lh-superiorfrontal,152,12332.244140625,287400
40,0.1,0.1136099797740037,0.38778098818219053,41,conscious,lh-superiorfrontal,74,51528.93359375,287400
41,0.1,0.20052580661056155,0.7013500816686213,42,conscious,lh-superiorfrontal,137,50854.60546875,287400
42,1.0,0.04144710616868466,0.15828650406523903,43,conscious,lh-superiorfrontal,140,12336.501953125,287400
43,1.0,0.07115877553097222,0.35110162422291114,44,conscious,lh-superiorfrontal,196,12321.9892578125,287400
44,0.1,0.12461680280522475,0.5185326846844939,45,conscious,lh-superiorfrontal,145,51222.91015625,287400
45,0.1,0.10114498054725346,0.5198644020093734,46,conscious,lh-superiorfrontal,100,51713.4453125,287400
46,0.1,0.09632474996896141,0.32481849193107293,47,conscious,lh-superiorfrontal,76,52224.52734375,287400
47,0.1,0.11574576054624916,0.529078470909908,48,conscious,lh-superiorfrontal,191,51015.39453125,287400
48,0.1,0.17637748474397313,0.7665602213410422,49,conscious,lh-superiorfrontal,223,51010.87890625,287400
49,0.1,0.1393368428033374,0.5059679947740771,50,conscious,lh-superiorfrontal,178,51144.61328125,287400
50,1.0,0.07424659278525925,0.27733570202773883,51,conscious,lh-superiorfrontal,199,12427.185546875,287400
51,0.1,0.09539582018389169,0.3380921798513965,52,conscious,lh-superiorfrontal,219,51159.953125,287400
