,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.06459043811782421,0.37086064735556357,1,conscious,lh-ventrolateralPFC,329,8948.4462890625,643800
1,1.0,0.08876103392454386,0.5575441437113952,2,conscious,lh-ventrolateralPFC,405,8824.16015625,643800
2,1.0,0.12891965269739028,0.5561965708227767,3,conscious,lh-ventrolateralPFC,332,8803.236328125,643800
3,1.0,0.08982289015250537,0.35314483413383924,4,conscious,lh-ventrolateralPFC,452,8802.8720703125,643800
4,1.0,0.07464583770879771,0.42885623734976197,5,conscious,lh-ventrolateralPFC,370,8867.353515625,643800
5,1.0,0.07183892500445865,0.36423990841443965,6,conscious,lh-ventrolateralPFC,387,8870.630859375,643800
6,1.0,0.11293119965520111,0.6366256498005589,7,conscious,lh-ventrolateralPFC,513,8809.6279296875,643800
7,1.0,0.07012250516370676,0.3455440342571122,8,conscious,lh-ventrolateralPFC,338,8858.3720703125,643800
8,1.0,0.08832054197345379,0.5040205641838696,9,conscious,lh-ventrolateralPFC,456,8821.93359375,643800
9,1.0,0.0999958874281063,0.5465335425830339,10,conscious,lh-ventrolateralPFC,380,8821.94140625,643800
10,1.0,0.09879969993559534,0.44417850427349503,11,conscious,lh-ventrolateralPFC,395,8805.5087890625,643800
11,1.0,0.08609296924401916,0.43851005288486977,12,conscious,lh-ventrolateralPFC,383,8815.2353515625,643800
12,1.0,0.11952905493739362,0.633964014987462,13,conscious,lh-ventrolateralPFC,346,8806.6748046875,643800
13,1.0,0.06130676851162906,0.33245267874587414,14,conscious,lh-ventrolateralPFC,282,8951.6904296875,643800
14,1.0,0.12203385809332364,0.7270815453668451,15,conscious,lh-ventrolateralPFC,355,8804.4765625,643800
15,1.0,0.0769316028490157,0.536251680484543,16,conscious,lh-ventrolateralPFC,421,8814.6279296875,643800
16,1.0,0.09410683141877323,0.4883444551553714,17,conscious,lh-ventrolateralPFC,297,8886.375,643800
17,1.0,0.1304475441236337,0.7054751576978657,18,conscious,lh-ventrolateralPFC,361,8803.9658203125,643800
18,1.0,0.08347716385377754,0.47826169094046656,19,conscious,lh-ventrolateralPFC,348,8828.2607421875,643800
19,1.0,0.07608364206180525,0.3531298109659634,20,conscious,lh-ventrolateralPFC,310,8905.806640625,643800
20,1.0,0.05445030021030458,0.3845353502334198,21,conscious,lh-ventrolateralPFC,398,8872.1396484375,643800
21,1.0,0.09763083640277315,0.45407120572379855,22,conscious,lh-ventrolateralPFC,383,8820.1630859375,643800
22,1.0,0.09612793070487329,0.5310690593225835,23,conscious,lh-ventrolateralPFC,375,8848.115234375,643800
23,1.0,0.07562542656572789,0.32516556830752996,24,conscious,lh-ventrolateralPFC,289,8872.0087890625,643800
24,1.0,0.085056836061639,0.5247135861551129,25,conscious,lh-ventrolateralPFC,412,8836.2998046875,643800
25,1.0,0.10646929217148195,0.5963447816288046,26,conscious,lh-ventrolateralPFC,446,8828.3916015625,643800
26,1.0,0.08119611014174867,0.5096472360578104,27,conscious,lh-ventrolateralPFC,357,8852.501953125,643800
27,1.0,0.05463438086264424,0.2624451170610217,28,conscious,lh-ventrolateralPFC,366,8884.7333984375,643800
28,1.0,0.10681900713408814,0.5703542062248335,29,conscious,lh-ventrolateralPFC,419,8804.376953125,643800
29,1.0,0.07091611417885829,0.43323612252390786,30,conscious,lh-ventrolateralPFC,333,8857.6318359375,643800
30,1.0,0.13043192166420023,0.6971852742301164,31,conscious,lh-ventrolateralPFC,369,8807.6513671875,643800
31,1.0,0.1090449192302177,0.7119915245674544,32,conscious,lh-ventrolateralPFC,406,8825.2001953125,643800
32,1.0,0.07860434731715703,0.5143853253959954,33,conscious,lh-ventrolateralPFC,420,8824.16796875,643800
33,1.0,0.05447157998692136,0.27885686030088974,34,conscious,lh-ventrolateralPFC,384,8891.947265625,643800
34,1.0,0.10865909495570433,0.49705822061264404,35,conscious,lh-ventrolateralPFC,440,8827.130859375,643800
35,1.0,0.10768761673012031,0.746020107726437,36,conscious,lh-ventrolateralPFC,355,8839.8544921875,643800
36,1.0,0.08081141510385388,0.5349406448842382,37,conscious,lh-ventrolateralPFC,377,8827.5380859375,643800
37,1.0,0.13336620204249044,0.689425264801532,38,conscious,lh-ventrolateralPFC,324,8814.8740234375,643800
38,1.0,0.06485916219290441,0.2915801151911418,39,conscious,lh-ventrolateralPFC,371,8873.884765625,643800
39,1.0,0.08174563482621701,0.5555232836946589,40,conscious,lh-ventrolateralPFC,363,8835.7509765625,643800
40,1.0,0.08262106496302801,0.43024314683474874,41,conscious,lh-ventrolateralPFC,312,8841.9248046875,643800
41,1.0,0.1348232529204708,0.6033438352244441,42,conscious,lh-ventrolateralPFC,348,8794.4912109375,643800
42,1.0,0.06938703933025002,0.4042234207665716,43,conscious,lh-ventrolateralPFC,354,8926.8291015625,643800
43,1.0,0.11276802549111586,0.5160298126186239,44,conscious,lh-ventrolateralPFC,373,8824.78515625,643800
44,1.0,0.07695580579539966,0.4292577110943969,45,conscious,lh-ventrolateralPFC,373,8861.0654296875,643800
45,1.0,0.06476015628941321,0.3045861666355175,46,conscious,lh-ventrolateralPFC,383,8867.8974609375,643800
46,1.0,0.0664558770436791,0.3684389487428732,47,conscious,lh-ventrolateralPFC,340,8920.5146484375,643800
47,1.0,0.09661172267409134,0.4611298494970816,48,conscious,lh-ventrolateralPFC,403,8796.54296875,643800
48,1.0,0.1256194562334684,0.652298299624598,49,conscious,lh-ventrolateralPFC,366,8776.404296875,643800
49,1.0,0.08041552824767549,0.42436392573126525,50,conscious,lh-ventrolateralPFC,440,8773.5048828125,643800
50,1.0,0.07408443301870171,0.38902005647583415,51,conscious,lh-ventrolateralPFC,390,8840.1796875,643800
51,1.0,0.0756333979236264,0.5092124050158303,52,conscious,lh-ventrolateralPFC,405,8843.4765625,643800
52,1.0,0.10408088620162827,0.5354555062531321,53,conscious,lh-ventrolateralPFC,505,8782.431640625,643800
53,1.0,0.07059003499027076,0.33892106105263253,54,conscious,lh-ventrolateralPFC,348,8831.9453125,643800
54,1.0,0.08261449365982923,0.5925549487444312,55,conscious,lh-ventrolateralPFC,430,8795.3115234375,643800
55,1.0,0.09471645605418287,0.5373298878741675,56,conscious,lh-ventrolateralPFC,382,8795.0458984375,643800
56,1.0,0.07972408739644499,0.42809539797652396,57,conscious,lh-ventrolateralPFC,400,8778.7392578125,643800
57,1.0,0.08791075347044996,0.5319625778912689,58,conscious,lh-ventrolateralPFC,375,8787.3447265625,643800
58,1.0,0.11652438642612985,0.6459746553348675,59,conscious,lh-ventrolateralPFC,350,8779.41015625,643800
59,1.0,0.055442123062809226,0.26993569973109477,60,conscious,lh-ventrolateralPFC,319,8924.1806640625,643800
60,1.0,0.10959493631028587,0.5554753809951137,61,conscious,lh-ventrolateralPFC,342,8776.8232421875,643800
61,0.1,0.14242513296701945,0.4693911964026961,62,conscious,lh-ventrolateralPFC,158,31063.7890625,643800
62,1.0,0.08673284898707352,0.6512077340804295,63,conscious,lh-ventrolateralPFC,308,8860.2041015625,643800
63,1.0,0.11248726886806809,0.6290587399735239,64,conscious,lh-ventrolateralPFC,397,8776.724609375,643800
64,1.0,0.08645093266983027,0.5466857418261883,65,conscious,lh-ventrolateralPFC,398,8801.5322265625,643800
65,1.0,0.06465245300754272,0.357255144251752,66,conscious,lh-ventrolateralPFC,323,8877.0234375,643800
66,1.0,0.05646097784381265,0.25350122438576406,67,conscious,lh-ventrolateralPFC,399,8843.958984375,643800
67,1.0,0.08801333538747809,0.533876162962003,68,conscious,lh-ventrolateralPFC,410,8793.408203125,643800
68,1.0,0.08660434571742917,0.5456447745090144,69,conscious,lh-ventrolateralPFC,358,8821.47265625,643800
69,1.0,0.06575328164355743,0.3484416931800336,70,conscious,lh-ventrolateralPFC,351,8846.63671875,643800
70,1.0,0.07973831835443287,0.3845348802478783,71,conscious,lh-ventrolateralPFC,438,8808.6962890625,643800
71,1.0,0.10199864545243865,0.5634146866533918,72,conscious,lh-ventrolateralPFC,426,8801.1318359375,643800
72,1.0,0.07882371206013118,0.467967321592499,73,conscious,lh-ventrolateralPFC,399,8823.470703125,643800
73,1.0,0.054368774561530754,0.24557765797943043,74,conscious,lh-ventrolateralPFC,400,8855.5810546875,643800
74,1.0,0.09134437558731504,0.5919771969229047,75,conscious,lh-ventrolateralPFC,429,8776.9453125,643800
75,1.0,0.0727396158881273,0.3770994225010105,76,conscious,lh-ventrolateralPFC,345,8831.08203125,643800
76,1.0,0.10870602245878178,0.646306802171458,77,conscious,lh-ventrolateralPFC,423,8780.6591796875,643800
77,1.0,0.10534778615566921,0.7191831365005623,78,conscious,lh-ventrolateralPFC,371,8798.318359375,643800
78,1.0,0.07762630977579307,0.33970614447848946,79,conscious,lh-ventrolateralPFC,400,8798.1708984375,643800
79,1.0,0.058258103307344,0.3099049838918283,80,conscious,lh-ventrolateralPFC,389,8864.7744140625,643800
80,1.0,0.10141648420591201,0.5700204647754743,81,conscious,lh-ventrolateralPFC,488,8799.177734375,643800
81,1.0,0.09927398903331833,0.5624765312474407,82,conscious,lh-ventrolateralPFC,378,8812.7255859375,643800
82,1.0,0.07798102085937023,0.5874383639372257,83,conscious,lh-ventrolateralPFC,409,8800.1845703125,643800
83,1.0,0.1117538646944527,0.5253191026152964,84,conscious,lh-ventrolateralPFC,371,8786.8173828125,643800
84,1.0,0.07246813692598882,0.3549684494644746,85,conscious,lh-ventrolateralPFC,377,8846.369140625,643800
85,1.0,0.07523616436707299,0.3373032529854376,86,conscious,lh-ventrolateralPFC,409,8807.38671875,643800
86,1.0,0.0752305200193563,0.40498211450348376,87,conscious,lh-ventrolateralPFC,336,8813.482421875,643800
87,1.0,0.12950537168223264,0.5774682700629702,88,conscious,lh-ventrolateralPFC,366,8765.771484375,643800
88,1.0,0.06685897980101868,0.3895788698971162,89,conscious,lh-ventrolateralPFC,376,8899.546875,643800
89,1.0,0.1020895320473755,0.6729686669295718,90,conscious,lh-ventrolateralPFC,386,8797.591796875,643800
90,1.0,0.0780955996824578,0.3274539468450177,91,conscious,lh-ventrolateralPFC,404,8832.5,643800
91,1.0,0.06154126288881725,0.3457862713854525,92,conscious,lh-ventrolateralPFC,372,8841.6064453125,643800
92,1.0,0.06268818294309576,0.2908449677280951,93,conscious,lh-ventrolateralPFC,352,8902.115234375,643800
93,1.0,0.11276476024446809,0.7202112331808439,94,conscious,lh-ventrolateralPFC,379,8780.4775390625,643800
94,1.0,0.20685692663892474,0.8296326355039308,95,conscious,lh-ventrolateralPFC,322,8759.80078125,643800
95,1.0,0.09727895432385114,0.48661693129746664,96,conscious,lh-ventrolateralPFC,474,8756.7724609375,643800
96,1.0,0.08619729078382529,0.38239922911002944,97,conscious,lh-ventrolateralPFC,355,8822.3173828125,643800
97,1.0,0.0839604037211652,0.46283453217834547,98,conscious,lh-ventrolateralPFC,386,8828.0048828125,643800
98,1.0,0.10828081849652779,0.602354101605932,99,conscious,lh-ventrolateralPFC,492,8764.2919921875,643800
99,1.0,0.07382689910035489,0.41158022660892,100,conscious,lh-ventrolateralPFC,339,8815.05859375,643800
100,1.0,0.10111221415819194,0.4648200369527671,101,conscious,lh-ventrolateralPFC,409,8777.923828125,643800
101,1.0,0.13344505877493534,0.7361367006371016,102,conscious,lh-ventrolateralPFC,390,8779.181640625,643800
102,1.0,0.09306728385182877,0.47965309711024906,103,conscious,lh-ventrolateralPFC,405,8761.505859375,643800
103,1.0,0.09669297716232915,0.6466504520785713,104,conscious,lh-ventrolateralPFC,416,8769.9970703125,643800
104,1.0,0.2097743563292803,0.9629928962018426,105,conscious,lh-ventrolateralPFC,312,8762.990234375,643800
105,1.0,0.06213692540692052,0.279349444839594,106,conscious,lh-ventrolateralPFC,299,8906.7080078125,643800
106,1.0,0.1523877004676024,0.7198410711595711,107,conscious,lh-ventrolateralPFC,344,8761.5,643800
107,0.1,0.1444445052602885,0.6791699813642867,108,conscious,lh-ventrolateralPFC,223,31039.451171875,643800
108,1.0,0.1022879699676229,0.6173973812000215,109,conscious,lh-ventrolateralPFC,343,8842.486328125,643800
109,1.0,0.20287188824600833,0.9553246596412213,110,conscious,lh-ventrolateralPFC,348,8759.822265625,643800
110,1.0,0.09949086310333584,0.46799827194759347,111,conscious,lh-ventrolateralPFC,394,8783.6826171875,643800
111,1.0,0.07084279691919121,0.5803495969146091,112,conscious,lh-ventrolateralPFC,336,8860.2255859375,643800
112,1.0,0.04998766818329929,0.29883819473639495,113,conscious,lh-ventrolateralPFC,383,8828.1005859375,643800
113,1.0,0.10273861865107116,0.4263947699847217,114,conscious,lh-ventrolateralPFC,406,8775.279296875,643800
114,1.0,0.09629144193823944,0.5409703994375681,115,conscious,lh-ventrolateralPFC,354,8803.1201171875,643800
115,1.0,0.0711324822441869,0.28448121123577685,116,conscious,lh-ventrolateralPFC,323,8827.25,643800
116,1.0,0.08973312720788612,0.5199855041893273,117,conscious,lh-ventrolateralPFC,456,8792.072265625,643800
117,1.0,0.13181878607544148,0.6117879709652712,118,conscious,lh-ventrolateralPFC,396,8784.12109375,643800
118,1.0,0.07864103570886982,0.38959048776289973,119,conscious,lh-ventrolateralPFC,374,8806.9765625,643800
119,1.0,0.05782994491207077,0.3118305735552417,120,conscious,lh-ventrolateralPFC,369,8839.3974609375,643800
120,1.0,0.11497408740240309,0.5315752973008769,121,conscious,lh-ventrolateralPFC,425,8760.7939453125,643800
121,1.0,0.07701955442331823,0.4800112699641662,122,conscious,lh-ventrolateralPFC,356,8814.4072265625,643800
122,1.0,0.14410204959787773,0.7315496463667986,123,conscious,lh-ventrolateralPFC,355,8763.84375,643800
123,1.0,0.1478928838601911,0.711592057170159,124,conscious,lh-ventrolateralPFC,356,8781.9306640625,643800
124,1.0,0.0780132035551916,0.38668130624575214,125,conscious,lh-ventrolateralPFC,442,8779.51953125,643800
125,1.0,0.06575469069151964,0.3093822996118536,126,conscious,lh-ventrolateralPFC,366,8848.3662109375,643800
126,1.0,0.12187766143522152,0.5527301770593342,127,conscious,lh-ventrolateralPFC,440,8783.7333984375,643800
127,1.0,0.12449745157656411,0.4866245332179454,128,conscious,lh-ventrolateralPFC,336,8795.4404296875,643800
128,1.0,0.10186840799705126,0.5046962148049785,129,conscious,lh-ventrolateralPFC,389,8783.4951171875,643800
129,1.0,0.14765584362762355,0.7670756427405265,130,conscious,lh-ventrolateralPFC,374,8769.8623046875,643800
130,1.0,0.07840760852899051,0.4208312622885382,131,conscious,lh-ventrolateralPFC,392,8829.125,643800
131,1.0,0.09066392419820578,0.47676735167851136,132,conscious,lh-ventrolateralPFC,392,8791.2001953125,643800
132,1.0,0.09370396038611362,0.4480529902125271,133,conscious,lh-ventrolateralPFC,335,8796.37109375,643800
133,1.0,0.21048339898735474,0.9184009952113242,134,conscious,lh-ventrolateralPFC,362,8751.4677734375,643800
134,1.0,0.07246620154822027,0.35608916179196437,135,conscious,lh-ventrolateralPFC,372,8881.15625,643800
135,1.0,0.13548983462932948,0.5971395773232928,136,conscious,lh-ventrolateralPFC,376,8780.9462890625,643800
136,1.0,0.08223671239979803,0.4736770858165391,137,conscious,lh-ventrolateralPFC,357,8815.408203125,643800
137,1.0,0.0660177869829935,0.3528804103447649,138,conscious,lh-ventrolateralPFC,390,8824.408203125,643800
138,1.0,0.06463892234965984,0.30085211733050177,139,conscious,lh-ventrolateralPFC,371,8904.4716796875,643800
139,1.0,0.1185427223667311,0.6637640934798239,140,conscious,lh-ventrolateralPFC,435,8782.091796875,643800
140,1.0,0.34666126505778644,0.9981019222192428,141,conscious,lh-ventrolateralPFC,322,8762.3583984375,643800
141,1.0,0.10240686305238694,0.43376642691725853,142,conscious,lh-ventrolateralPFC,477,8759.3359375,643800
142,1.0,0.07948131216633503,0.4918321433688003,143,conscious,lh-ventrolateralPFC,371,8825.453125,643800
143,1.0,0.08203893723044879,0.353498758480035,144,conscious,lh-ventrolateralPFC,408,8827.9453125,643800
144,1.0,0.1279483778703495,0.6274856857067435,145,conscious,lh-ventrolateralPFC,523,8768.1005859375,643800
145,1.0,0.08201978278827082,0.4576502583909011,146,conscious,lh-ventrolateralPFC,349,8816.1806640625,643800
146,1.0,0.10938060067035407,0.5548868944090942,147,conscious,lh-ventrolateralPFC,493,8779.92578125,643800
147,1.0,0.14124313391491966,0.5827100522831207,148,conscious,lh-ventrolateralPFC,408,8780.5947265625,643800
148,1.0,0.10875503123056614,0.8580991655121231,149,conscious,lh-ventrolateralPFC,398,8763.8779296875,643800
149,1.0,0.10614561362790038,0.5394221849208497,150,conscious,lh-ventrolateralPFC,399,8772.8134765625,643800
150,1.0,0.3341057594088943,0.9945423802754454,151,conscious,lh-ventrolateralPFC,300,8765.396484375,643800
151,1.0,0.05754052740519616,0.2430596524927734,152,conscious,lh-ventrolateralPFC,337,8908.619140625,643800
152,1.0,0.2188465594833787,0.9282771270918106,153,conscious,lh-ventrolateralPFC,346,8763.2509765625,643800
153,0.1,0.15264028129183566,0.5212307867494463,154,conscious,lh-ventrolateralPFC,227,31037.44921875,643800
154,1.0,0.08327944080545457,0.44494341308223684,155,conscious,lh-ventrolateralPFC,296,8844.30859375,643800
155,1.0,0.3555271231174203,0.9795438156819923,156,conscious,lh-ventrolateralPFC,349,8762.6220703125,643800
156,1.0,0.10471070675332687,0.4372962860951457,157,conscious,lh-ventrolateralPFC,362,8786.099609375,643800
157,1.0,0.07115840578367194,0.6374124207283899,158,conscious,lh-ventrolateralPFC,293,8863.302734375,643800
158,1.0,0.04882310724309112,0.26488021732424205,159,conscious,lh-ventrolateralPFC,351,8830.15234375,643800
159,1.0,0.1083939603635066,0.5733999207115371,160,conscious,lh-ventrolateralPFC,418,8778.0654296875,643800
160,1.0,0.0962403470277465,0.6553585639219869,161,conscious,lh-ventrolateralPFC,319,8806.25,643800
161,1.0,0.07438767384695805,0.5519140922743155,162,conscious,lh-ventrolateralPFC,312,8830.4560546875,643800
162,1.0,0.10367581560891746,0.48340565332467944,163,conscious,lh-ventrolateralPFC,464,8793.4208984375,643800
163,1.0,0.1589067900096251,0.7630080460791059,164,conscious,lh-ventrolateralPFC,423,8786.162109375,643800
164,1.0,0.08328091390883798,0.7749125870166578,165,conscious,lh-ventrolateralPFC,394,8809.4140625,643800
165,1.0,0.05173066198339439,0.3165616455195508,166,conscious,lh-ventrolateralPFC,369,8841.3583984375,643800
166,1.0,0.13182813885862515,0.8859098334909348,167,conscious,lh-ventrolateralPFC,451,8763.0947265625,643800
