,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.06948402208523084,0.4247140439446283,1,conscious,rh-precuneus,380,15798.00390625,725700
1,1.0,0.09088385543094603,0.4727332180585758,2,conscious,rh-precuneus,322,15656.51953125,725700
2,1.0,0.10802149141387866,0.6339055784196801,3,conscious,rh-precuneus,241,15615.4619140625,725700
3,0.1,0.14207462472763913,0.590615568272107,4,conscious,rh-precuneus,196,58372.1484375,725700
4,1.0,0.06646000647275753,0.3202981824520932,5,conscious,rh-precuneus,460,15690.9228515625,725700
5,0.1,0.0968115561810727,0.509101465678122,6,conscious,rh-precuneus,134,58508.3359375,725700
6,1.0,0.07935402401326604,0.34128624817488995,7,conscious,rh-precuneus,345,15598.90625,725700
7,0.1,0.12173975862608241,0.6657885469293374,8,conscious,rh-precuneus,172,58434.8984375,725700
8,1.0,0.07157462862917405,0.3876837504512127,9,conscious,rh-precuneus,366,15661.8984375,725700
9,1.0,0.10478341245365187,0.5351811330233549,10,conscious,rh-precuneus,370,15637.2978515625,725700
10,1.0,0.09016671124326062,0.6945111177397401,11,conscious,rh-precuneus,378,15675.1181640625,725700
11,0.1,0.13651373590655475,0.6024624471924007,12,conscious,rh-precuneus,181,58386.81640625,725700
12,0.1,0.19796257572171358,0.7622602000135187,13,conscious,rh-precuneus,204,58178.12109375,725700
13,1.0,0.04817429840674135,0.4368660452424906,14,conscious,rh-precuneus,285,15905.384765625,725700
14,1.0,0.1127299953032865,0.6336850781688808,15,conscious,rh-precuneus,318,15601.1533203125,725700
15,1.0,0.07274067186257104,0.38951013273018376,16,conscious,rh-precuneus,676,15609.3984375,725700
16,1.0,0.10102039381460622,0.5423612993305358,17,conscious,rh-precuneus,408,15680.8095703125,725700
17,1.0,0.10079541177700078,0.69718933876144,18,conscious,rh-precuneus,269,15605.1923828125,725700
18,1.0,0.08395329524719237,0.37425342703907316,19,conscious,rh-precuneus,464,15614.099609375,725700
19,1.0,0.08129633630273717,0.39911211329208796,20,conscious,rh-precuneus,643,15765.8740234375,725700
20,1.0,0.04771049330485813,0.2566087685653172,21,conscious,rh-precuneus,322,15813.501953125,725700
21,1.0,0.08744374825249883,0.4764722340727917,22,conscious,rh-precuneus,440,15669.2880859375,725700
22,1.0,0.06871182967150802,0.3527541224180093,23,conscious,rh-precuneus,350,15683.513671875,725700
23,1.0,0.05862209209505353,0.31803528819263416,24,conscious,rh-precuneus,323,15654.93359375,725700
24,1.0,0.06573011439158673,0.4386041046118664,25,conscious,rh-precuneus,376,15663.9521484375,725700
25,1.0,0.09335151552565664,0.5070312743867016,26,conscious,rh-precuneus,360,15648.22265625,725700
26,1.0,0.09896553721580713,0.6698280980632769,27,conscious,rh-precuneus,381,15832.990234375,725700
27,1.0,0.0451447501413245,0.26088848425240163,28,conscious,rh-precuneus,308,15840.4736328125,725700
28,1.0,0.09169017343542946,0.698822458402677,29,conscious,rh-precuneus,358,15633.9248046875,725700
29,0.1,0.12109287226557182,0.47392492086487736,30,conscious,rh-precuneus,127,58413.2734375,725700
30,1.0,0.0947296542701604,0.5716047959928525,31,conscious,rh-precuneus,328,15616.98828125,725700
31,1.0,0.11610486519993238,0.7496487383371647,32,conscious,rh-precuneus,353,15668.509765625,725700
32,1.0,0.06573788586196964,0.3657331103542576,33,conscious,rh-precuneus,409,15656.3896484375,725700
33,1.0,0.053570505784028354,0.2277933926432909,34,conscious,rh-precuneus,323,15879.306640625,725700
34,1.0,0.08063735063964016,0.45749254893208124,35,conscious,rh-precuneus,365,15641.1552734375,725700
35,1.0,0.08944076043365987,0.619715043534711,36,conscious,rh-precuneus,372,15658.884765625,725700
36,1.0,0.09708510411051025,0.49289924794867557,37,conscious,rh-precuneus,393,15690.181640625,725700
37,1.0,0.09463148926167579,0.4326962869339539,38,conscious,rh-precuneus,317,15634.8271484375,725700
38,1.0,0.060382055418028026,0.30448823034583594,39,conscious,rh-precuneus,282,15759.787109375,725700
39,1.0,0.07394826801576966,0.3927509620825207,40,conscious,rh-precuneus,309,15714.1396484375,725700
40,1.0,0.07485879549411566,0.4007882725182561,41,conscious,rh-precuneus,386,15687.603515625,725700
41,1.0,0.11059915295638655,0.5567665159089148,42,conscious,rh-precuneus,318,15606.86328125,725700
42,1.0,0.06007166241171233,0.31335489008113293,43,conscious,rh-precuneus,341,15726.9091796875,725700
43,1.0,0.08333173110302763,0.41099789125933084,44,conscious,rh-precuneus,310,15676.8115234375,725700
44,1.0,0.07097640698853537,0.3480153641129393,45,conscious,rh-precuneus,227,15666.2763671875,725700
45,1.0,0.059212874540825335,0.3091750339518895,46,conscious,rh-precuneus,373,15693.0107421875,725700
46,1.0,0.05649025504151455,0.32761445932925337,47,conscious,rh-precuneus,399,15748.267578125,725700
47,1.0,0.07218790726220616,0.42304215998742745,48,conscious,rh-precuneus,364,15610.7802734375,725700
48,1.0,0.09223849476812428,0.5497369539346274,49,conscious,rh-precuneus,410,15570.5546875,725700
49,1.0,0.07022837035512346,0.439745806654702,50,conscious,rh-precuneus,418,15593.2607421875,725700
50,0.1,0.11214962319247175,0.45787491725418705,51,conscious,rh-precuneus,310,58266.2421875,725700
51,0.1,0.09671664190199487,0.3841890718913322,52,conscious,rh-precuneus,157,58342.96875,725700
52,1.0,0.06629357524063023,0.36602114833556976,53,conscious,rh-precuneus,403,15553.8076171875,725700
53,1.0,0.05771895146239323,0.34421778802707115,54,conscious,rh-precuneus,633,15620.6337890625,725700
54,1.0,0.06862589699480297,0.43892044413242337,55,conscious,rh-precuneus,376,15617.5341796875,725700
55,1.0,0.08375395636324458,0.49160963056432694,56,conscious,rh-precuneus,449,15593.306640625,725700
56,1.0,0.0770848696106033,0.3642972028500655,57,conscious,rh-precuneus,315,15628.78125,725700
57,1.0,0.06375041599113132,0.35549769712485024,58,conscious,rh-precuneus,411,15605.396484375,725700
58,1.0,0.09140398813994441,0.5694795265670625,59,conscious,rh-precuneus,368,15576.1201171875,725700
59,1.0,0.04577362938649744,0.22391409157415343,60,conscious,rh-precuneus,336,15854.1865234375,725700
60,1.0,0.10112917960662962,0.7235652609327834,61,conscious,rh-precuneus,471,15555.84765625,725700
61,1.0,0.07244681649766198,0.3603360077992225,62,conscious,rh-precuneus,731,15566.447265625,725700
62,1.0,0.07298682183785965,0.42696788655322215,63,conscious,rh-precuneus,410,15638.326171875,725700
63,1.0,0.08362685295679186,0.5301950975209708,64,conscious,rh-precuneus,474,15561.8369140625,725700
64,1.0,0.08759404891660716,0.3929763367182637,65,conscious,rh-precuneus,611,15570.6455078125,725700
65,1.0,0.06719025694287026,0.3632768977769474,66,conscious,rh-precuneus,652,15723.0078125,725700
66,1.0,0.04545871473603143,0.31284225227243656,67,conscious,rh-precuneus,410,15769.072265625,725700
67,1.0,0.06846865968477488,0.3358364163518164,68,conscious,rh-precuneus,399,15626.7587890625,725700
68,1.0,0.09495299725193027,0.44371241906319947,69,conscious,rh-precuneus,662,15638.1083984375,725700
69,1.0,0.048778179700543746,0.2370371050648583,70,conscious,rh-precuneus,331,15603.1806640625,725700
70,1.0,0.06201156547879653,0.3570159893127388,71,conscious,rh-precuneus,417,15614.958984375,725700
71,1.0,0.0716251385041958,0.5822748248085836,72,conscious,rh-precuneus,332,15603.0048828125,725700
72,1.0,0.06806170266121415,0.4012500652843567,73,conscious,rh-precuneus,383,15788.3232421875,725700
73,1.0,0.04491733907455139,0.17417798005437923,74,conscious,rh-precuneus,423,15789.623046875,725700
74,1.0,0.07123091541245344,0.41476999983242435,75,conscious,rh-precuneus,295,15589.1259765625,725700
75,0.1,0.10058816790857807,0.4191931711706959,76,conscious,rh-precuneus,132,58287.75390625,725700
76,1.0,0.07904256664057988,0.4824012479881463,77,conscious,rh-precuneus,368,15574.2099609375,725700
77,0.1,0.15919757458649691,0.6524724040413254,78,conscious,rh-precuneus,295,58164.09375,725700
78,1.0,0.0860662903946133,0.4539939547399744,79,conscious,rh-precuneus,672,15611.525390625,725700
79,1.0,0.04506676653272176,0.2969013555154424,80,conscious,rh-precuneus,376,15835.9482421875,725700
80,1.0,0.07531622204457086,0.6310021663234942,81,conscious,rh-precuneus,398,15601.9912109375,725700
81,1.0,0.1077423327428749,0.5343074671130073,82,conscious,rh-precuneus,608,15615.3056640625,725700
82,1.0,0.06861552778182373,0.3891243388662652,83,conscious,rh-precuneus,353,15645.23046875,725700
83,1.0,0.07435475584133631,0.5000194528693291,84,conscious,rh-precuneus,376,15589.8896484375,725700
84,1.0,0.05475305316778711,0.3793564465301701,85,conscious,rh-precuneus,421,15713.712890625,725700
85,1.0,0.06691728464320128,0.32781893471259926,86,conscious,rh-precuneus,361,15668.9560546875,725700
86,1.0,0.057959182796806855,0.3114083495469,87,conscious,rh-precuneus,368,15640.5517578125,725700
87,1.0,0.097863253548187,0.5939178253839041,88,conscious,rh-precuneus,278,15561.6923828125,725700
88,1.0,0.050388072519386345,0.29119473009610575,89,conscious,rh-precuneus,261,15684.69140625,725700
89,1.0,0.06920865114291234,0.4113483632888709,90,conscious,rh-precuneus,387,15633.0439453125,725700
90,1.0,0.06842323200500891,0.3475416707802227,91,conscious,rh-precuneus,398,15621.7021484375,725700
91,1.0,0.05270643255142885,0.2599533701375287,92,conscious,rh-precuneus,441,15650.5107421875,725700
92,1.0,0.07123649593523995,0.3771105268618091,93,conscious,rh-precuneus,514,15708.787109375,725700
93,1.0,0.12108399148108565,0.7949468203125012,94,conscious,rh-precuneus,483,15571.8486328125,725700
94,1.0,0.2073102251007774,0.9841691466032056,95,conscious,rh-precuneus,405,15530.3115234375,725700
95,1.0,0.0938257038507771,0.5204508893493167,96,conscious,rh-precuneus,598,15548.26953125,725700
96,1.0,0.0866326201710745,0.46411986677753647,97,conscious,rh-precuneus,675,15603.638671875,725700
97,1.0,0.05894228126798238,0.36368501646984774,98,conscious,rh-precuneus,430,15643.3447265625,725700
98,1.0,0.08901622149678474,0.5071653381110127,99,conscious,rh-precuneus,480,15510.9697265625,725700
99,1.0,0.06592740511333127,0.44971184744994497,100,conscious,rh-precuneus,565,15575.4091796875,725700
100,1.0,0.08943552720812002,0.5682088134926871,101,conscious,rh-precuneus,511,15576.77734375,725700
101,1.0,0.1153799148084274,0.5902352242201662,102,conscious,rh-precuneus,427,15551.9150390625,725700
102,1.0,0.10421634660934458,0.5535920381652821,103,conscious,rh-precuneus,421,15589.283203125,725700
103,0.1,0.1679333576574291,0.6731542667966831,104,conscious,rh-precuneus,325,58172.46484375,725700
104,1.0,0.20958323132875278,0.8373378986640259,105,conscious,rh-precuneus,446,15535.5595703125,725700
105,1.0,0.04792899093890157,0.3055810518441531,106,conscious,rh-precuneus,343,15816.4951171875,725700
106,1.0,0.161240150665798,0.7040828655483651,107,conscious,rh-precuneus,484,15514.47265625,725700
107,0.1,0.1672566650443267,0.5661863460617487,108,conscious,rh-precuneus,607,58059.6875,725700
108,0.1,0.21065599610969163,0.7763079764107392,109,conscious,rh-precuneus,315,58259.83984375,725700
109,0.1,0.3324641453493223,0.9784565019262719,110,conscious,rh-precuneus,353,57911.625,725700
110,1.0,0.0916564682264639,0.6862949286432916,111,conscious,rh-precuneus,566,15529.7275390625,725700
111,1.0,0.09529578386848958,0.4966512056197867,112,conscious,rh-precuneus,913,15685.140625,725700
112,0.1,0.10691863773675962,0.3692385093262278,113,conscious,rh-precuneus,233,58537.234375,725700
113,1.0,0.09374329005194913,0.45903029497103554,114,conscious,rh-precuneus,563,15588.3564453125,725700
114,0.1,0.1422624738269489,0.6565502130171293,115,conscious,rh-precuneus,354,58132.640625,725700
115,1.0,0.05842175785677669,0.34556090127671013,116,conscious,rh-precuneus,314,15564.1767578125,725700
116,1.0,0.076436195888773,0.3214036818969631,117,conscious,rh-precuneus,466,15576.2197265625,725700
117,1.0,0.10544333547821941,0.5002296023084014,118,conscious,rh-precuneus,483,15562.0712890625,725700
118,1.0,0.08545793360882183,0.5657147745000357,119,conscious,rh-precuneus,477,15748.94921875,725700
119,1.0,0.04180688407731239,0.21746158686795292,120,conscious,rh-precuneus,450,15744.5224609375,725700
120,1.0,0.09103085764466033,0.5806752339507706,121,conscious,rh-precuneus,418,15550.4169921875,725700
121,1.0,0.06036366584317261,0.2990488770043991,122,conscious,rh-precuneus,326,15626.3369140625,725700
122,1.0,0.1588998304562752,0.8799953829765863,123,conscious,rh-precuneus,478,15533.0,725700
123,1.0,0.13694799909078184,0.7803556567472539,124,conscious,rh-precuneus,435,15582.2275390625,725700
124,1.0,0.07363305158609595,0.48228914416977187,125,conscious,rh-precuneus,531,15570.1240234375,725700
125,1.0,0.05360929307720312,0.2668479680295768,126,conscious,rh-precuneus,441,15790.138671875,725700
126,1.0,0.09927011007080945,0.5780149834087392,127,conscious,rh-precuneus,475,15557.0400390625,725700
127,1.0,0.11341835718796343,0.5857581993558303,128,conscious,rh-precuneus,543,15572.58984375,725700
128,1.0,0.10456273316642556,0.5780082189341922,129,conscious,rh-precuneus,533,15604.32421875,725700
129,1.0,0.12916038973034114,0.6567577855785173,130,conscious,rh-precuneus,515,15550.095703125,725700
130,1.0,0.06751814332868494,0.5268886154325712,131,conscious,rh-precuneus,360,15670.9140625,725700
131,1.0,0.09304772161977162,0.49249957772060493,132,conscious,rh-precuneus,417,15628.498046875,725700
132,1.0,0.07867661658041124,0.5046479131216686,133,conscious,rh-precuneus,469,15602.5634765625,725700
133,1.0,0.19038717273852848,0.8091232787553725,134,conscious,rh-precuneus,409,15520.25390625,725700
134,1.0,0.0557999966661633,0.28558481097821764,135,conscious,rh-precuneus,433,15644.2041015625,725700
135,1.0,0.12217932940256264,0.7180847594067591,136,conscious,rh-precuneus,441,15591.8359375,725700
136,1.0,0.07645394935884853,0.6387762766018206,137,conscious,rh-precuneus,312,15581.119140625,725700
137,1.0,0.056455724152039255,0.2776281637971806,138,conscious,rh-precuneus,486,15607.8203125,725700
138,1.0,0.07119903503722846,0.5096327829821385,139,conscious,rh-precuneus,504,15704.849609375,725700
139,1.0,0.1297102521616225,0.7357018996515131,140,conscious,rh-precuneus,428,15570.359375,725700
140,1.0,0.3571861767708304,0.9968255215993448,141,conscious,rh-precuneus,397,15528.6953125,725700
141,1.0,0.09087521554004904,0.4727044700089156,142,conscious,rh-precuneus,477,15549.1025390625,725700
142,1.0,0.08518892883196598,0.3732773200966615,143,conscious,rh-precuneus,606,15598.3505859375,725700
143,1.0,0.05979534249729486,0.2981209665834186,144,conscious,rh-precuneus,433,15637.4560546875,725700
144,1.0,0.09861221749004963,0.5368750784968195,145,conscious,rh-precuneus,423,15507.125,725700
145,1.0,0.06167125452965308,0.33551640717939135,146,conscious,rh-precuneus,455,15573.587890625,725700
146,1.0,0.09135974728839498,0.44151287656444893,147,conscious,rh-precuneus,482,15571.10546875,725700
147,1.0,0.11785018379264486,0.7171780280496884,148,conscious,rh-precuneus,312,15549.8447265625,725700
148,1.0,0.09790051880968945,0.475666897119964,149,conscious,rh-precuneus,393,15587.3916015625,725700
149,1.0,0.09755072856341222,0.4867056710168859,150,conscious,rh-precuneus,431,15564.1513671875,725700
150,1.0,0.32697581601963227,0.9938924347906107,151,conscious,rh-precuneus,330,15533.958984375,725700
151,1.0,0.05122020260862186,0.36169550908700465,152,conscious,rh-precuneus,336,15813.5439453125,725700
152,1.0,0.20988460334359893,0.916172135359437,153,conscious,rh-precuneus,367,15514.576171875,725700
153,1.0,0.08540912090540718,0.3285376308537187,154,conscious,rh-precuneus,735,15524.2958984375,725700
154,1.0,0.12510374446517786,0.656180379530256,155,conscious,rh-precuneus,522,15593.64453125,725700
155,1.0,0.3152493035338115,0.9987143202836147,156,conscious,rh-precuneus,291,15519.4453125,725700
