,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.09440778724891172,0.6425135924683054,1,glimpse,lh-fusiform,514,7250.986328125,648600
1,1.0,0.07434869944241379,0.33368745229531593,2,glimpse,lh-fusiform,447,7252.44921875,648600
2,1.0,0.08785687301826099,0.520261626255098,3,glimpse,lh-fusiform,457,7244.51708984375,648600
3,1.0,0.07823826999565305,0.6922223936736871,4,glimpse,lh-fusiform,391,7220.21337890625,648600
4,1.0,0.07140889386575039,0.42896228664419767,5,glimpse,lh-fusiform,445,7270.36328125,648600
5,1.0,0.10013829952090256,0.5677285510467238,6,glimpse,lh-fusiform,452,7230.4609375,648600
6,1.0,0.08620387630169114,0.49246730349262446,7,glimpse,lh-fusiform,461,7229.265625,648600
7,1.0,0.08630024533275589,0.38193543421980536,8,glimpse,lh-fusiform,370,7239.435546875,648600
8,1.0,0.08086509860027043,0.5693567457103876,9,glimpse,lh-fusiform,402,7227.48828125,648600
9,1.0,0.08486046003192146,0.4436282447803028,10,glimpse,lh-fusiform,438,7254.93994140625,648600
10,1.0,0.08368108635031338,0.4358527084053282,11,glimpse,lh-fusiform,419,7256.158203125,648600
11,1.0,0.0815597909888604,0.414900910630967,12,glimpse,lh-fusiform,497,7240.3388671875,648600
12,1.0,0.07587043078280105,0.37789554384932045,13,glimpse,lh-fusiform,412,7251.5380859375,648600
13,1.0,0.07927001880699149,0.4770100807775045,14,glimpse,lh-fusiform,352,7223.85791015625,648600
14,1.0,0.07370924651510603,0.4424261701519715,15,glimpse,lh-fusiform,421,7271.5556640625,648600
15,1.0,0.08434034915113474,0.4629354398154383,16,glimpse,lh-fusiform,469,7241.57275390625,648600
16,1.0,0.10809348641906266,0.5930523368476626,17,glimpse,lh-fusiform,539,7276.251953125,648600
17,1.0,0.08144493206615012,0.40434148971031114,18,glimpse,lh-fusiform,403,7227.04443359375,648600
18,1.0,0.09205483304656177,0.4941632416243177,19,glimpse,lh-fusiform,419,7211.3837890625,648600
19,1.0,0.08626162541612244,0.6857354655789429,20,glimpse,lh-fusiform,434,7253.08251953125,648600
20,1.0,0.10214711444694606,0.6446202659634188,21,glimpse,lh-fusiform,532,7225.54248046875,648600
21,1.0,0.06823138241570047,0.33517247196414035,22,glimpse,lh-fusiform,411,7248.11865234375,648600
22,1.0,0.07249911738033336,0.568818795042473,23,glimpse,lh-fusiform,409,7230.8515625,648600
23,1.0,0.0867713965856297,0.5283636053821092,24,glimpse,lh-fusiform,438,7239.298828125,648600
24,1.0,0.08871055217745076,0.4207328946405594,25,glimpse,lh-fusiform,428,7236.826171875,648600
25,1.0,0.08883068693730081,0.4112829924242587,26,glimpse,lh-fusiform,432,7216.74658203125,648600
26,1.0,0.08984607842531005,0.4647226782498922,27,glimpse,lh-fusiform,522,7257.53759765625,648600
27,1.0,0.07768617740379051,0.4929811610981646,28,glimpse,lh-fusiform,436,7265.103515625,648600
28,1.0,0.08077326532822922,0.42702156617711673,29,glimpse,lh-fusiform,364,7222.76513671875,648600
29,1.0,0.0713593810043294,0.3318192051705765,30,glimpse,lh-fusiform,452,7240.62451171875,648600
30,1.0,0.1062865849253765,0.6552374193389547,31,glimpse,lh-fusiform,513,7252.44921875,648600
31,1.0,0.07931381428030705,0.560537105113549,32,glimpse,lh-fusiform,477,7244.60986328125,648600
32,1.0,0.0691937561190743,0.38829993194933266,33,glimpse,lh-fusiform,422,7284.01025390625,648600
33,1.0,0.07129494175605433,0.43461384059818153,34,glimpse,lh-fusiform,443,7252.833984375,648600
34,1.0,0.057702792722064807,0.4729454801936793,35,glimpse,lh-fusiform,345,7247.95458984375,648600
35,1.0,0.08028767481146502,0.42511353830148424,36,glimpse,lh-fusiform,472,7249.1064453125,648600
36,1.0,0.0890163050271736,0.45651339128205015,37,glimpse,lh-fusiform,465,7249.67431640625,648600
37,1.0,0.08728497262794556,0.49916016909110295,38,glimpse,lh-fusiform,445,7286.90771484375,648600
38,1.0,0.10479626491476159,0.5605199584508336,39,glimpse,lh-fusiform,522,7247.29833984375,648600
39,1.0,0.08184714694380876,0.41597745058271796,40,glimpse,lh-fusiform,461,7238.60888671875,648600
40,1.0,0.07400859836977725,0.45662957198364396,41,glimpse,lh-fusiform,327,7267.46923828125,648600
41,1.0,0.07093855151439288,0.48408563077621103,42,glimpse,lh-fusiform,458,7239.158203125,648600
42,1.0,0.06356810748493599,0.48577558605033,43,glimpse,lh-fusiform,402,7301.240234375,648600
43,1.0,0.09465784895834643,0.45745330331110634,44,glimpse,lh-fusiform,393,7224.17041015625,648600
44,1.0,0.08187225234441174,0.44086816511258053,45,glimpse,lh-fusiform,388,7225.82080078125,648600
45,1.0,0.06597778573381466,0.44222794639066565,46,glimpse,lh-fusiform,387,7235.54248046875,648600
46,1.0,0.10192822965466786,0.6623549390710585,47,glimpse,lh-fusiform,473,7238.69921875,648600
47,1.0,0.10714464050059688,0.5837756006628346,48,glimpse,lh-fusiform,356,7254.28466796875,648600
48,1.0,0.08896490052981433,0.5390344872982427,49,glimpse,lh-fusiform,381,7257.54150390625,648600
49,1.0,0.11753856750801354,0.5704919664081816,50,glimpse,lh-fusiform,410,7249.6923828125,648600
50,1.0,0.1658649101672689,0.9117653647775872,51,glimpse,lh-fusiform,374,7223.8173828125,648600
51,1.0,0.0892122605661885,0.41967808178097166,52,glimpse,lh-fusiform,387,7274.0419921875,648600
52,1.0,0.1446229405765143,0.81795756839487,53,glimpse,lh-fusiform,404,7235.2548828125,648600
53,1.0,0.1137596512535853,0.5081262438001236,54,glimpse,lh-fusiform,425,7234.072265625,648600
54,1.0,0.1438632121950866,0.7727069011594538,55,glimpse,lh-fusiform,373,7244.31689453125,648600
55,1.0,0.15517618179416248,0.8440352198674581,56,glimpse,lh-fusiform,377,7232.306640625,648600
56,1.0,0.10929605401504877,0.5013687635907362,57,glimpse,lh-fusiform,415,7259.25439453125,648600
57,1.0,0.11426035870046702,0.5863557940173378,58,glimpse,lh-fusiform,351,7260.54638671875,648600
58,1.0,0.08930260531226,0.515896452507504,59,glimpse,lh-fusiform,390,7245.1259765625,648600
59,1.0,0.09949641679769732,0.5112997909677195,60,glimpse,lh-fusiform,389,7255.91796875,648600
60,1.0,0.21531599827783315,0.9114845017161913,61,glimpse,lh-fusiform,353,7228.28076171875,648600
61,1.0,0.0777460475503305,0.4115783786471773,62,glimpse,lh-fusiform,361,7275.69140625,648600
62,1.0,0.1151235788850558,0.7060658505463726,63,glimpse,lh-fusiform,384,7246.255859375,648600
63,1.0,0.09526970970561946,0.6308733385293813,64,glimpse,lh-fusiform,356,7279.2197265625,648600
64,1.0,0.14563825655349052,0.7119403212889353,65,glimpse,lh-fusiform,453,7231.884765625,648600
65,1.0,0.12021450007823228,0.545549826895934,66,glimpse,lh-fusiform,489,7214.6708984375,648600
66,1.0,0.1474373457566192,0.701496764728216,67,glimpse,lh-fusiform,368,7257.8583984375,648600
67,1.0,0.17457172986066347,0.9730456178398157,68,glimpse,lh-fusiform,369,7229.6142578125,648600
68,1.0,0.08808455320597407,0.5058191721598815,69,glimpse,lh-fusiform,377,7253.23681640625,648600
69,1.0,0.09240052692331704,0.5890972384452404,70,glimpse,lh-fusiform,417,7235.44970703125,648600
70,1.0,0.11725738272319654,0.7486977421170175,71,glimpse,lh-fusiform,428,7243.5390625,648600
71,1.0,0.16173780256945056,0.7841945804332358,72,glimpse,lh-fusiform,446,7241.91015625,648600
72,1.0,0.182921207803861,0.9107427727615613,73,glimpse,lh-fusiform,398,7221.93994140625,648600
73,1.0,0.0859341645923082,0.4771795155347013,74,glimpse,lh-fusiform,436,7260.9140625,648600
74,1.0,0.10873745205476577,0.5909811845242035,75,glimpse,lh-fusiform,340,7269.72705078125,648600
75,1.0,0.20830781925729822,0.8716866533088562,76,glimpse,lh-fusiform,380,7227.619140625,648600
76,1.0,0.08783609462107332,0.554312575473583,77,glimpse,lh-fusiform,452,7245.2236328125,648600
77,1.0,0.15420685383648539,0.77203622764802,78,glimpse,lh-fusiform,432,7256.34716796875,648600
78,1.0,0.08942062122183891,0.6071528837918092,79,glimpse,lh-fusiform,389,7248.35107421875,648600
79,1.0,0.0829488481591842,0.44973116409621916,80,glimpse,lh-fusiform,392,7288.0244140625,648600
80,1.0,0.09330118210342996,0.48057126907718895,81,glimpse,lh-fusiform,402,7257.337890625,648600
81,1.0,0.06719132837418221,0.44612933145552813,82,glimpse,lh-fusiform,318,7253.005859375,648600
82,1.0,0.08142593431706599,0.38709268041783884,83,glimpse,lh-fusiform,451,7254.56982421875,648600
83,1.0,0.10576159445734376,0.6075058891873356,84,glimpse,lh-fusiform,380,7252.7451171875,648600
84,1.0,0.09920629599022057,0.4797277740467474,85,glimpse,lh-fusiform,393,7291.671875,648600
85,1.0,0.10224744243750161,0.6171714257872327,86,glimpse,lh-fusiform,384,7252.34130859375,648600
86,1.0,0.17743753511030178,0.7263458628535249,87,glimpse,lh-fusiform,362,7242.54248046875,648600
87,1.0,0.06923720749750421,0.3993383852085518,88,glimpse,lh-fusiform,325,7271.31591796875,648600
88,1.0,0.09320026244475844,0.5269086885260408,89,glimpse,lh-fusiform,400,7244.7021484375,648600
89,1.0,0.07081144519268331,0.34780954287849297,90,glimpse,lh-fusiform,366,7305.42529296875,648600
90,1.0,0.24843239397544672,0.9800884112522122,91,glimpse,lh-fusiform,369,7228.66064453125,648600
91,1.0,0.133922203927192,0.8261240387058147,92,glimpse,lh-fusiform,363,7229.26318359375,648600
92,1.0,0.10376814920397359,0.5454908645523723,93,glimpse,lh-fusiform,409,7240.7109375,648600
93,1.0,0.15602676040186583,0.7247118955858427,94,glimpse,lh-fusiform,386,7243.4462890625,648600
94,1.0,0.1079456753393455,0.5677783206994645,95,glimpse,lh-fusiform,329,7250.11181640625,648600
95,1.0,0.0868250594002054,0.4553992230001762,96,glimpse,lh-fusiform,317,7251.982421875,648600
96,1.0,0.14355944110740104,0.7742645644390314,97,glimpse,lh-fusiform,354,7243.81640625,648600
97,1.0,0.22892212644764054,0.9329306814829497,98,glimpse,lh-fusiform,371,7219.4912109375,648600
98,1.0,0.09355438118677958,0.43840854092915205,99,glimpse,lh-fusiform,340,7268.8134765625,648600
99,1.0,0.15599476294461295,0.7120407153293726,100,glimpse,lh-fusiform,350,7229.39990234375,648600
100,1.0,0.12488835511149461,0.6746031648841293,101,glimpse,lh-fusiform,385,7228.2734375,648600
101,1.0,0.192132768707701,0.9166606371337037,102,glimpse,lh-fusiform,386,7239.26025390625,648600
102,1.0,0.16100862624635517,0.7269924624838491,103,glimpse,lh-fusiform,348,7227.25390625,648600
103,1.0,0.11481522419427333,0.5519570624671357,104,glimpse,lh-fusiform,406,7254.18505859375,648600
104,1.0,0.11724450888517113,0.5378674348449898,105,glimpse,lh-fusiform,368,7256.1640625,648600
105,1.0,0.09236081404739238,0.5167270655694666,106,glimpse,lh-fusiform,334,7239.9111328125,648600
106,1.0,0.09807827889009928,0.4868546096061859,107,glimpse,lh-fusiform,396,7250.734375,648600
107,1.0,0.365279089300426,0.9944681385475918,108,glimpse,lh-fusiform,329,7223.45361328125,648600
108,1.0,0.0809929735245124,0.46782871176094676,109,glimpse,lh-fusiform,336,7271.02685546875,648600
109,1.0,0.11740618633135769,0.6320395079207168,110,glimpse,lh-fusiform,372,7241.634765625,648600
110,1.0,0.09042937395760087,0.4119134002847529,111,glimpse,lh-fusiform,325,7274.10693359375,648600
111,1.0,0.17927422773740034,0.8889456843745822,112,glimpse,lh-fusiform,393,7226.8037109375,648600
112,1.0,0.14547869538923353,0.5546735616881638,113,glimpse,lh-fusiform,453,7209.3603515625,648600
113,1.0,0.16758907445376153,0.7903264198302316,114,glimpse,lh-fusiform,370,7252.55810546875,648600
114,1.0,0.24937952096412597,0.984864750770101,115,glimpse,lh-fusiform,301,7225.02392578125,648600
115,1.0,0.10232441882649937,0.47772224818871445,116,glimpse,lh-fusiform,385,7248.56298828125,648600
116,1.0,0.09911238599236194,0.6651918747812808,117,glimpse,lh-fusiform,394,7230.90380859375,648600
117,1.0,0.13469647827163472,0.7122553499997628,118,glimpse,lh-fusiform,344,7238.8837890625,648600
118,1.0,0.2016515001277163,0.8646477299873042,119,glimpse,lh-fusiform,441,7236.9111328125,648600
119,1.0,0.23031109621340332,0.8592151886872189,120,glimpse,lh-fusiform,328,7217.107421875,648600
120,1.0,0.08852895018519456,0.46123486929856017,121,glimpse,lh-fusiform,395,7256.47021484375,648600
121,1.0,0.11799095372132504,0.6664428812000828,122,glimpse,lh-fusiform,302,7263.93994140625,648600
122,0.1,0.4903947817479497,0.9995227259743513,123,glimpse,lh-fusiform,346,26176.26953125,648600
123,1.0,0.10071771459912575,0.5333962429627281,124,glimpse,lh-fusiform,406,7241.11474609375,648600
124,1.0,0.16601267278500148,0.8669386211477028,125,glimpse,lh-fusiform,394,7252.037109375,648600
125,1.0,0.1079267936719186,0.5806188787523534,126,glimpse,lh-fusiform,375,7243.61328125,648600
126,1.0,0.08823541273315925,0.5631974412948046,127,glimpse,lh-fusiform,383,7283.19482421875,648600
127,1.0,0.09435671311036817,0.5594940173974303,128,glimpse,lh-fusiform,331,7252.8994140625,648600
128,1.0,0.06829463722999966,0.41754210016516213,129,glimpse,lh-fusiform,329,7247.12109375,648600
129,1.0,0.09663074143149955,0.5284149909365734,130,glimpse,lh-fusiform,422,7249.51953125,648600
130,1.0,0.10121933495036622,0.5391703720152587,131,glimpse,lh-fusiform,341,7248.70263671875,648600
131,1.0,0.10861984064358897,0.5207574241681134,132,glimpse,lh-fusiform,341,7287.3388671875,648600
132,1.0,0.10824381882544022,0.49243233500102834,133,glimpse,lh-fusiform,313,7248.13671875,648600
133,1.0,0.2571201210818301,0.9036143739046409,134,glimpse,lh-fusiform,357,7237.98779296875,648600
134,0.1,0.1414571706586345,0.8391929760661159,135,glimpse,lh-fusiform,207,26297.6171875,648600
135,0.1,0.1810476886903612,0.6820336443601711,136,glimpse,lh-fusiform,227,26247.99609375,648600
136,0.1,0.13822252294721135,0.6386908090717203,137,glimpse,lh-fusiform,177,26412.302734375,648600
137,0.1,0.45066593196181515,0.9911089053390431,138,glimpse,lh-fusiform,311,26179.34765625,648600
138,0.1,0.27663639452019767,0.9693008923317172,139,glimpse,lh-fusiform,284,26183.892578125,648600
139,1.0,0.1268969305878988,0.6654751301548001,140,glimpse,lh-fusiform,424,7235.88134765625,648600
140,1.0,0.19325650274154155,0.8706576088282245,141,glimpse,lh-fusiform,356,7238.94384765625,648600
141,1.0,0.10993064526837308,0.5871209252978351,142,glimpse,lh-fusiform,558,7234.5849609375,648600
142,1.0,0.08682244524059919,0.386555956442299,143,glimpse,lh-fusiform,493,7236.25341796875,648600
143,1.0,0.10160544453816504,0.5829760510563049,144,glimpse,lh-fusiform,469,7229.8056640625,648600
144,1.0,0.12408189414214069,0.6208262817832204,145,glimpse,lh-fusiform,438,7203.39501953125,648600
145,1.0,0.08793682690170658,0.5008467465400475,146,glimpse,lh-fusiform,496,7253.0537109375,648600
146,1.0,0.11423506971498924,0.6171250801494825,147,glimpse,lh-fusiform,464,7214.447265625,648600
147,1.0,0.10348099892424244,0.5097987932426613,148,glimpse,lh-fusiform,498,7213.34912109375,648600
148,1.0,0.12125183767693266,0.6957484873405524,149,glimpse,lh-fusiform,433,7224.07470703125,648600
149,1.0,0.1178781165712067,0.6541751696917355,150,glimpse,lh-fusiform,490,7211.8994140625,648600
150,1.0,0.1031512553815587,0.5048953456137352,151,glimpse,lh-fusiform,469,7238.84375,648600
151,1.0,0.09906564763894643,0.47403425022439405,152,glimpse,lh-fusiform,481,7240.162109375,648600
152,1.0,0.0878765574259932,0.45816020904115007,153,glimpse,lh-fusiform,532,7224.83740234375,648600
153,1.0,0.0818527574362766,0.43901991088490067,154,glimpse,lh-fusiform,393,7234.7314453125,648600
154,1.0,0.11763324431099187,0.6203342263565614,155,glimpse,lh-fusiform,434,7208.11962890625,648600
155,1.0,0.08415580936126256,0.40397729201343857,156,glimpse,lh-fusiform,459,7254.84716796875,648600
156,1.0,0.11157807316347154,0.8151876911019438,157,glimpse,lh-fusiform,498,7225.38427734375,648600
157,1.0,0.11209355816272769,0.6870402105710445,158,glimpse,lh-fusiform,591,7258.8349609375,648600
158,1.0,0.1016108731367539,0.5542917903204791,159,glimpse,lh-fusiform,398,7211.771484375,648600
159,1.0,0.10538204019456007,0.5966086079886339,160,glimpse,lh-fusiform,439,7194.9140625,648600
160,1.0,0.11671033540948557,0.5630009321758005,161,glimpse,lh-fusiform,429,7236.99560546875,648600
161,1.0,0.16113478337611717,0.6617847435078916,162,glimpse,lh-fusiform,582,7209.59228515625,648600
162,1.0,0.08756083883653841,0.5387206550133615,163,glimpse,lh-fusiform,444,7232.05859375,648600
163,1.0,0.07703549824704806,0.5124677671783748,164,glimpse,lh-fusiform,465,7214.98486328125,648600
164,1.0,0.11019661340873686,0.7254631070753538,165,glimpse,lh-fusiform,463,7223.32470703125,648600
165,1.0,0.1222860509237509,0.5990856745263422,166,glimpse,lh-fusiform,446,7221.02978515625,648600
166,1.0,0.14289000039496114,0.6137487394256156,167,glimpse,lh-fusiform,475,7201.748046875,648600
167,1.0,0.0977726528513432,0.5331683485182227,168,glimpse,lh-fusiform,550,7240.74951171875,648600
168,1.0,0.09207356888578885,0.41323110550827813,169,glimpse,lh-fusiform,411,7249.6298828125,648600
169,0.1,0.22945633718431507,0.916295360757365,170,glimpse,lh-fusiform,355,26172.662109375,648600
170,0.1,0.13810287039178365,0.49499277846177714,171,glimpse,lh-fusiform,297,26265.41796875,648600
171,0.1,0.2157693706455682,0.7905552423310328,172,glimpse,lh-fusiform,287,26319.8203125,648600
172,1.0,0.09233433390233638,0.6688885082484061,173,glimpse,lh-fusiform,500,7228.59375,648600
173,1.0,0.08400750260909753,0.3988003823418059,174,glimpse,lh-fusiform,429,7267.04833984375,648600
174,1.0,0.0952804828809711,0.5170476499916841,175,glimpse,lh-fusiform,469,7236.51806640625,648600
175,1.0,0.0661237430691383,0.48844450893430746,176,glimpse,lh-fusiform,386,7231.9326171875,648600
176,1.0,0.08086771945081211,0.3832302699975172,177,glimpse,lh-fusiform,515,7232.92724609375,648600
177,1.0,0.10421344102565103,0.6482668249815396,178,glimpse,lh-fusiform,530,7232.9384765625,648600
178,1.0,0.09448270462621626,0.5501355342329001,179,glimpse,lh-fusiform,508,7271.5458984375,648600
179,1.0,0.11370015632771739,0.5582925016206108,180,glimpse,lh-fusiform,587,7232.80224609375,648600
180,1.0,0.1416750602829227,0.6755736987023981,181,glimpse,lh-fusiform,492,7222.28125,648600
181,0.1,0.13027294049345242,0.5264610957605156,182,glimpse,lh-fusiform,212,26294.013671875,648600
182,0.1,0.1579991963300339,0.5321068515230793,183,glimpse,lh-fusiform,273,26244.962890625,648600
183,0.1,0.11451891016957548,0.43219316169847244,184,glimpse,lh-fusiform,220,26417.263671875,648600
184,0.1,0.25435724041303753,0.9206139651443646,185,glimpse,lh-fusiform,370,26173.326171875,648600
185,0.1,0.18350835256086528,0.8342772876621312,186,glimpse,lh-fusiform,326,26186.521484375,648600
186,1.0,0.08668067163511171,0.3968443418825094,187,glimpse,lh-fusiform,422,7219.630859375,648600
187,1.0,0.13388190071935938,0.7622036571971835,188,glimpse,lh-fusiform,477,7223.65283203125,648600
188,1.0,0.10079007515883415,0.669449574719411,189,glimpse,lh-fusiform,459,7252.50048828125,648600
189,1.0,0.09001096251210139,0.4653155195842591,190,glimpse,lh-fusiform,418,7254.19287109375,648600
190,1.0,0.10364095043432711,0.5589328580248518,191,glimpse,lh-fusiform,418,7247.90625,648600
191,1.0,0.12911943639078324,0.6198123568053375,192,glimpse,lh-fusiform,394,7220.900390625,648600
192,1.0,0.08016302539273837,0.386248580580298,193,glimpse,lh-fusiform,443,7271.12890625,648600
193,1.0,0.1220074488169715,0.6809761172384192,194,glimpse,lh-fusiform,419,7233.224609375,648600
194,1.0,0.09898626386749433,0.5045292415700691,195,glimpse,lh-fusiform,442,7231.4052734375,648600
195,1.0,0.10978324540423585,0.5958470036857895,196,glimpse,lh-fusiform,358,7242.6357421875,648600
196,1.0,0.10673717261978494,0.528567177834637,197,glimpse,lh-fusiform,410,7231.056640625,648600
197,1.0,0.1026975315480601,0.6192610870936541,198,glimpse,lh-fusiform,407,7257.79638671875,648600
198,1.0,0.10024969310042028,0.551500455211241,199,glimpse,lh-fusiform,406,7258.85693359375,648600
199,1.0,0.08622813625814497,0.4800542044340621,200,glimpse,lh-fusiform,459,7243.15234375,648600
200,1.0,0.07704795461458712,0.30878452054331107,201,glimpse,lh-fusiform,370,7253.59521484375,648600
201,1.0,0.12680380995496923,0.6965715081448105,202,glimpse,lh-fusiform,394,7226.65673828125,648600
202,1.0,0.07723365594182618,0.5576139964241444,203,glimpse,lh-fusiform,405,7273.38134765625,648600
203,1.0,0.10651186665868438,0.5843230153358531,204,glimpse,lh-fusiform,477,7244.22265625,648600
204,1.0,0.11730736358828615,0.630678719492429,205,glimpse,lh-fusiform,457,7277.9580078125,648600
205,1.0,0.0983922101649229,0.5785375385210048,206,glimpse,lh-fusiform,445,7229.716796875,648600
206,1.0,0.10394360427170639,0.5424875683862561,207,glimpse,lh-fusiform,442,7212.3916015625,648600
207,1.0,0.11350460236975465,0.5647642756277598,208,glimpse,lh-fusiform,433,7255.36962890625,648600
208,1.0,0.1450167685532131,0.7114389474111846,209,glimpse,lh-fusiform,509,7227.75390625,648600
209,1.0,0.08277017444245882,0.47251747767344154,210,glimpse,lh-fusiform,398,7251.11181640625,648600
210,0.1,0.1548931570630687,0.7387583433983125,211,glimpse,lh-fusiform,248,26230.0859375,648600
211,1.0,0.1091183154409278,0.5967082754258156,212,glimpse,lh-fusiform,452,7241.2548828125,648600
212,1.0,0.12599137217035003,0.5365762727422658,213,glimpse,lh-fusiform,421,7240.03955078125,648600
213,1.0,0.13834732208032705,0.7462532347944865,214,glimpse,lh-fusiform,428,7219.22216796875,648600
214,1.0,0.09872236349413735,0.5280330396829425,215,glimpse,lh-fusiform,455,7259.1669921875,648600
215,1.0,0.09681215377637312,0.6462045717070909,216,glimpse,lh-fusiform,404,7267.84375,648600
216,1.0,0.12907880767657595,0.6174171238960553,217,glimpse,lh-fusiform,385,7225.4970703125,648600
217,1.0,0.0745655333095824,0.4126675330206163,218,glimpse,lh-fusiform,447,7243.458984375,648600
218,0.1,0.20041745516099072,0.7007125162663312,219,glimpse,lh-fusiform,213,26362.884765625,648600
219,1.0,0.08202479551479652,0.6194685631785399,220,glimpse,lh-fusiform,427,7247.45166015625,648600
220,1.0,0.07681588300216118,0.4881582164930117,221,glimpse,lh-fusiform,393,7286.72119140625,648600
221,1.0,0.09281631667503519,0.5647763521015481,222,glimpse,lh-fusiform,431,7255.2099609375,648600
222,1.0,0.06304066443887872,0.4049507420598589,223,glimpse,lh-fusiform,342,7250.8896484375,648600
223,1.0,0.08689180229753145,0.5603946757972864,224,glimpse,lh-fusiform,462,7252.6064453125,648600
224,1.0,0.10681737027514175,0.5099991396982112,225,glimpse,lh-fusiform,451,7251.3876953125,648600
225,1.0,0.0980623526275552,0.49807563436063207,226,glimpse,lh-fusiform,437,7290.7373046875,648600
226,1.0,0.10699619934468009,0.5323846725815855,227,glimpse,lh-fusiform,520,7250.18603515625,648600
227,1.0,0.12952106758464768,0.7816678992348537,228,glimpse,lh-fusiform,445,7240.36767578125,648600
228,0.1,0.11817167696555465,0.5109861465895646,229,glimpse,lh-fusiform,167,26331.259765625,648600
229,1.0,0.08283619863974136,0.47243841103386064,230,glimpse,lh-fusiform,422,7242.87939453125,648600
230,0.1,0.10199482091417704,0.40055493788554797,231,glimpse,lh-fusiform,152,26453.46875,648600
231,1.0,0.13699353099270314,0.5939914630234825,232,glimpse,lh-fusiform,430,7226.9208984375,648600
232,1.0,0.10761988737504476,0.6638901546014575,233,glimpse,lh-fusiform,375,7227.07666015625,648600
233,1.0,0.09065918357760452,0.5578208431094271,234,glimpse,lh-fusiform,410,7238.171875,648600
234,1.0,0.13148988771449496,0.6208748165578892,235,glimpse,lh-fusiform,417,7241.30810546875,648600
235,1.0,0.08172733804693921,0.4038095564390237,236,glimpse,lh-fusiform,388,7259.7578125,648600
236,1.0,0.07113702200988398,0.39314044955006566,237,glimpse,lh-fusiform,389,7261.79296875,648600
237,1.0,0.08888588737753825,0.4355525509650302,238,glimpse,lh-fusiform,400,7254.8232421875,648600
238,1.0,0.09255189072914019,0.5872459047005745,239,glimpse,lh-fusiform,398,7228.544921875,648600
239,1.0,0.07057772484928143,0.3443674792490863,240,glimpse,lh-fusiform,381,7277.82421875,648600
240,1.0,0.09161196976039263,0.5733314927133724,241,glimpse,lh-fusiform,407,7238.93505859375,648600
241,1.0,0.07360429604698461,0.4154757616074246,242,glimpse,lh-fusiform,370,7237.89501953125,648600
242,1.0,0.08122774116827357,0.4090471303638694,243,glimpse,lh-fusiform,371,7249.25244140625,648600
243,1.0,0.09102660521761705,0.4578512517297564,244,glimpse,lh-fusiform,417,7236.8056640625,648600
244,1.0,0.07879763393310647,0.388662010808582,245,glimpse,lh-fusiform,406,7263.88623046875,648600
245,1.0,0.08042184626112847,0.34759216779684643,246,glimpse,lh-fusiform,393,7265.1142578125,648600
246,1.0,0.0723652689609805,0.4893261050877483,247,glimpse,lh-fusiform,426,7249.19140625,648600
247,1.0,0.07651511162363518,0.4363396423897332,248,glimpse,lh-fusiform,390,7260.6240234375,648600
248,1.0,0.09423876509366469,0.5880062569825986,249,glimpse,lh-fusiform,447,7232.63037109375,648600
249,1.0,0.06353162927777585,0.38034831574484373,250,glimpse,lh-fusiform,376,7281.4560546875,648600
250,1.0,0.07897496660569778,0.40114585968507055,251,glimpse,lh-fusiform,438,7250.5673828125,648600
251,1.0,0.0794739168850852,0.43817340519475045,252,glimpse,lh-fusiform,375,7284.40673828125,648600
252,1.0,0.0928869220657553,0.43407520724966087,253,glimpse,lh-fusiform,489,7237.134765625,648600
253,1.0,0.08924703793634874,0.5059589322095965,254,glimpse,lh-fusiform,469,7219.88330078125,648600
254,1.0,0.08836349545210684,0.5602409680349143,255,glimpse,lh-fusiform,405,7262.28564453125,648600
255,1.0,0.107581407877855,0.6008624873751891,256,glimpse,lh-fusiform,439,7234.26123046875,648600
256,1.0,0.06917880347153003,0.41577144530316246,257,glimpse,lh-fusiform,363,7257.88037109375,648600
257,1.0,0.07481275566746821,0.4624149224170031,258,glimpse,lh-fusiform,422,7240.47998046875,648600
