,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.060334189777960956,0.4186439951099935,1,glimpse,lh-inferiorparietal,271,12116.283203125,673800
1,1.0,0.058547734362807274,0.3010915457462956,2,glimpse,lh-inferiorparietal,243,12148.96484375,673800
2,1.0,0.07358063847235523,0.38172611830895453,3,glimpse,lh-inferiorparietal,319,12128.66796875,673800
3,1.0,0.07742987781056138,0.4042609636894162,4,glimpse,lh-inferiorparietal,310,12100.263671875,673800
4,1.0,0.06753483551843383,0.3661527119641671,5,glimpse,lh-inferiorparietal,269,12142.2109375,673800
5,1.0,0.07442958857524676,0.4082359934607297,6,glimpse,lh-inferiorparietal,210,12143.3671875,673800
6,1.0,0.07299475750346407,0.35248867483681445,7,glimpse,lh-inferiorparietal,217,12160.794921875,673800
7,1.0,0.07747252730946375,0.26896005982163407,8,glimpse,lh-inferiorparietal,272,12108.3251953125,673800
8,1.0,0.06498640806036214,0.38463364647733733,9,glimpse,lh-inferiorparietal,222,12119.0712890625,673800
9,1.0,0.08049521246946291,0.37807213749643664,10,glimpse,lh-inferiorparietal,293,12157.3505859375,673800
10,1.0,0.07241568254996843,0.3601578552912508,11,glimpse,lh-inferiorparietal,267,12148.375,673800
11,1.0,0.06249443498996005,0.34787678876201855,12,glimpse,lh-inferiorparietal,245,12139.4228515625,673800
12,1.0,0.06656473584425236,0.4272889021095966,13,glimpse,lh-inferiorparietal,254,12160.50390625,673800
13,1.0,0.07472686074525811,0.341267107203323,14,glimpse,lh-inferiorparietal,239,12105.888671875,673800
14,1.0,0.06469206554496411,0.3387129663414413,15,glimpse,lh-inferiorparietal,315,12185.8408203125,673800
15,1.0,0.0720568757367107,0.397876168703616,16,glimpse,lh-inferiorparietal,248,12164.5615234375,673800
16,1.0,0.07606301617865142,0.3329990341153013,17,glimpse,lh-inferiorparietal,341,12172.7451171875,673800
17,1.0,0.07233768697352548,0.3372312157034729,18,glimpse,lh-inferiorparietal,274,12101.12109375,673800
18,1.0,0.08029764029133571,0.434081944294778,19,glimpse,lh-inferiorparietal,215,12086.1474609375,673800
19,1.0,0.08202734771143755,0.45911487074499824,20,glimpse,lh-inferiorparietal,309,12133.6826171875,673800
20,1.0,0.09008258974670368,0.37402651057014413,21,glimpse,lh-inferiorparietal,370,12082.482421875,673800
21,1.0,0.06446784243050058,0.3093837288129686,22,glimpse,lh-inferiorparietal,285,12173.62109375,673800
22,1.0,0.06434307609568836,0.30521769418588784,23,glimpse,lh-inferiorparietal,234,12141.6435546875,673800
23,1.0,0.07484432992636511,0.39231986297751864,24,glimpse,lh-inferiorparietal,227,12146.7919921875,673800
24,1.0,0.08255453767761926,0.3973986437500616,25,glimpse,lh-inferiorparietal,238,12122.5478515625,673800
25,1.0,0.0835062943009086,0.4019873326412141,26,glimpse,lh-inferiorparietal,231,12106.474609375,673800
26,1.0,0.07518164856305155,0.3675909465345636,27,glimpse,lh-inferiorparietal,293,12138.2353515625,673800
27,1.0,0.06598398389587118,0.3127324399189325,28,glimpse,lh-inferiorparietal,246,12139.5927734375,673800
28,1.0,0.08074731946889335,0.4220764929825702,29,glimpse,lh-inferiorparietal,245,12109.6904296875,673800
29,1.0,0.07362557068503404,0.31728318558656354,30,glimpse,lh-inferiorparietal,240,12159.5615234375,673800
30,1.0,0.0715210649005545,0.3794545145260242,31,glimpse,lh-inferiorparietal,262,12098.2880859375,673800
31,1.0,0.06166527673715551,0.4191353876708157,32,glimpse,lh-inferiorparietal,232,12114.4130859375,673800
32,1.0,0.06504649517787629,0.2792187302155432,33,glimpse,lh-inferiorparietal,231,12216.32421875,673800
33,1.0,0.07383135201743399,0.35149708812207736,34,glimpse,lh-inferiorparietal,345,12157.91796875,673800
34,1.0,0.06583054456634246,0.3162353660040641,35,glimpse,lh-inferiorparietal,292,12197.8056640625,673800
35,1.0,0.06796617376481942,0.32236125688185646,36,glimpse,lh-inferiorparietal,323,12160.5048828125,673800
36,1.0,0.06429949503909184,0.2964974066098045,37,glimpse,lh-inferiorparietal,211,12186.3671875,673800
37,1.0,0.06887926197687326,0.37514742184061345,38,glimpse,lh-inferiorparietal,342,12149.2626953125,673800
38,1.0,0.061731306083190184,0.3768330436360825,39,glimpse,lh-inferiorparietal,315,12134.81640625,673800
39,1.0,0.07532338452621298,0.4365110024448675,40,glimpse,lh-inferiorparietal,232,12130.431640625,673800
40,1.0,0.06689413805428443,0.4339175279408628,41,glimpse,lh-inferiorparietal,248,12133.3916015625,673800
41,1.0,0.06605601332863256,0.40120072388575045,42,glimpse,lh-inferiorparietal,190,12171.853515625,673800
42,1.0,0.060501042427066845,0.3765771110125212,43,glimpse,lh-inferiorparietal,272,12220.0869140625,673800
43,1.0,0.07805596966529744,0.5436805242384226,44,glimpse,lh-inferiorparietal,262,12113.5361328125,673800
44,1.0,0.08161528732606849,0.3177054865420468,45,glimpse,lh-inferiorparietal,311,12099.97265625,673800
45,1.0,0.06146371965032352,0.318432689847321,46,glimpse,lh-inferiorparietal,255,12132.8642578125,673800
46,1.0,0.06911599833568013,0.28652705871338313,47,glimpse,lh-inferiorparietal,230,12116.328125,673800
47,1.0,0.09184993125700812,0.5306860225978861,48,glimpse,lh-inferiorparietal,352,12063.0888671875,673800
48,1.0,0.08378409127046038,0.5359387405896263,49,glimpse,lh-inferiorparietal,458,12095.9208984375,673800
49,1.0,0.10799747087750994,0.6833515132458097,50,glimpse,lh-inferiorparietal,309,12076.1767578125,673800
50,1.0,0.19310547303249917,0.9263783333723407,51,glimpse,lh-inferiorparietal,589,12046.623046875,673800
51,1.0,0.09365835623316433,0.4803166069244241,52,glimpse,lh-inferiorparietal,395,12087.8935546875,673800
52,1.0,0.14221127199576203,0.7703228208891035,53,glimpse,lh-inferiorparietal,400,12085.5712890625,673800
53,1.0,0.13087757925948143,0.7047372980676058,54,glimpse,lh-inferiorparietal,336,12105.9638671875,673800
54,1.0,0.14354225367591214,0.6699841116060345,55,glimpse,lh-inferiorparietal,442,12053.7783203125,673800
55,1.0,0.12363630349991342,0.5702348019094553,56,glimpse,lh-inferiorparietal,263,12063.5810546875,673800
56,1.0,0.13002713580151753,0.9000705352563403,57,glimpse,lh-inferiorparietal,476,12103.16796875,673800
57,1.0,0.10742931608606708,0.5868011219508309,58,glimpse,lh-inferiorparietal,431,12090.70703125,673800
58,1.0,0.07995153876989798,0.6207939640151433,59,glimpse,lh-inferiorparietal,328,12083.96484375,673800
59,1.0,0.1103397905010115,0.5966283088336299,60,glimpse,lh-inferiorparietal,428,12106.0810546875,673800
60,1.0,0.20236437775422056,0.9664162524068612,61,glimpse,lh-inferiorparietal,416,12051.4658203125,673800
61,1.0,0.08220954112146932,0.5267027973275816,62,glimpse,lh-inferiorparietal,458,12132.5546875,673800
62,1.0,0.10481796546878132,0.6509149507463432,63,glimpse,lh-inferiorparietal,338,12108.2373046875,673800
63,1.0,0.07879296467838384,0.48374450050022455,64,glimpse,lh-inferiorparietal,300,12111.7333984375,673800
64,1.0,0.14063680620546407,0.7776280539989452,65,glimpse,lh-inferiorparietal,573,12046.091796875,673800
65,1.0,0.12867812399121817,0.6597403541444642,66,glimpse,lh-inferiorparietal,366,12030.1484375,673800
66,1.0,0.14643492835733332,0.7807917204077862,67,glimpse,lh-inferiorparietal,395,12076.5458984375,673800
67,0.1,0.2274975786552946,0.9103517516847284,68,glimpse,lh-inferiorparietal,305,42741.32421875,673800
68,1.0,0.10141260778106145,0.459321469571194,69,glimpse,lh-inferiorparietal,517,12116.8935546875,673800
69,0.1,0.16436160568552685,0.8321824380562877,70,glimpse,lh-inferiorparietal,251,42725.64453125,673800
70,0.1,0.19074331453204454,0.6960591700107537,71,glimpse,lh-inferiorparietal,237,42810.453125,673800
71,1.0,0.1665063165443243,0.9074998931778069,72,glimpse,lh-inferiorparietal,498,12067.2744140625,673800
72,0.1,0.30041254846111926,0.8672463016314924,73,glimpse,lh-inferiorparietal,236,42651.24609375,673800
73,0.1,0.18005715998745767,0.6084530561535234,74,glimpse,lh-inferiorparietal,246,42883.22265625,673800
74,1.0,0.10332243387966651,0.6188819230204778,75,glimpse,lh-inferiorparietal,359,12084.7060546875,673800
75,1.0,0.2309093623353066,0.976293147083565,76,glimpse,lh-inferiorparietal,424,12052.720703125,673800
76,1.0,0.08916376353414816,0.4762284005178863,77,glimpse,lh-inferiorparietal,307,12101.2490234375,673800
77,1.0,0.10987282146138448,0.4790797557216169,78,glimpse,lh-inferiorparietal,425,12040.7890625,673800
78,1.0,0.0841376687827611,0.6144782273404259,79,glimpse,lh-inferiorparietal,340,12057.037109375,673800
79,1.0,0.0913253926846784,0.5771208625016984,80,glimpse,lh-inferiorparietal,421,12156.8173828125,673800
80,1.0,0.06894928689090811,0.35597992880920204,81,glimpse,lh-inferiorparietal,306,12101.25,673800
81,1.0,0.08558369785527353,0.3711983266244483,82,glimpse,lh-inferiorparietal,414,12141.0166015625,673800
82,1.0,0.08053499117408708,0.6133301123076919,83,glimpse,lh-inferiorparietal,387,12103.474609375,673800
83,1.0,0.09473108627112489,0.5132825097187115,84,glimpse,lh-inferiorparietal,309,12130.0625,673800
84,1.0,0.10489091440682227,0.6509238195652952,85,glimpse,lh-inferiorparietal,634,12094.7822265625,673800
85,1.0,0.09733843173748298,0.49378273226869285,86,glimpse,lh-inferiorparietal,384,12077.640625,673800
86,1.0,0.15806567779072242,0.9352760484068883,87,glimpse,lh-inferiorparietal,356,12076.93359375,673800
87,1.0,0.09266048841350455,0.5257578603573371,88,glimpse,lh-inferiorparietal,478,12077.8349609375,673800
88,1.0,0.08329944447916142,0.4840674986963085,89,glimpse,lh-inferiorparietal,239,12115.3271484375,673800
89,1.0,0.058315611454965534,0.40370156626282316,90,glimpse,lh-inferiorparietal,305,12168.1064453125,673800
90,1.0,0.21739578258231546,0.904819945080301,91,glimpse,lh-inferiorparietal,420,12058.4453125,673800
91,1.0,0.1605808594540353,0.7945483049976583,92,glimpse,lh-inferiorparietal,492,12045.7353515625,673800
92,1.0,0.10929598509153883,0.5517351595751407,93,glimpse,lh-inferiorparietal,328,12076.9296875,673800
93,1.0,0.15034077720855007,0.8019811179742442,94,glimpse,lh-inferiorparietal,402,12060.0859375,673800
94,1.0,0.10696827220147877,0.6058484443758019,95,glimpse,lh-inferiorparietal,358,12041.1845703125,673800
95,1.0,0.07905607130878282,0.33808168594134613,96,glimpse,lh-inferiorparietal,458,12075.4443359375,673800
96,1.0,0.1295873044108754,0.6155569019369196,97,glimpse,lh-inferiorparietal,327,12055.228515625,673800
97,1.0,0.24162349003335845,0.9891394253231244,98,glimpse,lh-inferiorparietal,430,12025.0830078125,673800
98,1.0,0.1016225689918918,0.5328841754221009,99,glimpse,lh-inferiorparietal,367,12063.978515625,673800
99,1.0,0.16682423545646882,0.6879538012404791,100,glimpse,lh-inferiorparietal,444,12063.41796875,673800
100,1.0,0.13275200382132782,0.6804342969539594,101,glimpse,lh-inferiorparietal,399,12082.9677734375,673800
101,1.0,0.15321178426823198,0.826066504663296,102,glimpse,lh-inferiorparietal,431,12032.7939453125,673800
102,1.0,0.13043677983603993,0.6682083842048229,103,glimpse,lh-inferiorparietal,297,12041.609375,673800
103,1.0,0.144975211757547,0.7582051679516565,104,glimpse,lh-inferiorparietal,386,12081.4921875,673800
104,1.0,0.11843231338237763,0.6992632317255063,105,glimpse,lh-inferiorparietal,501,12069.34765625,673800
105,1.0,0.09339776467010236,0.6698978013272585,106,glimpse,lh-inferiorparietal,389,12064.3818359375,673800
106,1.0,0.1063416025917411,0.5940672169654081,107,glimpse,lh-inferiorparietal,401,12082.8349609375,673800
107,1.0,0.3168244133232762,0.9841478145857002,108,glimpse,lh-inferiorparietal,360,12029.08984375,673800
108,1.0,0.07871896247891744,0.5089987762439946,109,glimpse,lh-inferiorparietal,479,12109.1806640625,673800
109,1.0,0.13088983788462205,0.6255744582978472,110,glimpse,lh-inferiorparietal,422,12086.83984375,673800
110,1.0,0.06821130131970274,0.30065571052060547,111,glimpse,lh-inferiorparietal,286,12090.921875,673800
111,1.0,0.1710092748167974,0.7602294113610748,112,glimpse,lh-inferiorparietal,537,12025.2626953125,673800
112,1.0,0.13638393636915683,0.6832659420613274,113,glimpse,lh-inferiorparietal,405,12010.4775390625,673800
113,1.0,0.15339750499940016,0.7162569252465665,114,glimpse,lh-inferiorparietal,324,12054.755859375,673800
114,1.0,0.16710825138306248,0.9696254639189552,115,glimpse,lh-inferiorparietal,267,12008.4873046875,673800
115,1.0,0.10027862678576291,0.3785907691120146,116,glimpse,lh-inferiorparietal,430,12094.580078125,673800
116,1.0,0.09624542294514736,0.5704024462320922,117,glimpse,lh-inferiorparietal,479,12061.7353515625,673800
117,1.0,0.127487072142743,0.7514952812846232,118,glimpse,lh-inferiorparietal,288,12070.0869140625,673800
118,1.0,0.19141948740293172,0.9783356556947019,119,glimpse,lh-inferiorparietal,408,12044.716796875,673800
119,1.0,0.19929570779942365,0.9069996528728141,120,glimpse,lh-inferiorparietal,284,12029.16015625,673800
120,0.1,0.18956384215872948,0.6987724860062889,121,glimpse,lh-inferiorparietal,271,42868.92578125,673800
121,1.0,0.11199070755839625,0.583956102468984,122,glimpse,lh-inferiorparietal,359,12063.5751953125,673800
122,1.0,0.3393555087118682,0.9680254933588747,123,glimpse,lh-inferiorparietal,390,12033.462890625,673800
123,1.0,0.0978689410301139,0.426663079201935,124,glimpse,lh-inferiorparietal,351,12080.42578125,673800
124,1.0,0.13149809485146838,0.4775551950495779,125,glimpse,lh-inferiorparietal,358,12019.056640625,673800
125,1.0,0.08915383656417447,0.5631545323013997,126,glimpse,lh-inferiorparietal,371,12036.2861328125,673800
126,1.0,0.097146792363188,0.5606446259048246,127,glimpse,lh-inferiorparietal,426,12135.1767578125,673800
127,1.0,0.08996975970095505,0.48013033251089976,128,glimpse,lh-inferiorparietal,428,12079.0810546875,673800
128,1.0,0.06507055563366088,0.30854732578138855,129,glimpse,lh-inferiorparietal,323,12120.0361328125,673800
129,1.0,0.09573976999581535,0.44149402433514173,130,glimpse,lh-inferiorparietal,471,12083.6611328125,673800
130,1.0,0.11079756363476462,0.5521561991812695,131,glimpse,lh-inferiorparietal,379,12105.7392578125,673800
131,1.0,0.08039430346302665,0.44962318830338543,132,glimpse,lh-inferiorparietal,506,12071.6171875,673800
132,1.0,0.0905510635752326,0.6845919965828388,133,glimpse,lh-inferiorparietal,388,12057.9189453125,673800
133,1.0,0.21476609411057448,0.8969913852700163,134,glimpse,lh-inferiorparietal,258,12054.6748046875,673800
134,1.0,0.08018196023818287,0.3763634419824483,135,glimpse,lh-inferiorparietal,323,12054.1328125,673800
135,1.0,0.09286691115412732,0.5628587049955792,136,glimpse,lh-inferiorparietal,252,12095.7607421875,673800
136,1.0,0.06319590377355046,0.4371906641951746,137,glimpse,lh-inferiorparietal,353,12143.818359375,673800
137,1.0,0.3160758839171018,0.9923399957120098,138,glimpse,lh-inferiorparietal,343,12036.7265625,673800
138,1.0,0.15335437187295314,0.7114661595942547,139,glimpse,lh-inferiorparietal,466,12024.2529296875,673800
139,1.0,0.10873795449465995,0.7870265140953709,140,glimpse,lh-inferiorparietal,440,12056.125,673800
140,1.0,0.16926019852105353,0.8585752773385462,141,glimpse,lh-inferiorparietal,486,12038.017578125,673800
141,1.0,0.07137430116555626,0.474318678549578,142,glimpse,lh-inferiorparietal,369,12065.8798828125,673800
142,1.0,0.06366583700554587,0.4084218462278658,143,glimpse,lh-inferiorparietal,374,12101.2265625,673800
143,1.0,0.09778309836117567,0.5736467089220967,144,glimpse,lh-inferiorparietal,356,12081.0166015625,673800
144,1.0,0.13189349192489488,0.6600279980193047,145,glimpse,lh-inferiorparietal,530,12050.6005859375,673800
145,1.0,0.08464118411549659,0.5754840804117978,146,glimpse,lh-inferiorparietal,408,12090.8671875,673800
146,1.0,0.10374723469002042,0.5395703770385829,147,glimpse,lh-inferiorparietal,357,12087.0263671875,673800
147,1.0,0.08547205529717344,0.4901711220446475,148,glimpse,lh-inferiorparietal,315,12109.2412109375,673800
148,1.0,0.11683385654718403,0.5781393662348652,149,glimpse,lh-inferiorparietal,419,12059.6513671875,673800
149,1.0,0.1104589459372162,0.594242328711938,150,glimpse,lh-inferiorparietal,331,12065.08203125,673800
150,1.0,0.0958365460030456,0.578236020356734,151,glimpse,lh-inferiorparietal,427,12106.7412109375,673800
151,1.0,0.0814349389297529,0.4214156491671912,152,glimpse,lh-inferiorparietal,390,12096.7138671875,673800
152,1.0,0.08160015246199799,0.4432251645816856,153,glimpse,lh-inferiorparietal,334,12090.1025390625,673800
153,1.0,0.07366885917825597,0.46157892498314146,154,glimpse,lh-inferiorparietal,357,12110.2705078125,673800
154,1.0,0.125359333116389,0.8502717352556773,155,glimpse,lh-inferiorparietal,355,12057.208984375,673800
155,1.0,0.07087314219037344,0.3514984774958676,156,glimpse,lh-inferiorparietal,450,12138.279296875,673800
156,1.0,0.09171718676206267,0.5131999973346011,157,glimpse,lh-inferiorparietal,347,12112.958984375,673800
157,1.0,0.08503574368509235,0.46370260518456907,158,glimpse,lh-inferiorparietal,431,12116.7060546875,673800
158,1.0,0.10508249919778577,0.5285398921095334,159,glimpse,lh-inferiorparietal,375,12051.4443359375,673800
159,1.0,0.09821636214935857,0.49249410726518517,160,glimpse,lh-inferiorparietal,268,12035.0732421875,673800
160,1.0,0.12334133159405952,0.7775612221665301,161,glimpse,lh-inferiorparietal,460,12081.2548828125,673800
161,1.0,0.1096108686338349,0.6023232424300548,162,glimpse,lh-inferiorparietal,432,12034.68359375,673800
162,1.0,0.07857472170199818,0.34854106506253146,163,glimpse,lh-inferiorparietal,445,12123.3017578125,673800
163,1.0,0.07555886941822326,0.4050305967653237,164,glimpse,lh-inferiorparietal,407,12088.4599609375,673800
164,1.0,0.09865901906096887,0.5920313872808463,165,glimpse,lh-inferiorparietal,311,12096.2666015625,673800
165,1.0,0.11718022279017248,0.5387238228381745,166,glimpse,lh-inferiorparietal,364,12072.0419921875,673800
166,1.0,0.13186831184951628,0.6039561435568781,167,glimpse,lh-inferiorparietal,332,12056.876953125,673800
167,1.0,0.08827746527130871,0.40277587899120226,168,glimpse,lh-inferiorparietal,417,12089.8154296875,673800
