,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.07249714047554853,0.3371724887152029,1,glimpse,lh-inferiortemporal,348,13112.505859375,718800
1,1.0,0.06863320045965017,0.3484839111347722,2,glimpse,lh-inferiortemporal,316,13142.314453125,718800
2,1.0,0.08165302311544423,0.4153751461963444,3,glimpse,lh-inferiortemporal,345,13117.8115234375,718800
3,1.0,0.0847921436603973,0.5491153184419386,4,glimpse,lh-inferiortemporal,362,13083.4970703125,718800
4,1.0,0.07154413406670372,0.34909743706484675,5,glimpse,lh-inferiortemporal,367,13147.09375,718800
5,1.0,0.09339650271744808,0.3880091027138258,6,glimpse,lh-inferiortemporal,319,13119.6142578125,718800
6,1.0,0.08320348713358904,0.4632197476917249,7,glimpse,lh-inferiortemporal,322,13147.8046875,718800
7,1.0,0.08169369033171164,0.38821654688098384,8,glimpse,lh-inferiortemporal,360,13122.857421875,718800
8,1.0,0.09378754076562919,0.47517729745805026,9,glimpse,lh-inferiortemporal,484,13104.0107421875,718800
9,1.0,0.0865019941630959,0.5081433562460621,10,glimpse,lh-inferiortemporal,318,13137.87890625,718800
10,1.0,0.07751317411627025,0.3390135240717722,11,glimpse,lh-inferiortemporal,363,13138.3525390625,718800
11,1.0,0.07555080727406635,0.4936570384515151,12,glimpse,lh-inferiortemporal,520,13115.345703125,718800
12,1.0,0.06925198572388591,0.4811161079395493,13,glimpse,lh-inferiortemporal,353,13136.5556640625,718800
13,0.1,0.15505157101883268,0.6393876986554956,14,glimpse,lh-inferiortemporal,259,46236.703125,718800
14,0.1,0.11893459145951817,0.4634721634296306,15,glimpse,lh-inferiortemporal,173,46602.03125,718800
15,1.0,0.08044151989239881,0.5106950931207651,16,glimpse,lh-inferiortemporal,364,13144.916015625,718800
16,0.1,0.13407236860004262,0.49707958828933585,17,glimpse,lh-inferiortemporal,150,46635.5625,718800
17,1.0,0.08289390994486942,0.40345953423270553,18,glimpse,lh-inferiortemporal,323,13075.5576171875,718800
18,0.1,0.14065863174584595,0.5059042056631078,19,glimpse,lh-inferiortemporal,165,46271.453125,718800
19,1.0,0.09886795023182673,0.5504389238420756,20,glimpse,lh-inferiortemporal,637,13112.953125,718800
20,1.0,0.09756833329781862,0.4035685740390669,21,glimpse,lh-inferiortemporal,678,13077.5693359375,718800
21,1.0,0.06996173863265776,0.37137348992388486,22,glimpse,lh-inferiortemporal,365,13175.458984375,718800
22,1.0,0.06847662580309272,0.36555922831301,23,glimpse,lh-inferiortemporal,467,13100.6884765625,718800
23,0.1,0.14451927134816656,0.5968138869518715,24,glimpse,lh-inferiortemporal,175,46391.99609375,718800
24,1.0,0.08750546082757252,0.41718961196942617,25,glimpse,lh-inferiortemporal,288,13096.67578125,718800
25,1.0,0.09255466855780478,0.4492009408548986,26,glimpse,lh-inferiortemporal,390,13084.1552734375,718800
26,1.0,0.08394251920604615,0.4148328102871571,27,glimpse,lh-inferiortemporal,488,13140.2412109375,718800
27,1.0,0.06561840818951563,0.4167606225867866,28,glimpse,lh-inferiortemporal,367,13099.3505859375,718800
28,1.0,0.07781566142579259,0.343442013272657,29,glimpse,lh-inferiortemporal,301,13079.830078125,718800
29,0.1,0.11461649730883765,0.39184844627136417,30,glimpse,lh-inferiortemporal,82,46594.43359375,718800
30,1.0,0.07865167108612965,0.46218415419716385,31,glimpse,lh-inferiortemporal,357,13125.603515625,718800
31,1.0,0.06869865131222906,0.41731711919672476,32,glimpse,lh-inferiortemporal,403,13080.236328125,718800
32,1.0,0.06130859687721413,0.28860374096657837,33,glimpse,lh-inferiortemporal,275,13203.326171875,718800
33,1.0,0.06696884241051533,0.47860529706629784,34,glimpse,lh-inferiortemporal,452,13135.1279296875,718800
34,1.0,0.05483791912746668,0.29969512144591626,35,glimpse,lh-inferiortemporal,311,13187.8828125,718800
35,1.0,0.06737903009323193,0.311845237637597,36,glimpse,lh-inferiortemporal,411,13165.33984375,718800
36,1.0,0.07626569087432136,0.39734521712873383,37,glimpse,lh-inferiortemporal,343,13185.16796875,718800
37,1.0,0.06200499449247226,0.29145368904031077,38,glimpse,lh-inferiortemporal,448,13107.6455078125,718800
38,0.1,0.1387149299763553,0.7102315925958222,39,glimpse,lh-inferiortemporal,228,46401.9921875,718800
39,0.1,0.13585012737671875,0.4681953508929808,40,glimpse,lh-inferiortemporal,161,46358.29296875,718800
40,0.1,0.09733048564798172,0.4746497792781452,41,glimpse,lh-inferiortemporal,136,46403.98046875,718800
41,0.1,0.12985073327384278,0.5828799977424607,42,glimpse,lh-inferiortemporal,159,46363.890625,718800
42,1.0,0.06368167046365396,0.3253145811195003,43,glimpse,lh-inferiortemporal,420,13204.0205078125,718800
43,1.0,0.07812076116382198,0.38703740042498636,44,glimpse,lh-inferiortemporal,368,13097.0224609375,718800
44,1.0,0.08836810265477381,0.539393844183396,45,glimpse,lh-inferiortemporal,488,13060.1396484375,718800
45,1.0,0.07612388270840437,0.380312461922129,46,glimpse,lh-inferiortemporal,288,13088.6201171875,718800
46,1.0,0.08398123952337555,0.34247437433506334,47,glimpse,lh-inferiortemporal,321,13094.927734375,718800
47,1.0,0.09964193866214563,0.6940837482986639,48,glimpse,lh-inferiortemporal,465,13057.1083984375,718800
48,1.0,0.11419631079255015,0.5753851662826821,49,glimpse,lh-inferiortemporal,635,13093.4853515625,718800
49,1.0,0.10967505810441544,0.5743596439416033,50,glimpse,lh-inferiortemporal,281,13069.083984375,718800
50,1.0,0.18130193970861663,0.8861497864691179,51,glimpse,lh-inferiortemporal,536,13031.7578125,718800
51,1.0,0.10090297573321702,0.5944081343046006,52,glimpse,lh-inferiortemporal,512,13092.7880859375,718800
