,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.06268305835544612,0.28920972543221146,1,glimpse,lh-parahippocampal,178,13998.765625,283200
1,1.0,0.06307921464050831,0.23605706140593774,2,glimpse,lh-parahippocampal,154,14093.94921875,283200
2,1.0,0.07005378159171795,0.31446822839738187,3,glimpse,lh-parahippocampal,187,13998.10546875,283200
3,1.0,0.07159132700209792,0.36282408788517795,4,glimpse,lh-parahippocampal,168,13971.638671875,283200
4,1.0,0.05754962107543072,0.386122313881309,5,glimpse,lh-parahippocampal,184,14017.93359375,283200
5,1.0,0.06776107565709108,0.45687388694469144,6,glimpse,lh-parahippocampal,175,14000.01953125,283200
6,1.0,0.07898274639465461,0.35240210184117815,7,glimpse,lh-parahippocampal,185,14067.1025390625,283200
7,1.0,0.06692672489329807,0.3291275463854202,8,glimpse,lh-parahippocampal,164,14018.4130859375,283200
8,1.0,0.07581009471468288,0.4444164320898809,9,glimpse,lh-parahippocampal,161,14011.94140625,283200
9,0.1,0.10438729181351289,0.44045282133672203,10,glimpse,lh-parahippocampal,128,54662.4921875,283200
10,1.0,0.07474061258850363,0.3418383383170136,11,glimpse,lh-parahippocampal,166,14101.8291015625,283200
11,1.0,0.06610395919502872,0.27311045227433983,12,glimpse,lh-parahippocampal,197,13992.0341796875,283200
12,1.0,0.0617301983129034,0.3162246516764997,13,glimpse,lh-parahippocampal,177,14064.603515625,283200
13,1.0,0.06571080187522632,0.294476046351306,14,glimpse,lh-parahippocampal,160,13984.830078125,283200
14,1.0,0.05819498187705885,0.4287140639622655,15,glimpse,lh-parahippocampal,181,14035.9453125,283200
15,1.0,0.07139213480591186,0.33900692052314374,16,glimpse,lh-parahippocampal,194,14031.6083984375,283200
16,1.0,0.07775027586499751,0.3583809666313572,17,glimpse,lh-parahippocampal,188,14226.8447265625,283200
17,1.0,0.07658584471552869,0.46030940029452905,18,glimpse,lh-parahippocampal,174,13965.3388671875,283200
18,1.0,0.06878585921407286,0.3291274463806173,19,glimpse,lh-parahippocampal,208,14011.296875,283200
19,1.0,0.08246341773409759,0.40698199281214387,20,glimpse,lh-parahippocampal,164,14087.201171875,283200
20,0.1,0.1350802334531399,0.7735827074312701,21,glimpse,lh-parahippocampal,132,54515.89453125,283200
21,1.0,0.05722086713771791,0.3031933605018923,22,glimpse,lh-parahippocampal,177,14057.353515625,283200
22,1.0,0.05568590096180261,0.3666317092424508,23,glimpse,lh-parahippocampal,191,13988.9267578125,283200
23,0.1,0.10792520030697397,0.43351644796579336,24,glimpse,lh-parahippocampal,114,54566.7265625,283200
24,1.0,0.08058293473946429,0.5738067799676481,25,glimpse,lh-parahippocampal,199,13979.53125,283200
25,1.0,0.07574360407371551,0.35259012995355554,26,glimpse,lh-parahippocampal,201,13969.9033203125,283200
26,1.0,0.061731533100964846,0.3636153275506495,27,glimpse,lh-parahippocampal,171,14050.00390625,283200
27,1.0,0.07342290995654521,0.325777945004475,28,glimpse,lh-parahippocampal,187,14102.798828125,283200
28,1.0,0.071906136197633,0.3222974033235314,29,glimpse,lh-parahippocampal,162,13964.8125,283200
29,0.1,0.11095881473737475,0.5716981099853048,30,glimpse,lh-parahippocampal,107,54737.08203125,283200
30,0.1,0.14170819063135837,0.47902192922689013,31,glimpse,lh-parahippocampal,125,54492.94921875,283200
31,0.1,0.11069388981225509,0.5581331491838355,32,glimpse,lh-parahippocampal,121,54515.49609375,283200
32,0.1,0.1104909280574271,0.6210966516768555,33,glimpse,lh-parahippocampal,94,55335.234375,283200
33,0.1,0.11912866662680856,0.38673127981881694,34,glimpse,lh-parahippocampal,104,54812.32421875,283200
34,0.1,0.08766752569912814,0.4235504146904936,35,glimpse,lh-parahippocampal,123,54458.03125,283200
35,0.1,0.08559943200214551,0.33819021528903515,36,glimpse,lh-parahippocampal,122,54789.9765625,283200
36,0.1,0.11483112135899323,0.5048602109063356,37,glimpse,lh-parahippocampal,136,54646.453125,283200
37,0.1,0.11435334475581584,0.3608498517080928,38,glimpse,lh-parahippocampal,110,54852.75390625,283200
38,0.1,0.09919705955986467,0.42869529100215764,39,glimpse,lh-parahippocampal,99,54914.80078125,283200
39,0.1,0.12086469354528952,0.4787145001459836,40,glimpse,lh-parahippocampal,132,54496.39453125,283200
40,0.1,0.10946644647415625,0.3991110881717015,41,glimpse,lh-parahippocampal,106,55105.51171875,283200
41,0.1,0.11931670422561277,0.5063332010844876,42,glimpse,lh-parahippocampal,152,54611.46484375,283200
42,0.1,0.1001446217095227,0.5012784696019701,43,glimpse,lh-parahippocampal,100,54873.63671875,283200
43,0.1,0.13171325362640787,0.6202009758040936,44,glimpse,lh-parahippocampal,140,54476.0234375,283200
44,0.1,0.1271497814362484,0.48569481041615836,45,glimpse,lh-parahippocampal,115,54709.14453125,283200
45,0.1,0.10743274986825582,0.47744870610415935,46,glimpse,lh-parahippocampal,132,54490.66796875,283200
46,0.1,0.12696262032614658,0.7319072365550381,47,glimpse,lh-parahippocampal,132,54707.24609375,283200
47,1.0,0.10084773808437254,0.6215055589293031,48,glimpse,lh-parahippocampal,161,13980.7529296875,283200
48,1.0,0.07161162852665606,0.48408137790167527,49,glimpse,lh-parahippocampal,158,14073.7451171875,283200
49,1.0,0.10043053444832649,0.45170373252953255,50,glimpse,lh-parahippocampal,149,13979.6064453125,283200
50,0.1,0.20531675281716658,0.8598213914900299,51,glimpse,lh-parahippocampal,161,54440.45703125,283200
51,0.1,0.11677477196015093,0.5525367473758133,52,glimpse,lh-parahippocampal,145,54583.87890625,283200
52,1.0,0.1316693183330488,0.6323445323272479,53,glimpse,lh-parahippocampal,175,13980.470703125,283200
53,0.1,0.1713219806937316,0.841843351622026,54,glimpse,lh-parahippocampal,142,54903.61328125,283200
54,1.0,0.12146928675243758,0.6111993053238973,55,glimpse,lh-parahippocampal,152,13998.7919921875,283200
55,0.1,0.18458811980572995,0.713924789799818,56,glimpse,lh-parahippocampal,133,54571.0859375,283200
56,0.1,0.15762562559583115,0.5279257801583115,57,glimpse,lh-parahippocampal,138,54623.5,283200
57,1.0,0.09889190523457876,0.5091277145212207,58,glimpse,lh-parahippocampal,181,14081.0888671875,283200
58,0.1,0.12305708345616738,0.49365033676851433,59,glimpse,lh-parahippocampal,138,54523.98828125,283200
59,0.1,0.13339817688209873,0.5373502440727913,60,glimpse,lh-parahippocampal,122,54809.8359375,283200
60,1.0,0.1911152507606245,0.9715685791726311,61,glimpse,lh-parahippocampal,159,13967.091796875,283200
61,1.0,0.059891492638687066,0.2734201269837615,62,glimpse,lh-parahippocampal,158,14018.5302734375,283200
62,1.0,0.09452225491257396,0.46404888867946725,63,glimpse,lh-parahippocampal,159,14013.8681640625,283200
63,1.0,0.08636684883137531,0.5085312633049665,64,glimpse,lh-parahippocampal,165,14205.015625,283200
64,0.1,0.16699735749911426,0.6262813402358565,65,glimpse,lh-parahippocampal,137,54425.796875,283200
65,1.0,0.1251830664571282,0.5139681200217416,66,glimpse,lh-parahippocampal,212,13992.236328125,283200
66,0.1,0.20606327763002624,0.8175754513645468,67,glimpse,lh-parahippocampal,99,54776.85546875,283200
67,0.1,0.1952236237277617,0.9642486061526352,68,glimpse,lh-parahippocampal,118,54475.828125,283200
68,0.1,0.15394469991742735,0.508859205638976,69,glimpse,lh-parahippocampal,111,54821.109375,283200
69,0.1,0.12312367954856965,0.5616174878201146,70,glimpse,lh-parahippocampal,140,54461.6171875,283200
70,0.1,0.1555167547940245,0.6790479257997469,71,glimpse,lh-parahippocampal,130,54530.25390625,283200
71,1.0,0.1568123256047441,0.6681633095957444,72,glimpse,lh-parahippocampal,235,13962.0849609375,283200
72,1.0,0.13162195452118652,0.6362067489299109,73,glimpse,lh-parahippocampal,152,13951.7119140625,283200
73,1.0,0.06400595120644205,0.33528900979403187,74,glimpse,lh-parahippocampal,159,14031.22265625,283200
74,1.0,0.10336088007596317,0.4575122544647079,75,glimpse,lh-parahippocampal,172,14083.9619140625,283200
75,1.0,0.19545484150399717,0.8580816867407198,76,glimpse,lh-parahippocampal,167,13947.255859375,283200
76,0.1,0.1451924236891297,0.5373005974706391,77,glimpse,lh-parahippocampal,130,54699.81640625,283200
77,1.0,0.1104690019024755,0.662346927878926,78,glimpse,lh-parahippocampal,189,13953.478515625,283200
78,1.0,0.07960576141968528,0.5092563130258293,79,glimpse,lh-parahippocampal,146,13962.8251953125,283200
79,1.0,0.06930912586512436,0.3736324748990698,80,glimpse,lh-parahippocampal,153,14212.318359375,283200
80,0.1,0.14282394239649843,0.5823958591159953,81,glimpse,lh-parahippocampal,106,54781.78125,283200
81,1.0,0.05588707232672616,0.29432510776259335,82,glimpse,lh-parahippocampal,171,13957.5478515625,283200
82,0.1,0.12648062316033257,0.5900679563681666,83,glimpse,lh-parahippocampal,119,54758.20703125,283200
83,0.1,0.1235876231338042,0.5001274951231169,84,glimpse,lh-parahippocampal,136,54600.34765625,283200
84,0.1,0.14508601237488059,0.490450340170113,85,glimpse,lh-parahippocampal,110,54808.7890625,283200
85,0.1,0.14709462807201232,0.6968280597489063,86,glimpse,lh-parahippocampal,105,54868.83984375,283200
86,0.1,0.2128764937436115,0.7762106853091809,87,glimpse,lh-parahippocampal,137,54455.1796875,283200
87,0.1,0.14739205383925943,0.587997087969429,88,glimpse,lh-parahippocampal,126,55064.703125,283200
88,0.1,0.13801549527705434,0.5184013436621863,89,glimpse,lh-parahippocampal,157,54572.11328125,283200
89,0.1,0.12062146011111186,0.4050810121685956,90,glimpse,lh-parahippocampal,98,54837.73828125,283200
90,1.0,0.19278409203194713,0.8584947216284199,91,glimpse,lh-parahippocampal,165,13945.3984375,283200
91,0.1,0.16601392352102173,0.619834264082804,92,glimpse,lh-parahippocampal,141,54683.12890625,283200
92,0.1,0.159843750276425,0.6037903831578797,93,glimpse,lh-parahippocampal,128,54458.8046875,283200
93,1.0,0.1522245540961148,0.5231451603674209,94,glimpse,lh-parahippocampal,168,14003.1748046875,283200
94,1.0,0.10885547202676392,0.5107077445172388,95,glimpse,lh-parahippocampal,170,13955.2412109375,283200
95,1.0,0.07568209991596886,0.3599049107304281,96,glimpse,lh-parahippocampal,138,14049.8505859375,283200
96,1.0,0.11458135508361895,0.4024698806177891,97,glimpse,lh-parahippocampal,130,13956.6826171875,283200
97,1.0,0.18249290274446534,0.823481409591605,98,glimpse,lh-parahippocampal,175,13929.365234375,283200
98,1.0,0.08102055955078331,0.3648437802709854,99,glimpse,lh-parahippocampal,174,13975.060546875,283200
99,1.0,0.1209611485727006,0.6557405813077876,100,glimpse,lh-parahippocampal,156,13957.8720703125,283200
100,0.1,0.17985660652243113,0.5793948273379848,101,glimpse,lh-parahippocampal,160,54753.86328125,283200
101,1.0,0.1465921540840654,0.5654341755916972,102,glimpse,lh-parahippocampal,135,13977.009765625,283200
102,1.0,0.11480074410581897,0.6556549804770732,103,glimpse,lh-parahippocampal,123,13970.01953125,283200
103,1.0,0.11226995292543715,0.5543005929190004,104,glimpse,lh-parahippocampal,166,13983.427734375,283200
104,0.1,0.18407188321554294,0.6625474344935594,105,glimpse,lh-parahippocampal,109,54763.37890625,283200
105,0.1,0.1138772194004081,0.5825413703746706,106,glimpse,lh-parahippocampal,168,54369.5625,283200
106,0.1,0.13936833247321867,0.5849141292257571,107,glimpse,lh-parahippocampal,133,54660.625,283200
107,0.1,0.39867554379281944,0.9957691670049532,108,glimpse,lh-parahippocampal,144,54301.75,283200
108,0.1,0.11963771931150112,0.6050504621857057,109,glimpse,lh-parahippocampal,134,54522.3203125,283200
109,1.0,0.09511322330190783,0.5943421215859364,110,glimpse,lh-parahippocampal,175,13990.7255859375,283200
110,0.1,0.14309960516888262,0.6754987410204552,111,glimpse,lh-parahippocampal,122,55138.6484375,283200
111,0.1,0.21112228433730204,0.849768487299042,112,glimpse,lh-parahippocampal,150,54271.05859375,283200
112,0.1,0.17606624677736177,0.6404345638808635,113,glimpse,lh-parahippocampal,155,54462.94921875,283200
113,0.1,0.25160035137748504,0.7984426760282741,114,glimpse,lh-parahippocampal,119,54620.9296875,283200
