,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,0.1,0.11990422587730264,0.5497536254016271,1,glimpse,rh-lingual,301,117989.65625,623700
1,0.1,0.09112048311328129,0.39016492704921435,2,glimpse,rh-lingual,460,116460.609375,623700
2,0.1,0.13364782937954273,0.5378540601573998,3,glimpse,rh-lingual,434,116568.1484375,623700
3,1.0,0.06047835783742298,0.4279345773884391,4,glimpse,rh-lingual,408,28682.54296875,623700
4,0.1,0.1176696041085586,0.573728132104047,5,glimpse,rh-lingual,242,118180.875,623700
5,1.0,0.05000704757820453,0.27115109411462757,6,glimpse,rh-lingual,356,28679.02734375,623700
6,0.1,0.10613095936631067,0.4893320211047796,7,glimpse,rh-lingual,273,117199.59375,623700
7,0.1,0.12122488200949669,0.522815985323601,8,glimpse,rh-lingual,305,116616.9921875,623700
8,0.1,0.10504456711342847,0.5287794274643778,9,glimpse,rh-lingual,304,116368.75,623700
9,1.0,0.04806845263564322,0.22863012829576668,10,glimpse,rh-lingual,386,28757.6015625,623700
10,0.1,0.10481578198901102,0.3875175375123784,11,glimpse,rh-lingual,237,117600.6640625,623700
11,0.1,0.11767577136804659,0.48983743733258467,12,glimpse,rh-lingual,415,116933.703125,623700
12,0.1,0.0946755871937624,0.500914097678719,13,glimpse,rh-lingual,421,116282.4765625,623700
13,1.0,0.057840640197301486,0.4949908053331149,14,glimpse,rh-lingual,391,28678.0546875,623700
14,0.1,0.07970844169215273,0.3921209783320794,15,glimpse,rh-lingual,322,116678.8515625,623700
15,0.1,0.09741723030158546,0.42681437087431706,16,glimpse,rh-lingual,280,116330.6953125,623700
16,0.1,0.09038172414764938,0.44229302198368814,17,glimpse,rh-lingual,368,116387.7734375,623700
17,0.1,0.11034035777305261,0.6101466758008764,18,glimpse,rh-lingual,359,116090.703125,623700
18,0.1,0.08049443135273239,0.34118386568529613,19,glimpse,rh-lingual,416,116089.390625,623700
19,0.1,0.11165414744816962,0.5945382289943497,20,glimpse,rh-lingual,482,116272.765625,623700
20,0.1,0.11952624956241935,0.5692878231591597,21,glimpse,rh-lingual,493,116379.7265625,623700
21,0.1,0.11890582528161849,0.39190831418664696,22,glimpse,rh-lingual,192,118594.4140625,623700
22,0.1,0.12171678801048634,0.5724510435393529,23,glimpse,rh-lingual,434,116386.984375,623700
23,0.1,0.10694221450842858,0.6175496717547806,24,glimpse,rh-lingual,368,116568.78125,623700
24,0.1,0.10535880224725136,0.43395393027360707,25,glimpse,rh-lingual,344,116405.1484375,623700
25,0.1,0.10228446443036643,0.47052344629518417,26,glimpse,rh-lingual,506,116033.5390625,623700
26,0.1,0.08083303790773215,0.3778660284087396,27,glimpse,rh-lingual,394,116373.671875,623700
27,0.1,0.10806042679046267,0.5668437820406524,28,glimpse,rh-lingual,386,117056.515625,623700
28,0.1,0.12675867798632962,0.5829533586784648,29,glimpse,rh-lingual,351,116420.8359375,623700
29,0.1,0.0896433169612162,0.44617351723647647,30,glimpse,rh-lingual,370,116444.546875,623700
30,0.1,0.13354864883738252,0.5623889171192493,31,glimpse,rh-lingual,378,116607.0078125,623700
31,0.1,0.08941768377017341,0.4637230189661157,32,glimpse,rh-lingual,264,116322.84375,623700
32,0.1,0.08388473558911415,0.6473654675337195,33,glimpse,rh-lingual,373,116672.7734375,623700
33,0.1,0.10768966607895009,0.4075047653083592,34,glimpse,rh-lingual,299,117133.0078125,623700
34,0.1,0.07938718338021157,0.4142207290376444,35,glimpse,rh-lingual,330,116526.171875,623700
35,0.1,0.09956005920107819,0.4649537538677633,36,glimpse,rh-lingual,410,117023.484375,623700
36,0.1,0.1216973573661174,0.5240116823892175,37,glimpse,rh-lingual,344,117096.234375,623700
37,0.1,0.10282647873878101,0.5073649422785698,38,glimpse,rh-lingual,315,117877.875,623700
38,0.1,0.11213228075347638,0.41497400793479233,39,glimpse,rh-lingual,306,117712.359375,623700
39,0.1,0.11882454985238314,0.48726448941752376,40,glimpse,rh-lingual,386,116369.3984375,623700
40,0.1,0.0937809364455627,0.48720671199756227,41,glimpse,rh-lingual,276,116633.1484375,623700
41,0.1,0.1319785058547879,0.48292875789584033,42,glimpse,rh-lingual,376,117356.375,623700
42,0.1,0.08050962389843358,0.3782960612750115,43,glimpse,rh-lingual,267,116795.1796875,623700
43,0.1,0.11406624958143954,0.5386185608944051,44,glimpse,rh-lingual,472,116144.1328125,623700
44,0.1,0.10571657484803713,0.5391426165232647,45,glimpse,rh-lingual,460,116165.5546875,623700
45,0.1,0.11394451071217059,0.6074710658949859,46,glimpse,rh-lingual,263,116770.1171875,623700
46,0.1,0.12548366231502114,0.5276194446213148,47,glimpse,rh-lingual,299,116859.4609375,623700
47,0.1,0.19107736392542968,0.7854451635813774,48,glimpse,rh-lingual,227,118129.765625,623700
48,1.0,0.05587251932354068,0.2750290686902388,49,glimpse,rh-lingual,367,28738.642578125,623700
49,0.1,0.18195448416905827,0.8023489997471601,50,glimpse,rh-lingual,251,116749.671875,623700
50,1.0,0.15523600344591398,0.8928876691964545,51,glimpse,rh-lingual,321,28700.1953125,623700
51,1.0,0.10389499745646408,0.5091914776195497,52,glimpse,rh-lingual,276,29240.916015625,623700
52,0.1,0.18181003438550786,0.8323388774175874,53,glimpse,rh-lingual,315,116420.859375,623700
53,0.1,0.15687217934301287,0.5647774375195846,54,glimpse,rh-lingual,195,117386.96875,623700
54,0.1,0.23254458581229048,0.9359000695286985,55,glimpse,rh-lingual,256,116717.78125,623700
55,0.1,0.181846250754703,0.7405599073631364,56,glimpse,rh-lingual,195,116525.0703125,623700
56,1.0,0.0820455493718517,0.4512082506343833,57,glimpse,rh-lingual,283,28772.892578125,623700
57,1.0,0.09479302024487231,0.8108088222059171,58,glimpse,rh-lingual,262,29097.30078125,623700
58,1.0,0.10189757781848714,0.5778446613713668,59,glimpse,rh-lingual,359,28897.435546875,623700
59,1.0,0.06279579082039817,0.4221273779503565,60,glimpse,rh-lingual,305,28725.78515625,623700
60,0.1,0.26851934905247693,0.9223835911202004,61,glimpse,rh-lingual,260,116401.3984375,623700
61,0.1,0.10419782259476898,0.37471171642559464,62,glimpse,rh-lingual,231,116763.4375,623700
62,0.1,0.14311258282168823,0.5238243426354392,63,glimpse,rh-lingual,213,116478.921875,623700
63,0.1,0.11653403786489666,0.5534416255946699,64,glimpse,rh-lingual,224,116531.515625,623700
64,0.1,0.15613447254303933,0.670383893995532,65,glimpse,rh-lingual,310,116185.5625,623700
65,0.1,0.10409939813493706,0.5620178029000479,66,glimpse,rh-lingual,342,116158.1640625,623700
66,0.1,0.1790438169960894,0.9018393124050864,67,glimpse,rh-lingual,285,116395.9375,623700
67,0.1,0.2233252711636889,0.9835385275204058,68,glimpse,rh-lingual,249,116520.734375,623700
68,0.1,0.16427416721997376,0.6268397386062754,69,glimpse,rh-lingual,164,118768.046875,623700
69,0.1,0.19421321500914435,0.7166784313851757,70,glimpse,rh-lingual,383,116590.1796875,623700
70,0.1,0.17116778055810417,0.6949839563263698,71,glimpse,rh-lingual,271,116712.5390625,623700
71,0.1,0.19359839262875458,0.9031684815309738,72,glimpse,rh-lingual,311,116498.0,623700
72,0.1,0.18248969025193307,0.7325757399354171,73,glimpse,rh-lingual,235,116198.59375,623700
73,0.1,0.11854944905756537,0.4789788903838058,74,glimpse,rh-lingual,311,116465.4765625,623700
74,0.1,0.16446804921492134,0.6270637349465029,75,glimpse,rh-lingual,294,117213.25,623700
75,0.1,0.3293726531371082,0.9223375167031702,76,glimpse,rh-lingual,261,116558.4453125,623700
76,0.1,0.12145787081812383,0.6727407636218604,77,glimpse,rh-lingual,279,116593.71875,623700
77,0.1,0.22842572830332886,0.9503344104193301,78,glimpse,rh-lingual,273,116731.515625,623700
78,0.1,0.13576779825151078,0.539986869030156,79,glimpse,rh-lingual,223,116468.03125,623700
79,0.1,0.10127539015917138,0.4974610487616862,80,glimpse,rh-lingual,266,116807.953125,623700
80,0.1,0.17099534886235837,0.5323631017549049,81,glimpse,rh-lingual,207,117256.0234375,623700
81,0.1,0.0941426490181531,0.4494200094731047,82,glimpse,rh-lingual,285,116646.921875,623700
82,0.1,0.13726177679697474,0.5875468812144236,83,glimpse,rh-lingual,303,117162.1953125,623700
