,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.06893281503490552,0.360661208124875,1,unconscious,lh-inferiorparietal,351,13299.9931640625,673800
1,1.0,0.06184612632673443,0.3768379853820858,2,unconscious,lh-inferiorparietal,451,13378.4892578125,673800
2,1.0,0.04289251079870126,0.2834301719668221,3,unconscious,lh-inferiorparietal,360,13430.775390625,673800
3,1.0,0.05096468420267226,0.3107427815602033,4,unconscious,lh-inferiorparietal,333,13363.642578125,673800
4,1.0,0.05782960480226392,0.37202476412478,5,unconscious,lh-inferiorparietal,366,13328.697265625,673800
5,1.0,0.058272847944613945,0.31327035250242397,6,unconscious,lh-inferiorparietal,336,13351.0712890625,673800
6,1.0,0.05931601594185292,0.33077851881567144,7,unconscious,lh-inferiorparietal,435,13313.830078125,673800
7,1.0,0.06604252044556862,0.3683908464641644,8,unconscious,lh-inferiorparietal,419,13358.1708984375,673800
8,1.0,0.06856254309294882,0.37779697173357507,9,unconscious,lh-inferiorparietal,452,13335.72265625,673800
9,1.0,0.05087107854777818,0.3880127568630528,10,unconscious,lh-inferiorparietal,395,13370.0234375,673800
10,1.0,0.05389684182896857,0.263585024808381,11,unconscious,lh-inferiorparietal,325,13349.49609375,673800
11,1.0,0.054728051305474174,0.4688348047482027,12,unconscious,lh-inferiorparietal,400,13319.013671875,673800
12,1.0,0.05102590779712698,0.2802773860500808,13,unconscious,lh-inferiorparietal,199,13422.7021484375,673800
13,1.0,0.04968441393545241,0.2823703025482688,14,unconscious,lh-inferiorparietal,340,13359.3720703125,673800
14,1.0,0.053419733669624256,0.3684767957299827,15,unconscious,lh-inferiorparietal,374,13370.41796875,673800
15,1.0,0.05086223378531806,0.2532233840231424,16,unconscious,lh-inferiorparietal,255,13365.427734375,673800
16,1.0,0.062060504942608063,0.40722315617787186,17,unconscious,lh-inferiorparietal,429,13376.970703125,673800
17,1.0,0.040780739941213,0.29740611718919874,18,unconscious,lh-inferiorparietal,484,13319.921875,673800
18,1.0,0.045074901398062125,0.21786985649204071,19,unconscious,lh-inferiorparietal,314,13402.1904296875,673800
19,1.0,0.0678818792159218,0.3961838057447763,20,unconscious,lh-inferiorparietal,384,13360.3203125,673800
20,1.0,0.05086379072081001,0.26192696605345156,21,unconscious,lh-inferiorparietal,313,13355.9384765625,673800
