,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.057323183385098994,0.3102567488253226,1,unconscious,lh-rostralmiddlefrontal,470,12141.033203125,881400
1,1.0,0.045641080600881276,0.29905755493985275,2,unconscious,lh-rostralmiddlefrontal,493,12217.4990234375,881400
2,1.0,0.038560611152208,0.20507877188163515,3,unconscious,lh-rostralmiddlefrontal,489,12195.9150390625,881400
3,1.0,0.05665043232469142,0.302860947736596,4,unconscious,lh-rostralmiddlefrontal,508,12192.3408203125,881400
4,1.0,0.05609738094211156,0.262249411920104,5,unconscious,lh-rostralmiddlefrontal,422,12148.875,881400
5,1.0,0.05521306961975759,0.45769332803071017,6,unconscious,lh-rostralmiddlefrontal,517,12172.8916015625,881400
6,1.0,0.04454525378965248,0.31084141971825896,7,unconscious,lh-rostralmiddlefrontal,477,12174.3095703125,881400
7,1.0,0.0555417014371587,0.27754459154387,8,unconscious,lh-rostralmiddlefrontal,524,12151.328125,881400
8,1.0,0.0558258526379285,0.3331488544875867,9,unconscious,lh-rostralmiddlefrontal,473,12135.8798828125,881400
9,1.0,0.053537723477594994,0.3586119621117485,10,unconscious,lh-rostralmiddlefrontal,559,12184.755859375,881400
10,1.0,0.06433513747669348,0.3295734918834238,11,unconscious,lh-rostralmiddlefrontal,562,12193.4931640625,881400
11,1.0,0.05403742407455094,0.35254420052075597,12,unconscious,lh-rostralmiddlefrontal,651,12134.4765625,881400
12,1.0,0.04730383290870986,0.23986344042397267,13,unconscious,lh-rostralmiddlefrontal,483,12232.5556640625,881400
13,1.0,0.055175166861284736,0.26490710364323244,14,unconscious,lh-rostralmiddlefrontal,600,12150.3798828125,881400
14,1.0,0.04965406062030204,0.32583295577713856,15,unconscious,lh-rostralmiddlefrontal,779,12135.599609375,881400
15,1.0,0.04438370010276832,0.38845886800586726,16,unconscious,lh-rostralmiddlefrontal,575,12155.001953125,881400
16,1.0,0.05014301087394599,0.27646500344086755,17,unconscious,lh-rostralmiddlefrontal,522,12121.529296875,881400
17,1.0,0.03844902641539876,0.18069785538495797,18,unconscious,lh-rostralmiddlefrontal,474,12220.490234375,881400
18,1.0,0.05333241641906739,0.4060997779901663,19,unconscious,lh-rostralmiddlefrontal,578,12224.4267578125,881400
19,1.0,0.05684612646271231,0.4373124973228205,20,unconscious,lh-rostralmiddlefrontal,468,12162.9365234375,881400
20,1.0,0.05175649001747598,0.31962616716329484,21,unconscious,lh-rostralmiddlefrontal,416,12156.72265625,881400
21,1.0,0.049236952953537916,0.2810382193527774,22,unconscious,lh-rostralmiddlefrontal,542,12167.6875,881400
22,1.0,0.04254263552243947,0.28462175490977437,23,unconscious,lh-rostralmiddlefrontal,559,12131.3701171875,881400
23,1.0,0.035265017868560684,0.26235502690868184,24,unconscious,lh-rostralmiddlefrontal,472,12226.0419921875,881400
24,1.0,0.05329579438118854,0.27765803634504826,25,unconscious,lh-rostralmiddlefrontal,590,12139.447265625,881400
25,1.0,0.048127977519590866,0.27334154023578605,26,unconscious,lh-rostralmiddlefrontal,550,12189.6884765625,881400
26,1.0,0.049754970102575916,0.4025691638630807,27,unconscious,lh-rostralmiddlefrontal,563,12174.947265625,881400
27,1.0,0.05431165773081414,0.31543289463071544,28,unconscious,lh-rostralmiddlefrontal,519,12173.439453125,881400
28,1.0,0.053874145469102665,0.27141323844702436,29,unconscious,lh-rostralmiddlefrontal,521,12131.787109375,881400
29,1.0,0.05201497749887378,0.2674115339253703,30,unconscious,lh-rostralmiddlefrontal,515,12183.9912109375,881400
30,1.0,0.0517652179785538,0.28971127265574714,31,unconscious,lh-rostralmiddlefrontal,492,12144.990234375,881400
31,1.0,0.04228316112595571,0.2872706988439807,32,unconscious,lh-rostralmiddlefrontal,627,12187.771484375,881400
32,1.0,0.0629376925267884,0.38704813191035803,33,unconscious,lh-rostralmiddlefrontal,546,12190.947265625,881400
33,1.0,0.051776713295317287,0.3098473470851494,34,unconscious,lh-rostralmiddlefrontal,536,12143.09765625,881400
34,1.0,0.05963897003618427,0.4170066798264376,35,unconscious,lh-rostralmiddlefrontal,644,12141.1015625,881400
35,1.0,0.04448853960532944,0.2650358340881951,36,unconscious,lh-rostralmiddlefrontal,393,12163.7392578125,881400
36,1.0,0.050221544180854595,0.31386465050112144,37,unconscious,lh-rostralmiddlefrontal,465,12121.4609375,881400
37,1.0,0.04232262735743807,0.3109065248206022,38,unconscious,lh-rostralmiddlefrontal,369,12168.916015625,881400
38,1.0,0.05056272203599594,0.2943090563002705,39,unconscious,lh-rostralmiddlefrontal,639,12108.74609375,881400
39,1.0,0.04684304186736344,0.31680818503605157,40,unconscious,lh-rostralmiddlefrontal,504,12204.23828125,881400
40,1.0,0.04818824970835087,0.29270037159474305,41,unconscious,lh-rostralmiddlefrontal,574,12198.0185546875,881400
41,1.0,0.05796528363606522,0.2920479012344558,42,unconscious,lh-rostralmiddlefrontal,511,12154.8955078125,881400
42,1.0,0.05517629298282756,0.2957114183648142,43,unconscious,lh-rostralmiddlefrontal,429,12168.5478515625,881400
43,1.0,0.04785298833713102,0.2911036927748427,44,unconscious,lh-rostralmiddlefrontal,422,12154.177734375,881400
44,1.0,0.05515090539844307,0.398067265532592,45,unconscious,lh-rostralmiddlefrontal,499,12140.1455078125,881400
45,1.0,0.03643574963489507,0.16593978714683244,46,unconscious,lh-rostralmiddlefrontal,437,12190.25,881400
46,1.0,0.05100387381599797,0.25255543996355023,47,unconscious,lh-rostralmiddlefrontal,447,12145.9287109375,881400
47,1.0,0.0551328515771597,0.2689646610552425,48,unconscious,lh-rostralmiddlefrontal,488,12161.669921875,881400
48,1.0,0.05221839583405433,0.31712309643224534,49,unconscious,lh-rostralmiddlefrontal,424,12166.0771484375,881400
49,1.0,0.04051768486222138,0.24156530277675115,50,unconscious,lh-rostralmiddlefrontal,383,12240.3251953125,881400
50,1.0,0.037757647964945094,0.23708359985103866,51,unconscious,lh-rostralmiddlefrontal,405,12224.54296875,881400
51,1.0,0.0601787685382303,0.3474631754524927,52,unconscious,lh-rostralmiddlefrontal,537,12219.02734375,881400
52,1.0,0.046739018370234205,0.24180878909627368,53,unconscious,lh-rostralmiddlefrontal,327,12172.423828125,881400
53,1.0,0.054019267608813655,0.2854140713619847,54,unconscious,lh-rostralmiddlefrontal,445,12199.7080078125,881400
54,1.0,0.04422074360638566,0.2802445691975919,55,unconscious,lh-rostralmiddlefrontal,362,12199.4912109375,881400
55,1.0,0.050093462846288815,0.288820180902976,56,unconscious,lh-rostralmiddlefrontal,423,12176.986328125,881400
56,1.0,0.0503526772941496,0.27332914757415194,57,unconscious,lh-rostralmiddlefrontal,439,12160.6279296875,881400
57,1.0,0.04474327415334849,0.22389924743057066,58,unconscious,lh-rostralmiddlefrontal,464,12212.4990234375,881400
58,1.0,0.047701485045312166,0.24549870854720046,59,unconscious,lh-rostralmiddlefrontal,436,12218.4462890625,881400
59,1.0,0.0516660445535859,0.25993436016649607,60,unconscious,lh-rostralmiddlefrontal,606,12158.9140625,881400
60,1.0,0.04607509604887919,0.30580389519736784,61,unconscious,lh-rostralmiddlefrontal,423,12257.7529296875,881400
61,1.0,0.06844858046697132,0.41306337397218895,62,unconscious,lh-rostralmiddlefrontal,684,12177.6875,881400
62,1.0,0.05461529160118732,0.3403387113466939,63,unconscious,lh-rostralmiddlefrontal,783,12161.1806640625,881400
63,1.0,0.04545873743440219,0.23926207176816106,64,unconscious,lh-rostralmiddlefrontal,494,12180.87890625,881400
64,1.0,0.04265035703874573,0.3053171919182589,65,unconscious,lh-rostralmiddlefrontal,469,12145.45703125,881400
65,1.0,0.03666961598438242,0.19630530830927329,66,unconscious,lh-rostralmiddlefrontal,443,12248.9306640625,881400
66,1.0,0.04447274166732772,0.28489091658549237,67,unconscious,lh-rostralmiddlefrontal,430,12252.3759765625,881400
