,alphas,mean_variance,best_variance,fold,conscious_state,roi_name,positive voxels,weight_sum,n_parameters
0,1.0,0.05170611722941222,0.23140251975960047,1,unconscious,lh-superiorfrontal,156,2733.1298828125,287400
1,1.0,0.03680301123593743,0.25094831567239073,2,unconscious,lh-superiorfrontal,164,2753.490478515625,287400
2,1.0,0.033827588451134795,0.18519649981209252,3,unconscious,lh-superiorfrontal,206,2764.7861328125,287400
3,1.0,0.039341483735987164,0.23248628827907403,4,unconscious,lh-superiorfrontal,235,2753.962646484375,287400
4,1.0,0.04392003928066005,0.22089578751682648,5,unconscious,lh-superiorfrontal,121,2747.819091796875,287400
5,1.0,0.04661431662795698,0.3152691127225319,6,unconscious,lh-superiorfrontal,216,2755.298583984375,287400
6,1.0,0.037425343856125566,0.20500271518963908,7,unconscious,lh-superiorfrontal,184,2750.413818359375,287400
7,1.0,0.05554632896827881,0.24244851019668268,8,unconscious,lh-superiorfrontal,130,2752.802001953125,287400
8,1.0,0.0404371668124401,0.22002794801511527,9,unconscious,lh-superiorfrontal,131,2755.170654296875,287400
9,1.0,0.041752107522842835,0.19402585359526592,10,unconscious,lh-superiorfrontal,138,2751.1083984375,287400
10,1.0,0.045603074257358114,0.20666304909938626,11,unconscious,lh-superiorfrontal,112,2745.561767578125,287400
11,1.0,0.05051831764100305,0.30206141188900926,12,unconscious,lh-superiorfrontal,152,2741.6015625,287400
12,1.0,0.038503276652055024,0.20001470488594852,13,unconscious,lh-superiorfrontal,144,2759.783935546875,287400
13,1.0,0.03965617430208176,0.21300316864564506,14,unconscious,lh-superiorfrontal,145,2754.388916015625,287400
14,1.0,0.037156256635292956,0.22659072110867384,15,unconscious,lh-superiorfrontal,167,2755.153564453125,287400
15,1.0,0.050056071429822546,0.26269223418413945,16,unconscious,lh-superiorfrontal,107,2747.558837890625,287400
16,1.0,0.03551716487135378,0.20178589930107982,17,unconscious,lh-superiorfrontal,150,2745.8408203125,287400
17,1.0,0.032689721100496706,0.17934466587762043,18,unconscious,lh-superiorfrontal,83,2767.263427734375,287400
18,1.0,0.050484786304391516,0.24894309820077298,19,unconscious,lh-superiorfrontal,126,2779.82568359375,287400
19,1.0,0.05234931633238686,0.2609787967034871,20,unconscious,lh-superiorfrontal,200,2737.546142578125,287400
20,1.0,0.0355672461984077,0.1256026348988425,21,unconscious,lh-superiorfrontal,135,2749.17626953125,287400
21,1.0,0.04253812298984657,0.2521032744452377,22,unconscious,lh-superiorfrontal,156,2755.230712890625,287400
22,1.0,0.03686442695750443,0.20458126094409745,23,unconscious,lh-superiorfrontal,183,2752.44384765625,287400
23,1.0,0.026659334830143593,0.1232011872291141,24,unconscious,lh-superiorfrontal,135,2749.918701171875,287400
24,1.0,0.037525203360391404,0.16279816869042174,25,unconscious,lh-superiorfrontal,113,2748.890380859375,287400
25,1.0,0.043575949396799755,0.2179123570175695,26,unconscious,lh-superiorfrontal,181,2753.44580078125,287400
26,1.0,0.040031577300103816,0.18976585243343047,27,unconscious,lh-superiorfrontal,201,2753.293701171875,287400
27,1.0,0.039188501663915964,0.2960722692693537,28,unconscious,lh-superiorfrontal,150,2747.840576171875,287400
